"Package","Dataset","Title","Rows","Columns"
"Ecdat","Icecream","Ice Cream Consumption",30,4
"Ecdat","Journals","Economic Journals Dat Set",180,10
"Ecdat","Kakadu","Willingness to Pay for the Preservation of the Kakadu National Park",1827,22
"Ecdat","Ketchup","Choice of Brand for Ketchup",4956,7
"Ecdat","Klein","Klein's Model I",22,10
"Ecdat","LaborSupply","Wages and Hours Worked",5320,7
"Ecdat","Labour","Belgian Firms",569,4
"Ecdat","MCAS","The Massashusets Test Score Data Set",220,17
"Ecdat","Males","Wages and Education of Young Males",4360,12
"Ecdat","Mathlevel","Level of Calculus Attained for Students Taking Advanced Micro-economics",609,8
"Ecdat","MedExp","Structure of Demand for Medical Care",5574,15
"Ecdat","Metal","Production for SIC 33",27,3
"Ecdat","Mode","Mode Choice",453,9
"Ecdat","ModeChoice","Data to Study Travel Mode Choice",840,7
"Ecdat","Mofa","International Expansion of U.S. Mofa's (majority-owned Foreign Affiliates in Fire (finance, Insurance and Real Estate)",50,6
"Ecdat","Mroz","Labor Supply Data",753,18
"Ecdat","MunExp","Municipal Expenditure Data",2385,5
"Ecdat","NaturalPark","Willingness to Pay for the Preservation of the Alentejo Natural Park",312,7
"Ecdat","Nerlove","Cost Function for Electricity Producers, 1955",159,8
"Ecdat","OFP","Visits to Physician Office",4406,19
"Ecdat","Oil","Oil Investment",53,11
"Ecdat","PSID","Panel Survey of Income Dynamics",4856,8
"Ecdat","Participation","Labor Force Participation",872,7
"Ecdat","PatentsHGH","Dynamic Relation Between Patents and R&D",1730,18
"Ecdat","PatentsRD","Patents, R&D and Technological Spillovers for a Panel of Firms",1629,7
"Ecdat","Pound","Pound-dollar Exchange Rate",778,4
"Ecdat","Produc","Us States Production",816,10
"Ecdat","RetSchool","Return to Schooling",5225,17
"Ecdat","SP500","Returns on Standard & Poor's 500 Index",2783,1
"Ecdat","Schooling","Wages and Schooling",3010,28
"Ecdat","Somerville","Visits to Lake Somerville",659,8
"Ecdat","Star","Effects on Learning of Small Class Sizes",5748,8
"Ecdat","Strike","Strike Duration Data",62,2
"Ecdat","StrikeDur","Strikes Duration",566,2
"Ecdat","StrikeNb","Number of Strikes in Us Manufacturing",108,3
"Ecdat","SumHes","The Penn Table",3250,7
"Ecdat","Tobacco","Households Tobacco Budget Share",2724,9
"Ecdat","Train","Stated Preferences for Train Traveling",2929,11
"Ecdat","TranspEq","Statewide Data on Transportation Equipment Manufacturing",25,5
"Ecdat","Treatment","Evaluating Treatment Effect of Training on Earnings",2675,10
"Ecdat","Tuna","Choice of Brand for Tuna",13705,8
"Ecdat","UnempDur","Unemployment Duration",3343,11
"Ecdat","Unemployment","Unemployment Duration",452,12
"Ecdat","University","Provision of University Teaching and Research",62,17
"Ecdat","VietNamI","Medical Expenses in Viet-nam (individual Level)",27765,12
"Ecdat","Wages","Panel Datas of Individual Wages",4165,12
"Ecdat","Wages1","Wages, Experience and Schooling",3294,4
"Ecdat","Workinghours","Wife Working Hours",3382,12
"Ecdat","Yen","Yen-dollar Exchange Rate",778,4
"Ecdat","Yogurt","Choice of Brand for Yogurts",2412,10
"Ecdat","incomeInequality","Income Inequality in the US",66,22
"HSAUR","BCG","BCG Vaccine Data",13,7
"HSAUR","BtheB","Beat the Blues Data",100,8
"HSAUR","CYGOB1","CYG OB1 Star Cluster Data",47,2
"HSAUR","Forbes2000","The Forbes 2000 Ranking of the World's Biggest Companies (Year 2004)",2000,8
"HSAUR","GHQ","General Health Questionnaire",22,4
"HSAUR","Lanza","Prevention of Gastointestinal Damages",198,3
"HSAUR","agefat","Total Body Composision Data",25,3
"HSAUR","aspirin","Aspirin Data",7,5
"HSAUR","birthdeathrates","Birth and Death Rates Data",69,3
"HSAUR","bladdercancer","Bladder Cancer Data",31,3
"HSAUR","clouds","Cloud Seeding Data",24,7
"HSAUR","epilepsy","Epilepsy Data",236,7
"HSAUR","foster","Foster Feeding Experiment",61,3
"HSAUR","heptathlon","Olympic Heptathlon Seoul 1988",25,9
"HSAUR","mastectomy","Survival Times after Mastectomy of Breast Cancer Patients",44,3
"HSAUR","meteo","Meteorological Measurements for 11 Years",11,6
"HSAUR","orallesions","Oral Lesions in Rural India",8,4
"HSAUR","phosphate","Phosphate Level Data",33,9
"HSAUR","pistonrings","Piston Rings Failures",4,4
"HSAUR","planets","Exoplanets Data",101,3
"HSAUR","plasma","Blood Screening Data",32,4
"HSAUR","polyps","Familial Andenomatous Polyposis",20,3
"HSAUR","polyps3","Familial Andenomatous Polyposis",22,5
"HSAUR","pottery","Romano-British Pottery Data",45,9
"HSAUR","rearrests","Rearrests of Juvenile Felons",2,3
"HSAUR","respiratory","Respiratory Illness Data",555,8
"HSAUR","roomwidth","Students Estimates of Lecture Room Width",113,2
"HSAUR","schizophrenia","Age of Onset of Schizophrenia Data",251,2
"HSAUR","schizophrenia2","Schizophrenia Data",220,5
"HSAUR","schooldays","Days not Spent at School",154,5
"HSAUR","skulls","Egyptian Skulls",150,5
"HSAUR","smoking","Nicotine Gum and Smoking Cessation",26,5
"HSAUR","students","Student Risk Taking",35,3
"HSAUR","suicides","Crowd Baiting Behaviour and Suicides",2,3
"HSAUR","toothpaste","Toothpaste Data",9,7
"HSAUR","voting","House of Representatives Voting Data",15,16
"HSAUR","water","Mortality and Water Hardness",61,4
"HSAUR","watervoles","Water Voles Data",14,15
"HSAUR","waves","Electricity from Wave Power at Sea",18,2
"HSAUR","weightgain","Gain in Weight of Rats",40,3
"HSAUR","womensrole","Womens Role in Society",42,4
"HistData","Arbuthnot","Arbuthnot's data on male and female birth ratios in London from 1629-1710.",82,7
"HistData","Bowley","Bowley's data on values of British and Irish trade, 1855-1899",45,2
"HistData","Cavendish","Cavendish's Determinations of the Density of the Earth",29,3
"HistData","ChestSizes","Chest measurements of 5738 Scottish Militiamen",16,2
"HistData","CushnyPeebles","Cushny-Peebles Data: Soporific Effects of Scopolamine Derivatives",11,4
"HistData","CushnyPeeblesN","Cushny-Peebles Data: Soporific Effects of Scopolamine Derivatives",11,4
"HistData","Dactyl","Edgeworth's counts of dactyls in Virgil's Aeneid",60,3
"HistData","DrinksWages","Elderton and Pearson's (1910) data on drinking and wages",70,6
"HistData","Fingerprints","Waite's data on Patterns in Fingerprints",36,3
"HistData","Galton","Galton's data on the heights of parents and their children",928,2
"HistData","GaltonFamilies","Galton's data on the heights of parents and their children, by child",934,8
"HistData","Guerry","Data from A.-M. Guerry, \"Essay on the Moral Statistics of France\"",86,23
"HistData","Jevons","W. Stanley Jevons' data on numerical discrimination",50,4
"HistData","Langren.all","van Langren's Data on Longitude Distance between Toledo and Rome",61,4
"HistData","Langren1644","van Langren's Data on Longitude Distance between Toledo and Rome",12,9
"HistData","Macdonell","Macdonell's Data on Height and Finger Length of Criminals, used by Gosset (1908)",924,3
"HistData","MacdonellDF","Macdonell's Data on Height and Finger Length of Criminals, used by Gosset (1908)",3000,2
"HistData","Michelson","Michelson's Determinations of the Velocity of Light",100,1
"HistData","MichelsonSets","Michelson's Determinations of the Velocity of Light",20,5
"HistData","Minard.cities","Data from Minard's famous graphic map of Napoleon's march on Moscow",20,3
"HistData","Minard.temp","Data from Minard's famous graphic map of Napoleon's march on Moscow",9,4
"HistData","Minard.troops","Data from Minard's famous graphic map of Napoleon's march on Moscow",51,5
"HistData","Nightingale","Florence Nightingale's data on deaths from various causes in the Crimean War",24,10
"HistData","OldMaps","Latitudes and Longitudes of 39 Points in 11 Old Maps",468,6
"HistData","PearsonLee","Pearson and Lee's data on the heights of parents and children classified by gender",746,6
"HistData","PolioTrials","Polio Field Trials Data",8,6
"HistData","Prostitutes","Parent-Duchatelet's time-series data on the number of prostitutes in Paris",516,5
"HistData","Pyx","Trial of the Pyx",72,4
"HistData","Quarrels","Statistics of Deadly Quarrels",779,84
"HistData","Snow.deaths","John Snow's map and data on the 1854 London Cholera outbreak",578,3
"HistData","Snow.polygons","John Snow's map and data on the 1854 London Cholera outbreak",54,3
"HistData","Snow.pumps","John Snow's map and data on the 1854 London Cholera outbreak",13,4
"HistData","Snow.streets","John Snow's map and data on the 1854 London Cholera outbreak",1241,4
"HistData","Wheat.monarchs","Playfair's Data on Wages and the Price of Wheat",12,4
"HistData","Yeast","Student's (1906) Yeast Cell Counts",36,3
"HistData","YeastD.mat","Student's (1906) Yeast Cell Counts",20,20
"HistData","ZeaMays","Darwin's Heights of Cross- and Self-fertilized Zea May Pairs",15,5
"ISLR","Auto","Auto Data Set",392,9
"ISLR","Caravan","The Insurance Company (TIC) Benchmark",5822,86
"ISLR","Carseats","Sales of Child Car Seats",400,11
"ISLR","College","U.S. News and World Report's College Data",777,19
"ISLR","Default","Credit Card Default Data",10000,4
"ISLR","Hitters","Baseball Data",322,20
"ISLR","OJ","Orange Juice Data",1070,18
"ISLR","Portfolio","Portfolio Data",100,2
"ISLR","Smarket","S&P Stock Market Data",1250,9
"ISLR","Wage","Mid-Atlantic Wage Data",3000,12
"ISLR","Weekly","Weekly S&P Stock Market Data",1089,9
"KMsurv","aids","data from Section 1.19",295,3
"KMsurv","alloauto","data from Section 1.9",101,3
"KMsurv","allograft","data from Exercise 13.1, p418",34,4
"KMsurv","azt","data from Exercise 4.7, p122",45,4
"KMsurv","baboon","data from Exercise 5.8, p147",152,3
"KMsurv","bcdeter","data from Section 1.18",95,3
"KMsurv","bfeed","data from Section 1.14",927,10
"KMsurv","bmt","data from Section 1.3",137,22
"KMsurv","bnct","data from Exercise 7.7, p223",30,3
"KMsurv","btrial","data from Section 1.5",45,3
"KMsurv","burn","data from Section 1.6",154,18
"KMsurv","channing","data from Section 1.16",462,6
"KMsurv","drug6mp","data from Section 1.2",21,5
"KMsurv","drughiv","data from Exercise 7.6, p222",34,3
"KMsurv","hodg","data from Section 1.10",43,6
"KMsurv","kidney","data from Section 1.4",119,3
"KMsurv","kidrecurr","Data on 38 individuals using a kidney dialysis machine",38,10
"KMsurv","kidtran","data from Section 1.7",863,6
"KMsurv","larynx","data from Section 1.8",90,5
"KMsurv","lung","data from Exercise 4.4, p120",25,4
"KMsurv","pneumon","data from Section 1.13",3470,15
"KMsurv","psych","data from Section 1.15",26,4
"KMsurv","rats","data from Exercise 7.13, p225",150,4
"KMsurv","std","data from Section 1.12",877,24
"KMsurv","stddiag","data from Exercise 5.6, p146",25,2
"KMsurv","tongue","data from Section 1.11",80,3
"KMsurv","twins","data from Exercise 7.14, p225",24,4
"MASS","Aids2","Australian AIDS Survival Data",2843,7
"MASS","Animals","Brain and Body Weights for 28 Species",28,3
"MASS","Boston","Housing Values in Suburbs of Boston",506,14
"MASS","Cars93","Data from 93 Cars on Sale in the USA in 1993",93,27
"MASS","Cushings","Diagnostic Tests on Patients with Cushing's Syndrome",27,4
"MASS","DDT","DDT in Kale",15,1
"MASS","GAGurine","Level of GAG in Urine of Children",314,2
"MASS","Insurance","Numbers of Car Insurance claims",64,5
"MASS","Melanoma","Survival from Malignant Melanoma",205,7
"MASS","OME","Tests of Auditory Perception in Children with OME",1097,7
"MASS","Pima.te","Diabetes in Pima Indian Women",332,8
"MASS","Pima.tr","Diabetes in Pima Indian Women",200,8
"MASS","Pima.tr2","Diabetes in Pima Indian Women",300,8
"MASS","Rabbit","Blood Pressure in Rabbits",60,5
"MASS","Rubber","Accelerated Testing of Tyre Rubber",30,3
"MASS","SP500","Returns of the Standard and Poors 500",2780,1
"MASS","Sitka","Growth Curves for Sitka Spruce Trees in 1988",395,4
"MASS","Sitka89","Growth Curves for Sitka Spruce Trees in 1989",632,4
"MASS","Skye","AFM Compositions of Aphyric Skye Lavas",23,3
"MASS","Traffic","Effect of Swedish Speed Limits on Accidents",184,4
"MASS","UScereal","Nutritional and Marketing Information on US Cereals",65,12
"MASS","UScrime","The Effect of Punishment Regimes on Crime Rates",47,16
"MASS","VA","Veteran's Administration Lung Cancer Trial",137,8
"MASS","abbey","Determinations of Nickel Content",31,1
"MASS","anorexia","Anorexia Data on Weight Change",72,3
"MASS","bacteria","Presence of Bacteria after Drug Treatments",220,6
"MASS","beav1","Body Temperature Series of Beaver 1",114,4
"MASS","beav2","Body Temperature Series of Beaver 2",100,4
"MASS","biopsy","Biopsy Data on Breast Cancer Patients",699,11
"MASS","birthwt","Risk Factors Associated with Low Infant Birth Weight",189,11
"MASS","cabbages","Data from a cabbage field trial",60,4
"MASS","caith","Colours of Eyes and Hair of People in Caithness",4,6
"MASS","cats","Anatomical Data from Domestic Cats",144,3
"MASS","cement","Heat Evolved by Setting Cements",13,5
"MASS","chem","Copper in Wholemeal Flour",24,1
"MASS","coop","Co-operative Trial in Analytical Chemistry",252,4
"MASS","cpus","Performance of Computer CPUs",209,9
"MASS","crabs","Morphological Measurements on Leptograpsus Crabs",200,8
"MASS","eagles","Foraging Ecology of Bald Eagles",8,5
"MASS","epil","Seizure Counts for Epileptics",236,9
"MASS","farms","Ecological Factors in Farm Management",20,4
"MASS","fgl","Measurements of Forensic Glass Fragments",214,10
"MASS","forbes","Forbes' Data on Boiling Points in the Alps",17,2
"MASS","galaxies","Velocities for 82 Galaxies",82,1
"MASS","gehan","Remission Times of Leukaemia Patients",42,4
"MASS","genotype","Rat Genotype Data",61,3
"MASS","geyser","Old Faithful Geyser Data",299,2
"MASS","gilgais","Line Transect of Soil in Gilgai Territory",365,9
"MASS","hills","Record Times in Scottish Hill Races",35,4
"MASS","housing","Frequency Table from a Copenhagen Housing Conditions Survey",72,5
"MASS","immer","Yields from a Barley Field Trial",30,4
"MASS","leuk","Survival Times and White Blood Counts for Leukaemia Patients",33,3
"MASS","mammals","Brain and Body Weights for 62 Species of Land Mammals",62,3
"MASS","mcycle","Data from a Simulated Motorcycle Accident",133,2
"MASS","menarche","Age of Menarche in Warsaw",25,3
"MASS","michelson","Michelson's Speed of Light Data",100,3
"MASS","minn38","Minnesota High School Graduates of 1938",168,5
"MASS","motors","Accelerated Life Testing of Motorettes",40,3
"MASS","muscle","Effect of Calcium Chloride on Muscle Contraction in Rat Hearts",60,4
"MASS","newcomb","Newcomb's Measurements of the Passage Time of Light",66,1
"MASS","nlschools","Eighth-Grade Pupils in the Netherlands",2287,6
"MASS","npk","Classical N, P, K Factorial Experiment",24,5
"MASS","npr1","US Naval Petroleum Reserve No. 1 data",104,5
"MASS","oats","Data from an Oats Field Trial",72,4
"MASS","painters","The Painter's Data of de Piles",54,6
"MASS","petrol","N. L. Prater's Petrol Refinery Data",32,6
"MASS","quine","Absenteeism from School in Rural New South Wales",146,5
"MASS","road","Road Accident Deaths in US States",26,7
"MASS","rotifer","Numbers of Rotifers by Fluid Density",20,5
"MASS","ships","Ships Damage Data",40,5
"MASS","shoes","Shoe wear data of Box, Hunter and Hunter",10,2
"MASS","shrimp","Percentage of Shrimp in Shrimp Cocktail",18,1
"MASS","shuttle","Space Shuttle Autolander Problem",256,7
"MASS","snails","Snail Mortality Data",96,6
"MASS","steam","The Saturated Steam Pressure Data",14,2
"MASS","stormer","The Stormer Viscometer Data",23,3
"MASS","survey","Student Survey Data",237,12
"MASS","synth.te","Synthetic Classification Problem",1000,3
"MASS","synth.tr","Synthetic Classification Problem",250,3
"MASS","topo","Spatial Topographic Data",52,3
"MASS","waders","Counts of Waders at 15 Sites in South Africa",15,20
"MASS","whiteside","House Insulation: Whiteside's Data",56,3
"MASS","wtloss","Weight Loss Data from an Obese Patient",52,2
"SASmixed","AvgDailyGain","Average daily weight gain of steers on different diets",32,6
"SASmixed","Multilocation","A multilocation trial",108,7
"SASmixed","SIMS","Second International Mathematics Study data",3691,3
"Zelig","PErisk","Political Economic Risk Data from 62 Countries in 1987",62,6
"Zelig","SupremeCourt","U.S. Supreme Court Vote Matrix",43,9
"Zelig","Weimar","1932 Weimar election data",10,11
"Zelig","approval","U.S. Presidential Approval Data",65,8
"Zelig","bivariate","Sample data for bivariate probit regression",78,6
"Zelig","coalition","Coalition Dissolution in Parliamentary Democracies",314,7
"Zelig","coalition2","Coalition Dissolution in Parliamentary Democracies, Modified Version",314,8
"Zelig","eidat","Simulation Data for Ecological Inference",10,4
"Zelig","free1","Freedom of Speech Data",450,12
"Zelig","free2","Freedom of Speech Data",450,12
"Zelig","grunfeld","Simulation Data for model Seemingly Unrelated Regression (sur) that corresponds to method SUR of systemfit",20,7
"Zelig","hoff","Social Security Expenditure Data",36,5
"Zelig","homerun","Sample Data on Home Runs Hit By Mark McGwire and Sammy Sosa in 1998.",314,5
"Zelig","immi1","Individual Preferences Over Immigration Policy",2485,5
"Zelig","immi2","Individual Preferences Over Immigration Policy",2485,5
"Zelig","immi3","Individual Preferences Over Immigration Policy",2485,5
"Zelig","immi4","Individual Preferences Over Immigration Policy",2485,5
"Zelig","immi5","Individual Preferences Over Immigration Policy",2485,5
"Zelig","immigration","Individual Preferences Over Immigration Policy",2485,5
"Zelig","klein","Simulation Data for model Two-Stage Least Square (twosls) that corresponds to method 2SLS of systemfit",21,14
"Zelig","kmenta","Simulation Data for model Three-Stage Least Square (threesls) that corresponds to method 3SLS of systemfit",20,5
"Zelig","macro","Macroeconomic Data",350,6
"Zelig","mexico","Voting Data from the 1988 Mexican Presidental Election",1359,33
"Zelig","mid","Militarized Interstate Disputes",3126,8
"Zelig","newpainters","The Discretized Painter's Data of de Piles",54,5
"Zelig","sanction","Multilateral Economic Sanctions",78,8
"Zelig","swiss","Swiss Fertility and Socioeconomic Indicators (1888) Data",47,7
"Zelig","tobin","Tobin's Tobit Data",20,3
"Zelig","turnout","Turnout Data Set from the National Election Survey",2000,5
"Zelig","voteincome","Sample Turnout and Demographic Data from the 2000 Current Population Survey",1500,7
"adehabitatLT","albatross","Argos Monitoring of Adult Albatross Movement",4400,12
"adehabitatLT","bear","GPS monitoring of one brown bear",1157,12
"adehabitatLT","buffalo","GPS monitoring of a buffalo",1309,13
"adehabitatLT","capreochiz","GPS Monitoring of one Roe Deer in Chize (France)",2355,8
"adehabitatLT","capreotf","GPS Monitoring of one Roe Deer in Trois-Fontaines (France)",576,12
"adehabitatLT","hseal","Argos Monitoring of Hooded Seal",103,12
"adehabitatLT","ibex","GPS Monitoring of Four Ibex in the Belledonne Mountain",332,12
"adehabitatLT","ibexraw","GPS Monitoring of Four Ibex in the Belledonne Mountain (irregular data)",256,12
"adehabitatLT","mouflon","GPS Monitoring of One Mouflon in the Caroux Mountain",278,12
"adehabitatLT","porpoise","Argos monitoring of Porpoise Movements",358,12
"adehabitatLT","puechcirc","Movements of wild boars tracked at Puechabon",215,12
"adehabitatLT","rupicabau","GPS Monitoring of One Chamois in the Bauges Mountains",144,12
"adehabitatLT","teal","Teal (Anas crecca) Ring Recovery Dataset",800,3
"adehabitatLT","whale","Argos Monitoring of Whale Movement",181,12
"boot","acme","Monthly Excess Returns",60,3
"boot","aids","Delay in AIDS Reporting in England and Wales",570,6
"boot","aircondit","Failures of Air-conditioning Equipment",12,1
"boot","aircondit7","Failures of Air-conditioning Equipment",24,1
"boot","amis","Car Speeding and Warning Signs",8437,4
"boot","aml","Remission Times for Acute Myelogenous Leukaemia",23,3
"boot","bigcity","Population of U.S. Cities",49,2
"boot","brambles","Spatial Location of Bramble Canes",823,3
"boot","breslow","Smoking Deaths Among Doctors",10,5
"boot","calcium","Calcium Uptake Data",27,2
"boot","cane","Sugar-cane Disease Data",180,5
"boot","capability","Simulated Manufacturing Process Data",75,1
"boot","catsM","Weight Data for Domestic Cats",97,3
"boot","cav","Position of Muscle Caveolae",138,2
"boot","cd4","CD4 Counts for HIV-Positive Patients",20,2
"boot","channing","Channing House Data",462,5
"boot","city","Population of U.S. Cities",10,2
"boot","claridge","Genetic Links to Left-handedness",37,2
"boot","cloth","Number of Flaws in Cloth",32,2
"boot","co.transfer","Carbon Monoxide Transfer",7,2
"boot","coal","Dates of Coal Mining Disasters",191,1
"boot","darwin","Darwin's Plant Height Differences",15,1
"boot","dogs","Cardiac Data for Domestic Dogs",7,2
"boot","downs.bc","Incidence of Down's Syndrome in British Columbia",30,3
"boot","ducks","Behavioral and Plumage Characteristics of Hybrid Ducks",11,2
"boot","fir","Counts of Balsam-fir Seedlings",50,3
"boot","frets","Head Dimensions in Brothers",25,4
"boot","grav","Acceleration Due to Gravity",26,3
"boot","gravity","Acceleration Due to Gravity",81,2
"boot","hirose","Failure Time of PET Film",44,3
"boot","islay","Jura Quartzite Azimuths on Islay",18,1
"boot","melanoma","Survival from Malignant Melanoma",205,7
"boot","motor","Data from a Simulated Motorcycle Accident",94,4
"boot","neuro","Neurophysiological Point Process Data",469,6
"boot","nitrofen","Toxicity of Nitrofen in Aquatic Systems",50,5
"boot","nodal","Nodal Involvement in Prostate Cancer",53,7
"boot","nuclear","Nuclear Power Station Construction Data",32,11
"boot","paulsen","Neurotransmission in Guinea Pig Brains",346,1
"boot","poisons","Animal Survival Times",48,3
"boot","polar","Pole Positions of New Caledonian Laterites",50,2
"boot","remission","Cancer Remission and Cell Activity",27,3
"boot","salinity","Water Salinity and River Discharge",28,4
"boot","survival","Survival of Rats after Radiation Doses",14,2
"boot","tau","Tau Particle Decay Modes",60,2
"boot","tuna","Tuna Sighting Data",64,1
"boot","urine","Urine Analysis Data",79,7
"car","AMSsurvey","American Math Society Survey Data",24,5
"car","Adler","Experimenter Expectations",97,3
"car","Angell","Moral Integration of American Cities",43,5
"car","Anscombe","U. S. State Public-School Expenditures",51,5
"car","Baumann","Methods of Teaching Reading Comprehension",66,6
"car","Bfox","Canadian Women's Labour-Force Participation",30,7
"car","Blackmore","Exercise Histories of Eating-Disordered and Control Subjects",945,4
"car","Burt","Fraudulent Data on IQs of Twins Raised Apart",27,3
"car","CanPop","Canadian Population Data",16,2
"car","Chile","Voting Intentions in the 1988 Chilean Plebiscite",2700,8
"car","Chirot","The 1907 Romanian Peasant Rebellion",32,5
"car","Cowles","Cowles and Davis's Data on Volunteering",1421,4
"car","Davis","Self-Reports of Height and Weight",200,5
"car","DavisThin","Davis's Data on Drive for Thinness",191,7
"car","Depredations","Minnesota Wolf Depredation Data",434,5
"car","Duncan","Duncan's Occupational Prestige Data",45,5
"car","Ericksen","The 1980 U.S. Census Undercount",66,10
"car","Florida","Florida County Voting",67,12
"car","Freedman","Crowding and Crime in U. S. Metropolitan Areas",110,5
"car","Friendly","Format Effects on Recall",30,2
"car","Ginzberg","Data on Depression",82,6
"car","Greene","Refugee Appeals",384,7
"car","Guyer","Anonymity and Cooperation",20,3
"car","Hartnagel","Canadian Crime-Rates Time Series",38,8
"car","Highway1","Highway Accidents",39,12
"car","Leinhardt","Data on Infant-Mortality",105,5
"car","Mandel","Contrived Collinear Data",8,3
"car","Migration","Canadian Interprovincial Migration Data",90,8
"car","Moore","Status, Authoritarianism, and Conformity",45,4
"car","Mroz","U.S. Women's Labor-Force Participation",753,8
"car","OBrienKaiser","O'Brien and Kaiser's Repeated-Measures Data",16,17
"car","Ornstein","Interlocking Directorates Among Major Canadian Firms",248,4
"car","Pottery","Chemical Composition of Pottery",26,6
"car","Prestige","Prestige of Canadian Occupations",102,7
"car","Quartet","Four Regression Datasets",11,6
"car","Robey","Fertility and Contraception",50,4
"car","SLID","Survey of Labour and Income Dynamics",7425,5
"car","Sahlins","Agricultural Production in Mazulu Village",20,2
"car","Salaries","Salaries for Professors",397,6
"car","Soils","Soil Compositions of Physical and Chemical Characteristics",48,14
"car","States","Education and Related Statistics for the U.S. States",51,8
"car","Transact","Transaction data",261,3
"car","UN","GDP and Infant Mortality",207,3
"car","USPop","Population of the United States",22,2
"car","Vocab","Vocabulary and Education",21638,5
"car","WeightLoss","Weight Loss Data",34,7
"car","Womenlf","Canadian Women's Labour-Force Participation",263,4
"car","Wool","Wool data",27,4
"cluster","agriculture","European Union Agricultural Workforces",12,3
"cluster","animals","Attributes of Animals",20,7
"cluster","chorSub","Subset of C-horizon of Kola Data",61,11
"cluster","flower","Flower Characteristics",18,8
"cluster","plantTraits","Plant Species Traits Data",136,32
"cluster","pluton","Isotopic Composition Plutonium Batches",45,4
"cluster","ruspini","Ruspini Data",75,2
"cluster","votes.repub","Votes for Republican Candidate in Presidential Elections",50,32
"cluster","xclara","Bivariate Data Set with 3 Clusters",3000,2
"datasets","BOD","Biochemical Oxygen Demand",6,2
"datasets","CO2","Carbon Dioxide Uptake in Grass Plants",84,5
"datasets","Formaldehyde","Determination of Formaldehyde",6,2
"datasets","HairEyeColor","Hair and Eye Color of Statistics Students",32,4
"datasets","InsectSprays","Effectiveness of Insect Sprays",72,2
"datasets","LifeCycleSavings","Intercountry Life-Cycle Savings Data",50,6
"datasets","Loblolly","Growth of Loblolly pine trees",84,4
