O3,NO2,NO,SO2,PM10
23,42,54,16,40
26,45,64,11,29
26,55,167,18,30
35,37,28,23,59
13,36,119,15,21
21,34,126,11,26
12,38,109,9,44
7,60,330,24,76
5,50,206,12,58
14,50,119,8,24
18,52,306,10,56
9,39,158,19,27
9,39,40,39,42
4,40,60,22,42
6,36,135,40,77
3,48,228,21,84
12,57,230,14,53
30,38,68,7,18
25,30,55,7,19
22,35,53,7,20
27,36,87,5,21
4,50,363,40,84
3,39,197,20,68
13,47,153,18,70
20,45,66,12,24
31,42,86,9,29
23,41,136,10,36
10,34,57,13,24
10,38,70,13,25
3,37,61,84,40
2,30,110,59,36
5,41,47,59,43
2,37,82,44,55
2,27,65,45,35
1,26,78,12,36
22,38,95,8,35
27,36,60,3,17
21,42,85,12,34
7,36,186,26,71
3,47,257,22,74
4,88,560,32,141
3,59,364,54,59
5,59,548,56,79
9,33,103,15,26
23,46,81,7,23
22,32,57,4,22
30,34,49,2,23
23,34,42,3,27
27,34,40,3,45
18,44,117,9,48
16,39,105,9,28
24,48,114,11,40
8,44,131,31,39
11,41,197,16,23
20,37,55,2,24
5,47,193,15,42
30,40,53,9,22
31,26,25,6,26
21,51,269,9,46
8,49,237,86,48
5,40,157,200,46
20,29,24,4,34
20,26,72,3,59
2,21,106,13,43
2,38,254,39,90
1,36,130,32,60
3,32,63,88,33
2,30,66,58,38
2,30,70,85,43
15,41,62,51,38
15,43,85,19,40
17,46,106,22,54
16,52,223,31,67
6,37,83,30,49
13,43,69,15,44
29,40,57,8,32
13,27,40,36,40
3,65,422,33,143
3,56,295,34,76
2,53,236,31,152
1,48,128,26,66
2,32,92,114,48
6,40,66,58,72
15,24,33,10,51
20,30,65,10,84
22,26,42,8,64
23,28,45,10,67
28,24,31,5,39
32,28,37,3,27
35,29,24,41,51
30,22,14,15,50
33,39,57,4,31
23,32,63,10,50
23,32,65,18,50
23,34,69,5,52
18,36,83,5,47
21,38,89,4,23
18,47,65,21,76
7,43,129,29,61
16,36,82,23,51
8,40,98,43,57
19,60,212,42,70
7,54,136,26,38
20,47,159,14,34
18,48,192,12,29
29,30,48,7,29
20,27,52,4,35
34,25,33,3,38
34,49,115,10,25
35,52,113,7,18
38,36,53,4,44
38,36,46,7,41
30,51,104,11,61
15,49,124,17,35
7,48,113,11,66
28,47,78,8,26
33,50,98,12,51
16,61,173,35,56
20,88,509,30,103
6,104,321,34,177
21,47,106,17,53
20,26,27,17,34
32,22,22,9,36
24,35,34,5,25
35,39,94,6,84
38,31,29,3,29
29,41,155,7,32
13,41,146,15,40
28,35,144,6,41
8,32,178,16,55
27,26,49,4,24
30,30,31,3,24
29,38,110,9,43
3,39,136,15,39
10,42,170,13,100
3,35,107,8,26
29,28,21,4,24
22,62,479,14,85
27,56,305,24,73
34,31,62,5,24
20,59,175,18,62
22,45,143,7,28
20,35,52,5,22
21,40,156,17,32
26,38,187,10,52
30,40,175,5,44
5,43,188,13,39
5,60,257,25,63
23,51,88,5,22
36,51,128,6,29
26,49,134,8,34
33,68,150,3,37
26,78,286,26,41
28,65,120,8,35
4,57,218,6,33
8,68,261,14,46
3,56,308,18,96
4,47,369,27,90
3,43,214,71,94
5,41,115,79,37
10,33,107,4,40
22,36,128,6,53
27,40,96,6,34
15,45,148,10,36
29,40,75,4,23
16,46,210,19,62
3,45,252,21,98
5,42,325,21,96
27,25,23,3,7
24,31,34,1,28
29,26,25,1,29
29,31,29,2,17
34,32,48,9,18
33,37,24,2,30
25,41,146,5,33
3,38,100,21,45
18,34,47,6,14
23,37,133,5,32
23,32,92,5,21
26,34,52,3,25
33,24,12,2,23
37,36,23,4,21
23,49,83,10,27
30,33,25,8,33
35,20,10,1,25
34,36,29,6,34
12,44,88,12,31
19,45,90,42,53
29,42,88,7,82
32,46,97,8,88
13,43,101,60,60
2,35,124,24,64
12,34,106,18,45
13,49,360,11,66
7,72,320,22,135
2,54,189,33,141
3,56,151,16,71
9,42,124,19,53
22,33,44,12,37
25,40,123,10,32
12,72,419,88,100
16,40,152,24,41
3,39,202,40,88
3,60,344,27,88
4,73,487,44,119
5,87,481,43,154
6,64,248,25,101
13,60,318,12,76
4,70,370,30,108
3,64,232,88,124
3,49,225,59,99
17,34,65,15,49
26,35,87,8,35
29,47,166,17,43
34,44,199,8,46
18,49,97,8,35
25,45,68,11,62
26,54,148,10,35
20,42,136,32,31
36,52,183,11,51
35,52,105,3,40
33,49,158,12,42
22,48,132,12,25
31,53,186,5,30
30,42,107,5,34
32,49,127,26,62
22,38,73,22,43
35,39,55,5,26
38,50,116,11,32
29,43,66,10,30
36,44,54,15,37
36,56,118,15,35
36,31,18,7,26
38,36,26,3,23
44,34,34,3,30
35,50,83,9,32
19,44,72,31,42
18,37,64,4,23
21,37,66,31,20
23,35,37,36,36
8,55,132,34,135
6,56,145,12,109
16,56,133,27,67
17,45,113,22,64
33,43,39,10,30
15,52,293,10,65
15,49,141,12,41
10,59,277,12,66
5,77,474,15,118
3,52,226,21,71
4,53,347,22,96
9,39,62,16,27
9,39,78,12,47
6,34,93,9,40
12,41,50,14,30
12,52,118,23,40
21,52,308,33,74
3,49,119,51,56
11,32,49,89,31
16,36,53,42,34
4,36,63,25,47
2,32,137,10,64
33,61,71,11,53
32,28,10,5,24
30,38,123,10,37
36,26,26,7,34
35,36,21,5,20
31,51,149,12,47
30,53,185,22,60
28,44,64,6,28
33,48,114,11,33
32,37,50,13,36
12,38,107,16,52
6,29,85,23,51
17,57,195,10,51
2,33,99,54,49
21,37,120,15,35
16,47,81,9,37
28,35,62,4,28
21,39,47,9,27
25,34,53,9,20
35,25,22,2,26
35,65,323,26,101
3,51,158,31,82
2,36,138,18,69
27,40,148,20,64
29,27,37,2,20
27,25,11,3,24
35,42,62,23,25
15,36,45,32,42
17,54,207,49,93
12,44,167,40,63
14,41,115,12,43
16,43,32,8,38
10,39,87,15,43
23,33,41,5,29
25,51,145,14,53
22,52,112,4,30
28,57,110,7,31
26,46,96,5,41
29,43,36,4,25
29,35,22,6,25
31,42,62,4,24
32,44,77,5,36
31,43,42,4,31
11,48,143,10,59
25,56,137,15,56
31,35,20,13,135
33,49,104,2,37
28,58,131,8,28
24,47,112,26,68
9,54,148,15,67
27,54,129,19,74
34,54,181,9,34
34,45,101,6,26
29,57,141,4,29
28,45,57,7,34
15,48,115,11,71
33,49,95,6,43
37,49,73,2,107
37,35,36,4,20
19,38,92,3,19
10,37,155,24,37
16,31,72,8,22
15,38,68,5,40
29,59,155,4,65
32,56,346,13,132
17,46,244,11,123
24,42,64,10,31
33,55,129,9,43
35,46,105,5,28
31,49,140,15,51
24,41,118,9,64
33,62,203,7,29
21,43,93,7,26
19,29,30,5,14
29,42,117,8,34
4,83,501,35,163
3,67,345,27,112
3,45,153,21,65
3,40,142,18,47
7,36,81,10,30
19,37,78,7,51
2,44,213,21,80
18,48,214,13,49
5,68,465,18,112
22,43,79,7,31
24,58,392,15,89
22,38,101,9,33
21,30,32,5,21
17,58,317,28,96
3,51,249,37,87
9,44,176,15,32
29,40,204,9,48
33,31,54,4,25
30,31,38,3,27
28,46,227,8,58
4,49,289,42,109
2,47,158,21,44
4,68,472,18,105
3,51,271,14,42
13,50,288,17,67
26,41,183,9,44
35,36,54,8,32
30,39,49,7,26
26,60,143,8,51
19,48,121,8,31
