O3,NO2,NO,SO2,PM10
27,47,73,29,26
30,37,52,18,21
35,29,15,10,29
23,47,82,11,29
31,52,83,34,29
39,37,82,9,37
40,33,32,2,25
31,35,37,4,30
26,36,24,3,21
36,27,20,5,20
36,28,13,3,19
36,35,38,6,24
27,36,49,7,33
32,30,39,5,35
34,25,32,7,36
26,31,28,7,43
27,38,51,2,18
31,48,95,12,43
41,41,89,19,41
25,48,47,14,39
27,37,46,8,20
28,36,37,5,21
38,27,17,4,21
32,29,12,23,21
33,48,32,9,23
30,49,35,20,64
15,46,73,9,39
23,44,71,10,25
33,55,60,27,23
32,50,66,11,29
28,35,25,9,28
36,35,20,4,19
16,43,88,19,53
16,46,71,5,19
39,49,82,18,47
37,25,24,10,43
30,50,70,10,27
30,47,60,6,34
28,42,77,8,46
30,52,72,15,45
28,58,101,13,60
41,41,32,86,51
34,66,73,16,68
35,41,39,7,24
42,40,63,6,27
32,54,77,6,30
23,42,70,7,40
29,33,32,8,18
35,37,32,10,39
43,55,114,20,67
64,44,28,10,47
68,52,9,48,77
46,105,103,9,62
25,36,39,6,32
31,39,31,15,27
21,33,32,12,35
20,33,29,5,32
29,41,33,8,31
34,38,41,9,27
28,32,38,11,31
27,40,53,4,47
26,30,47,3,31
21,47,67,5,37
28,50,92,11,38
33,31,33,1,18
23,31,37,1,18
22,37,97,3,19
22,38,70,11,21
20,49,101,14,30
25,37,68,5,23
32,32,38,3,20
26,30,36,4,16
27,36,24,4,24
27,29,37,3,22
25,39,90,8,31
17,27,117,3,25
12,38,116,2,19
22,32,73,19,19
14,33,86,28,38
32,19,20,3,16
27,24,39,6,20
32,33,24,13,28
38,45,90,12,40
49,47,36,130,69
40,51,52,89,75
84,53,46,13,57
80,40,13,14,53
67,49,55,10,64
53,36,56,10,39
23,23,30,4,23
26,33,50,8,33
14,27,112,8,35
28,23,44,6,22
25,31,28,5,27
19,34,72,5,37
18,33,68,13,41
17,33,86,7,23
17,52,135,3,27
33,47,78,2,33
28,37,17,10,40
8,53,239,16,70
18,56,173,24,105
36,53,189,17,60
28,38,49,8,30
31,38,32,9,151
28,39,49,6,43
23,39,65,4,160
38,19,12,2,185
21,44,58,5,67
26,45,101,10,38
29,41,70,15,74
35,60,103,12,82
27,41,77,2,90
27,33,22,15,37
22,37,25,9,42
37,50,114,5,23
39,24,20,2,20
28,35,27,6,28
44,46,167,17,53
58,59,151,14,69
40,47,44,27,66
34,34,34,4,51
34,18,12,1,14
26,31,33,4,28
24,34,77,6,20
25,43,60,5,26
29,41,76,8,56
18,44,40,7,44
31,30,37,5,31
32,34,39,6,35
37,40,47,6,29
25,37,58,7,29
42,36,122,84,61
32,36,34,6,52
33,31,30,4,50
39,43,30,5,53
26,40,51,5,60
32,29,31,4,27
23,29,29,4,28
32,36,24,5,27
38,43,77,61,34
36,38,19,3,29
30,26,22,7,45
35,37,36,129,40
33,56,124,150,63
39,66,139,70,103
53,27,28,83,41
44,9,4,1,42
43,20,20,5,50
36,24,20,9,38
39,40,32,133,173
53,30,26,35,45
35,51,42,55,36
30,26,24,5,31
33,25,13,7,39
23,32,39,9,30
36,35,42,75,41
27,34,63,6,33
14,48,95,12,32
25,36,50,7,26
25,19,18,2,24
26,36,31,5,22
27,38,51,59,38
35,45,78,13,56
28,47,99,10,50
26,37,48,6,34
16,34,69,29,43
14,25,27,7,19
32,18,12,14,25
22,26,37,6,23
21,36,58,8,29
32,36,35,32,36
37,19,21,3,13
29,19,20,4,34
29,28,20,3,32
28,19,11,3,18
31,32,62,4,28
19,37,71,5,38
17,40,70,8,35
8,32,73,10,34
30,35,55,6,39
28,19,17,4,24
25,20,16,4,18
20,27,54,5,29
30,44,50,47,52
57,81,136,40,91
9,34,70,148,67
24,38,61,242,103
43,42,36,14,59
26,37,19,5,38
22,32,27,7,29
16,29,48,14,28
18,31,65,11,22
20,30,35,3,29
28,23,21,6,35
42,46,67,27,42
48,36,30,20,36
42,39,37,36,35
28,35,29,15,41
46,46,47,10,61
28,42,55,3,35
22,24,28,4,27
16,31,64,7,27
22,23,17,2,17
18,27,62,4,27
35,36,171,15,65
19,31,52,3,29
17,29,86,2,21
30,28,25,2,19
32,23,14,11,20
33,44,91,16,40
26,36,35,18,22
30,31,20,5,20
23,47,133,10,44
26,47,45,11,32
38,50,76,34,32
43,23,18,5,21
39,14,12,3,21
38,18,10,2,25
34,18,7,1,14
38,25,22,3,15
36,49,44,4,22
35,54,46,8,23
40,29,36,6,21
47,19,14,1,26
41,30,13,2,29
39,47,10,155,42
26,42,119,12,47
19,63,221,16,84
31,49,45,16,46
27,45,94,9,36
34,41,55,16,29
37,38,22,7,23
40,41,18,4,28
30,44,57,9,36
33,42,76,13,38
41,39,45,51,37
43,34,17,4,31
45,27,21,3,28
39,24,15,6,26
44,50,36,2,30
41,46,39,3,36
35,50,62,3,33
36,62,120,4,20
31,30,25,2,29
26,62,36,15,58
35,41,39,6,47
33,27,7,3,17
34,34,28,3,32
31,40,27,8,53
30,43,27,6,71
33,34,34,44,52
57,33,37,19,72
59,42,20,53,35
51,36,10,87,27
42,61,89,107,72
41,47,55,10,50
27,37,62,10,68
35,25,22,5,27
37,36,30,9,48
41,26,17,1,20
39,23,22,0,18
33,13,12,1,14
32,25,38,4,25
28,35,35,1,21
27,32,31,3,35
37,40,29,39,59
35,24,12,4,42
38,34,12,68,56
31,35,35,11,52
35,22,20,3,9
31,32,35,7,25
24,35,62,16,30
30,27,18,85,28
26,43,33,12,43
38,42,66,2,20
38,45,59,4,28
33,26,60,4,26
30,38,81,3,19
34,24,25,5,17
23,36,53,4,22
18,33,22,17,22
33,17,7,2,19
35,29,23,2,31
43,34,23,9,30
27,32,54,12,31
17,28,88,7,35
23,45,86,5,37
33,40,31,11,51
45,23,11,5,37
24,43,85,20,28
27,24,31,10,29
18,35,80,5,32
25,30,50,7,30
25,26,47,5,30
25,22,48,3,22
34,25,33,9,25
29,24,20,5,32
27,35,53,8,60
22,15,15,3,24
33,15,14,2,56
27,25,31,78,29
24,29,43,14,38
22,39,54,10,43
26,31,39,4,34
23,37,68,12,51
30,25,14,8,34
31,24,20,8,27
29,28,50,3,39
33,39,104,4,64
23,38,74,3,50
24,41,62,5,40
21,38,80,5,48
29,29,49,3,27
18,31,20,5,27
16,33,120,8,37
28,26,50,6,32
27,38,44,5,35
26,30,61,5,31
26,37,53,4,55
32,31,57,5,26
28,32,26,6,28
26,30,57,5,35
22,36,86,4,24
25,39,74,4,25
24,34,88,3,29
23,30,41,3,26
