country,year,unemp,leftseat
FINLAND,1972,2.549999952,0.829999983
FINLAND,1973,2.319999933,0.829999983
FINLAND,1974,1.74000001,0.829999983
FINLAND,1975,2.230000019,0.824999988
FINLAND,1976,3.819999933,0.824999988
FINLAND,1977,5.78000021,0.824999988
FINLAND,1978,7.110000134,0.824999988
FINLAND,1979,5.809999943,0.764999986
FINLAND,1980,4.650000095,0.764999986
FINLAND,1981,2.769999981,0.764999986
FINLAND,1982,3.130000114,0.764999986
FINLAND,1983,3.25,0.779999971
FINLAND,1984,6.159999847,0.779999971
FINLAND,1985,6.28000021,0.779999971
FINLAND,1986,7.059999943,0.779999971
FINLAND,1987,5.099999905,0.735000014
FINLAND,1988,4.25,0.735000014
FINLAND,1989,3.140000105,0.735000014
FINLAND,1990,3.200000048,0.735000014
FINLAND,1991,6.659999847,0.800000012
FINLAND,1992,11.68999958,0.800000012
FINLAND,1993,16.14999962,0.800000012
FINLAND,1994,16.34000015,0.800000012
FINLAND,1995,15.15999985,0.805000007
FINLAND,1996,14.35999966,0.805000007
FINLAND,1997,12.39999962,0.805000007
FINLAND,1998,11.38000011,0.805000007
FRANCE,1964,1.399999976,0.312999994
FRANCE,1965,1.5,0.312999994
FRANCE,1966,1.600000024,0.312999994
FRANCE,1967,2.099999905,0.404000014
FRANCE,1968,2.700000048,0.191
FRANCE,1969,2.299999952,0.191
FRANCE,1970,2.5,0.191
FRANCE,1971,2.700000048,0.191
FRANCE,1972,2.799999952,0.191
FRANCE,1973,2.700000048,0.36500001
FRANCE,1974,2.799999952,0.36500001
FRANCE,1975,4,0.36500001
FRANCE,1976,4.400000095,0.36500001
FRANCE,1977,4.900000095,0.36500001
FRANCE,1978,5.199999809,0.416999996
FRANCE,1979,5.800000191,0.416999996
FRANCE,1980,6.199999809,0.416999996
FRANCE,1981,7.400000095,0.686999977
FRANCE,1982,8.100000381,0.686999977
FRANCE,1983,8.300000191,0.686999977
FRANCE,1984,9.699999809,0.686999977
FRANCE,1985,10.19999981,0.686999977
FRANCE,1986,10.39999962,0.437000006
FRANCE,1987,10.5,0.437000006
FRANCE,1988,10,0.52700001
FRANCE,1989,9.399999619,0.52700001
FRANCE,1990,8.899999619,0.52700001
FRANCE,1991,9.399999619,0.52700001
FRANCE,1992,10.39999962,0.52700001
FRANCE,1993,11.72999954,0.140000001
FRANCE,1994,12.26000023,0.140000001
FRANCE,1995,11.59000015,0.140000001
FRANCE,1996,12.34000015,0.140000001
FRANCE,1997,12.48999977,0.140000001
FRANCE,1998,11.84000015,0.140000001
ITALY,1960,5.647999763,0.412999988
ITALY,1961,5.150000095,0.412999988
ITALY,1962,4.551000118,0.412999988
ITALY,1963,3.871000051,0.451999992
ITALY,1964,4.328999996,0.451999992
ITALY,1965,5.385000229,0.451999992
ITALY,1966,5.857999802,0.451999992
ITALY,1967,5.388999939,0.451999992
ITALY,1968,5.703000069,0.425000012
ITALY,1969,5.695000172,0.425000012
ITALY,1970,5.434999943,0.425000012
ITALY,1971,5.43900013,0.425000012
ITALY,1972,6.388000011,0.426999986
ITALY,1973,6.376999855,0.426999986
ITALY,1974,5.368999958,0.426999986
ITALY,1975,5.872000217,0.426999986
ITALY,1976,6.695000172,0.479000002
ITALY,1977,7.15500021,0.479000002
ITALY,1978,7.230000019,0.479000002
ITALY,1979,7.695000172,0.460000008
ITALY,1980,7.592000008,0.460000008
ITALY,1981,8.442000389,0.460000008
ITALY,1982,9.100000381,0.460000008
ITALY,1983,9.918999672,0.467999995
ITALY,1984,10.06000042,0.467999995
ITALY,1985,10.08699989,0.467999995
ITALY,1986,11.12300014,0.467999995
ITALY,1987,11.96500015,0.456999987
ITALY,1988,12.02600002,0.456999987
ITALY,1989,12.00599957,0.456999987
ITALY,1990,11.39299965,0.456999987
ITALY,1991,10.94200039,0.456999987
ITALY,1992,10.64999962,0.340999991
ITALY,1993,10.23799992,0.340999991
ITALY,1994,11.29100037,0.340999991
ITALY,1995,11.98400021,0.340999991
ITALY,1996,12.09200001,0.340999991
ITALY,1997,12.2510004,0.340999991
ITALY,1998,12.31700039,0.340999991
NORWAY,1972,1.679999948,0.493000001
NORWAY,1973,1.559999943,0.503000021
NORWAY,1974,1.460000038,0.503000021
NORWAY,1975,2.279999971,0.503000021
NORWAY,1976,1.789999962,0.503000021
NORWAY,1977,1.460000038,0.503000021
NORWAY,1978,1.820000052,0.503000021
NORWAY,1979,1.970000029,0.503000021
NORWAY,1980,1.659999967,0.503000021
NORWAY,1981,2,0.444999993
NORWAY,1982,2.619999886,0.444999993
NORWAY,1983,3.400000095,0.444999993
NORWAY,1984,3.140000105,0.444999993
NORWAY,1985,2.569999933,0.49000001
NORWAY,1986,1.970000029,0.49000001
NORWAY,1987,2.079999924,0.49000001
NORWAY,1988,3.180000067,0.49000001
NORWAY,1989,4.909999847,0.485000014
NORWAY,1990,5.230000019,0.485000014
NORWAY,1991,5.46999979,0.485000014
NORWAY,1992,5.920000076,0.485000014
NORWAY,1993,5.96999979,0.485000014
NORWAY,1994,5.420000076,0.485000014
NORWAY,1995,4.880000114,0.485000014
NORWAY,1996,4.829999924,0.485000014
NORWAY,1997,4.079999924,0.485000014
NORWAY,1998,3.230000019,0.485000014
SPAIN,1977,5.150000095,0.393999994
SPAIN,1978,6.960000038,0.393999994
SPAIN,1979,8.640000343,0.412
SPAIN,1980,11.46000004,0.412
SPAIN,1981,14.31000042,0.412
SPAIN,1982,16.40999985,0.588
SPAIN,1983,18.20000076,0.588
SPAIN,1984,20.13999939,0.588
SPAIN,1985,21.45000076,0.588
SPAIN,1986,21.03000069,0.546000004
SPAIN,1987,20.51000023,0.546000004
SPAIN,1988,19.48999977,0.546000004
SPAIN,1989,17.28000069,0.546000004
SPAIN,1990,16.25,0.546000004
SPAIN,1991,16.34000015,0.549000025
SPAIN,1992,18.38999939,0.549000025
SPAIN,1993,22.71999931,0.504999995
SPAIN,1994,24.15999985,0.504999995
SPAIN,1995,22.93000031,0.504999995
SPAIN,1996,22.20999908,0.463
SPAIN,1997,20.81999969,0.463
SPAIN,1998,18.80999947,0.463
SWEDEN,1962,1.480000019,0.685000002
SWEDEN,1963,1.700000048,0.685000002
SWEDEN,1964,1.580000043,0.699000001
SWEDEN,1965,1.200000048,0.699000001
SWEDEN,1966,1.549999952,0.699000001
SWEDEN,1967,2.130000114,0.699000001
SWEDEN,1968,2.200000048,0.675999999
SWEDEN,1969,1.899999976,0.675999999
SWEDEN,1970,1.50999999,0.680999994
SWEDEN,1971,2.529999971,0.680999994
SWEDEN,1972,2.720000029,0.680999994
SWEDEN,1973,2.480000019,0.597000003
SWEDEN,1974,1.980000019,0.597000003
SWEDEN,1975,1.629999995,0.597000003
SWEDEN,1976,1.610000014,0.597000003
SWEDEN,1977,1.799999952,0.597000003
SWEDEN,1978,2.230000019,0.597000003
SWEDEN,1979,2.069999933,0.606999993
SWEDEN,1980,2.269999981,0.606999993
SWEDEN,1981,2.480000019,0.606999993
SWEDEN,1982,3.200000048,0.592999995
SWEDEN,1983,3.50999999,0.592999995
SWEDEN,1984,3.130000114,0.592999995
SWEDEN,1985,2.849999905,0.656000018
SWEDEN,1986,2.660000086,0.656000018
SWEDEN,1987,2.109999895,0.656000018
SWEDEN,1988,1.779999971,0.633000016
SWEDEN,1989,1.480000019,0.633000016
SWEDEN,1990,1.669999957,0.633000016
SWEDEN,1991,2.970000029,0.536000013
SWEDEN,1992,5.25,0.536000013
SWEDEN,1993,8.229999542,0.536000013
SWEDEN,1994,7.96999979,0.59799999
SWEDEN,1995,7.699999809,0.59799999
SWEDEN,1996,8.039999962,0.59799999
SWEDEN,1997,8,0.546999991
SWEDEN,1998,6.519999981,0.546999991
UNITED KINGDOM,1960,1.620000005,0.409999996
UNITED KINGDOM,1961,1.460000038,0.409999996
UNITED KINGDOM,1962,1.950000048,0.409999996
UNITED KINGDOM,1963,2.279999971,0.409999996
UNITED KINGDOM,1964,1.669999957,0.503000021
UNITED KINGDOM,1965,1.419999957,0.503000021
UNITED KINGDOM,1966,1.480000019,0.578000009
UNITED KINGDOM,1967,2.309999943,0.578000009
UNITED KINGDOM,1968,2.420000076,0.578000009
UNITED KINGDOM,1969,2.410000086,0.578000009
UNITED KINGDOM,1970,2.569999933,0.456999987
UNITED KINGDOM,1971,2.589999914,0.456999987
UNITED KINGDOM,1972,2.869999886,0.456999987
UNITED KINGDOM,1973,2.00999999,0.456999987
UNITED KINGDOM,1974,2.00999999,0.474000007
UNITED KINGDOM,1975,3.079999924,0.501999974
UNITED KINGDOM,1976,4.179999828,0.501999974
UNITED KINGDOM,1977,4.440000057,0.501999974
UNITED KINGDOM,1978,4.349999905,0.501999974
UNITED KINGDOM,1979,4.03000021,0.423999995
UNITED KINGDOM,1980,5.079999924,0.423999995
UNITED KINGDOM,1981,8.130000114,0.423999995
UNITED KINGDOM,1982,9.539999962,0.423999995
UNITED KINGDOM,1983,10.47999954,0.321999997
UNITED KINGDOM,1984,10.68999958,0.321999997
UNITED KINGDOM,1985,10.93000031,0.321999997
UNITED KINGDOM,1986,11.14999962,0.321999997
UNITED KINGDOM,1987,9.960000038,0.351999998
UNITED KINGDOM,1988,7.980000019,0.351999998
UNITED KINGDOM,1989,6.210000038,0.351999998
UNITED KINGDOM,1990,5.769999981,0.351999998
UNITED KINGDOM,1991,8,0.351999998
UNITED KINGDOM,1992,9.720000267,0.416000009
UNITED KINGDOM,1993,10.27000046,0.416000009
UNITED KINGDOM,1994,9.319999695,0.416000009
UNITED KINGDOM,1995,8.020000458,0.635999978
UNITED KINGDOM,1996,7.309999943,0.635999978
UNITED KINGDOM,1997,5.5,0.635999978
UNITED KINGDOM,1998,4.679999828,0.635999978
UNITED STATES,1960,5.53000021,0.601999998
UNITED STATES,1961,6.690000057,0.601999998
UNITED STATES,1962,5.539999962,0.595000029
UNITED STATES,1963,5.670000076,0.595000029
UNITED STATES,1964,5.179999828,0.677999973
UNITED STATES,1965,4.519999981,0.677999973
UNITED STATES,1966,3.799999952,0.572000027
UNITED STATES,1967,3.849999905,0.572000027
UNITED STATES,1968,3.579999924,0.559000015
UNITED STATES,1969,3.50999999,0.559000015
UNITED STATES,1970,4.949999809,0.586000025
UNITED STATES,1971,5.940000057,0.586000025
UNITED STATES,1972,5.610000134,0.559000015
UNITED STATES,1973,4.880000114,0.559000015
UNITED STATES,1974,5.610000134,0.66900003
UNITED STATES,1975,8.449999809,0.66900003
UNITED STATES,1976,7.699999809,0.671000004
UNITED STATES,1977,7.059999943,0.671000004
UNITED STATES,1978,6.070000172,0.637000024
UNITED STATES,1979,5.849999905,0.637000024
UNITED STATES,1980,7.139999866,0.559000015
UNITED STATES,1981,7.610000134,0.559000015
UNITED STATES,1982,9.68999958,0.617999971
UNITED STATES,1983,9.609999657,0.617999971
UNITED STATES,1984,7.519999981,0.582000017
UNITED STATES,1985,7.199999809,0.582000017
UNITED STATES,1986,6.989999771,0.592999995
UNITED STATES,1987,6.190000057,0.592999995
UNITED STATES,1988,5.510000229,0.59799999
UNITED STATES,1989,5.260000229,0.59799999
UNITED STATES,1990,5.599999905,0.614000022
UNITED STATES,1991,6.829999924,0.614000022
UNITED STATES,1992,7.5,0.592999995
UNITED STATES,1993,6.920000076,0.592999995
UNITED STATES,1994,6.099999905,0.469000012
UNITED STATES,1995,5.599999905,0.469000012
