Weight,Feed,Time,Pig,Evit,Cu,Litter
37.79999,19.5,3,5581,3,1,10
43.29999,31.100006,4,5581,3,1,10
51.5,46.200001,5,5581,3,1,10
57,59.900002,6,5581,3,1,10
63.69998,76.1,7,5581,3,1,10
70.5,97,8,5581,3,1,10
80.39996,115,9,5581,3,1,10
92,138.800003,10,5581,3,1,10
100,158.200001,11,5581,3,1,10
106.09998,177.900002,12,5581,3,1,10
22.79999,NA,1,5850,3,1,12
27,6,2,5850,3,1,12
33.89999,18.200001,3,5850,3,1,12
37.69998,27,4,5850,3,1,12
41.39999,36.300001,5,5850,3,1,12
48.19998,48,6,5850,3,1,12
53.69998,60.200005,7,5850,3,1,12
62.59998,76.200001,8,5850,3,1,12
70.39996,93,9,5850,3,1,12
78.5,120,10,5850,3,1,12
85.89996,127.5,11,5850,3,1,12
94,146.800001,12,5850,3,1,12
23.79999,NA,1,5852,1,1,12
30,9.7,2,5852,1,1,12
37.09998,20.800003,3,5852,1,1,12
43.19998,31.200005,4,5852,1,1,12
50.39999,44.900002,5,5852,1,1,12
60.19998,61.800003,6,5852,1,1,12
67,78.200001,7,5852,1,1,12
75,94.800003,8,5852,1,1,12
82.39996,112.900002,9,5852,1,1,12
91.19995,132,10,5852,1,1,12
101.79999,160,11,5852,1,1,12
109.59998,180.100006,12,5852,1,1,12
27.39999,NA,1,6058,2,1,16
32.19998,8.1,2,6058,2,1,16
37.89999,18.3,3,6058,2,1,16
45.89999,29.900002,4,6058,2,1,16
51.19998,44.100002,5,6058,2,1,16
57.09998,58.3,6,6058,2,1,16
69,77.5,7,6058,2,1,16
76.79999,91.5,8,6058,2,1,16
83.09998,104.800003,9,6058,2,1,16
91.59998,124,10,6058,2,1,16
100.5,148.6,11,6058,2,1,16
105.29999,166.900002,12,6058,2,1,16
27.09999,NA,1,6207,3,1,17
30.29999,5.800003,2,6207,3,1,17
38.19998,17,3,6207,3,1,17
43.19998,30,4,6207,3,1,17
52.5,45,5,6207,3,1,17
59,57.200001,6,6207,3,1,17
67.29999,72.100002,7,6207,3,1,17
74.19995,90,8,6207,3,1,17
81.19995,103.200001,9,6207,3,1,17
87.5,119.5,10,6207,3,1,17
94.39996,135.200001,11,6207,3,1,17
101.39996,153.800003,12,6207,3,1,17
24.5,NA,1,6211,2,1,17
31.59999,8.1,2,6211,2,1,17
37.39999,18.1,3,6211,2,1,17
46.39999,30.100006,4,6211,2,1,17
53.59998,48.1,5,6211,2,1,17
61.19998,62.600002,6,6211,2,1,17
70.09998,76.400002,7,6211,2,1,17
77.5,96.200001,8,6211,2,1,17
86.19995,114.600002,9,6211,2,1,17
89.19995,129.800003,10,6211,2,1,17
96.89996,146.5,11,6211,2,1,17
104.5,168.3,12,6211,2,1,17
23.09999,NA,1,6284,2,1,18
26,5.900002,2,6284,2,1,18
30.09999,17.6,3,6284,2,1,18
40.69998,30.600006,4,6284,2,1,18
46.59998,41.400002,5,6284,2,1,18
52.09998,53.400002,6,6284,2,1,18
60.5,69.2,7,6284,2,1,18
73.5,90,8,6284,2,1,18
77.29999,100,9,6284,2,1,18
86.89996,108,10,6284,2,1,18
90,126,11,6284,2,1,18
96.39996,141.100006,12,6284,2,1,18
21.5,NA,1,6287,1,1,18
24.59999,5,2,6287,1,1,18
28.5,14.200001,3,6287,1,1,18
39.09998,27.800003,4,6287,1,1,18
45.29999,39.800003,5,6287,1,1,18
53,53.5,6,6287,1,1,18
59.59998,68.5,7,6287,1,1,18
69.5,87.400002,8,6287,1,1,18
75.19995,107.300003,9,6287,1,1,18
84.89996,127,10,6287,1,1,18
93.39996,146.599991,11,6287,1,1,18
99.29999,167.799992,12,6287,1,1,18
32.19998,NA,1,6433,2,1,5
36.39999,6.900002,2,6433,2,1,5
41.79999,14.300003,3,6433,2,1,5
48.19998,26.400002,4,6433,2,1,5
55.89999,41.800003,5,6433,2,1,5
60.09998,58.6,6,6433,2,1,5
68.5,71.400002,7,6433,2,1,5
77.79999,88.900002,8,6433,2,1,5
86.39996,108.100002,9,6433,2,1,5
96.69995,130.5,10,6433,2,1,5
111.09998,163,11,6433,2,1,5
115.39996,184.5,12,6433,2,1,5
24.2,NA,1,6910,2,1,13
29.2,6.200001,2,6910,2,1,13
36.19998,17.1,3,6910,2,1,13
43.09998,30,4,6910,2,1,13
49.19998,44,5,6910,2,1,13
57,56.900002,6,6910,2,1,13
63,70,7,6910,2,1,13
70.89996,85.100002,8,6910,2,1,13
80,102.300003,9,6910,2,1,13
87.19995,118.499996,10,6910,2,1,13
94.69995,135.599998,11,6910,2,1,13
100.59998,158.499996,12,6910,2,1,13
24.5,NA,1,6912,3,1,13
28.39999,7.1,2,6912,3,1,13
35,17.300001,3,6912,3,1,13
41.89999,29.5,4,6912,3,1,13
49,40.900002,5,6912,3,1,13
55.59998,54.200001,6,6912,3,1,13
64.09998,66.800003,7,6912,3,1,13
71.19995,84.5,8,6912,3,1,13
80.5,104.5,9,6912,3,1,13
90.19995,119.900002,10,6912,3,1,13
98.89996,143,11,6912,3,1,13
103.79999,164.5,12,6912,3,1,13
25.29999,NA,1,8195,3,1,21
31.59999,9.600006,2,8195,3,1,21
34,19.600006,3,8195,3,1,21
35.19998,28,4,8195,3,1,21
37.29999,41,5,8195,3,1,21
40.79999,57.400002,6,8195,3,1,21
47.69998,69,7,8195,3,1,21
57,86.300001,8,8195,3,1,21
64.59998,102.200001,9,8195,3,1,21
71.19995,118.5,10,8195,3,1,21
80.5,140.5,11,8195,3,1,21
85.89996,157.8,12,8195,3,1,21
24,NA,1,8271,2,1,22
28.89999,8.5,2,8271,2,1,22
35.79999,19.5,3,8271,2,1,22
44,30,4,8271,2,1,22
47.5,43.200001,5,8271,2,1,22
56.39999,56.6,6,8271,2,1,22
63.69998,72,7,8271,2,1,22
70.29999,89.5,8,8271,2,1,22
78,108,9,8271,2,1,22
89.19995,127.5,10,8271,2,1,22
96.29999,144.400002,11,8271,2,1,22
99.79999,158.1,12,8271,2,1,22
28.29999,NA,1,4602,1,2,1
30.09999,3.300003,2,4602,1,2,1
38.29999,13.200001,3,4602,1,2,1
44.5,26.1,4,4602,1,2,1
51.59998,43.600002,5,4602,1,2,1
57.59998,55.200001,6,4602,1,2,1
65,72.800003,7,4602,1,2,1
73,90.800003,8,4602,1,2,1
82.29999,112.200001,9,4602,1,2,1
91,132.900002,10,4602,1,2,1
99.69995,156.1,11,4602,1,2,1
106.69995,180,12,4602,1,2,1
31.5,NA,1,4605,2,2,1
34.79999,6.5,2,4605,2,2,1
40.69998,20,3,4605,2,2,1
47.69998,33.100002,4,4605,2,2,1
55.89999,51.800003,5,4605,2,2,1
62.19998,65.800003,6,4605,2,2,1
70.69995,81.700005,7,4605,2,2,1
78,97,8,4605,2,2,1
86.19995,115.300003,9,4605,2,2,1
94.69995,133.100002,10,4605,2,2,1
102,151,11,4605,2,2,1
109.19995,176.400002,12,4605,2,2,1
27.7,NA,1,4645,3,2,2
33.59998,10,2,4645,3,2,2
44,28.5,3,4645,3,2,2
46.69998,40,4,4645,3,2,2
54.79999,55.200001,5,4645,3,2,2
61,69,6,4645,3,2,2
69.79999,88,7,4645,3,2,2
76,104.400002,8,4645,3,2,2
83.59998,121.800003,9,4645,3,2,2
88.19995,140,10,4645,3,2,2
96.79999,157.200001,11,4645,3,2,2
102.29999,180,12,4645,3,2,2
22.59999,NA,1,4759,3,2,3
28.5,10.600006,2,4759,3,2,3
32.69998,21.100006,3,4759,3,2,3
39.89999,33.300003,4,4759,3,2,3
47.59998,47.1,5,4759,3,2,3
53.79999,63.400002,6,4759,3,2,3
63,80.800003,7,4759,3,2,3
67.19995,98.100002,8,4759,3,2,3
74.09998,111.900002,9,4759,3,2,3
80,128.900002,10,4759,3,2,3
89.39996,152.100002,11,4759,3,2,3
93.5,171.700005,12,4759,3,2,3
27.29999,NA,1,4813,1,2,4
32.39999,10.300003,2,4813,1,2,4
38.29999,22.800003,3,4813,1,2,4
45.79999,40.200005,4,4813,1,2,4
53.79999,53.700005,5,4813,1,2,4
60,72.700005,6,4813,1,2,4
68.69995,92.900005,7,4813,1,2,4
75.79999,114.700005,8,4813,1,2,4
80.79999,132.800003,9,4813,1,2,4
86.79999,138.100006,10,4813,1,2,4
91.39996,159.900005,11,4813,1,2,4
99.79999,182.100006,12,4813,1,2,4
26.2,NA,1,4814,2,2,4
31.09999,9.900002,2,4814,2,2,4
34.59998,19.600006,3,4814,2,2,4
41.19998,30,4,4814,2,2,4
49.19998,37.400002,5,4814,2,2,4
55.59998,57.200005,6,4814,2,2,4
62.59998,76.200005,7,4814,2,2,4
72.09998,93.000004,8,4814,2,2,4
77.5,109.800003,9,4814,2,2,4
83.79999,127.400002,10,4814,2,2,4
93.39996,148.900002,11,4814,2,2,4
98.39996,174.400002,12,4814,2,2,4
28,NA,1,4858,2,2,6
31.2,8,2,4858,2,2,6
38.79999,16.700005,3,4858,2,2,6
44.69998,31.800003,4,4858,2,2,6
53.59998,50.500004,5,4858,2,2,6
59.19998,71.100006,6,4858,2,2,6
67.09998,87.100006,7,4858,2,2,6
76.39996,107.300003,8,4858,2,2,6
83.79999,133.200005,9,4858,2,2,6
71.59998,163.100006,10,4858,2,2,6
97.39996,190.800003,11,4858,2,2,6
107.09998,219.800003,12,4858,2,2,6
24.59999,NA,1,5392,3,2,7
25.79999,7.700001,2,5392,3,2,7
28.59999,19.999996,3,5392,3,2,7
30.39999,29.999996,4,5392,3,2,7
36.09998,39.999996,5,5392,3,2,7
36.09998,47.499996,6,5392,3,2,7
49.29999,62.499996,7,5392,3,2,7
57.89999,76.799999,8,5392,3,2,7
63,89.499996,9,5392,3,2,7
75.69995,104.999996,10,5392,3,2,7
81.39996,123.999996,11,5392,3,2,7
88.69995,142.799997,12,5392,3,2,7
17,NA,1,5500,1,2,8
19,5.200001,2,5500,1,2,8
23,18.5,3,5500,1,2,8
29.39999,32.800003,4,5500,1,2,8
34.59998,43.800003,5,5500,1,2,8
40.59998,55.800003,6,5500,1,2,8
46.59998,71.400002,7,5500,1,2,8
54,87,8,5500,1,2,8
62.5,103.800003,9,5500,1,2,8
70,124.800003,10,5500,1,2,8
78.29999,147.300001,11,5500,1,2,8
83.19995,160.800003,12,5500,1,2,8
22,NA,1,5862,1,2,11
25.79999,8.5,2,5862,1,2,11
29.2,15.800003,3,5862,1,2,11
35.79999,25.900002,4,5862,1,2,11
41.09998,37.6,5,5862,1,2,11
50,48.200005,6,5862,1,2,11
55.19998,62,7,5862,1,2,11
62.19998,76.5,8,5862,1,2,11
69.79999,90.100002,9,5862,1,2,11
76.39996,107.100006,10,5862,1,2,11
83.19995,126.2,11,5862,1,2,11
93.19995,147.700005,12,5862,1,2,11
22,NA,1,5865,3,2,11
27,8.8,2,5865,3,2,11
32.89999,18.900001,3,5865,3,2,11
38,29.200005,4,5865,3,2,11
46.19998,43.600002,5,5865,3,2,11
53.5,58.1,6,5865,3,2,11
58.59998,73.400002,7,5865,3,2,11
68.19995,90,8,5865,3,2,11
71,104.800003,9,5865,3,2,11
80.79999,120.200005,10,5865,3,2,11
84.5,134.800003,11,5865,3,2,11
90,146.300001,12,5865,3,2,11
26.2,NA,1,6055,3,2,16
30.39999,6.900002,2,6055,3,2,16
37.39999,18.200001,3,6055,3,2,16
43,30.600006,4,6055,3,2,16
49.5,42.100002,5,6055,3,2,16
55.09998,62.200001,6,6055,3,2,16
64.19995,87.200001,7,6055,3,2,16
75.59998,106.900002,8,6055,3,2,16
83.29999,122.100002,9,6055,3,2,16
87.39996,148.4,10,6055,3,2,16
94.69995,170.100006,11,6055,3,2,16
98.39996,190.800003,12,6055,3,2,16
26.79999,NA,1,6208,1,2,17
31.09999,6.1,2,6208,1,2,17
37.79999,14.900002,3,6208,1,2,17
44.59998,28.5,4,6208,1,2,17
50.5,40.5,5,6208,1,2,17
58.29999,55.200001,6,6208,1,2,17
68.29999,73.700001,7,6208,1,2,17
75.09998,92.5,8,6208,1,2,17
84.39996,111.200005,9,6208,1,2,17
87.29999,129,10,6208,1,2,17
96.39996,145.800003,11,6208,1,2,17
104.39996,165.5,12,6208,1,2,17
24.09999,NA,1,6288,3,2,18
28.09999,6.200001,2,6288,3,2,18
32.5,15.900002,3,6288,3,2,18
40.59998,30.800003,4,6288,3,2,18
46,40.900002,5,6288,3,2,18
53.79999,52.100002,6,6288,3,2,18
61.19998,68.5,7,6288,3,2,18
71.89996,85.400002,8,6288,3,2,18
79.5,103.100002,9,6288,3,2,18
87.39996,119.5,10,6288,3,2,18
93.29999,141,11,6288,3,2,18
101.59998,161.800003,12,6288,3,2,18
25.09999,NA,1,6432,2,2,5
23.2,4,2,6432,2,2,5
28.89999,11.100006,3,6432,2,2,5
36.79999,21,4,6432,2,2,5
44.19998,31,5,6432,2,2,5
52.79999,56.300003,6,6432,2,2,5
62.19998,69.100006,7,6432,2,2,5
69.39996,87.200001,8,6432,2,2,5
78.09998,106.300003,9,6432,2,2,5
88.79999,129.5,10,6432,2,2,5
102.39996,159.5,11,6432,2,2,5
106.79999,197.400002,12,6432,2,2,5
24.7,NA,1,6909,3,2,13
28.89999,5.900002,2,6909,3,2,13
34.59998,15,3,6909,3,2,13
42.19998,26.6,4,6909,3,2,13
48.19998,38,5,6909,3,2,13
54.39999,50.900002,6,6909,3,2,13
62.5,65.100002,7,6909,3,2,13
69.79999,80,8,6909,3,2,13
78.59998,100.5,9,6909,3,2,13
87,116.900002,10,6909,3,2,13
96.39996,137.900002,11,6909,3,2,13
103.19995,158.5,12,6909,3,2,13
22,NA,1,8049,1,2,20
26.59999,9.5,2,8049,1,2,20
33.09998,19.900002,3,8049,1,2,20
38.39999,31,4,8049,1,2,20
46.59998,44.900002,5,8049,1,2,20
52.29999,63.800003,6,8049,1,2,20
61.5,78,7,8049,1,2,20
69.29999,96,8,8049,1,2,20
74.19995,116,9,8049,1,2,20
80.19995,137.6,10,8049,1,2,20
87.19995,162.100002,11,8049,1,2,20
94.79999,198,12,8049,1,2,20
30.59999,NA,1,8051,2,2,20
37.59998,11.200005,2,8051,2,2,20
42.79999,21,3,8051,2,2,20
47.39999,31.100006,4,8051,2,2,20
56.59998,47,5,8051,2,2,20
62.39999,65,6,8051,2,2,20
71.79999,78,7,8051,2,2,20
78,95.800003,8,8051,2,2,20
86.79999,115.800003,9,8051,2,2,20
94.19995,138,10,8051,2,2,20
101.89996,166.5,11,8051,2,2,20
112.5,196.900002,12,8051,2,2,20
24.2,NA,1,8141,3,2,23
25.39999,3.900002,2,8141,3,2,23
30.7,13.300003,3,8141,3,2,23
35.59998,24.600002,4,8141,3,2,23
42.79999,38.5,5,8141,3,2,23
49.5,53,6,8141,3,2,23
57.19998,67.6,7,8141,3,2,23
65.59998,83,8,8141,3,2,23
72.39996,99,9,8141,3,2,23
81.19995,116,10,8141,3,2,23
85.19995,135.400002,11,8141,3,2,23
90.19995,153,12,8141,3,2,23
25.2,NA,1,8142,1,2,23
29.79999,9,2,8142,1,2,23
35.69998,21,3,8142,1,2,23
42,31.300003,4,8142,1,2,23
50,44,5,8142,1,2,23
55.89999,57.800001,6,8142,1,2,23
63.5,73.100002,7,8142,1,2,23
70,89.5,8,8142,1,2,23
79.5,105.400002,9,8142,1,2,23
83.59998,122.200001,10,8142,1,2,23
89.39996,138.5,11,8142,1,2,23
98.5,156.400002,12,8142,1,2,23
23.5,NA,1,8144,2,2,23
25.89999,7.200001,2,8144,2,2,23
32.19998,19.5,3,8144,2,2,23
32.39999,25.800003,4,8144,2,2,23
29.79999,29.5,5,8144,2,2,23
32.79999,34,6,8144,2,2,23
41,50,7,8144,2,2,23
50,66.700001,8,8144,2,2,23
56.89999,80.700005,9,8144,2,2,23
64.79999,96,10,8144,2,2,23
72.09998,111.200005,11,8144,2,2,23
81.39996,131.400002,12,8144,2,2,23
26.59999,NA,1,8191,2,2,21
33,10,2,8191,2,2,21
38.19998,20,3,8191,2,2,21
46.39999,30,4,8191,2,2,21
53.19998,40,5,8191,2,2,21
59.59998,60,6,8191,2,2,21
66.19995,82.100002,7,8191,2,2,21
72.59998,99.5,8,8191,2,2,21
80.09998,120,9,8191,2,2,21
89,139,10,8191,2,2,21
97.69995,162.800003,11,8191,2,2,21
103,185.800003,12,8191,2,2,21
29.29999,NA,1,8193,3,2,21
34,10.5,2,8193,3,2,21
39,20.200005,3,8193,3,2,21
45.39999,34.800003,4,8193,3,2,21
51.79999,51,5,8193,3,2,21
58.79999,70,6,8193,3,2,21
62.59998,86.200001,7,8193,3,2,21
71.59998,103,8,8193,3,2,21
76.69995,111,9,8193,3,2,21
81.69995,132,10,8193,3,2,21
86.39996,157.800001,11,8193,3,2,21
92.09998,178,12,8193,3,2,21
25,NA,1,8273,1,2,22
30.09999,8,2,8273,1,2,22
37.09998,20,3,8273,1,2,22
46,33.800003,4,8273,1,2,22
53.59998,48.5,5,8273,1,2,22
61.09998,67,6,8273,1,2,22
69,83,7,8273,1,2,22
78.19995,102,8,8273,1,2,22
87.09998,119,9,8273,1,2,22
94.39996,145.5,10,8273,1,2,22
102.5,163.400002,11,8273,1,2,22
107.5,183.800001,12,8273,1,2,22
27,NA,1,8437,2,2,24
30,6.800003,2,8437,2,2,24
35.39999,16.400002,3,8437,2,2,24
41,28.300001,4,8437,2,2,24
48.59998,41,5,8437,2,2,24
56.39999,54.900002,6,8437,2,2,24
63,70.5,7,8437,2,2,24
75.5,88.5,8,8437,2,2,24
77.79999,103.300003,9,8437,2,2,24
85.79999,119.5,10,8437,2,2,24
95,124.5,11,8437,2,2,24
101.39996,143.7,12,8437,2,2,24
27.59999,NA,1,4603,3,3,1
30.59999,6.700005,2,4603,3,3,1
38.69998,17.6,3,4603,3,3,1
47.19998,32.800003,4,4603,3,3,1
54.09998,50,5,4603,3,3,1
61.5,64.600002,6,4603,3,3,1
68.5,80.5,7,4603,3,3,1
75.19995,91.800003,8,4603,3,3,1
81.69995,110.200005,9,4603,3,3,1
90.19995,125.600002,10,4603,3,3,1
98.39996,145,11,4603,3,3,1
105.39996,166,12,4603,3,3,1
27.09999,NA,1,4641,2,3,2
33,5.200001,2,4641,2,3,2
42.5,22.5,3,4641,2,3,2
50.09998,38.5,4,4641,2,3,2
56.5,53.300003,5,4641,2,3,2
63,69.8,6,4641,2,3,2
72.5,85.100002,7,4641,2,3,2
80.5,101.100006,8,4641,2,3,2
92,121.400002,9,4641,2,3,2
100,142.200001,10,4641,2,3,2
108.39996,157,11,4641,2,3,2
117,180,12,4641,2,3,2
15,NA,1,4760,1,3,3
19.39999,7.900002,2,4760,1,3,3
21.39999,15,3,4760,1,3,3
25.29999,22.100002,4,4760,1,3,3
31.89999,29.900002,5,4760,1,3,3
37.59998,41.800003,6,4760,1,3,3
43.69998,57.600006,7,4760,1,3,3
48.89999,69.5,8,4760,1,3,3
53.69998,83.800003,9,4760,1,3,3
59.29999,93.200001,10,4760,1,3,3
64.89996,107.900002,11,4760,1,3,3
65.79999,117.300003,12,4760,1,3,3
24.89999,NA,1,4815,2,3,4
29.7,9.5,2,4815,2,3,4
33.79999,19,3,4815,2,3,4
38.79999,32,4,4815,2,3,4
48.29999,45.5,5,4815,2,3,4
52.89999,59.100006,6,4815,2,3,4
65,80.100006,7,4815,2,3,4
70.39996,104.600002,8,4815,2,3,4
76.79999,130,9,4815,2,3,4
83.29999,149,10,4815,2,3,4
95,175.600006,11,4815,2,3,4
102.69995,203.500008,12,4815,2,3,4
24.59999,NA,1,4817,1,3,4
28,9,2,4817,1,3,4
34.59998,19.900002,3,4817,1,3,4
41.5,33.900002,4,4817,1,3,4
49.69998,47.000004,5,4817,1,3,4
56.5,65.200001,6,4817,1,3,4
66.89996,83.300003,7,4817,1,3,4
75.79999,106.400002,8,4817,1,3,4
84.59998,125.900002,9,4817,1,3,4
91,144.000004,10,4817,1,3,4
98.79999,168.200001,11,4817,1,3,4
107.19995,178.200001,12,4817,1,3,4
26,NA,1,4857,1,3,6
34.5,8.5,2,4857,1,3,6
40.39999,19.200005,3,4857,1,3,6
45,29,4,4857,1,3,6
53.5,45,5,4857,1,3,6
60.19998,62.300003,6,4857,1,3,6
68.59998,89.700005,7,4857,1,3,6
73.39996,101.800003,8,4857,1,3,6
78.5,112.700003,9,4857,1,3,6
86,135.300007,10,4857,1,3,6
90.59998,154.100002,11,4857,1,3,6
97.19995,168.700005,12,4857,1,3,6
24.29999,NA,1,5389,3,3,7
28.39999,5.400002,2,5389,3,3,7
36,20,3,5389,3,3,7
40.29999,30.300003,4,5389,3,3,7
46.19998,41.800003,5,5389,3,3,7
51.89999,54.800003,6,5389,3,3,7
58.09998,69.000002,7,5389,3,3,7
62.59998,83.800005,8,5389,3,3,7
68.19995,97.200002,9,5389,3,3,7
78.39996,114.200003,10,5389,3,3,7
87.5,131.100004,11,5389,3,3,7
90.39996,147.000002,12,5389,3,3,7
30,NA,1,5501,2,3,8
34.69998,10,2,5501,2,3,8
42.79999,22.5,3,5501,2,3,8
48.39999,35.200001,4,5501,2,3,8
53.29999,45.800003,5,5501,2,3,8
60,60,6,5501,2,3,8
71.09998,75.200001,7,5501,2,3,8
77.39996,92.800003,8,5501,2,3,8
86,110,9,5501,2,3,8
94.5,128,10,5501,2,3,8
102,149.5,11,5501,2,3,8
104.59998,160,12,5501,2,3,8
26.59999,NA,1,5527,2,3,9
28.2,10,2,5527,2,3,9
38.39999,30,3,5527,2,3,9
45.79999,50,4,5527,2,3,9
54.89999,60,5,5527,2,3,9
60.09998,78.5,6,5527,2,3,9
56.89999,86.200001,7,5527,2,3,9
64.89996,102.900002,8,5527,2,3,9
74,121.799988,9,5527,2,3,9
81.89996,136.999992,10,5527,2,3,9
90.89996,136.999992,11,5527,2,3,9
27.09999,NA,1,5578,2,3,10
34.69998,11.100002,2,5578,2,3,10
40.69998,29.900002,3,5578,2,3,10
47.59998,45.300001,4,5578,2,3,10
56.5,65.6,5,5578,2,3,10
64,84.800001,6,5578,2,3,10
72.29999,107,7,5578,2,3,10
82,135.1,8,5578,2,3,10
88,155.5,9,5578,2,3,10
95.09998,177.900002,10,5578,2,3,10
104,201.5,11,5578,2,3,10
105.69995,224.5,12,5578,2,3,10
29.5,NA,1,5582,3,3,10
31.39999,6.800001,2,5582,3,3,10
39.39999,19.6,3,5582,3,3,10
44.79999,30.300003,4,5582,3,3,10
50.29999,41.400002,5,5582,3,3,10
57,55,6,5582,3,3,10
65.59998,71,7,5582,3,3,10
72.39996,86.800001,8,5582,3,3,10
80.19995,105.200001,9,5582,3,3,10
90.39996,127.800001,10,5582,3,3,10
95,149.5,11,5582,3,3,10
99.09998,167.5,12,5582,3,3,10
22.29999,NA,1,5851,3,3,12
24.7,5.900002,2,5851,3,3,12
30.39999,15,3,5851,3,3,12
36.89999,25.200001,4,5851,3,3,12
44.09998,39,5,5851,3,3,12
52.79999,56,6,5851,3,3,12
60.29999,71.100006,7,5851,3,3,12
67.79999,86.5,8,5851,3,3,12
75.39996,106.300001,9,5851,3,3,12
87.59998,127.599991,10,5851,3,3,12
93,137.599991,11,5851,3,3,12
101.39996,157.599991,12,5851,3,3,12
22,NA,1,5866,2,3,11
