sex,age,educyr,farm,urban,hhsize,lntotal,lnmed,lnrlfood,lnexp12m,commune
male,45,6,no,yes,5,9.420082,0,8.938323,NA,4
male,59,15,no,yes,9,10.96626,5.703783,10.22522,5.703783,4
male,47,17,no,yes,4,10.76389,0,9.747976,NA,4
male,72,12,no,yes,4,9.8265,8.170752,8.77544,8.170752,4
male,64,6,no,yes,7,10.28096,7.265429,9.102395,7.265429,4
male,59,14,no,yes,5,10.36647,7.007601,8.791129,7.007601,4
female,41,15,no,yes,4,9.851154,4.919981,8.89786,4.919981,4
male,41,10,no,yes,5,10.77416,7.928766,9.404359,7.928766,4
male,51,9,no,yes,4,10.08527,7.17012,8.479325,7.17012,4
male,58,15,no,yes,2,9.340963,3.258096,8.264834,3.258096,4
female,54,3,no,yes,8,9.396284,8.34284,8.853419,8.34284,4
male,66,21,no,yes,3,10.88166,0,9.90076,NA,4
male,67,5,no,yes,5,10.07702,7.030858,8.86834,7.030858,4
male,44,15,no,yes,4,9.695097,3.688879,8.931787,3.688879,5
male,42,13,no,yes,4,10.10334,5.480639,9.295817,5.480639,5
male,38,10,no,yes,4,9.26652,4.762174,8.745057,4.762174,5
male,40,15,no,yes,5,11.58789,4.820282,8.936273,4.820282,5
female,33,17,no,yes,2,10.48151,4.276666,9.124621,4.276666,5
female,40,12,no,yes,1,9.255521,0,8.452319,NA,5
female,67,5,no,yes,2,9.107155,3.663562,8.51474,3.663562,5
male,36,5,no,yes,3,10.01213,9.380083,9.102008,9.380083,5
male,62,5,no,yes,5,9.411354,0,8.922558,NA,5
male,43,13,no,yes,6,10.69483,5.459586,9.507874,5.459586,5
male,37,14,no,yes,6,10.78638,7.374002,9.973893,7.374002,5
male,45,14,no,yes,4,9.101707,8.086411,8.180567,8.086411,5
male,60,12,no,yes,4,9.714648,0,8.888462,NA,5
male,35,13,no,yes,3,9.450661,5.129899,8.816115,5.129899,5
female,44,15,no,yes,8,10.62474,6.966024,9.756975,6.966024,5
female,56,5,no,yes,4,8.512614,6.727432,7.817482,6.727432,5
female,55,13,no,yes,3,9.741948,5.204007,8.658974,5.204007,5
male,71,5,no,yes,4,11.3081,10.63706,9.325816,10.63706,5
male,29,12,no,yes,4,11.12546,5.170484,9.687456,5.170484,5
male,36,9,no,yes,4,10.58163,3.688879,9.598845,3.688879,5
male,50,20,no,yes,5,9.776107,5.659482,9.066874,5.659482,5
male,37,15,no,yes,4,9.89735,5.587249,9.116706,5.587249,5
male,59,15,no,yes,3,9.226424,4.644391,8.763719,4.644391,5
female,59,15,no,yes,2,10.53063,7.086738,8.774417,7.086738,5
female,59,15,no,yes,1,8.255619,5.509388,7.47966,5.509388,5
male,55,16,no,yes,5,11.12123,0,9.658056,NA,5
male,48,14,no,yes,6,11.39671,7.352441,10.07189,7.352441,5
male,40,13,no,yes,6,10.96102,8.129765,10.057,8.129765,5
male,39,9,no,yes,2,9.155262,7.87093,8.341438,7.87093,5
female,86,0,no,yes,2,9.101043,6.572282,8.476148,6.572282,5
male,36,15,no,yes,7,11.19345,0,10.23994,NA,5
female,23,12,no,yes,2,9.601301,0,8.723282,NA,5
male,65,3,no,yes,8,10.16326,7.146772,9.391175,7.146772,6
female,48,9,no,yes,9,10.44917,6.278522,9.599632,6.278522,6
female,30,14,no,yes,1,9.053176,0,8.309384,NA,6
female,48,5,no,yes,5,9.332512,4.174387,8.571616,4.174387,6
female,70,0,no,yes,2,9.35413,6.120297,8.701474,6.120297,6
female,66,0,yes,yes,3,9.937752,8.37908,8.81878,8.37908,6
male,61,15,yes,yes,3,9.185084,0,8.712274,NA,6
male,66,1,yes,yes,4,9.812103,7.897668,8.964512,7.897668,6
male,69,3,yes,yes,2,9.024903,4.174387,8.294853,4.174387,6
male,46,9,yes,yes,5,9.857603,3.258096,9.177209,3.258096,6
female,60,15,no,yes,7,10.27054,7.732369,9.501825,7.732369,6
female,67,1,yes,yes,2,8.963704,8.307953,8.129719,8.307953,6
female,46,14,no,yes,3,9.945903,6.049734,8.955443,6.049734,6
male,72,6,yes,yes,2,9.147052,8.173293,8.10886,8.173293,6
female,81,2,no,yes,5,10.22248,4.356709,9.324412,4.356709,6
male,41,9,no,yes,4,10.09041,8.003029,9.050731,8.003029,6
female,43,15,no,yes,5,10.51935,7.506592,9.420379,7.506592,6
female,56,13,no,yes,3,9.000914,5.897154,8.361294,5.897154,6
male,36,12,no,yes,4,9.966584,9.558883,8.973536,9.558883,6
female,68,5,yes,yes,2,9.386169,6.841616,8.584972,6.841616,6
female,44,16,no,yes,3,11.07431,0,9.742034,NA,6
female,39,4,no,yes,3,8.899133,5.860786,8.212008,5.860786,6
male,50,21,no,yes,4,10.05853,0,8.858182,NA,6
female,56,6,no,yes,4,10.23494,7.189922,9.276206,7.189922,6
female,69,5,no,yes,5,9.908177,6.921658,9.480259,6.921658,6
male,59,12,no,yes,1,9.054676,6.675823,8.340482,6.675823,6
female,39,14,no,yes,4,10.59967,0,10.01676,NA,6
female,72,0,yes,yes,1,8.108747,4.356709,7.613258,4.356709,6
male,35,9,yes,yes,3,9.494624,7.233455,8.642958,7.233455,6
female,55,3,yes,yes,3,8.930502,6.120297,8.346847,6.120297,6
female,40,15,no,yes,1,8.367796,5.560682,7.738949,5.560682,6
male,42,12,no,yes,4,9.714996,6.476973,8.361676,6.476973,6
male,55,13,no,yes,1,9.535748,8.23483,8.565777,8.23483,7
male,44,12,no,yes,4,10.76982,6.390241,9.732168,6.390241,7
female,67,2,no,yes,2,9.563849,9.192177,8.432679,9.192177,7
male,73,9,no,yes,6,10.49625,6.543912,9.358986,6.543912,7
female,29,11,no,yes,1,9.710143,0,8.489145,NA,7
male,60,19,no,yes,4,10.81269,7.244227,9.542227,7.244227,7
male,40,16,no,yes,4,10.15017,7.828038,9.218749,7.828038,7
female,78,4,no,yes,4,11.41007,10.76215,10.22517,10.76215,7
female,62,5,no,yes,7,10.55321,6.349139,9.756703,6.349139,7
female,65,2,no,yes,2,9.332017,0,8.601877,NA,7
female,45,4,no,yes,4,11.06855,5.966147,9.859741,5.966147,7
female,62,11,no,yes,2,9.748851,6.659294,9.075052,6.659294,7
female,58,7,no,yes,6,10.39885,8.064636,9.271217,8.064636,7
male,37,12,no,yes,3,10.66817,6.813445,9.345983,6.813445,7
male,24,11,no,yes,4,9.536281,7.17012,8.735018,7.17012,7
female,29,8,no,yes,5,11.45139,7.575585,9.809935,7.575585,7
male,48,9,no,yes,5,10.83892,9.350102,9.452258,9.350102,7
male,69,6,no,yes,7,10.48496,8.087948,9.345307,8.087948,7
female,62,2,no,yes,4,9.746814,6.476973,9.058706,6.476973,7
male,39,9,no,yes,9,11.2093,8.144679,9.902415,8.144679,7
male,29,12,no,yes,3,9.913162,8.268732,8.907179,8.268732,7
female,41,9,no,yes,10,10.30391,8.800716,9.512152,8.800716,7
female,65,2,no,yes,6,9.027477,5.560682,8.281157,5.560682,7
male,30,8,no,yes,5,10.27306,7.01661,9.341349,7.01661,7
male,31,11,no,yes,3,10.51107,3.401197,9.518895,3.401197,7
female,40,3,no,yes,3,9.57174,5.783825,8.916218,5.783825,7
male,33,12,no,yes,4,10.31119,8.026497,9.316973,8.026497,7
male,47,9,no,yes,4,10.55866,5.247024,9.278664,5.247024,7
female,43,15,no,yes,5,10.70302,6.824374,9.556395,6.824374,7
male,67,10,no,yes,9,11.33872,8.633375,10.1513,8.633375,8
female,57,6,no,yes,4,9.875272,0,9.077758,NA,8
female,38,15,no,yes,3,10.59038,7.876638,9.289557,7.876638,8
female,61,17,no,yes,3,10.10402,10.50232,8.737172,10.50232,8
female,71,20,no,yes,1,9.702864,8.737132,7.74834,8.737132,8
male,72,6,no,yes,3,10.01061,5.700444,9.013654,5.700444,8
female,83,12,no,yes,4,10.66506,9.261984,8.71826,9.261984,8
female,69,15,no,yes,1,9.691852,6.733402,8.233984,6.733402,8
female,57,20,no,yes,4,11.05357,0,9.906225,NA,8
male,71,12,no,yes,3,10.49037,9.50301,9.078898,9.50301,8
female,57,2,no,yes,2,10.83654,5.560682,9.001134,5.560682,8
female,71,2,no,yes,1,9.342093,5.783825,8.382802,5.783825,8
female,57,5,no,yes,4,10.5856,9.057189,9.029737,9.057189,8
female,60,3,no,yes,4,10.73953,9.655026,9.130788,9.655026,8
female,52,10,no,yes,1,9.048426,0,7.713206,NA,8
female,72,9,no,yes,4,9.76881,9.134431,8.145778,9.134431,8
female,59,17,no,yes,5,10.39512,4.867535,9.274341,4.867535,8
female,43,13,no,yes,4,10.70406,0,9.870637,NA,8
male,39,12,no,yes,4,9.811681,3.258096,8.579771,3.258096,8
male,52,15,no,yes,4,10.20809,8.213923,9.023857,8.213923,8
male,39,12,no,yes,3,10.57659,8.422882,9.31632,8.422882,8
male,81,13,no,yes,2,9.423822,5.966147,8.722687,5.966147,8
female,52,9,no,yes,6,11.37382,8.462103,10.04655,8.462103,8
male,40,12,no,yes,7,11.12855,6.572282,10.18196,6.572282,8
female,32,9,no,yes,4,10.50561,7.409136,8.874412,7.409136,8
female,57,5,no,yes,8,11.13393,7.286192,10.02748,7.286192,8
male,69,9,no,yes,4,10.1709,5.560682,8.908482,5.560682,8
male,43,15,no,yes,3,10.29823,8.468213,8.523679,8.468213,8
male,36,10,no,yes,4,10.52833,8.922658,9.357363,8.922658,8
male,45,9,no,yes,1,9.308287,4.762174,8.215306,4.762174,8
female,82,0,no,yes,1,9.159477,7.828038,8.189572,7.828038,8
female,45,16,no,yes,2,10.40084,0,9.218575,NA,8
male,49,9,no,yes,5,10.46944,0,9.661238,NA,9
male,56,9,no,yes,6,10.19795,6.030685,9.476794,6.030685,9
female,37,7,no,yes,3,10.0602,0,8.942094,NA,9
male,51,12,no,yes,8,11.09154,9.655026,9.881306,9.655026,9
male,40,12,no,yes,4,10.65511,0,9.464867,NA,9
female,76,0,no,yes,3,9.142282,0,8.633348,NA,9
male,51,10,no,yes,2,9.419307,0,8.863325,NA,9
male,44,2,no,yes,5,9.701476,6.907755,8.767295,6.907755,9
female,54,0,no,yes,2,8.913054,4.867535,8.383044,4.867535,9
female,27,3,no,yes,4,9.315919,6.946976,8.691836,6.946976,9
female,57,11,no,yes,1,8.813009,5.298317,8.222385,5.298317,9
male,75,2,no,yes,4,9.785237,7.791523,9.109826,7.791523,9
female,51,4,no,yes,6,10.10839,7.470224,9.397281,7.470224,9
female,66,5,no,yes,2,10.76089,0,9.119858,NA,9
female,57,5,no,yes,4,10.65935,5.966147,9.588074,5.966147,9
male,49,12,no,yes,6,11.07976,6.511745,10.2003,6.511745,9
female,47,1,no,yes,5,9.564347,5.966147,9.075487,5.966147,9
male,44,6,no,yes,3,10.18856,4.867535,9.106673,4.867535,9
female,74,0,no,yes,5,9.837803,5.560682,8.935328,5.560682,9
female,65,7,no,yes,3,10.54663,8.467583,9.814427,8.467583,9
male,29,6,no,yes,1,9.160284,6.253829,8.453314,6.253829,9
male,56,8,no,yes,8,11.33284,7.790696,10.20249,7.790696,9
male,51,12,no,yes,5,10.48378,0,9.632895,NA,9
female,56,8,no,yes,4,11.12194,10.41148,9.40716,10.41148,9
male,42,12,no,yes,5,11.16405,7.909857,9.58703,7.909857,9
female,67,5,no,yes,4,10.21198,9.339173,9.224401,9.339173,9
female,42,7,no,yes,5,10.52521,6.476973,9.58674,6.476973,9
female,51,3,no,yes,5,9.645153,0,9.187642,NA,9
male,67,12,no,yes,4,10.34637,7.04316,9.243044,7.04316,9
female,44,12,no,yes,4,10.08474,6.708084,9.230339,6.708084,9
female,32,5,no,yes,4,9.802962,4.356709,8.793983,4.356709,10
female,38,5,no,yes,6,9.884301,8.620832,8.915448,8.620832,10
female,56,5,no,yes,4,9.47582,5.783825,8.783358,5.783825,10
male,65,2,no,yes,2,9.439076,5.966147,8.757645,5.966147,10
male,67,4,no,yes,7,11.62312,5.337538,10.28439,5.337538,10
male,44,8,no,yes,3,9.620477,7.352441,8.906183,7.352441,10
female,43,12,no,yes,4,10.38993,9.341456,8.956608,9.341456,10
female,64,3,no,yes,3,10.33027,8.086411,9.221095,8.086411,10
male,46,6,no,yes,4,9.87848,3.258096,8.769462,3.258096,10
male,60,9,no,yes,1,10.42189,5.966147,8.801135,5.966147,10
female,55,4,no,yes,4,9.992698,0,8.950769,NA,10
male,32,12,no,yes,7,10.81499,8.004366,9.503819,8.004366,10
female,34,12,no,yes,4,10.13142,6.739336,9.26492,6.739336,10
male,58,6,no,yes,1,8.858,0,8.375603,NA,10
male,84,5,no,yes,6,10.33004,7.853605,9.365488,7.853605,10
male,64,9,no,yes,6,9.824563,4.962845,9.173654,4.962845,10
male,59,12,no,yes,7,11.04558,0,9.354576,NA,10
male,56,16,no,yes,5,11.02894,6.253829,9.720253,6.253829,10
male,68,5,no,yes,8,10.56383,8.623174,9.426237,8.623174,10
female,50,7,no,yes,7,10.04445,9.790318,9.160951,9.790318,10
male,41,16,no,yes,5,10.72935,0,9.231151,NA,10
female,39,9,no,yes,4,10.3026,5.509388,9.404722,5.509388,10
male,45,6,no,yes,6,9.878651,4.510859,9.047997,4.510859,10
male,59,7,no,yes,5,10.93715,8.617039,9.456935,8.617039,10
male,64,21,no,yes,2,10.4853,6.476973,9.16643,6.476973,10
female,45,13,no,yes,3,10.31884,8.280965,9.064943,8.280965,10
female,43,12,no,yes,4,10.75062,6.393591,9.102595,6.393591,10
female,61,2,no,yes,19,11.53758,8.8663,10.60655,8.8663,10
male,41,9,no,yes,4,10.48134,7.265429,9.3196,7.265429,10
female,70,5,no,yes,6,11.75362,8.628735,9.987315,8.628735,10
male,52,12,no,yes,3,9.953105,0,8.661803,NA,10
male,62,18,no,yes,5,10.3778,10.02371,9.118135,10.02371,10
female,44,7,no,yes,5,10.79503,6.625392,9.645213,6.625392,11
female,39,15,no,yes,4,10.43961,6.813445,9.334834,6.813445,11
female,35,10,no,yes,6,10.09939,10.42783,9.103293,10.42783,11
female,60,0,no,yes,3,8.769002,6.659294,7.99394,6.659294,11
female,54,15,no,yes,6,10.63703,8.990067,9.391641,8.990067,11
male,46,11,no,yes,7,11.38292,6.061457,10.22909,6.061457,11
female,51,0,no,yes,8,11.07295,8.961879,10.10478,8.961879,11
male,48,14,no,yes,4,10.18511,6.421622,9.004832,6.421622,11
male,40,12,no,yes,6,9.841249,7.183112,8.564828,7.183112,11
male,44,5,no,yes,6,10.45938,6.202536,9.264503,6.202536,11
male,35,11,no,yes,3,10.08146,6.476973,9.391306,6.476973,11
male,45,17,no,yes,6,10.60125,4.787492,9.490823,4.787492,11
female,40,9,no,yes,7,10.9884,7.730175,9.66261,7.730175,11
male,28,12,no,yes,6,11.63828,8.019613,10.48678,8.019613,11
male,61,9,no,yes,6,10.64678,6.813445,8.999479,6.813445,11
female,46,17,no,yes,4,9.891153,4.736198,9.028038,4.736198,11
male,31,7,no,yes,5,10.38983,8.789508,9.2837,8.789508,11
male,53,5,no,yes,4,9.851466,0,9.045149,NA,11
male,69,5,no,yes,8,10.24242,3.951244,8.761188,3.951244,11
female,62,7,no,yes,3,10.32746,8.042378,8.717216,8.042378,11
female,36,7,no,yes,5,10.49559,7.637716,9.289036,7.637716,11
female,52,9,no,yes,8,10.00632,7.520776,8.988626,7.520776,11
female,57,10,no,yes,6,10.23961,7.497762,9.206866,7.497762,11
female,30,8,no,yes,6,10.21897,5.966147,9.165364,5.966147,11
female,67,2,no,yes,6,10.53347,0,9.415254,NA,11
male,35,9,no,yes,3,9.732841,0,8.506729,NA,11
male,51,3,no,yes,8,9.88701,6.253829,9.03747,6.253829,11
female,42,3,no,yes,4,9.231526,4.962845,8.598211,4.962845,11
male,40,0,no,yes,5,9.645434,6.761573,8.87911,6.761573,11
male,34,4,no,yes,5,10.51324,6.802395,9.479569,6.802395,11
male,53,0,no,yes,4,9.908402,5.560682,9.24122,5.560682,12
male,51,12,no,yes,4,10.42231,9.529158,9.00441,9.529158,12
female,72,9,no,yes,4,9.812892,3.258096,8.485005,3.258096,12
female,46,7,no,yes,7,10.31845,5.560682,9.218307,5.560682,12
female,62,5,no,yes,3,10.34077,4.007333,9.049255,4.007333,12
male,34,4,yes,yes,4,10.14299,0,9.685003,NA,12
male,38,6,no,yes,4,10.00574,7.134891,9.291186,7.134891,12
female,57,5,no,yes,5,11.16918,6.030685,9.057353,6.030685,12
female,55,2,no,yes,10,10.595,7.17012,9.244551,7.17012,12
male,38,5,no,yes,8,10.75326,8.317522,9.509632,8.317522,12
female,56,4,no,yes,3,9.854802,0,8.742288,NA,12
female,47,15,no,yes,2,9.869538,0,8.638905,NA,12
female,56,3,no,yes,11,10.79621,9.633318,9.594573,9.633318,12
female,53,0,no,yes,8,10.00756,0,9.179066,NA,12
male,63,2,no,yes,5,10.22153,4.867535,9.167885,4.867535,12
female,49,0,no,yes,2,9.246218,7.700748,8.410042,7.700748,12
female,53,7,no,yes,4,9.772877,8.120886,8.337623,8.120886,12
male,50,5,no,yes,7,10.43195,5.560682,9.449187,5.560682,12
male,43,6,no,yes,6,10.01717,7.292337,9.260782,7.292337,12
female,41,8,no,yes,3,9.570784,8.795885,8.324183,8.795885,12
male,46,8,no,yes,4,10.17026,7.334982,9.382171,7.334982,12
female,66,0,no,yes,6,10.21882,10.74311,8.649518,10.74311,12
female,49,3,no,yes,5,10.03811,7.229839,9.4474,7.229839,12
male,66,17,no,yes,5,11.17409,5.768321,9.903505,5.768321,12
female,58,0,no,yes,3,9.489439,0,8.884298,NA,12
female,35,7,no,yes,4,10.34353,7.546446,9.655788,7.546446,12
male,58,9,no,yes,6,10.75435,5.590987,9.703322,5.590987,12
male,48,9,no,yes,9,10.20689,7.944847,9.402553,7.944847,12
female,54,2,no,yes,3,9.877794,7.985484,8.8126,7.985484,12
male,48,9,no,yes,6,9.963228,8.538759,9.457691,8.538759,12
female,39,11,no,yes,7,10.78121,8.60886,9.374848,8.60886,12
male,41,12,no,yes,4,9.335376,5.049856,8.828794,5.049856,12
male,54,8,no,yes,5,10.87917,6.659294,9.91772,6.659294,13
male,39,10,no,yes,4,9.780025,0,9.167144,NA,13
male,49,7,no,yes,10,11.42835,7.527256,10.54151,7.527256,13
male,61,6,no,yes,5,10.97073,8.43988,10.06377,8.43988,13
female,54,2,no,yes,3,9.851851,6.579251,9.089487,6.579251,13
female,37,3,no,yes,5,11.11577,7.912057,9.997767,7.912057,13
male,56,5,no,yes,8,11.19962,3.912023,10.41713,3.912023,13
male,43,15,no,yes,3,11.07703,0,10.00613,NA,13
female,51,15,no,yes,2,9.686399,5.273,8.752265,5.273,13
male,44,17,no,yes,2,11.50387,7.803843,9.469464,7.803843,13
male,49,13,no,yes,5,10.7423,9.735069,9.442171,9.735069,13
female,49,3,no,yes,7,10.71698,4.867535,9.879714,4.867535,13
female,38,5,no,yes,6,11.38203,10.03513,9.837714,10.03513,13
male,52,17,no,yes,6,10.44143,9.199785,9.449033,9.199785,13
male,60,0,no,yes,7,10.4822,4.60517,9.897771,4.60517,13
female,65,6,no,yes,9,10.82629,7.770645,9.485838,7.770645,13
female,64,5,no,yes,2,10.40729,7.573531,9.429918,7.573531,13
female,35,10,no,yes,5,9.678455,6.608001,9.147308,6.608001,13
male,64,6,no,yes,10,10.73291,8.381831,9.882029,8.381831,13
female,44,2,no,yes,6,10.0976,6.747587,9.306017,6.747587,13
female,59,3,no,yes,2,9.512671,7.17012,8.719554,7.17012,13
male,50,10,no,yes,4,10.50638,7.106606,9.468523,7.106606,13
male,37,11,no,yes,6,10.53685,5.455321,9.239144,5.455321,13
male,71,9,no,yes,5,10.97001,8.991438,9.92907,8.991438,13
male,39,8,no,yes,8,9.575522,0,9.0983,NA,13
female,49,5,no,yes,5,10.01202,5.560682,8.988596,5.560682,13
male,55,3,no,yes,11,10.56847,3.951244,9.880033,3.951244,13
male,29,10,no,yes,3,10.69211,0,10.07209,NA,13
male,77,4,no,yes,2,9.948813,0,9.275674,NA,13
male,63,5,no,yes,10,10.7101,8.909235,9.903663,8.909235,13
female,64,0,no,yes,1,9.483824,7.575585,8.732462,7.575585,14
male,80,5,no,yes,2,10.07668,0,8.759562,NA,14
