Name,Status,ISO,ANSI.letters,ANSI.digits,USPS,USCG,Old.GPO,AP,Other
Oregon,State,US-OR,OR,41,OR,OR,Oreg.,Ore.,Or.
Pennsylvania,State (Commonwealth),US-PA,PA,42,PA,PA,Pa.,Pa.,"Penn., Penna."
Rhode Island,State,US-RI,RI,44,RI,RI,R.I.,R.I.,R.I._P.P.
South Carolina,State,US-SC,SC,45,SC,SC,S.C.,S.C.,S._Car.
South Dakota,State,US-SD,SD,46,SD,SD,S._Dak.,S.D.,SoDak
Tennessee,State,US-TN,TN,47,TN,TN,Tenn.,Tenn.,Tn.
Texas,State,US-TX,TX,48,TX,TX,Tex.,Texas,Tx.
Utah,State,US-UT,UT,49,UT,UT,Utah,Utah,Ut.
Vermont,State,US-VT,VT,50,VT,VT,Vt.,Vt.,
Virginia,State (Commonwealth),US-VA,VA,51,VA,VA,Va.,Va.,Virg.
Washington,State,US-WA,WA,53,WA,WN,Wash.,Wash.,"Wa., Wn."
West Virginia,State,US-WV,WV,54,WV,WV,W._Va.,W.Va.,"W.V., W._Virg."
Wisconsin,State,US-WI,WI,55,WI,WS,Wis.,Wis.,"Wi., Wisc."
Wyoming,State,US-WY,WY,56,WY,WY,Wyo.,Wyo.,Wy.
American Samoa,Insular area (Territory),"ASASMUS-AS",AS,60,AS,AS,A.S.,,
Guam,Insular area (Territory),"GUGUMUS-GU",GU,66,GU,GU,Guam,,
Northern Mariana Islands,Insular area (Commonwealth),"MPMNPUS-MP",MP,69,MP,CM,M.P.,,
Puerto Rico,Insular area (Commonwealth),"PRPRIUS-PR",PR,72,PR,PR,P.R.,,
Virgin Islands,Insular area (Territory),"VIVIRUS-VI",VI,78,VI,VI,V.I.,,U.S.V.I.
U.S. Minor Outlying Islands,Insular areas,"UMUMIUS-UM",UM,74,,,,,
Baker Island,island,UM-81,,81,,,,,
Howland Island,island,UM-84,,84,,,,,
Jarvis Island,island,UM-86,,86,,,,,
Johnston Atoll,atoll,UM-67,,67,,,,,
Kingman Reef,atoll,UM-89,,89,,,,,
Midway Islands,atoll,UM-71,,71,,,,,
Navassa Island,island,UM-76,,76,,,,,
Palmyra Atoll,atoll,UM-95,,95,,,,,
Wake Island,atoll,UM-79,,79,,,,,
Federated States of Micronesia,Freely associated state,"FMFSM",FM,64,FM,,,,
Marshall Islands,Freely associated state,"MHMHL",MH,68,MH,,,,
Palau,Freely associated state,"PWPLW",PW,70,PW,,,,
U.S. Armed Forces _ Americas,US military mail code,,,,AA,,,,
U.S. Armed Forces _ Europe,US military mail code,,,,AE,,,,
U.S. Armed Forces _ Pacific,US military mail code,,,,AP,,,,
Panama Canal Zone,Obsolete postal code,,,,CZ,,,,
Philippine Islands,Obsolete postal code,"PHPHL",,,PI,,,,
Trust Territory of the Pacific Islands,Obsolete postal code,,,,TT,,,,
