Name.of.Covered.Entity,State,Covered.Entity.Type,Individuals.Affected,Breach.Submission.Date,Type.of.Breach,Location.of.Breached.Information,Business.Associate.Present,Web.Description
Haley Chiropractic Clinic,WA,Healthcare Provider,6000,7/8/14,Theft,"Desktop Computer, Laptop",FALSE,\N
"St. Vincent Hospital and Health Care Center, Inc.",IN,Business Associate,63325,7/9/14,Unauthorized Access/Disclosure,Paper/Films,TRUE,\N
"InSync Computer Solutions, Inc.",AL,Business Associate,50918,7/11/14,Other,Network Server,TRUE,\N
Western Regional Center for Brain and Spine Surgery,NV,Healthcare Provider,12000,7/12/14,Theft,Network Server,FALSE,\N
Indian Health Service,SD,Health Plan,620,7/15/14,"Loss, Unauthorized Access/Disclosure",Other,FALSE,\N
University of Pennsylvania Health System,PA,Healthcare Provider,661,7/16/14,Theft,Paper/Films,FALSE,"A bag containing a compact disk - read only memory (CD-ROM) was stolen from the vehicle of a physician associated with the covered entity (CE).  The CD-ROM involved in the breach contained names, dates of birth, social security numbers, medical histories, and the treatment information of approximately 2,046 individuals.  Following the breach, the CE filed a police report and provided breach notification to affected individuals, HHS, and the media.  The CE sanctioned and retrained the physician whose bag was stolen and implemented organization wide improvements to its compliance with the Privacy and Security Rules.  As a result of OCRs investigation the covered entity posted substitute notification of the breach in the local paper and confirmed that corrective actions steps were taken. \\\"
Bay Area Pain Medical Associates ,CA,Healthcare Provider,2780,7/16/14,Theft,Desktop Computer,FALSE,\N
Minneapolis VA Health Care System,MN,Health Plan,500,7/17/14,Unauthorized Access/Disclosure,Paper/Films,FALSE,\N
McKesson Business Performance Services,NJ,Business Associate,680,7/23/14,Unauthorized Access/Disclosure,Network Server,TRUE,\N
Xand Corporation,NY,Business Associate,3334,7/23/14,Other,Network Server,TRUE,\N
Self Regional Healthcare ,SC,Healthcare Provider,38906,7/25/14,Theft,Laptop,FALSE,\N
"Urological Associates of Southern Arizona, P.C.",AZ,Healthcare Provider,3529,7/25/14,Improper Disposal,Other,FALSE,\N
Dr. Veronica Joann Barber,CA,Business Associate,4000,7/28/14,Unauthorized Access/Disclosure,Network Server,TRUE,\N
"PRN Medical Services, LLC dba Symbius Medical, LLC",AZ,Healthcare Provider,13877,7/29/14,"Other, Theft, Unauthorized Access/Disclosure","Email, Network Server",FALSE,\N
Midwest Urological Group,IL,Healthcare Provider,982,7/30/14,Theft,Laptop,FALSE,\N
Rite Aid Store 5256,WA,Healthcare Provider,522,7/30/14,Theft,Paper/Films,FALSE,\N
"StayWell Health Management, LLC",MN,Business Associate,4487,7/31/14,Hacking/IT Incident,Network Server,TRUE,\N
Cancer Specialists of Tidewater,VA,Healthcare Provider,2318,7/31/14,"Theft, Unauthorized Access/Disclosure, Unknown","Electronic Medical Record, Other",FALSE,\N
MobilexUSA,OH,Healthcare Provider,605,8/6/14,Loss,Paper/Films,FALSE,\N
Jersey City Medical Center - Barnabas Health,NJ,Healthcare Provider,36400,8/7/14,Loss,Other,FALSE,\N
Diamond Computing Company,GA,Business Associate,7016,8/7/14,Unauthorized Access/Disclosure,Network Server,TRUE,\N
"Central Utah Clinic, P.C.",UT,Healthcare Provider,31677,8/7/14,Hacking/IT Incident,Network Server,FALSE,\N
"PST Services Inc, a McKesson Co.",GA,Business Associate,10104,8/8/14,Hacking/IT Incident,Network Server,TRUE,\N
Onsite Health Diagnostics (OHD),TX,Business Associate,60582,8/8/14,Hacking/IT Incident,Network Server,TRUE,\N
Apple Valley Care Center,CA,Healthcare Provider,1251,8/12/14,Hacking/IT Incident,Network Server,FALSE,\N
Kaiser Foundation Health Plan of Colorado,CO,Health Plan,11551,8/12/14,"Other, Unauthorized Access/Disclosure",Other,FALSE,\N
"CareAll Management, LLC",TN,Healthcare Provider,28300,8/12/14,Improper Disposal,Other,FALSE,\N
Iron Mountain Records Management,CA,Business Associate,1674,8/13/14,"Improper Disposal, Loss, Theft",Other,TRUE,\N
"24 ON Physicians, PC/In Compass Health,Inc.",GA,Business Associate,520,8/14/14,"Hacking/IT Incident, Other",Network Server,TRUE,\N
Iron Mountain Incorporated,MA,Business Associate,10000,8/15/14,"Loss, Theft",Paper/Films,TRUE,\N
Iron Mountain,CA,Business Associate,49714,8/15/14,"Improper Disposal, Loss, Theft",Paper/Films,TRUE,\N
University Health,LA,Healthcare Provider,6073,8/15/14,Hacking/IT Incident,Network Server,FALSE,\N
Tri-City Medical Center,CA,Healthcare Provider,500,8/18/14,Theft,Paper/Films,FALSE,\N
Dennis Flynn MD,IL,Healthcare Provider,13646,8/19/14,Theft,Laptop,FALSE,\N
Community Health Systems Professional Services Corporation,TN,Business Associate,4500000,8/20/14,Theft,Network Server,TRUE,
Oklahoma City Indian Clinic,OK,Healthcare Provider,6000,8/22/14,Unauthorized Access/Disclosure,Email,FALSE,\N
"Steven A. Goldman, MD Inc.",OH,Healthcare Provider,6141,8/22/14,Theft,Network Server,FALSE,\N
Specialty Clinics Of Georgia - Orthopaedics,GA,Healthcare Provider,2350,8/25/14,Theft,Paper/Films,FALSE,
St. Elizabeth's Medical Center,MA,Healthcare Provider,595,8/26/14,Theft,"Laptop, Other Portable Electronic Device",FALSE,\N
Aventura Hospital and Medical Center,FL,Healthcare Provider,948,8/26/14,Theft,Desktop Computer,FALSE,
Midwest Womens Healthcare Specialist,MO,Healthcare Provider,1376,8/26/14,Improper Disposal,Paper/Films,FALSE,\N
Group Health Incorporated,NY,Health Plan,802,8/27/14,Unauthorized Access/Disclosure,Paper/Films,FALSE,\N
"The Longstreet Clinic, P. C.",GA,Healthcare Provider,720,8/28/14,Improper Disposal,Other,FALSE,\N
Metropolitan Government of Nashville and Davidson County (Metro) Public Health Department,TN,Health Plan,1717,8/29/14,Other,Other,FALSE,\N
Duke University Health System,NC,Healthcare Provider,10993,8/29/14,Theft,Other Portable Electronic Device,FALSE,\N
Memorial Hermann Health System,TX,Healthcare Provider,10604,8/29/14,Unauthorized Access/Disclosure,Desktop Computer,FALSE,\N
AltaMed Health Services Corporation,CA,Healthcare Provider,3206,8/29/14,Theft,"Desktop Computer, Network Server, Paper/Films",FALSE,\N
"Bulloch Pediatric Group, LLC",GA,Healthcare Provider,10000,9/4/14,Unauthorized Access/Disclosure,Paper/Films,FALSE,\N
Emdeon,TN,Business Associate,566,9/4/14,Theft,Paper/Films,TRUE,
Temple University Physicians,PA,Healthcare Provider,3780,9/5/14,Theft,Desktop Computer,FALSE,\N
The WellPoint Affiliated Covered Entities  ,IN,Health Plan,1464,9/8/14,Unauthorized Access/Disclosure,Paper/Films,FALSE,\N
"Thomas Cristello, Chiropractor PC",NY,Healthcare Provider,914,9/9/14,Loss,Other Portable Electronic Device,FALSE,\N
"ENT Partners of Texas (legally known as Irving-Coppell Ear, Nose and Throat) ",TX,Healthcare Provider,789,9/9/14,"Loss, Theft","Laptop, Other Portable Electronic Device",FALSE,\N
Bon Secours Kentucky,KY,Healthcare Provider,697,9/9/14,Unauthorized Access/Disclosure,Other,FALSE,\N
Valesco Ventures,FL,Business Associate,82601,9/9/14,"Theft, Unauthorized Access/Disclosure",Electronic Medical Record,TRUE,\N
Wm. Jennings Bryan Dorn VA Medical Center,SC,Healthcare Provider,3637,9/10/14,Unauthorized Access/Disclosure,Paper/Films,FALSE,\N
Kmart Corporation,IL,Healthcare Provider,1866,9/10/14,Unauthorized Access/Disclosure,Paper/Films,FALSE,\N
"Xerox State Healthcare, LLC",TX,Business Associate,2000000,9/10/14,Unauthorized Access/Disclosure,"Desktop Computer, Email, Laptop, Network Server, Other, Other Portable Electronic Device",TRUE,\N
Cedars-Sinai Health System,CA,Healthcare Provider,33136,9/10/14,Theft,Laptop,FALSE,\N
Tampa General Hospital,FL,Healthcare Provider,675,9/12/14,Unauthorized Access/Disclosure,Electronic Medical Record,FALSE,\N
Santa Fe Medical Group,NM,Healthcare Provider,843,9/12/14,Theft,Other Portable Electronic Device,FALSE,
Emdeon,TN,Business Associate,800,9/12/14,Theft,Paper/Films,TRUE,
South Suburban HIV/AIDS Regional Clinics,IL,Business Associate,767,9/17/14,Other,Email,TRUE,\N
New Mexico VA Health Care System,NM,Healthcare Provider,2657,9/18/14,Unauthorized Access/Disclosure,Paper/Films,FALSE,\N
"Research Integrity, LLC",KY,Business Associate,4077,9/22/14,Unauthorized Access/Disclosure,Other Portable Electronic Device,TRUE,\N
Madison Street Provider Network,CO,Healthcare Provider,523,9/26/14,Theft,Laptop,FALSE,\N
"Compassionate Care Hospice of Central Louisiana, LLC",LA,Healthcare Provider,707,9/26/14,Theft,"Laptop, Other",FALSE,\N
"American Family Care, Inc.",AL,Healthcare Provider,2588,9/30/14,Theft,Laptop,FALSE,\N
"U.S. Health Holdings, Ltd. o/b/o Macomb County, Michigan",MI,Health Plan,6302,10/1/14,Unauthorized Access/Disclosure,Other,FALSE,\N
Mount Sinai Beth Israel,NY,Healthcare Provider,10793,10/3/14,Theft,Laptop,FALSE,\N
"Touchstone Medical Imaging, LLC",TN,Healthcare Provider,307528,10/3/14,Unauthorized Access/Disclosure,Network Server,FALSE,\N
Albertina Kerr Centers,OR,Healthcare Provider,1320,10/6/14,Theft,Laptop,FALSE,\N
Vcarve LLC d/b/a MD Manage,NJ,Business Associate,585,10/6/14,Unauthorized Access/Disclosure,Network Server,TRUE,\N
VARO Healthcare,PA,Business Associate,1667,10/7/14,Unauthorized Access/Disclosure,Paper/Films,TRUE,\N
vonica chau DDS PA,TX,Healthcare Provider,810,10/8/14,Theft,Desktop Computer,FALSE,\N
University of California Davis Medical Center,CA,Healthcare Provider,1326,10/8/14,Hacking/IT Incident,Email,FALSE,\N
South Texas Veterans Health Care System,TX,Healthcare Provider,4000,10/9/14,Unauthorized Access/Disclosure,Paper/Films,FALSE,\N
Cone Health Medical Group,NC,Healthcare Provider,1872,10/9/14,Unauthorized Access/Disclosure,Paper/Films,FALSE,\N
Region Six of the Georgia Department of Behavioral Health and Developmental Disabilities,GA,Healthcare Provider,3397,10/9/14,Theft,Laptop,FALSE,\N
NYU Urology Associates,NY,Healthcare Provider,835,10/10/14,Unauthorized Access/Disclosure,Other Portable Electronic Device,FALSE,\N
"Health Services Advisory Group, Inc.",AZ,Business Associate,15380,10/10/14,Unauthorized Access/Disclosure,Other,TRUE,\N
M&M Computer Services,TX,Business Associate,4500,10/10/14,Hacking/IT Incident,Network Server,TRUE,\N
New York City Health & Hospitals Corporation,NY,Healthcare Provider,10058,10/10/14,Unauthorized Access/Disclosure,Paper/Films,FALSE,\N
Southwest Virginia Physicians for Women,VA,Healthcare Provider,568,10/10/14,"Theft, Unauthorized Access/Disclosure",Paper/Films,FALSE,\N
City of Dallas Fire-Rescue Department,TX,Healthcare Provider,1000,10/15/14,Theft,Laptop,FALSE,
Graybill Medical Group,CA,Healthcare Provider,1863,10/15/14,Theft,Other,FALSE,
MD Manage (Vcarve LLC),NJ,Business Associate,35357,10/22/14,Unauthorized Access/Disclosure,Network Server,TRUE,\N
"Seven Counties Services, Inc.",KY,Healthcare Provider,727,10/22/14,"Improper Disposal, Unauthorized Access/Disclosure",Paper/Films,FALSE,\N
"Nisar A. Quraishi, M.D.",NY,Healthcare Provider,20000,10/22/14,Theft,Paper/Films,FALSE,\N
"Multilingual Psychotherapy Centers, Inc",FL,Healthcare Provider,3500,10/28/14,Theft,Network Server,FALSE,\N
Burlington Northern Santa Fe Group Benefits Plan,TX,Health Plan,507,10/28/14,Loss,Other Portable Electronic Device,FALSE,\N
Portland VA Medical Center,OR,Healthcare Provider,1740,10/29/14,Theft,Paper/Films,FALSE,
Memorial Healthcare System,FL,Healthcare Provider,1782,10/30/14,Unauthorized Access/Disclosure,Email,FALSE,\N
Coordinated Health ,PA,Healthcare Provider,13907,10/31/14,Theft,Laptop,FALSE,\N
"Jessie Trice Community Health Center, Inc.",FL,Healthcare Provider,7888,11/3/14,Theft,"Desktop Computer, Network Server",FALSE,\N
"Central Dermatology Center, P.A.",NC,Healthcare Provider,76258,11/7/14,Theft,Network Server,FALSE,
Weill Cornell Medical College,NY,Healthcare Provider,3936,11/7/14,Theft,"Electronic Medical Record, Laptop",FALSE,
Visionworks Inc.,TX,Health Plan,74944,11/10/14,Loss,Network Server,FALSE,\N
Loi Luu,CA,Healthcare Provider,13177,11/14/14,Theft,Network Server,FALSE,\N
Iron Mountain,CA,Business Associate,2691,11/14/14,Theft,Paper/Films,TRUE,\N
Colorado River Indian Tribes,AZ,Healthcare Provider,1296,11/14/14,Other,Email,FALSE,\N
REEVE-WOODS EYE CENTER,CA,Healthcare Provider,30000,11/15/14,Theft,Network Server,FALSE,
Brigham and Women's Hospital,MA,Healthcare Provider,999,11/17/14,Theft,"Laptop, Other Portable Electronic Device",FALSE,\N
Kirkbride Center,PA,Healthcare Provider,860,11/19/14,Theft,Paper/Films,FALSE,\N
"MetroPlus Health Plan, Inc.",NY,Health Plan,31980,11/20/14,Other,Email,FALSE,\N
"Baptist Primary Care, Inc.",FL,Healthcare Provider,1449,11/20/14,Unauthorized Access/Disclosure,Electronic Medical Record,FALSE,\N
Visionworks Inc.,TX,Health Plan,47683,11/21/14,Theft,Network Server,FALSE,
True Vision Eyecare,OH,Healthcare Provider,542,11/21/14,Theft,Laptop,FALSE,\N
AdminisTEP,TX,Business Associate,4469,11/25/14,Unauthorized Access/Disclosure,Paper/Films,TRUE,\N
Northfield Hospital & Clinics,MN,Healthcare Provider,1778,11/25/14,Improper Disposal,Paper/Films,FALSE,\N
"Computer Programs and Systems, Inc. ",AL,Business Associate,25764,11/26/14,Theft,Network Server,TRUE,
North Big Horn Hospital,WY,Healthcare Provider,1607,12/1/14,Loss,Paper/Films,FALSE,\N
The Hearing Zone,UT,Healthcare Provider,623,12/5/14,Theft,Laptop,FALSE,\N
Florida Department of Health,FL,Healthcare Provider,2477,12/8/14,Other,Email,FALSE,\N
ReachOut Home Care [Case #16687],KY,Healthcare Provider,4500,12/9/14,Theft,Laptop,FALSE,
Sony Pictures Entertainment Health and Welfare Benefits Plan (the Plan),CA,Health Plan,30000,12/12/14,Hacking/IT Incident,"Desktop Computer, Laptop, Network Server",FALSE,\N
District Medical Group,AZ,Healthcare Provider,616,12/12/14,Unauthorized Access/Disclosure,Other Portable Electronic Device,FALSE,\N
Clay County Hospital,IL,Healthcare Provider,12621,12/12/14,Unauthorized Access/Disclosure,Other,FALSE,\N
St. Mary Mercy Hospital,MI,Healthcare Provider,1488,12/12/14,Unauthorized Access/Disclosure,Email,FALSE,\N
Walgreen Co.,IL,Healthcare Provider,160000,12/15/14,Other,Paper/Films,FALSE,\N
mdINR LLC,FL,Healthcare Provider,1859,1/5/15,Unauthorized Access/Disclosure,Email,FALSE,
VA Corporate Data Center Operations/Austin Information Technology Center ,TX,Healthcare Provider,7029,1/7/15,Hacking/IT Incident,Network Server,FALSE,
Saint Louis County Department of Health,MO,Healthcare Provider,4000,1/7/15,Unauthorized Access/Disclosure,"Email, Network Server",FALSE,
"Aspire Indiana, Inc.",IN,Healthcare Provider,43890,1/7/15,Theft,Laptop,FALSE,
Inland Empire Health Plan (IEHP),CA,Health Plan,1030,1/12/15,Theft,Desktop Computer,FALSE,
Tennessee Rural Health Improvement Association,TN,Health Plan,79000,1/13/15,Unauthorized Access/Disclosure,Other,FALSE,
National Pain Institute,FL,Healthcare Provider,500,1/15/15,Improper Disposal,"Desktop Computer, Laptop",FALSE,
"Rainier Surgical, Incorporated",TX,Healthcare Provider,4920,1/16/15,Theft,Paper/Films,FALSE,
St. Peter's Health Partners,NY,Healthcare Provider,5117,1/23/15,Theft,Other Portable Electronic Device,FALSE,
"Ronald D. Garrett-Roe, MD",TX,Healthcare Provider,1600,1/23/15,Hacking/IT Incident,Desktop Computer,FALSE,
