time,treering
-5493,0.827
-5492,0.769
-5491,0.875
-5490,0.668
-5489,0.999
-5488,1.252
-5487,1.439
-5486,1.206
-5485,0.797
-5484,0.724
-5483,0.867
-5482,1.333
-5481,1.306
-5480,1.058
-5479,1.44
-5478,1.239
-5477,1.611
-5476,1.403
-5475,0.754
-5474,0.129
-5473,1.075
-5472,0.841
-5471,0.752
-5470,1.446
-5469,1.01
-5468,1.034
-5467,1.016
-5466,0.396
-5465,1.101
-5464,0.645
-5463,1.342
-5462,1.146
-5461,0.943
-5460,0.755
-5459,1.406
-5458,0.86
-5457,0.89
-5456,1.01
-5455,0.85
-5454,0.444
-5453,0.573
-5452,0.19
-5451,0.985
-5450,0.873
-5449,1.209
-5448,0.689
-5447,0.604
-5446,1.035
-5445,1.12
-5444,1.138
-5443,0.935
-5442,0.268
-5441,1.051
-5440,0.935
-5439,0.679
-5438,0.909
-5437,0.819
-5436,1.106
-5435,1.024
-5434,1.352
-5433,0.796
-5432,1.122
-5431,1.472
-5430,1.342
-5429,1.404
-5428,0.978
-5427,0.612
-5426,1.077
-5425,1.02
-5424,1.311
-5423,1.279
-5422,0.648
-5421,1.193
-5420,0.761
-5419,1.07
-5418,0.716
-5417,0.804
-5416,1.326
-5415,1.551
-5414,0.858
-5413,0.406
-5412,0.851
-5411,1.007
-5410,0.955
-5409,0.612
-5408,1.029
-5407,0.619
-5406,1.024
-5405,1.256
-5404,1.022
-5403,1.063
-5402,0.631
-5401,0.788
-5400,1.154
-5399,1.336
-5398,1.206
-5397,0.955
-5396,0.992
-5395,0.68
-5394,1.042
-5393,1.225
-5392,1.762
-5391,1.018
-5390,0.684
-5389,0.097
-5388,1.079
-5387,0.888
-5386,1.08
-5385,1.205
-5384,0.927
-5383,0.926
-5382,1.32
-5381,1.407
-5380,1.014
-5379,0.812
-5378,1.152
-5377,1.351
-5376,1.013
-5375,0.183
-5374,0.362
-5373,1.059
-5372,1.28
-5371,0.002
-5370,0.938
-5369,1.009
-5368,0.83
-5367,1.3
-5366,1.058
-5365,0.691
-5364,0.809
-5363,0.217
-5362,0.157
-5361,0.588
-5360,0.748
-5359,1.109
-5358,1.096
-5357,0.626
-5356,0.907
-5355,0.767
-5354,1.178
-5353,0.887
-5352,0.599
-5351,0.93
-5350,1.149
-5349,1.052
-5348,1.187
-5347,1.309
-5346,0.973
-5345,0.908
-5344,1.33
-5343,0.624
-5342,1.66
-5341,0.967
-5340,1.397
-5339,1.289
-5338,1.587
-5337,1.517
-5336,1.254
-5335,1.077
-5334,1.147
-5333,1.234
-5332,1.646
-5331,1.657
-5330,1.844
-5329,1.288
-5328,0.875
-5327,1.053
-5326,1.229
-5325,1.051
-5324,1.665
-5323,0.298
-5322,1.272
-5321,1.277
-5320,1.458
-5319,1.139
-5318,0.613
-5317,0.091
-5316,0.803
-5315,0.251
-5314,0.877
-5313,0.875
-5312,0.909
-5311,0.371
-5310,1.433
-5309,1.517
-5308,1.119
-5307,1.316
-5306,1.265
-5305,1.187
-5304,1.225
-5303,1.064
-5302,0.793
-5301,1.148
-5300,0.761
-5299,1.264
-5298,0.681
-5297,1.103
-5296,0.339
-5295,0.93
-5294,1.182
-5293,1.54
-5292,1.397
-5291,1.429
-5290,0.573
-5289,1.658
-5288,1.243
-5287,1.339
-5286,1.433
-5285,1.484
-5284,0.652
-5283,1.185
-5282,1.416
-5281,1.365
-5280,0.959
-5279,1.065
-5278,1.047
-5277,1.396
-5276,0.215
-5275,1.383
-5274,0.943
-5273,1.474
-5272,1.136
-5271,1.134
-5270,1.339
-5269,1.633
-5268,0.853
-5267,1.684
-5266,1.172
-5265,1.73
-5264,1.85
-5263,1.555
-5262,1.422
-5261,0.894
-5260,0.578
-5259,1.081
-5258,0.738
-5257,1.175
-5256,1.247
-5255,0.306
-5254,1.275
-5253,0.752
-5252,1.071
-5251,0.632
-5250,0.702
-5249,1.505
-5248,0.729
-5247,0.918
-5246,0.41
-5245,0.373
-5244,0.601
-5243,1.158
-5242,0.571
-5241,1.324
-5240,0.267
-5239,1.039
-5238,0.803
-5237,0.886
-5236,0.511
-5235,0.723
-5234,1.045
-5233,1.121
-5232,0.959
-5231,1.006
-5230,0.829
-5229,0.97
-5228,1.36
-5227,1.048
-5226,1.179
-5225,0.542
-5224,1.229
-5223,0.63
-5222,0.36
-5221,0.79
-5220,1.051
-5219,0.66
-5218,1.181
-5217,1.512
-5216,1.302
-5215,1.403
-5214,1.289
-5213,0.914
-5212,1.02
-5211,0.916
-5210,0.026
-5209,0.749
-5208,0.837
-5207,0.357
-5206,0.591
-5205,0.555
-5204,0.56
-5203,0.791
-5202,0.691
-5201,0.585
-5200,0.741
-5199,0.967
-5198,0.906
-5197,0.865
-5196,1.161
-5195,0.563
-5194,1.045
-5193,0.691
-5192,0.957
-5191,1.117
-5190,1.269
-5189,0.638
-5188,1.119
-5187,0.81
-5186,1.272
-5185,0.007
-5184,0.801
-5183,1.149
-5182,0.423
-5181,1.4
-5180,0.954
-5179,0.905
-5178,1.349
-5177,1.342
-5176,0.496
-5175,0.615
-5174,0.463
-5173,0.857
-5172,1.263
-5171,1.022
-5170,0.952
-5169,0.807
-5168,1.007
-5167,1.069
-5166,1.425
-5165,0.377
-5164,0.661
-5163,0.896
-5162,1.373
-5161,1.205
-5160,1.387
-5159,1.514
-5158,0.719
-5157,1.183
-5156,0.726
-5155,1.178
-5154,1.102
-5153,1.185
-5152,1.497
-5151,0.687
-5150,1.377
-5149,1.438
-5148,1.564
-5147,1.224
-5146,0.617
-5145,1.647
-5144,1.64
-5143,0.849
-5142,0.87
-5141,1.004
-5140,0.769
-5139,0.65
-5138,0.962
-5137,0.433
-5136,1.129
-5135,1.427
-5134,0.702
-5133,0.964
-5132,1.326
-5131,1.012
-5130,0.754
-5129,0.791
-5128,0.559
-5127,1.027
-5126,0.42
-5125,1.436
-5124,0.729
-5123,0.964
-5122,1.282
-5121,1.053
-5120,0.943
-5119,0.427
-5118,0.161
-5117,0.839
-5116,1.16
-5115,0.908
-5114,1.477
-5113,1.292
-5112,1.344
-5111,1.354
-5110,0.546
-5109,1.412
-5108,0.451
-5107,1.158
-5106,1.526
-5105,1.626
-5104,1.221
-5103,0.861
-5102,1.027
-5101,0.584
-5100,0.133
-5099,0.834
-5098,1.111
-5097,1.212
-5096,1.366
-5095,1.586
-5094,1.153
-5093,0.523
-5092,0.712
-5091,1.042
-5090,1.082
-5089,1.675
-5088,1.236
-5087,1.125
-5086,0.328
-5085,1.316
-5084,1.116
-5083,0.929
-5082,1.077
-5081,1.003
-5080,1.263
-5079,0.752
-5078,1.231
-5077,0.491
-5076,1.139
-5075,1.417
-5074,1.472
-5073,1.156
-5072,1.08
-5071,1.619
-5070,1.004
-5069,1.077
-5068,0.425
-5067,0.914
-5066,1.041
-5065,1.242
-5064,1.356
-5063,0.737
-5062,0.927
-5061,0.853
-5060,1.294
-5059,1.307
-5058,1.197
-5057,0.847
-5056,0.733
-5055,0.4
-5054,1.038
-5053,0.944
-5052,1.237
-5051,1.299
-5050,1.126
-5049,0.534
-5048,1.394
-5047,1.323
-5046,1.007
-5045,1.642
-5044,1.043
-5043,1.045
-5042,0.971
-5041,1.219
-5040,1.091
-5039,0.482
-5038,0.927
-5037,1.104
-5036,1.194
-5035,1.445
-5034,1.442
-5033,1.3
-5032,0.8
-5031,0.206
-5030,1.321
-5029,1.233
-5028,0.986
-5027,0.521
-5026,1.177
-5025,0.191
-5024,0.896
-5023,0.666
-5022,0.88
-5021,1.023
-5020,1.592
-5019,0.764
-5018,0.851
-5017,0.783
-5016,0.869
-5015,0.606
-5014,1.16
-5013,0.946
-5012,0.628
-5011,0.897
-5010,1.067
-5009,1.046
-5008,1.368
-5007,1.624
-5006,1.719
-5005,1.029
-5004,0.912
-5003,0.974
-5002,1.62
-5001,1.558
-5000,1.549
-4999,0.554
-4998,0.699
-4997,0.431
-4996,0.605
-4995,1.335
-4994,1.215
-4993,1.162
-4992,1.04
-4991,1.029
-4990,1.209
-4989,0.653
-4988,1.06
-4987,0.285
-4986,0.925
-4985,1.084
-4984,0.681
-4983,0.266
-4982,0.692
-4981,0.893
-4980,1.338
-4979,1.196
-4978,0.938
-4977,0.233
-4976,0.904
-4975,1.346
-4974,0.372
-4973,1.672
-4972,1.675
-4971,0.796
-4970,1.005
-4969,0.937
-4968,0.129
-4967,0.939
-4966,0.837
-4965,0.883
-4964,1.102
-4963,0.421
-4962,0.869
-4961,0.67
-4960,1.141
-4959,1.287
-4958,0.65
-4957,0.117
-4956,0.99
-4955,0.753
-4954,1.269
-4953,1.262
-4952,1.124
-4951,1.107
-4950,1.515
-4949,1.245
-4948,1.144
-4947,0.851
-4946,1.381
-4945,1.197
-4944,1.169
-4943,0.218
-4942,0.227
-4941,1.584
-4940,0.927
-4939,0.975
-4938,0.811
-4937,0.742
-4936,0.827
-4935,1.348
-4934,1.688
-4933,1.399
-4932,0.757
-4931,0.801
-4930,1.362
-4929,0.964
-4928,0.242
-4927,1.094
-4926,0.847
-4925,1.203
-4924,1.089
-4923,1.233
-4922,1.173
-4921,1.115
-4920,1.189
-4919,0.884
-4918,0.779
-4917,0.784
-4916,1.266
-4915,1.225
-4914,0.677
-4913,1.137
-4912,0.919
-4911,1.691
-4910,1.123
-4909,1.457
-4908,1.223
-4907,1.119
-4906,0.565
-4905,0.907
-4904,0.945
-4903,0.942
-4902,1.509
-4901,1.486
-4900,0.945
-4899,0.582
-4898,1.075
-4897,0.969
-4896,0.672
-4895,0.816
-4894,0.928
-4893,0.814
-4892,0.945
-4891,0.439
-4890,0.896
-4889,1.434
-4888,1.211
-4887,1.519
-4886,1.068
-4885,0.677
-4884,1.323
-4883,0.794
-4882,1.124
-4881,1.057
-4880,0.933
-4879,1.222
-4878,1.039
-4877,0.958
-4876,0.357
-4875,0.562
-4874,1.055
-4873,0.706
-4872,0.85
-4871,0.875
-4870,1.245
-4869,0.692
-4868,1.063
-4867,1.026
-4866,0.928
-4865,0.395
-4864,1.012
-4863,0.453
-4862,1.262
-4861,0.926
-4860,1.532
-4859,0.952
-4858,0.456
-4857,1.187
-4856,1.856
-4855,1.436
-4854,1.586
-4853,0.963
-4852,1.075
-4851,1.22
-4850,0.989
-4849,1.34
-4848,1.705
-4847,1.242
-4846,1.252
-4845,0.615
-4844,1.384
-4843,1.052
-4842,0.994
-4841,0.624
-4840,1.091
-4839,0.771
-4838,0.854
-4837,0.787
-4836,0.111
-4835,0.369
-4834,0.786
-4833,1.35
-4832,0.98
-4831,0.72
-4830,0.998
-4829,1.266
-4828,1.205
-4827,1.572
-4826,0.918
-4825,0.744
-4824,0.651
-4823,1.007
-4822,1.345
-4821,1.436
-4820,0.809
-4819,0.721
-4818,0.723
-4817,1.121
-4816,1.028
-4815,0.599
-4814,1.407
-4813,0.562
-4812,0.712
-4811,1.02
-4810,1.217
-4809,1.498
-4808,0.539
-4807,0.836
-4806,0.894
-4805,0.924
-4804,0.749
-4803,0.961
-4802,1.164
-4801,1.413
-4800,1.062
-4799,0.481
-4798,0.721
-4797,1.16
-4796,0.682
-4795,0.653
-4794,1.496
-4793,1.116
-4792,0.929
-4791,0.668
-4790,1.334
-4789,0.775
-4788,0.896
-4787,0.972
-4786,1.374
-4785,0.952
-4784,0.929
-4783,0.757
-4782,0.816
-4781,1.167
-4780,1.01
-4779,0.166
-4778,0.402
-4777,0.143
-4776,1.05
-4775,0.878
-4774,0.783
-4773,0.912
-4772,0.998
-4771,0.211
-4770,0.738
-4769,1.341
-4768,0.994
-4767,1.28
-4766,1.575
-4765,0.886
-4764,1.323
-4763,1.248
-4762,0.492
-4761,0.944
-4760,0.612
-4759,0.889
-4758,0.616
-4757,0.933
-4756,0.916
-4755,0.838
-4754,1.028
-4753,1
-4752,1.29
-4751,0.737
-4750,0.618
-4749,1.056
-4748,1.13
-4747,1.49
-4746,1.242
-4745,0.786
-4744,0.549
-4743,0.709
-4742,0.419
-4741,1.435
-4740,1.363
-4739,0.823
-4738,1.239
-4737,1.573
-4736,1.08
-4735,0.666
-4734,0.604
-4733,1.452
-4732,0.652
-4731,0.741
-4730,0.687
-4729,0.804
-4728,0.789
-4727,1.152
-4726,1.143
-4725,1.107
-4724,1.183
-4723,1.021
-4722,1.57
-4721,1.615
-4720,1.464
-4719,1.061
-4718,0.598
-4717,1.076
-4716,1.625
-4715,1.497
-4714,1.633
-4713,1.82
-4712,1.221
-4711,0.296
-4710,1.391
-4709,0.691
-4708,1.265
-4707,1.202
-4706,1.245
-4705,0.829
-4704,0.47
-4703,1.614
-4702,0.287
-4701,0.776
-4700,1.077
-4699,0.696
-4698,0.968
-4697,0.562
-4696,0.793
-4695,1.206
-4694,0.586
-4693,1.332
-4692,1.3
-4691,1.109
-4690,0.918
-4689,0.877
-4688,0.994
-4687,0.91
-4686,1.163
-4685,1.146
-4684,0.914
-4683,0.774
-4682,0.784
-4681,0.468
-4680,1.116
-4679,1.118
-4678,1.232
-4677,1.015
-4676,0.874
-4675,0.988
-4674,0.809
-4673,0.221
-4672,1.374
-4671,1.405
-4670,1.243
-4669,1.091
-4668,0.568
-4667,0.775
-4666,1.386
-4665,1.308
-4664,1.711
-4663,1.459
-4662,1.218
-4661,0.923
-4660,0.828
-4659,1.469
-4658,0.838
-4657,1.219
-4656,1.239
-4655,1.75
-4654,1.124
-4653,0.872
-4652,0.963
-4651,0.965
-4650,1.068
-4649,1.169
-4648,1.132
-4647,1.129
-4646,1.011
-4645,0.68
-4644,1.098
-4643,0.945
-4642,1.429
-4641,1.006
-4640,0.838
-4639,0.509
-4638,0.747
-4637,1.231
-4636,1.468
-4635,1.32
-4634,1.088
-4633,1.221
-4632,0.327
-4631,1.043
-4630,1.003
-4629,0.013
-4628,0.36
-4627,0.091
-4626,1.565
-4625,1.17
-4624,1.365
-4623,0.919
-4622,0.916
-4621,1.005
-4620,1.364
-4619,0.166
-4618,0.873
-4617,1.271
-4616,1.059
-4615,0.694
-4614,0.399
-4613,1.466
-4612,0.873
-4611,0.852
-4610,0.837
-4609,1.11
-4608,0.564
-4607,1.153
-4606,0
-4605,1.252
-4604,1.013
-4603,0.508
-4602,0.834
-4601,1.121
-4600,0.991
-4599,1.207
-4598,1.518
-4597,1.027
-4596,0.314
-4595,0.456
-4594,0.902
-4593,1.146
-4592,1.175
-4591,1.131
-4590,1.525
-4589,1.683
-4588,1.011
-4587,1.189
-4586,0.903
-4585,1.022
-4584,1.568
-4583,1.17
-4582,1.214
-4581,1.274
-4580,1.04
-4579,1.143
-4578,1.365
-4577,0.866
-4576,1.121
-4575,0.618
-4574,1.271
-4573,1.549
-4572,1.262
-4571,0.982
-4570,1.228
-4569,0.054
-4568,1.483
-4567,1.577
-4566,1.038
-4565,0.972
-4564,0.603
-4563,0.802
-4562,1.201
-4561,1.34
-4560,1.029
-4559,0.634
-4558,0.842
-4557,1.178
-4556,1.428
-4555,0.954
-4554,0.902
-4553,0.876
-4552,1.2
-4551,1.234
-4550,1.416
-4549,1.195
-4548,0.798
-4547,0.709
-4546,1.109
-4545,1.071
-4544,1.124
-4543,1.13
-4542,0.693
-4541,0.833
-4540,1.259
-4539,0.985
-4538,1.232
-4537,1.383
-4536,0.91
-4535,1.48
-4534,1.561
-4533,1.697
-4532,1.067
-4531,1.496
-4530,1.884
-4529,0.943
-4528,0.982
-4527,1.57
-4526,1.125
-4525,1.516
-4524,1.326
-4523,0.874
-4522,1.374
-4521,1.039
-4520,1.192
-4519,0.771
-4518,0.312
-4517,0.825
-4516,0.981
-4515,0.569
-4514,0.565
-4513,1.011
-4512,1.025
-4511,0.901
-4510,1.261
-4509,1.092
-4508,1.027
-4507,1.021
-4506,1.125
-4505,0.817
-4504,1.107
-4503,1.077
-4502,1.387
-4501,1.026
-4500,1.101
-4499,0.917
-4498,0.63
-4497,1.035
-4496,1.033
-4495,1.051
-4494,1.062
-4493,0.928
-4492,1.042
-4491,0.744
-4490,0.471
-4489,1.108
-4488,0.976
-4487,0.221
-4486,0.786
-4485,0.918
-4484,0.915
-4483,0.946
-4482,0.629
-4481,1.123
-4480,1.025
-4479,0.854
-4478,1.187
-4477,0.572
-4476,0.798
-4475,1.482
-4474,0.874
-4473,0.394
-4472,1.397
-4471,0.707
-4470,1.475
-4469,1.587
-4468,1.027
-4467,0.569
-4466,1.19
-4465,0.666
-4464,1.338
-4463,0.991
-4462,1.498
-4461,1.02
-4460,1.248
-4459,1.158
-4458,0.96
-4457,1.194
-4456,1.216
-4455,0.883
-4454,1.262
-4453,1.673
-4452,1.076
-4451,1.227
-4450,1.036
-4449,1.028
-4448,1.51
-4447,1.493
-4446,1.137
-4445,0.669
-4444,1.175
-4443,0.789
-4442,1.423
-4441,1.334
-4440,0.819
-4439,0.894
-4438,0.943
-4437,1.017
-4436,1.176
-4435,1.329
-4434,1.155
-4433,0.962
-4432,1.207
-4431,0.384
-4430,0.345
-4429,0.898
-4428,0.486
-4427,0.891
-4426,1.2
-4425,1.339
-4424,0.85
-4423,0.829
-4422,1.453
-4421,1.276
-4420,0.744
-4419,1.403
-4418,0.788
-4417,0.663
-4416,0.773
-4415,0.933
-4414,0.904
-4413,0.916
-4412,1.038
-4411,1.288
-4410,0.867
-4409,0.051
-4408,0.506
-4407,1.107
-4406,1.215
-4405,1.105
-4404,1.411
-4403,1.573
-4402,1.73
-4401,1.252
-4400,1.779
-4399,1.525
-4398,1.604
-4397,1.416
-4396,1.33
-4395,1.452
-4394,1.2
-4393,1.328
-4392,1.229
-4391,1.184
-4390,1.327
-4389,1.394
-4388,1.051
-4387,1.295
-4386,0.404
-4385,1.184
-4384,1.312
-4383,0.818
-4382,1.203
-4381,0.426
-4380,0.946
-4379,0.798
-4378,0.991
-4377,0.997
-4376,0.303
-4375,0.873
-4374,0.612
-4373,1.269
-4372,1.059
-4371,1.16
-4370,1.002
-4369,0.992
-4368,1.406
-4367,0.269
-4366,0.648
-4365,0.823
-4364,0.652
-4363,1.053
-4362,0.976
-4361,1.404
-4360,0.692
-4359,1.001
-4358,1.05
-4357,1.372
-4356,0.935
-4355,0.206
-4354,0.411
-4353,1.019
-4352,1.271
-4351,0.982
-4350,1.307
-4349,0.947
-4348,0.841
-4347,1.217
-4346,1.162
-4345,0.656
-4344,1.089
-4343,0.569
-4342,1.129
-4341,1.441
-4340,1.176
-4339,1.229
-4338,1.34
-4337,1.1
-4336,1.071
-4335,0.217
-4334,0.917
-4333,0.952
-4332,1.192
-4331,1.128
-4330,1.322
-4329,1.418
-4328,1.406
-4327,0.43
-4326,1.253
-4325,0.751
-4324,1.343
-4323,0.944
-4322,0.936
-4321,1.095
-4320,0.885
-4319,1.074
-4318,0.91
-4317,0.972
-4316,1.222
-4315,0.805
-4314,1.042
-4313,1.109
-4312,0.881
-4311,0.682
-4310,0.912
-4309,0.676
-4308,0.718
-4307,1.399
-4306,0.69
-4305,0.772
-4304,1.047
-4303,0.852
-4302,1.075
-4301,0.725
-4300,0.646
-4299,0.823
-4298,1.163
-4297,0.844
-4296,1.132
-4295,1.082
-4294,1.651
-4293,1.445
-4292,1.176
-4291,0.976
-4290,0.845
-4289,0.257
-4288,0.8
-4287,1.165
-4286,1.159
-4285,1.143
-4284,1.11
-4283,1.135
-4282,0.779
-4281,0.599
-4280,1.028
-4279,1.08
-4278,1.21
-4277,1.131
-4276,1.156
-4275,1.117
-4274,1.239
-4273,0.786
-4272,0.978
-4271,0.892
-4270,1.129
-4269,1.074
-4268,0.878
-4267,1.043
-4266,1.019
-4265,0.898
-4264,0.309
-4263,1.083
-4262,1.386
-4261,1.414
-4260,1.315
-4259,1.199
-4258,0.146
-4257,0.988
-4256,0.614
-4255,0.858
-4254,1.063
-4253,0.885
-4252,1.047
