time,gasprice
1994.673077,116.4
1994.692308,117.3
1994.711538,119.1
1994.730769,119.3
1994.75,119.4
1994.769231,119
1994.788462,118.3
1994.807692,117.7
1994.826923,116.9
1994.846154,115.9
1994.865385,114.8
1994.884615,113.8
1994.903846,112.6
1994.923077,112.4
1994.942308,112.1
1994.961538,112.2
1994.980769,111.3
1995,111.1
1995.019231,110.7
1995.038462,110.6
1995.057692,110.6
1995.076923,110
1995.096154,109.2
1995.115385,108.1
1995.134615,107.3
1995.153846,106.2
1995.173077,106
1995.192308,105.9
1995.211538,105.6
1995.230769,105.7
1995.25,105.8
1995.269231,105.7
1995.288462,107.2
1995.307692,107.5
1995.326923,107.7
1995.346154,108.6
1995.365385,109.2
1995.384615,108.4
1995.403846,107.9
1995.423077,107.6
1995.442308,107.3
1995.461538,107.8
1995.480769,109.9
1995.5,111.5
1995.519231,111.6
1995.538462,112.8
1995.557692,115.8
1995.576923,117.2
1995.596154,119.5
1995.615385,123.4
1995.634615,124.3
1995.653846,125.7
1995.673077,125.9
1995.692308,126.2
1995.711538,126.9
1995.730769,126
1995.75,125.2
1995.769231,124.7
1995.788462,124.1
1995.807692,123
1995.826923,121.9
1995.846154,121.7
1995.865385,121.5
1995.884615,121.5
1995.903846,120.9
1995.923077,119.9
1995.942308,119.6
1995.961538,119.9
1995.980769,120.1
1996,119.3
1996.019231,120.1
1996.038462,120.3
1996.057692,120.3
1996.076923,119.9
1996.096154,119.1
1996.115385,120.3
1996.134615,120.5
1996.153846,121.7
1996.173077,122.5
1996.192308,122.9
1996.211538,123.8
1996.230769,124.6
1996.25,124.2
1996.269231,124.1
1996.288462,123.3
1996.307692,122.7
1996.326923,122.4
1996.346154,122
1996.365385,123.5
1996.384615,123.6
1996.403846,123.2
1996.423077,123
1996.442308,122.7
1996.461538,122
1996.480769,121.7
1996.5,120.8
1996.519231,119.9
1996.538462,119.1
1996.557692,119.6
1996.576923,119.1
1996.596154,119.2
1996.615385,118.7
1996.634615,118.8
1996.653846,118.5
1996.673077,118.2
1996.692308,118.2
1996.711538,119.5
1996.730769,120.4
1996.75,120.6
1996.769231,119.8
1996.788462,118.9
1996.807692,117.9
1996.826923,117.1
1996.846154,116.9
1996.865385,116.5
1996.884615,117
1996.903846,116.4
1996.923077,118.5
1996.942308,121.9
1996.961538,121.8
1996.980769,123
1997,122.9
1997.019231,122.7
1997.038462,121.9
1997.057692,120.8
1997.076923,119.5
1997.096154,119.5
1997.115385,118.7
1997.134615,117.8
1997.153846,116.8
1997.173077,116.3
1997.192308,116.4
1997.211538,115.6
1997.230769,115
1997.25,114
1997.269231,112.8
1997.288462,111.8
1997.307692,110.8
1997.326923,109.9
1997.346154,108.9
1997.365385,108.3
1997.384615,107.2
1997.403846,105.5
1997.423077,105.1
1997.442308,104.5
1997.461538,103.2
1997.480769,103.8
1997.5,102.5
1997.519231,101.7
1997.538462,100.6
1997.557692,99.8
1997.576923,102.6
1997.596154,102.3
1997.615385,101.8
1997.634615,102.1
1997.653846,103.2
1997.673077,103.8
1997.692308,105.2
1997.711538,105.5
1997.730769,105.2
1997.75,104.7
1997.769231,106
1997.788462,104.9
1997.807692,104.1
1997.826923,104.2
1997.846154,104.1
1997.865385,103.7
1997.884615,104.4
1997.903846,103.5
1997.923077,102.3
1997.942308,101.8
1997.961538,101.1
1997.980769,100.4
1998,99.8
1998.019231,99.1
1998.038462,98.7
1998.057692,99.9
1998.076923,99.9
1998.096154,100.6
1998.115385,101
1998.134615,100.7
1998.153846,100.1
1998.173077,99.7
1998.192308,99.4
1998.211538,98.1
1998.230769,97.1
1998.25,95.4
1998.269231,93.3
1998.288462,92.3
1998.307692,92.1
1998.326923,91.4
1998.346154,91.3
1998.365385,92
1998.384615,92.1
1998.403846,91.3
1998.423077,90.8
1998.442308,90.7
1998.461538,89.9
1998.480769,88.5
1998.5,89.1
1998.519231,90
1998.538462,95.8
1998.557692,99.9
1998.576923,105.5
1998.596154,108.7
1998.615385,110.7
1998.634615,110.3
1998.653846,109.9
1998.673077,110.7
1998.692308,110.9
1998.711538,111.2
1998.730769,110.1
1998.75,108.8
1998.769231,109.2
1998.788462,108.8
1998.807692,110.5
1998.826923,109.5
1998.846154,111
1998.865385,112.3
1998.884615,114.8
1998.903846,117.2
1998.923077,117.2
1998.942308,118.3
1998.961538,121.4
1998.980769,121.2
1999,121.4
1999.019231,122.3
1999.038462,123.4
1999.057692,125.2
1999.076923,124.8
1999.096154,124.2
1999.115385,123.4
1999.134615,122
1999.153846,122.5
1999.173077,121.8
1999.192308,122.2
1999.211538,124
1999.230769,125.8
1999.25,126.2
1999.269231,126
1999.288462,126.3
1999.307692,125.7
1999.326923,126.3
1999.346154,126
1999.365385,125.2
1999.384615,126.8
1999.403846,130.7
1999.423077,130.7
1999.442308,131.9
1999.461538,135
1999.480769,140
1999.5,141.3
1999.519231,149
1999.538462,151.1
1999.557692,150.8
1999.576923,148.4
1999.596154,147.8
1999.615385,144.7
1999.634615,141.5
1999.653846,140.6
1999.673077,138.6
1999.692308,142.7
1999.711538,146.6
1999.730769,149.4
1999.75,150.9
1999.769231,153.5
1999.788462,160.7
1999.807692,166.4
1999.826923,164.1
1999.846154,160.6
1999.865385,157.1
1999.884615,152.1
1999.903846,149.9
1999.923077,144.7
1999.942308,143.7
1999.961538,142
1999.980769,144.4
2000,145.6
2000.019231,150.2
2000.038462,153.5
2000.057692,153.9
2000.076923,152.5
2000.096154,149.8
2000.115385,147.3
2000.134615,151.6
2000.153846,153.2
2000.173077,152.3
2000.192308,150.2
2000.211538,150.1
2000.230769,148.7
2000.25,148.9
2000.269231,146.4
2000.288462,142.5
2000.307692,139.6
2000.326923,138.8
2000.346154,137.7
2000.365385,140
2000.384615,145.8
2000.403846,145.6
2000.423077,144.6
2000.442308,142.6
2000.461538,146
2000.480769,142.9
2000.5,141
2000.519231,139.3
2000.538462,138.7
2000.557692,137.7
2000.576923,137.9
2000.596154,141.1
2000.615385,146.9
2000.634615,153.5
2000.653846,158.6
2000.673077,158.5
2000.692308,165.9
2000.711538,166.3
2000.730769,163.7
2000.75,165.6
2000.769231,163
2000.788462,158
2000.807692,152.6
2000.826923,145.4
2000.846154,138.4
2000.865385,135
2000.884615,133
2000.903846,131.8
2000.923077,131.9
2000.942308,131.9
2000.961538,134.7
2000.980769,139.9
2001,148
2001.019231,153.8
2001.038462,151.1
2001.057692,151.6
2001.076923,146
2001.096154,138.1
2001.115385,131
2001.134615,126.4
2001.153846,122.1
2001.173077,119.3
2001.192308,117
2001.211538,114.7
2001.230769,114
2001.25,109.7
2001.269231,108.4
2001.288462,107.5
2001.307692,104.2
2001.326923,106.3
2001.346154,109.6
2001.365385,110.9
2001.384615,109.9
2001.403846,108.7
2001.423077,108.1
2001.442308,109.8
2001.461538,108.5
2001.480769,108.9
2001.5,108.7
2001.519231,111.8
2001.538462,119.4
2001.557692,126.2
2001.576923,130.8
2001.596154,133.9
2001.615385,138.2
2001.634615,136.8
2001.653846,136.7
2001.673077,135.3
2001.692308,135.6
2001.711538,134.9
2001.730769,136
2001.75,134.8
2001.769231,135.3
2001.788462,133.2
2001.807692,133.5
2001.826923,134.2
2001.846154,135.7
2001.865385,134.5
2001.884615,136.1
2001.903846,138.1
2001.923077,137.6
2001.942308,135.5
2001.961538,135.5
2001.980769,135.7
2002,136.5
2002.019231,135.3
2002.038462,135.5
2002.057692,136.7
2002.076923,135.7
2002.096154,138.5
2002.115385,141.6
2002.134615,142.2
2002.153846,144.3
2002.173077,142.7
2002.192308,142.7
2002.211538,140.6
2002.230769,137
2002.25,133.6
2002.269231,131.6
2002.288462,131.6
2002.307692,132.2
2002.326923,137.1
2002.346154,141.7
2002.365385,141.2
2002.384615,142.3
2002.403846,142.2
2002.423077,143.7
2002.442308,149.9
2002.461538,158.2
2002.480769,163
2002.5,161.7
2002.519231,164.1
2002.538462,166.3
2002.557692,167.3
2002.576923,162.6
2002.596154,157.7
2002.615385,155.7
2002.634615,152.1
2002.653846,150.4
2002.673077,148.6
2002.692308,144.1
2002.711538,142.7
2002.730769,144.4
2002.75,143.9
2002.769231,142.8
2002.788462,145.6
2002.807692,148
2002.826923,145.1
2002.846154,144.3
2002.865385,144.8
2002.884615,148.9
2002.903846,149.6
2002.923077,148.8
2002.942308,151.6
2002.961538,155
2002.980769,159.4
2003,169.3
2003.019231,168.8
2003.038462,165.3
2003.057692,163.6
2003.076923,158
2003.096154,152.4
2003.115385,151.1
2003.134615,151.5
2003.153846,152.7
2003.173077,149.9
2003.192308,149.4
2003.211538,146.4
2003.230769,145.9
2003.25,147.8
2003.269231,145.4
2003.288462,144.1
2003.307692,143.3
2003.326923,145.9
2003.346154,145.4
2003.365385,149.2
2003.384615,154.4
2003.403846,157.9
2003.423077,160.4
2003.442308,159.1
2003.461538,160.9
2003.480769,161.7
