reg,popu,gen,rack,nutrient,amd,status,total.fruits
SP,1.SP,14,2,1,unclipped,Petri.Plate,1
SP,8.SP,24,1,1,unclipped,Normal,1
SW,7.SW,36,2,1,unclipped,Transplant,3
SP,1.SP,15,2,8,clipped,Transplant,6
NL,3.NL,5,1,8,unclipped,Normal,7
NL,3.NL,4,2,1,unclipped,Petri.Plate,3
NL,3.NL,4,2,8,clipped,Normal,8
NL,5.NL,12,2,1,unclipped,Normal,4
NL,5.NL,12,1,1,clipped,Normal,2
SP,5.SP,16,2,1,clipped,Transplant,1
SW,7.SW,35,2,8,unclipped,Normal,2
SW,7.SW,36,1,1,unclipped,Normal,2
SW,1.SW,27,1,1,unclipped,Petri.Plate,4
SP,6.SP,21,2,1,unclipped,Transplant,2
SP,1.SP,15,1,1,unclipped,Normal,9
SP,5.SP,16,1,1,unclipped,Transplant,2
NL,3.NL,6,1,1,unclipped,Petri.Plate,1
SP,8.SP,22,1,8,unclipped,Petri.Plate,2
SP,8.SP,24,1,1,unclipped,Transplant,2
SP,6.SP,21,2,1,clipped,Normal,24
SP,6.SP,21,1,1,clipped,Normal,2
SP,8.SP,24,1,1,clipped,Transplant,1
SP,8.SP,24,2,1,unclipped,Transplant,13
SP,1.SP,13,2,1,clipped,Normal,2
SP,6.SP,20,2,1,unclipped,Normal,3
SP,5.SP,17,1,1,unclipped,Normal,5
NL,3.NL,4,2,1,unclipped,Normal,7
NL,5.NL,11,2,1,clipped,Normal,3
NL,5.NL,11,1,1,clipped,Transplant,1
SP,5.SP,16,1,1,clipped,Normal,1
SW,7.SW,35,1,1,clipped,Transplant,3
SP,8.SP,24,1,1,clipped,Petri.Plate,3
SP,1.SP,15,1,1,clipped,Normal,3
SP,6.SP,20,1,1,clipped,Normal,2
SW,7.SW,36,2,8,clipped,Transplant,10
SP,8.SP,24,2,1,unclipped,Normal,8
NL,5.NL,12,1,8,unclipped,Transplant,2
SP,1.SP,13,2,1,unclipped,Transplant,1
SP,6.SP,21,2,1,clipped,Normal,3
SP,8.SP,24,2,8,clipped,Petri.Plate,5
SW,1.SW,25,2,1,unclipped,Transplant,18
SW,7.SW,36,2,1,unclipped,Normal,9
SW,7.SW,36,1,1,clipped,Transplant,9
NL,3.NL,4,1,1,unclipped,Transplant,2
NL,5.NL,12,2,1,clipped,Normal,4
SP,8.SP,24,1,8,unclipped,Normal,1
SW,7.SW,34,1,8,unclipped,Normal,11
SP,6.SP,20,1,1,clipped,Transplant,9
SP,6.SP,20,2,8,unclipped,Transplant,3
NL,3.NL,4,1,1,unclipped,Normal,2
SP,5.SP,18,2,1,clipped,Normal,2
SP,6.SP,20,2,1,clipped,Normal,2
NL,3.NL,6,2,1,unclipped,Normal,2
SP,1.SP,13,1,1,clipped,Normal,1
SP,8.SP,24,2,1,clipped,Transplant,2
NL,3.NL,4,2,8,unclipped,Petri.Plate,10
NL,3.NL,4,1,1,clipped,Transplant,7
SP,1.SP,13,1,1,unclipped,Petri.Plate,3
SW,1.SW,25,2,1,clipped,Transplant,3
SW,7.SW,36,1,8,unclipped,Transplant,21
SP,5.SP,17,1,1,unclipped,Normal,1
NL,5.NL,11,2,8,clipped,Normal,5
SP,5.SP,18,2,1,unclipped,Normal,9
SP,1.SP,13,2,1,clipped,Transplant,11
SW,2.SW,28,2,1,unclipped,Normal,3
SP,6.SP,20,2,1,unclipped,Normal,2
SP,5.SP,16,2,8,unclipped,Petri.Plate,5
SP,5.SP,17,1,1,unclipped,Normal,15
NL,5.NL,11,2,1,unclipped,Normal,2
SP,1.SP,13,2,1,clipped,Normal,3
SP,1.SP,14,1,1,clipped,Normal,2
SP,5.SP,16,1,1,unclipped,Normal,4
SP,6.SP,20,1,1,clipped,Normal,45
SW,2.SW,28,1,1,unclipped,Normal,3
SW,7.SW,35,1,1,unclipped,Normal,5
SP,1.SP,14,2,1,clipped,Normal,13
SP,5.SP,18,1,1,clipped,Normal,5
SP,8.SP,24,2,1,clipped,Petri.Plate,5
SW,2.SW,28,1,8,clipped,Normal,33
NL,5.NL,11,1,8,clipped,Normal,14
SW,2.SW,28,2,1,unclipped,Normal,10
SP,1.SP,15,1,1,unclipped,Normal,10
SP,1.SP,14,1,1,unclipped,Normal,6
SW,7.SW,34,1,1,clipped,Normal,4
SP,5.SP,17,2,1,clipped,Normal,4
NL,5.NL,12,2,1,clipped,Normal,5
SP,1.SP,15,1,1,unclipped,Transplant,4
SP,6.SP,21,1,1,unclipped,Normal,3
SW,2.SW,30,2,1,unclipped,Normal,4
SP,1.SP,15,2,1,clipped,Petri.Plate,11
SP,5.SP,16,2,1,clipped,Transplant,2
SP,8.SP,23,1,1,unclipped,Petri.Plate,10
SP,1.SP,13,2,1,unclipped,Normal,3
SP,1.SP,15,2,1,clipped,Normal,2
SP,1.SP,15,1,8,unclipped,Normal,68
NL,5.NL,11,1,1,unclipped,Transplant,16
SW,7.SW,35,2,1,unclipped,Normal,10
SP,5.SP,16,1,1,clipped,Transplant,3
NL,5.NL,11,1,1,clipped,Normal,3
SW,7.SW,34,2,8,clipped,Transplant,9
SP,5.SP,16,2,1,unclipped,Normal,22
NL,3.NL,4,1,1,unclipped,Normal,6
NL,5.NL,12,2,1,clipped,Transplant,13
SP,5.SP,17,2,8,unclipped,Normal,7
SP,5.SP,17,1,1,clipped,Petri.Plate,16
SP,8.SP,24,2,1,clipped,Normal,3
SP,1.SP,13,1,8,clipped,Normal,10
SP,1.SP,13,2,8,unclipped,Normal,3
SP,5.SP,18,1,1,clipped,Normal,5
SW,1.SW,25,2,1,unclipped,Normal,5
SW,2.SW,30,1,1,unclipped,Normal,9
NL,5.NL,12,2,8,clipped,Normal,3
SP,5.SP,17,2,8,clipped,Petri.Plate,12
NL,5.NL,12,2,8,clipped,Transplant,7
SW,7.SW,35,2,8,unclipped,Transplant,10
SP,5.SP,16,2,1,clipped,Normal,3
SP,6.SP,19,1,1,unclipped,Normal,5
SP,1.SP,13,2,1,unclipped,Petri.Plate,7
SP,8.SP,22,1,1,unclipped,Normal,8
SP,5.SP,17,2,1,unclipped,Normal,6
SW,7.SW,36,1,8,clipped,Normal,43
SP,1.SP,13,2,1,unclipped,Normal,3
NL,5.NL,11,2,1,clipped,Normal,6
SW,7.SW,35,2,8,unclipped,Normal,17
SP,6.SP,19,1,1,unclipped,Petri.Plate,32
SW,2.SW,28,2,8,clipped,Petri.Plate,14
SW,7.SW,36,2,1,unclipped,Normal,7
SP,6.SP,19,2,1,clipped,Normal,6
SP,1.SP,13,2,8,clipped,Normal,5
SP,8.SP,24,1,1,clipped,Normal,10
SW,7.SW,35,1,8,unclipped,Transplant,20
SP,1.SP,14,1,1,clipped,Normal,8
SP,1.SP,15,2,8,clipped,Normal,58
SW,2.SW,30,2,8,unclipped,Normal,11
SW,1.SW,25,2,1,clipped,Normal,5
SW,7.SW,35,2,1,clipped,Transplant,10
SP,5.SP,16,2,1,unclipped,Transplant,3
SP,1.SP,13,1,1,clipped,Transplant,6
SP,8.SP,22,1,1,unclipped,Normal,10
SP,6.SP,20,1,1,unclipped,Normal,5
SP,6.SP,21,2,8,clipped,Normal,7
NL,5.NL,11,1,8,clipped,Normal,52
SP,1.SP,14,1,8,unclipped,Normal,47
SP,1.SP,13,2,1,clipped,Normal,5
SW,2.SW,28,2,8,clipped,Normal,22
SP,5.SP,18,1,1,unclipped,Normal,5
SP,5.SP,16,1,8,unclipped,Transplant,7
SP,1.SP,15,2,1,unclipped,Normal,29
SP,8.SP,24,1,1,clipped,Normal,25
NL,5.NL,11,2,1,clipped,Transplant,6
NL,5.NL,11,2,8,unclipped,Transplant,12
SP,5.SP,16,1,8,clipped,Transplant,14
SW,7.SW,36,1,1,unclipped,Transplant,27
SP,5.SP,16,1,1,unclipped,Transplant,21
SP,1.SP,13,1,1,unclipped,Normal,6
SW,7.SW,36,2,8,clipped,Transplant,25
SP,8.SP,23,1,8,clipped,Normal,35
SP,6.SP,21,1,1,clipped,Normal,9
NL,5.NL,11,2,1,unclipped,Normal,14
SP,1.SP,13,1,8,clipped,Normal,14
NL,3.NL,6,1,8,clipped,Normal,21
NL,5.NL,11,1,1,unclipped,Petri.Plate,70
SP,1.SP,13,2,1,unclipped,Transplant,7
SW,1.SW,25,2,8,unclipped,Transplant,4
NL,5.NL,11,1,8,unclipped,Normal,10
SP,8.SP,22,2,1,clipped,Transplant,10
SP,8.SP,24,2,1,clipped,Normal,8
SP,6.SP,20,2,1,unclipped,Normal,27
SP,8.SP,22,1,1,clipped,Normal,33
SP,1.SP,14,2,8,clipped,Normal,6
NL,3.NL,5,1,1,unclipped,Petri.Plate,54
SP,1.SP,15,1,8,clipped,Normal,164
NL,5.NL,12,1,1,clipped,Normal,24
NL,3.NL,4,2,8,unclipped,Normal,11
SP,1.SP,15,2,8,clipped,Transplant,12
SP,1.SP,15,2,8,clipped,Normal,11
SP,8.SP,23,2,1,clipped,Normal,11
SW,2.SW,28,2,8,unclipped,Normal,22
SP,5.SP,17,2,1,unclipped,Petri.Plate,7
SP,6.SP,20,2,8,unclipped,Normal,10
SW,1.SW,27,1,8,unclipped,Normal,10
SP,5.SP,18,2,8,clipped,Petri.Plate,12
SW,1.SW,25,2,8,clipped,Transplant,11
SP,1.SP,13,2,8,clipped,Normal,12
SP,6.SP,19,2,1,clipped,Normal,17
SP,1.SP,13,1,1,unclipped,Normal,131
SW,1.SW,27,1,8,clipped,Normal,22
NL,3.NL,5,2,8,unclipped,Normal,23
SP,5.SP,16,1,1,unclipped,Normal,6
SP,5.SP,16,2,8,clipped,Petri.Plate,39
NL,5.NL,12,2,1,unclipped,Normal,10
SP,1.SP,14,1,1,unclipped,Transplant,22
SW,1.SW,25,1,1,unclipped,Normal,15
SP,5.SP,16,1,1,unclipped,Normal,22
SP,1.SP,13,2,8,clipped,Normal,48
SW,7.SW,34,1,8,clipped,Petri.Plate,42
SW,7.SW,36,1,1,unclipped,Transplant,18
SP,1.SP,15,1,8,clipped,Transplant,38
NL,3.NL,4,2,8,unclipped,Transplant,21
SP,6.SP,21,2,1,unclipped,Normal,6
SP,1.SP,15,1,1,unclipped,Transplant,32
NL,3.NL,6,1,8,unclipped,Normal,16
SP,1.SP,15,2,1,clipped,Transplant,21
SP,6.SP,19,1,8,unclipped,Normal,60
SW,1.SW,25,2,1,unclipped,Petri.Plate,8
SW,1.SW,25,2,8,clipped,Normal,12
SP,6.SP,19,2,8,unclipped,Normal,34
NL,5.NL,11,1,8,unclipped,Petri.Plate,55
SP,1.SP,15,2,1,unclipped,Normal,13
SW,7.SW,36,1,8,unclipped,Normal,13
SP,8.SP,24,2,8,unclipped,Normal,74
SP,8.SP,22,1,8,clipped,Normal,30
SP,1.SP,15,1,1,clipped,Normal,22
NL,3.NL,6,2,8,unclipped,Normal,24
SW,7.SW,35,2,8,unclipped,Transplant,13
SW,7.SW,35,1,1,unclipped,Transplant,12
SP,1.SP,13,1,8,clipped,Normal,72
NL,3.NL,4,1,8,unclipped,Normal,23
SW,1.SW,25,1,1,clipped,Petri.Plate,13
SW,1.SW,25,1,1,unclipped,Normal,10
SW,1.SW,27,2,8,clipped,Normal,56
SW,2.SW,28,1,1,clipped,Normal,16
SP,5.SP,16,2,1,unclipped,Normal,20
SP,6.SP,20,1,8,clipped,Normal,69
SP,1.SP,15,1,1,clipped,Transplant,26
SP,5.SP,16,2,8,unclipped,Normal,21
SP,6.SP,20,1,1,unclipped,Transplant,31
SW,7.SW,36,1,8,clipped,Transplant,56
NL,5.NL,12,1,1,unclipped,Normal,26
SP,1.SP,14,2,1,clipped,Normal,11
SP,5.SP,16,2,8,unclipped,Normal,12
NL,3.NL,4,1,8,unclipped,Transplant,24
SP,1.SP,13,1,8,unclipped,Transplant,27
NL,5.NL,11,2,8,clipped,Normal,13
NL,3.NL,4,1,8,unclipped,Normal,59
SP,8.SP,23,2,1,unclipped,Normal,29
SW,7.SW,36,1,8,clipped,Transplant,28
SP,8.SP,24,2,1,unclipped,Normal,69
SW,7.SW,36,1,1,unclipped,Normal,24
SP,1.SP,14,2,1,unclipped,Normal,15
SP,1.SP,15,1,8,clipped,Transplant,52
SP,8.SP,23,1,8,clipped,Petri.Plate,80
SP,8.SP,24,2,8,clipped,Normal,67
SW,2.SW,28,2,1,clipped,Normal,23
SP,5.SP,16,2,8,unclipped,Normal,41
SP,8.SP,24,1,1,unclipped,Normal,32
SW,1.SW,25,2,8,unclipped,Petri.Plate,13
SP,5.SP,16,1,8,unclipped,Normal,19
NL,3.NL,4,1,8,unclipped,Transplant,42
SP,5.SP,17,2,8,clipped,Normal,82
SP,6.SP,20,2,8,clipped,Normal,47
SP,8.SP,24,1,8,clipped,Normal,155
NL,3.NL,4,2,8,clipped,Normal,22
NL,5.NL,12,2,8,clipped,Normal,22
SP,5.SP,16,1,8,clipped,Transplant,35
SP,5.SP,18,2,1,clipped,Petri.Plate,15
SP,1.SP,14,1,8,clipped,Transplant,39
NL,5.NL,11,2,8,unclipped,Normal,27
SW,7.SW,35,1,8,unclipped,Normal,29
SW,1.SW,27,1,8,clipped,Petri.Plate,42
SP,1.SP,13,1,1,clipped,Normal,21
NL,5.NL,11,1,8,unclipped,Normal,90
SW,2.SW,28,2,8,clipped,Normal,74
NL,5.NL,11,1,8,clipped,Transplant,150
SP,1.SP,15,1,1,clipped,Petri.Plate,69
SW,1.SW,27,1,1,clipped,Normal,27
SW,1.SW,25,2,1,unclipped,Petri.Plate,27
SW,7.SW,35,1,8,unclipped,Transplant,35
SP,6.SP,19,1,8,clipped,Normal,197
SP,5.SP,16,2,1,unclipped,Petri.Plate,20
SW,1.SW,27,2,1,unclipped,Normal,31
SP,5.SP,17,1,8,unclipped,Transplant,42
NL,3.NL,6,2,8,unclipped,Petri.Plate,16
SP,6.SP,21,1,8,unclipped,Normal,109
SP,1.SP,13,1,8,clipped,Normal,116
SP,1.SP,15,2,8,unclipped,Normal,98
SW,2.SW,30,2,8,clipped,Normal,35
NL,5.NL,12,2,1,unclipped,Normal,70
SP,1.SP,15,1,8,clipped,Normal,69
SP,8.SP,23,2,8,clipped,Normal,9
SP,5.SP,17,1,1,clipped,Normal,48
SP,1.SP,14,2,1,unclipped,Normal,20
NL,5.NL,11,2,8,unclipped,Normal,27
SP,6.SP,20,2,8,clipped,Normal,36
NL,3.NL,5,2,8,clipped,Transplant,29
SP,8.SP,24,1,1,unclipped,Normal,24
SP,1.SP,13,1,8,unclipped,Normal,62
SP,8.SP,24,1,8,unclipped,Normal,147
SP,1.SP,13,1,1,unclipped,Normal,74
SP,1.SP,13,1,8,clipped,Transplant,194
SP,8.SP,24,1,1,unclipped,Normal,36
SW,1.SW,25,1,1,clipped,Normal,20
SP,8.SP,24,1,8,clipped,Normal,123
NL,3.NL,4,1,8,clipped,Normal,69
SP,1.SP,13,1,8,unclipped,Normal,182
SP,8.SP,22,1,8,unclipped,Normal,167
SP,8.SP,23,1,8,unclipped,Petri.Plate,80
SP,8.SP,23,2,8,clipped,Normal,84
SP,8.SP,24,2,8,clipped,Transplant,145
SW,7.SW,36,1,8,clipped,Transplant,41
SW,7.SW,34,1,8,unclipped,Transplant,36
NL,5.NL,12,1,1,unclipped,Petri.Plate,21
SW,7.SW,35,1,1,unclipped,Normal,99
SP,6.SP,20,1,8,clipped,Petri.Plate,49
SW,7.SW,36,1,1,clipped,Normal,33
NL,5.NL,11,2,8,unclipped,Normal,28
NL,3.NL,4,1,8,unclipped,Normal,119
SW,7.SW,34,1,8,unclipped,Normal,20
SP,1.SP,14,1,8,unclipped,Transplant,37
SP,8.SP,24,1,8,unclipped,Normal,156
SP,1.SP,13,1,1,unclipped,Transplant,36
NL,3.NL,6,2,8,clipped,Normal,52
SP,5.SP,17,2,8,unclipped,Normal,44
SW,1.SW,25,1,8,clipped,Normal,54
SP,1.SP,13,1,8,unclipped,Normal,106
SP,1.SP,14,1,8,unclipped,Normal,27
SP,1.SP,13,1,8,unclipped,Transplant,114
SP,6.SP,19,2,8,clipped,Normal,57
SW,2.SW,30,1,8,clipped,Normal,54
SP,6.SP,20,1,8,unclipped,Normal,27
SP,8.SP,22,2,8,unclipped,Normal,60
SP,6.SP,19,1,8,unclipped,Petri.Plate,30
SP,1.SP,14,2,8,unclipped,Normal,34
SP,6.SP,21,1,1,unclipped,Petri.Plate,31
SW,2.SW,28,1,8,unclipped,Petri.Plate,105
SP,8.SP,24,2,8,unclipped,Transplant,39
SW,1.SW,27,1,8,unclipped,Normal,41
SW,1.SW,25,1,1,unclipped,Transplant,79
SW,1.SW,27,1,1,clipped,Normal,40
SP,6.SP,20,1,8,clipped,Petri.Plate,112
SP,1.SP,14,2,8,unclipped,Petri.Plate,23
SW,2.SW,28,1,1,clipped,Normal,30
SP,6.SP,21,1,1,unclipped,Normal,62
NL,5.NL,11,1,8,unclipped,Petri.Plate,117
SW,1.SW,25,1,1,unclipped,Petri.Plate,31
SP,1.SP,13,2,8,clipped,Petri.Plate,33
SP,5.SP,18,2,8,unclipped,Petri.Plate,36
SP,8.SP,23,2,8,unclipped,Normal,78
SW,2.SW,30,1,8,unclipped,Normal,29
SP,1.SP,13,1,8,unclipped,Transplant,67
SW,7.SW,35,1,8,clipped,Normal,66
SP,5.SP,16,2,8,clipped,Normal,28
SP,8.SP,22,2,8,clipped,Transplant,89
SP,5.SP,16,1,8,clipped,Normal,49
SP,6.SP,19,1,8,clipped,Normal,91
SW,1.SW,27,1,8,unclipped,Normal,140
