"","ID","DT","la","lo","count","vol","country","ship","T.surf","T.20","T.50","T.100","period","d","gear.sub","gear","opening","wind","T1.surf","T1.20","T1.50","T1.100","Sal20","b.depth"
"112838",8226520,"2010-03-25 15:26:00.000",50.75,-10.29,44,111.32,"IRELAND","45CV",10.08,10.03,9.97,"9.91","2","","G7","Gulf7","20","0",10.08,10.03,9.97,"9.91",35.078,138
"112975",8226526,"2010-03-25 21:51:00.000",50.75,-9.27,2,85.25,"IRELAND","45CV",9.49,9.49,9.4,"9.3","2","","G7","Gulf7","20","0",9.49,9.49,9.4,"9.3",34.773,119
"113080",8226531,"2010-03-26 01:22:00.000",50.75,-8.77,7,69.01,"IRELAND","45CV",9.08,9.07,9.02,"8.97","2","","G7","Gulf7","20","0",9.08,9.07,9.02,"8.97",34.762,102
"113125",8226501,"2010-03-23 19:14:00.000",51.25,-14.21,1,137.62,"IRELAND","45CV",11.12,11.12,11.09,"11.11","2","","G7","Gulf7","20","0",11.12,11.12,11.09,"11.11",35.456,537
"113204",8226504,"2010-03-24 15:45:00.000",50.75,-13.79,1,133.63,"IRELAND","45CV",11.43,11.32,11.3,"11.27","2","","G7","Gulf7","20","0",11.43,11.32,11.3,"11.27",35.444,1531
"113516",8226440,"2010-03-27 11:11:00.000",50.76,-10.71,92,75.01,"IRELAND","45CV",10.76,10.74,10.69,"10.46","2","","G7","Gulf7","20","0",10.76,10.74,10.69,"10.46",34.987,166
"113636",8226350,"2010-03-08 13:50:00.000",49.75,-8.22,2,82.7,"IRELAND","45CE",9.76,9.8,9.8,"9.8","2","","G7","Gulf7","20","0",9.76,9.8,9.8,"9.8",35.363,128
"113774",8226467,"2010-03-20 23:13:00.000",51.25,-7.23,14,59.5,"IRELAND","45CV",8.58,8.55,8.54,"","2","","G7","Gulf7","20","0",8.58,8.55,8.54,"",35.196,87
"113804",8226377,"2010-03-13 20:11:00.000",50.25,-7.23,1,71.7,"IRELAND","45CE",8.92,8.93,8.94,"8.94","2","","G7","Gulf7","20","0",8.92,8.93,8.94,"8.94",35.244,105
"114076",8226287,"2010-03-09 10:29:00.000",49.75,-12.72,258,142.2,"IRELAND","45CE",11.31,11.31,11.31,"11.32","2","","G7","Gulf7","20","0",11.31,11.31,11.31,"11.32",35.548,2275
"114121",8226296,"2010-03-09 15:18:00.000",49.75,-13.73,40,149,"IRELAND","45CE",11.32,11.38,11.39,"11.37","2","","G7","Gulf7","20","0",11.32,11.38,11.39,"11.37",35.541,3324
"114196",8226515,"2010-03-25 12:02:00.000",50.75,-10.78,445,119.99,"IRELAND","45CV",10.97,10.97,10.97,"10.95","2","","G7","Gulf7","20","0",10.97,10.97,10.97,"10.95",35.183,170
"114241",8226206,"2010-04-07 21:44:00.000",54.29,-10.71,269,262.8,"GERMANY","06NI",10.18,10.18,10.17,"10.07","2","","NH","NACKTHAI","20","0",10.18,10.18,10.17,"10.07",35.54,206
"114400",8226323,"2010-03-12 01:42:00.000",48.25,-11.26,825,158.1,"IRELAND","45CE",11.17,11.82,11.17,"11.16","2","","G7","Gulf7","20","0",11.17,11.82,11.17,"11.16",35.556,3863
"114768",8226251,"2010-04-09 00:37:00.000",52.29,-13.28,3,156.8,"GERMANY","06NI",10.64,10.64,10.51,"10.55","2","","NH","NACKTHAI","20","0",10.64,10.64,10.51,"10.55",35.6,528
"114813",8226062,"2010-04-02 06:03:00.000",55.25,-10.67,241,274.1,"GERMANY","06NI",10.24,10.23,10.24,"10.17","2","","NH","NACKTHAI","20","0",10.24,10.23,10.24,"10.17",35.53,2491
"114858",8226071,"2010-04-02 14:50:00.000",56.21,-9.8,74,318.2,"GERMANY","06NI",10.26,10.27,10.27,"10.23","2","","NH","NACKTHAI","20","0",10.26,10.27,10.27,"10.23",35.53,1707
"115040",8226098,"2010-04-03 10:31:00.000",57.25,-8.71,367,114.2,"GERMANY","06NI",9.11,9.09,9.08,"9.04","2","","NH","NACKTHAI","20","0",9.11,9.09,9.08,"9.04",35.42,133
"115395",8225999,"2010-03-31 03:31:00.000",53.73,-13.19,466,243.6,"GERMANY","06NI",10.51,10.51,10.5,"10.45","2","","NH","NACKTHAI","20","0",10.51,10.51,10.5,"10.45",35.55,287
"115735",8226008,"2010-03-31 05:58:00.000",53.72,-13.72,98,279.3,"GERMANY","06NI",10.51,10.54,10.55,"10.46","2","","NH","NACKTHAI","20","0",10.51,10.54,10.55,"10.46",35.53,329
"116039",8226116,"2010-04-03 23:12:00.000",58.25,-9.33,2,292.2,"GERMANY","06NI",9.85,9.84,9.86,"9.87","2","","NH","NACKTHAI","20","0",9.85,9.84,9.86,"9.87",35.5,422
"116056",8225936,"2010-03-29 16:30:00.000",52.75,-13.32,36,356.5,"GERMANY","06NI",10.55,10.56,10.56,"10.58","2","","NH","NACKTHAI","20","0",10.55,10.56,10.56,"10.58",35.59,319
"116332",8225945,"2010-03-29 21:31:00.000",52.75,-12.32,1097,332.5,"GERMANY","06NI",10.52,10.53,10.54,"10.54","2","","NH","NACKTHAI","20","0",10.52,10.53,10.54,"10.54",35.59,371
"120518",8225955,"2010-03-30 02:10:00.000",52.75,-11.3,33,242.1,"GERMANY","06NI",9.44,9.44,9.46,"9.6","2","","NH","NACKTHAI","20","0",9.44,9.44,9.46,"9.6",35.33,130
"120766",8225973,"2010-03-30 14:06:00.000",53.74,-10.44,1,122.6,"GERMANY","06NI",8.44,8.44,8.45,"","2","","NH","NACKTHAI","20","0",8.44,8.44,8.45,"",34.98,97
"121156",8226081,"2010-04-02 19:26:00.000",56.25,-8.79,151,123.9,"GERMANY","06NI",9.77,9.77,9.7,"9.53","2","","NH","NACKTHAI","20","0",9.77,9.77,9.7,"9.53",35.55,130
"122124",8226126,"2010-04-04 14:14:00.000",57.77,-8.25,1,33.8,"GERMANY","06NI",8,7.94,8.34,"","2","","NH","NACKTHAI","20","0",8,7.94,8.34,"",35.08,109
"122841",8226261,"2010-04-09 07:06:00.000",52.25,-11.8,15,90.9,"GERMANY","06NI",10.7,10.7,10.52,"10.39","2","","NH","NACKTHAI","20","0",10.7,10.7,10.52,"10.39",35.62,364
"123132",8226306,"2010-03-11 08:32:00.000",48.75,-13.78,199,151.4,"IRELAND","45CE",11.31,11.26,11.27,"11.33","2","","G7","Gulf7","20","0",11.31,11.26,11.27,"11.33",35.534,4528
"123406",8226333,"2010-03-12 06:41:00.000",48.75,-10.77,877,142.6,"IRELAND","45CE",11.24,11.25,11.24,"11.25","2","","G7","Gulf7","20","0",11.24,11.25,11.24,"11.25",35.564,1661
"123652",8226360,"2010-03-12 22:59:00.000",48.75,-7.77,217,130.5,"IRELAND","45CE",10.31,10.3,10.31,"10.32","2","","G7","Gulf7","20","0",10.31,10.3,10.31,"10.32",35.467,153
"123685",8226378,"2010-03-13 22:14:00.000",50.25,-7.73,1,49.9,"IRELAND","45CE",8.98,8.99,8.99,"","2","","G7","Gulf7","20","0",8.98,8.99,8.99,"",35.265,93
"123884",8226432,"2010-03-08 20:28:00.000",49.75,-9.74,12,112.2,"IRELAND","45CE",10.41,10.43,10.43,"10.44","2","","G7","Gulf7","20","0",10.41,10.43,10.43,"10.44",35.479,137
"124119",8226450,"2010-03-27 17:46:00.000",50.25,-11.21,5,149.72,"IRELAND","45CV",11.41,11.33,11.3,"11.3","2","","G7","Gulf7","20","0",11.41,11.33,11.3,"11.3",35.109,737
"124903",8226491,"2010-03-23 10:54:00.000",51.25,-12.71,1,150.8,"IRELAND","45CV",11.01,11.02,11.04,"11.03","2","","G7","Gulf7","20","0",11.01,11.02,11.04,"11.03",35.561,1883
"125847",8226471,"2010-03-21 11:30:00.000",51.25,-9.73,2,59.2,"IRELAND","45CV",8.63,8.62,8.87,"","2","","G7","Gulf7","20","0",8.63,8.62,8.87,"",35.047,99
"126119",8226473,"2010-03-21 13:52:00.000",51.25,-10.23,1,54.1,"IRELAND","45CV",10,9.9,9.9,"","2","","G7","Gulf7","20","0",10,9.9,9.9,"",35.448,125
"126136",8226469,"2010-03-21 01:41:00.000",51.25,-7.74,2,64.1,"IRELAND","45CV",8.5,8.49,8.47,"","2","","G7","Gulf7","20","0",8.5,8.49,8.47,"",35.197,102
"126153",8226474,"2010-03-21 16:15:00.000",51.25,-10.73,113,72,"IRELAND","45CV",10.78,10.77,10.73,"10.68","2","","G7","Gulf7","20","0",10.78,10.77,10.73,"10.68",35.504,162
"126235",8226498,"2010-03-23 16:27:00.000",51.25,-13.71,4,154.59,"IRELAND","45CV",10.98,11.01,11.04,"11.05","2","","G7","Gulf7","20","0",10.98,11.01,11.04,"11.05",35.496,754
"126437",8226478,"2010-03-22 17:32:00.000",51.25,-11.2,1298,157,"IRELAND","45CV",10.92,10.91,10.87,"10.78","2","","G7","Gulf7","20","0",10.92,10.91,10.87,"10.78",35.531,195
"127549",8226462,"2010-03-28 05:58:00.000",51.25,-10.78,82,103.43,"IRELAND","45CV",10.74,10.71,10.68,"10.35","2","","G7","Gulf7","20","0",10.74,10.71,10.68,"10.35",35.093,166
"128165",8226445,"2010-03-27 15:06:00.000",50.25,-10.73,175,128.29,"IRELAND","45CV",11.22,11.11,11.1,"10.99","2","","G7","Gulf7","20","0",11.22,11.11,11.1,"10.99",35.142,173
"128730",8226483,"2010-03-22 20:28:00.000",51.25,-11.72,31,140,"IRELAND","45CV",11.12,11.13,11.12,"11.05","2","","G7","Gulf7","20","0",11.12,11.13,11.12,"11.05",35.527,1078
"128747",8226424,"2010-03-15 06:13:00.000",50.25,-14.22,9,123.6,"IRELAND","45CE",11.21,11.2,11.16,"11.17","2","","G7","Gulf7","20","0",11.21,11.2,11.16,"11.17",35.549,3581
"129069",8226510,"2010-03-25 07:59:00.000",50.75,-11.28,178,135.16,"IRELAND","45CV",11.04,11.04,11.04,"11.03","2","","G7","Gulf7","20","0",11.04,11.04,11.04,"11.03",35.262,761
"131363",8226433,"2010-03-08 22:44:00.000",49.75,-10.22,12,106.4,"IRELAND","45CE",10.34,10.29,10.3,"10.3","2","","G7","Gulf7","20","0",10.34,10.29,10.3,"10.3",35.476,138
"132408",8226406,"2010-03-14 20:52:00.000",50.25,-12.22,43,148.8,"IRELAND","45CE",11.42,11.41,11.4,"11.4","2","","G7","Gulf7","20","0",11.42,11.41,11.4,"11.4",35.56,2262
"132578",8226411,"2010-03-14 23:14:00.000",50.25,-12.73,84,144.9,"IRELAND","45CE",11.29,11.29,11.28,"11.28","2","","G7","Gulf7","20","0",11.29,11.29,11.28,"11.28",35.579,2463
"132595",8226435,"2010-03-09 01:02:00.000",49.75,-10.73,35,108.3,"IRELAND","45CE",10.85,10.88,10.86,"10.87","2","","G7","Gulf7","20","0",10.85,10.88,10.86,"10.87",35.533,153
"133020",8226416,"2010-03-08 18:09:00.000",49.75,-9.22,4,116,"IRELAND","45CE",9.67,9.68,9.69,"9.69","2","","G7","Gulf7","20","0",9.67,9.68,9.69,"9.69",35.254,123
"133053",8226390,"2010-03-14 09:06:00.000",50.25,-10.22,10,72.6,"IRELAND","45CE",10.7,10.7,10.69,"10.67","2","","G7","Gulf7","20","0",10.7,10.7,10.69,"10.67",35.555,120
"133104",8226393,"2010-03-14 13:49:00.000",50.25,-10.73,217,155.9,"IRELAND","45CE",10.99,11,10.99,"10.91","2","","G7","Gulf7","20","0",10.99,11,10.99,"10.91",35.54,173
"133154",8226388,"2010-03-14 07:01:00.000",50.25,-9.73,5,82.1,"IRELAND","45CE",9.99,10,9.99,"10.01","2","","G7","Gulf7","20","0",9.99,10,9.99,"10.01",35.466,120
"133171",8226418,"2010-03-15 00:38:00.000",50.25,-13.22,38,159.1,"IRELAND","45CE",11.22,11.24,11.24,"11.2","2","","G7","Gulf7","20","0",11.22,11.24,11.24,"11.2",35.572,2658
"133676",8226401,"2010-03-14 18:34:00.000",50.25,-11.72,296,138.3,"IRELAND","45CE",11.43,11.39,11.37,"11.36","2","","G7","Gulf7","20","0",11.43,11.39,11.37,"11.36",35.568,1956
"133855",8226397,"2010-03-14 16:16:00.000",50.25,-11.22,130,144.5,"IRELAND","45CE",11.36,11.3,11.28,"11.26","2","","G7","Gulf7","20","0",11.36,11.3,11.28,"11.26",35.578,756
"134031",8226374,"2010-03-13 18:24:00.000",50.25,-6.81,11,67,"IRELAND","45CE",9.26,9.25,9.24,"9.25","2","","G7","Gulf7","20","0",9.26,9.25,9.24,"9.25",35.312,99
"134247",8226380,"2010-03-14 00:20:00.000",50.25,-8.23,2,109.9,"IRELAND","45CE",9.25,9.23,9.24,"9.27","2","","G7","Gulf7","20","0",9.25,9.23,9.24,"9.27",35.292,123
"134334",8226382,"2010-03-14 02:30:00.000",50.25,-8.72,1,109.9,"IRELAND","45CE",9.2,9.2,9.17,"9.17","2","","G7","Gulf7","20","0",9.2,9.2,9.17,"9.17",35.23,124
"135210",8226364,"2010-03-13 01:05:00.000",48.75,-7.28,199,104.6,"IRELAND","45CE",10.02,10.03,10.03,"10.04","2","","G7","Gulf7","20","0",10.02,10.03,10.03,"10.04",35.423,143
"135366",8226379,"2010-03-08 16:02:00.000",49.75,-8.72,4,70.6,"IRELAND","45CE",9.6,9.61,9.61,"","2","","G7","Gulf7","20","0",9.6,9.61,9.61,"",35.286,117
"135449",8226343,"2010-03-12 12:50:00.000",48.75,-9.76,357,124.8,"IRELAND","45CE",11.14,11.12,11.12,"11.13","2","","G7","Gulf7","20","0",11.14,11.12,11.12,"11.13",35.553,178
"135517",8226347,"2010-03-12 14:45:00.000",48.75,-9.27,17,110.1,"IRELAND","45CE",10.96,10.93,10.91,"10.92","2","","G7","Gulf7","20","0",10.96,10.93,10.91,"10.92",35.534,163
"135756",8226372,"2010-03-13 16:29:00.000",50.25,-6.4,5,81.1,"IRELAND","45CE",8.99,8.93,8.92,"","2","","G7","Gulf7","20","0",8.99,8.93,8.92,"",35.29,87
"135773",8226352,"2010-03-12 16:42:00.000",48.75,-8.78,277,117,"IRELAND","45CE",10.71,10.71,10.69,"10.69","2","","G7","Gulf7","20","0",10.71,10.71,10.69,"10.69",35.524,166
"136569",8226328,"2010-03-12 03:48:00.000",48.25,-10.77,48,104.4,"IRELAND","45CE",11.04,11,11.01,"11.02","2","","G7","Gulf7","20","0",11.04,11,11.01,"11.02",35.552,3320
"136983",8226356,"2010-03-12 20:45:00.000",48.75,-8.28,312,138.7,"IRELAND","45CE",10.4,10.41,10.41,"10.42","2","","G7","Gulf7","20","0",10.4,10.41,10.41,"10.42",35.452,136
"137205",8226311,"2010-03-11 16:03:00.000",48.75,-12.27,1,159.3,"IRELAND","45CE",11.49,11.48,11.49,"11.5","2","","G7","Gulf7","20","0",11.49,11.48,11.49,"11.5",35.587,1761
"137289",8226318,"2010-03-11 20:37:00.000",48.74,-11.27,263,135.8,"IRELAND","45CE",11.36,11.36,11.37,"11.38","2","","G7","Gulf7","20","0",11.36,11.36,11.37,"11.38",35.578,1501
"137852",8226338,"2010-03-12 09:06:00.000",48.75,-10.28,214,134.9,"IRELAND","45CE",11.16,11.16,11.14,"11.05","2","","G7","Gulf7","20","0",11.16,11.16,11.14,"11.05",35.589,157
"137964",8226299,"2010-03-09 20:11:00.000",49.76,-14.74,2,152.9,"IRELAND","45CE",11.39,11.4,11.39,"11.39","2","","G7","Gulf7","20","0",11.39,11.4,11.39,"11.39",35.538,4407
"138201",8226301,"2010-03-08 09:34:00.000",49.75,-7.23,11,98.7,"IRELAND","45CE",9.73,9.73,9.75,"9.75","2","","G7","Gulf7","20","0",9.73,9.73,9.75,"9.75",35.358,117
"139332",8226282,"2010-03-09 08:05:00.000",49.75,-12.22,167,140.2,"IRELAND","45CE",11.34,11.36,11.36,"11.38","2","","G7","Gulf7","20","0",11.34,11.36,11.36,"11.38",35.525,1552
"139901",8226309,"2010-03-08 11:46:00.000",49.75,-7.72,5,91.3,"IRELAND","45CE",9.52,9.52,9.53,"9.53","2","","G7","Gulf7","20","0",9.52,9.52,9.53,"9.53",35.282,125
"139918",8226298,"2010-03-09 17:43:00.000",49.75,-14.23,25,136.6,"IRELAND","45CE",11.33,11.33,11.34,"11.34","2","","G7","Gulf7","20","0",11.33,11.33,11.34,"11.34",35.541,4162
"140152",8226266,"2010-04-09 11:48:00.000",52.25,-11.3,7,92.8,"GERMANY","06NI",10.24,10.25,10.16,"10.16","2","","NH","NACKTHAI","20","0",10.24,10.25,10.16,"10.16",35.59,144
"140452",8226291,"2010-03-09 12:52:00.000",49.75,-13.23,76,142.3,"IRELAND","45CE",11.32,11.38,11.39,"11.37","2","","G7","Gulf7","20","0",11.32,11.38,11.39,"11.37",35.558,2196
"140737",8226272,"2010-03-09 03:16:00.000",49.75,-11.23,23,146.8,"IRELAND","45CE",11.12,11.16,11.16,"11.14","2","","G7","Gulf7","20","0",11.12,11.16,11.16,"11.14",35.528,377
"140980",8226246,"2010-04-08 21:08:00.000",52.8,-13.25,10,192.7,"GERMANY","06NI",10.56,10.55,10.43,"10.39","2","","NH","NACKTHAI","20","0",10.56,10.55,10.43,"10.39",35.59,335
"141889",8226257,"2010-04-09 04:56:00.000",52.25,-12.33,4,220.4,"GERMANY","06NI",10.88,10.88,10.88,"10.88","2","","NH","NACKTHAI","20","0",10.88,10.88,10.88,"10.88",35.63,800
"142197",8226231,"2010-04-08 13:26:00.000",53.25,-12.18,125,228,"GERMANY","06NI",10.42,10.43,10.39,"10.37","2","","NH","NACKTHAI","20","0",10.42,10.43,10.39,"10.37",35.59,291
"142773",8226236,"2010-04-08 15:46:00.000",53.26,-12.72,129,347.8,"GERMANY","06NI",10.32,10.27,10.28,"10.29","2","","NH","NACKTHAI","20","0",10.32,10.27,10.28,"10.29",35.56,340
"143777",8226218,"2010-04-08 06:04:00.000",53.25,-11.21,4,57.4,"GERMANY","06NI",9.71,9.71,9.68,"9.92","2","","NH","NACKTHAI","20","0",9.71,9.71,9.68,"9.92",35.43,143
"145229",8226201,"2010-04-07 18:12:00.000",54.75,-10.29,26,80.2,"GERMANY","06NI",10.12,10.11,9.48,"9.34","2","","NH","NACKTHAI","20","0",10.12,10.11,9.48,"9.34",35.5,118
"146254",8226182,"2010-03-28 14:49:00.000",51.75,-14.18,3,294.9,"GERMANY","06NI",10.83,10.8,10.77,"10.82","2","","NH","NACKTHAI","20","0",10.83,10.8,10.77,"10.82",35.58,379
"146543",8226211,"2010-04-08 01:04:00.000",53.77,-10.75,1,53.4,"GERMANY","06NI",9.34,9.3,9.27,"9.3","2","","NH","NACKTHAI","20","0",9.34,9.3,9.27,"9.3",35.33,147
"147476",8226155,"2010-04-06 15:03:00.000",55.75,-10.17,62,219.5,"GERMANY","06NI",10.35,10.34,10.31,"10.31","2","","NH","NACKTHAI","20","0",10.35,10.34,10.31,"10.31",35.53,2335
"147493",8226150,"2010-04-06 12:54:00.000",55.75,-9.68,121,275.2,"GERMANY","06NI",10.34,10.32,10.31,"10.31","2","","NH","NACKTHAI","20","0",10.34,10.32,10.31,"10.31",35.53,1693
"148679",8226140,"2010-04-06 06:17:00.000",55.77,-8.72,33,166.5,"GERMANY","06NI",9.58,9.61,9.59,"9.54","2","","NH","NACKTHAI","20","0",9.58,9.61,9.59,"9.54",35.51,108
"149220",8226145,"2010-04-06 08:34:00.000",55.76,-9.22,78,247.9,"GERMANY","06NI",9.99,10,9.95,"9.76","2","","NH","NACKTHAI","20","0",9.99,10,9.95,"9.76",35.53,131
"149254",8226165,"2010-04-06 19:59:00.000",55.77,-11.18,4,294.4,"GERMANY","06NI",10.02,10.04,10.04,"10.02","2","","NH","NACKTHAI","20","0",10.02,10.04,10.04,"10.02",35.51,2581
"149591",8226118,"2010-04-04 01:10:00.000",58.25,-8.82,110,271,"GERMANY","06NI",9.66,9.63,9.29,"8.8","2","","NH","NACKTHAI","20","0",9.66,9.63,9.29,"8.8",35.48,208
"149623",8226122,"2010-04-04 03:09:00.000",58.25,-8.3,10,164.3,"GERMANY","06NI",7.98,7.98,8.02,"8.64","2","","NH","NACKTHAI","20","0",7.98,7.98,8.02,"8.64",35.12,123
"149867",8226127,"2010-04-04 15:48:00.000",57.75,-8.73,14,68.3,"GERMANY","06NI",8.5,8.47,8.6,"","2","","NH","NACKTHAI","20","0",8.5,8.47,8.6,"",35.27,146
"149901",8226102,"2010-04-03 12:36:00.000",57.25,-9.2,20,185.5,"GERMANY","06NI",9.69,9.66,9.71,"9.78","2","","NH","NACKTHAI","20","0",9.69,9.66,9.71,"9.78",35.5,158
"150271",8226129,"2010-04-04 17:39:00.000",57.77,-9.15,46,67.2,"GERMANY","06NI",8.51,8.47,8.42,"8.74","2","","NH","NACKTHAI","20","0",8.51,8.47,8.42,"8.74",35.29,144
"151099",8226111,"2010-03-28 10:23:00.000",51.75,-13.18,1,356,"GERMANY","06NI",11.1,11.09,11.05,"11.04","2","","NH","NACKTHAI","20","0",11.1,11.09,11.05,"11.04",35.63,976
"151453",8226113,"2010-04-03 21:10:00.000",58.2,-9.75,33,270.4,"GERMANY","06NI",9.87,9.86,9.87,"9.88","2","","NH","NACKTHAI","20","0",9.87,9.86,9.87,"9.88",35.5,1667
"151503",8226109,"2010-04-03 17:42:00.000",57.7,-9.75,5,376.3,"GERMANY","06NI",9.88,9.88,9.87,"9.88","2","","NH","NACKTHAI","20","0",9.88,9.88,9.87,"9.88",35.5,1090
