"","la","lo","t","eggs","stage","a.0","a.1"
"410",50.178,-6.15,49.5,0,2,2.4,3.4
"510",50.188,-5.902,49.5,0,2,2.4,3.4
"68",50.191,-5.662,49.5,0,2,2.4,3.4
"71",50.261,-5.479,49.5,0,2,2.4,3.4
"81",50.365,-5.231,49.5,0,2,2.4,3.4
"91",50.317,-5.368,49.5,0,2,2.4,3.4
"101",50.316,-5.619,49.5,0,2,2.4,3.4
"111",50.314,-5.857,49.5,0,2,2.4,3.4
"121",50.318,-6.105,49.5,0,2,2.4,3.4
"131",50.314,-6.367,49.5,0,2,2.4,3.4
"141",50.37,-6.597,49.5,0,2,2.4,3.4
"151",50.428,-6.401,49.5,0,2,2.4,3.4
"161",50.433,-6.141,49.5,0,2,2.4,3.4
"171",50.434,-5.892,49.5,0,2,2.4,3.4
"181",50.433,-5.645,49.5,0,2,2.4,3.4
"191",50.435,-5.392,49.5,0.183,2,2.4,3.4
"201",50.442,-5.161,49.5,0,2,2.4,3.4
"211",50.568,-5.123,49.5,0.177,2,2.4,3.4
"221",50.567,-5.359,49.5,0,2,2.4,3.4
"231",50.568,-5.606,49.5,0,2,2.4,3.4
"241",50.565,-5.849,49.5,0,2,2.4,3.4
"251",50.619,-6.1,49.5,0,2,2.4,3.4
"261",50.626,-6.351,49.5,0,2,2.4,3.4
"271",50.617,-6.623,49.5,0,2,2.4,3.4
"281",50.873,-6.648,49.5,0,2,2.4,3.4
"291",50.878,-6.398,49.5,0,2,2.4,3.4
"301",50.874,-6.135,49.5,0,2,2.4,3.4
"311",50.872,-5.901,49.5,0,2,2.4,3.4
"321",50.681,-5.878,49.5,0,2,2.4,3.4
"331",50.686,-5.64,49.5,0,2,2.4,3.4
"341",50.811,-5.622,49.5,0,2,2.4,3.4
"351",50.924,-5.628,49.5,0,2,2.4,3.4
"361",50.936,-5.398,49.5,0,2,2.4,3.4
"371",50.814,-5.393,49.5,0,2,2.4,3.4
"381",50.679,-5.396,49.5,0,2,2.4,3.4
"391",50.678,-5.142,49.5,0.13,2,2.4,3.4
"401",50.801,-5.157,49.5,0.11,2,2.4,3.4
"411",50.928,-5.144,49.5,0,2,2.4,3.4
"421",50.93,-4.891,49.5,0,2,2.4,3.4
"431",50.808,-4.876,49.5,0.577,2,2.4,3.4
"441",50.676,-4.89,49.5,0.183,2,2.4,3.4
"451",50.612,-4.882,49.5,0,2,2.4,3.4
"461",50.713,-4.703,49.5,0,2,2.4,3.4
"471",50.811,-4.629,49.5,0,2,2.4,3.4
"481",50.923,-4.63,49.5,0,2,2.4,3.4
"491",51.123,-4.382,49.5,0,2,2.4,3.4
"501",51.125,-4.637,49.5,0,2,2.4,3.4
"511",51.173,-4.891,49.5,0,2,2.4,3.4
"521",51.062,-4.894,49.5,0,2,2.4,3.4
"531",51.061,-5.132,49.5,0.17,2,2.4,3.4
"541",51.175,-5.139,49.5,0,2,2.4,3.4
"551",51.118,-5.398,49.5,0,2,2.4,3.4
"561",51.119,-5.647,49.5,0,2,2.4,3.4
"571",51.116,-5.885,49.5,0,2,2.4,3.4
"581",51.114,-6.151,49.5,0,2,2.4,3.4
"591",51.114,-6.403,49.5,0,2,2.4,3.4
"601",51.117,-6.646,49.5,0,2,2.4,3.4
"112",50.055,-5.87,49.5,0,3,3.4,6.2
"212",50.09,-6.146,49.5,0,3,3.4,6.2
"312",50.123,-6.39,49.5,0,3,3.4,6.2
"412",50.178,-6.15,49.5,0,3,3.4,6.2
"512",50.188,-5.902,49.5,0,3,3.4,6.2
"69",50.191,-5.662,49.5,0,3,3.4,6.2
"72",50.261,-5.479,49.5,0,3,3.4,6.2
"82",50.365,-5.231,49.5,0,3,3.4,6.2
"92",50.317,-5.368,49.5,0,3,3.4,6.2
"102",50.316,-5.619,49.5,0,3,3.4,6.2
"113",50.314,-5.857,49.5,0,3,3.4,6.2
"122",50.318,-6.105,49.5,0,3,3.4,6.2
"132",50.314,-6.367,49.5,0,3,3.4,6.2
"142",50.37,-6.597,49.5,0,3,3.4,6.2
"152",50.428,-6.401,49.5,0,3,3.4,6.2
"162",50.433,-6.141,49.5,0,3,3.4,6.2
"172",50.434,-5.892,49.5,0,3,3.4,6.2
"182",50.433,-5.645,49.5,0,3,3.4,6.2
"192",50.435,-5.392,49.5,0,3,3.4,6.2
"202",50.442,-5.161,49.5,0,3,3.4,6.2
"213",50.568,-5.123,49.5,0,3,3.4,6.2
"222",50.567,-5.359,49.5,0,3,3.4,6.2
"232",50.568,-5.606,49.5,0,3,3.4,6.2
"242",50.565,-5.849,49.5,0,3,3.4,6.2
"252",50.619,-6.1,49.5,0,3,3.4,6.2
"262",50.626,-6.351,49.5,0,3,3.4,6.2
"272",50.617,-6.623,49.5,0,3,3.4,6.2
"282",50.873,-6.648,49.5,0,3,3.4,6.2
"292",50.878,-6.398,49.5,0,3,3.4,6.2
"302",50.874,-6.135,49.5,0,3,3.4,6.2
"313",50.872,-5.901,49.5,0,3,3.4,6.2
"322",50.681,-5.878,49.5,0,3,3.4,6.2
"332",50.686,-5.64,49.5,0,3,3.4,6.2
"342",50.811,-5.622,49.5,0,3,3.4,6.2
"352",50.924,-5.628,49.5,0,3,3.4,6.2
"362",50.936,-5.398,49.5,0,3,3.4,6.2
"372",50.814,-5.393,49.5,0,3,3.4,6.2
"382",50.679,-5.396,49.5,0.167,3,3.4,6.2
"392",50.678,-5.142,49.5,0,3,3.4,6.2
"402",50.801,-5.157,49.5,0,3,3.4,6.2
"413",50.928,-5.144,49.5,0.099,3,3.4,6.2
"422",50.93,-4.891,49.5,0.103,3,3.4,6.2
"432",50.808,-4.876,49.5,0.693,3,3.4,6.2
"442",50.676,-4.89,49.5,0.183,3,3.4,6.2
"452",50.612,-4.882,49.5,0,3,3.4,6.2
"462",50.713,-4.703,49.5,0,3,3.4,6.2
"472",50.811,-4.629,49.5,0,3,3.4,6.2
"482",50.923,-4.63,49.5,0,3,3.4,6.2
"492",51.123,-4.382,49.5,0,3,3.4,6.2
"502",51.125,-4.637,49.5,0,3,3.4,6.2
"513",51.173,-4.891,49.5,0.294,3,3.4,6.2
"522",51.062,-4.894,49.5,0,3,3.4,6.2
"532",51.061,-5.132,49.5,0.341,3,3.4,6.2
"542",51.175,-5.139,49.5,0,3,3.4,6.2
"552",51.118,-5.398,49.5,0,3,3.4,6.2
"562",51.119,-5.647,49.5,0,3,3.4,6.2
"572",51.116,-5.885,49.5,0,3,3.4,6.2
"582",51.114,-6.151,49.5,0,3,3.4,6.2
"592",51.114,-6.403,49.5,0,3,3.4,6.2
"602",51.117,-6.646,49.5,0,3,3.4,6.2
"114",50.055,-5.87,49.5,0,4,6.2,8.4
"214",50.09,-6.146,49.5,0,4,6.2,8.4
"314",50.123,-6.39,49.5,0,4,6.2,8.4
"414",50.178,-6.15,49.5,0,4,6.2,8.4
"514",50.188,-5.902,49.5,0,4,6.2,8.4
"610",50.191,-5.662,49.5,0,4,6.2,8.4
"73",50.261,-5.479,49.5,0,4,6.2,8.4
"83",50.365,-5.231,49.5,0,4,6.2,8.4
"93",50.317,-5.368,49.5,0,4,6.2,8.4
"103",50.316,-5.619,49.5,0,4,6.2,8.4
"115",50.314,-5.857,49.5,0,4,6.2,8.4
"123",50.318,-6.105,49.5,0,4,6.2,8.4
"133",50.314,-6.367,49.5,0,4,6.2,8.4
"143",50.37,-6.597,49.5,0,4,6.2,8.4
"153",50.428,-6.401,49.5,0,4,6.2,8.4
"163",50.433,-6.141,49.5,0,4,6.2,8.4
"173",50.434,-5.892,49.5,0,4,6.2,8.4
"183",50.433,-5.645,49.5,0,4,6.2,8.4
"193",50.435,-5.392,49.5,0,4,6.2,8.4
"203",50.442,-5.161,49.5,0,4,6.2,8.4
"215",50.568,-5.123,49.5,0,4,6.2,8.4
"223",50.567,-5.359,49.5,0,4,6.2,8.4
"233",50.568,-5.606,49.5,0,4,6.2,8.4
"243",50.565,-5.849,49.5,0,4,6.2,8.4
"253",50.619,-6.1,49.5,0,4,6.2,8.4
"263",50.626,-6.351,49.5,0,4,6.2,8.4
"273",50.617,-6.623,49.5,0,4,6.2,8.4
"283",50.873,-6.648,49.5,0,4,6.2,8.4
"293",50.878,-6.398,49.5,0,4,6.2,8.4
"303",50.874,-6.135,49.5,0,4,6.2,8.4
"315",50.872,-5.901,49.5,0,4,6.2,8.4
"323",50.681,-5.878,49.5,0,4,6.2,8.4
"333",50.686,-5.64,49.5,0,4,6.2,8.4
"343",50.811,-5.622,49.5,0,4,6.2,8.4
"353",50.924,-5.628,49.5,0,4,6.2,8.4
"363",50.936,-5.398,49.5,0,4,6.2,8.4
"373",50.814,-5.393,49.5,0,4,6.2,8.4
"383",50.679,-5.396,49.5,0.167,4,6.2,8.4
"393",50.678,-5.142,49.5,0,4,6.2,8.4
"403",50.801,-5.157,49.5,0,4,6.2,8.4
"415",50.928,-5.144,49.5,0,4,6.2,8.4
"423",50.93,-4.891,49.5,0,4,6.2,8.4
"433",50.808,-4.876,49.5,0.115,4,6.2,8.4
"443",50.676,-4.89,49.5,0.183,4,6.2,8.4
"453",50.612,-4.882,49.5,0,4,6.2,8.4
"463",50.713,-4.703,49.5,0,4,6.2,8.4
"473",50.811,-4.629,49.5,0,4,6.2,8.4
"483",50.923,-4.63,49.5,0,4,6.2,8.4
"493",51.123,-4.382,49.5,0,4,6.2,8.4
"503",51.125,-4.637,49.5,0,4,6.2,8.4
"515",51.173,-4.891,49.5,0,4,6.2,8.4
"523",51.062,-4.894,49.5,0,4,6.2,8.4
"533",51.061,-5.132,49.5,0,4,6.2,8.4
"543",51.175,-5.139,49.5,0,4,6.2,8.4
"553",51.118,-5.398,49.5,0,4,6.2,8.4
"563",51.119,-5.647,49.5,0,4,6.2,8.4
"573",51.116,-5.885,49.5,0,4,6.2,8.4
"583",51.114,-6.151,49.5,0,4,6.2,8.4
"593",51.114,-6.403,49.5,0,4,6.2,8.4
"603",51.117,-6.646,49.5,0,4,6.2,8.4
"116",51.62,-6.385,70,0,1,0,2.4
"216",51.623,-6.139,70,0,1,0,2.4
"316",51.618,-5.894,70,0,1,0,2.4
"416",51.617,-5.644,70,0,1,0,2.4
"516",51.626,-5.384,70,0,1,0,2.4
"616",51.609,-5.173,70,0,1,0,2.4
"716",51.589,-4.845,70,0,1,0,2.4
"85",51.62,-4.636,70,0,1,0,2.4
"94",51.603,-4.411,70,0,1,0,2.4
"104",51.529,-3.886,70,0,1,0,2.4
"117",51.381,-3.876,70,0,1,0,2.4
"124",51.257,-3.85,70,0,1,0,2.4
"134",51.233,-4.118,70,0,1,0,2.4
"144",51.377,-4.122,70,0,1,0,2.4
"154",51.375,-4.361,70,0,1,0,2.4
"164",51.376,-4.615,70,0,1,0,2.4
"174",51.375,-4.87,70,0,1,0,2.4
"184",51.376,-5.113,70,0,1,0,2.4
"194",51.376,-5.394,70,0,1,0,2.4
"204",51.375,-5.65,70,0.162,1,0,2.4
"217",51.376,-5.886,70,0,1,0,2.4
"224",51.378,-6.145,70,0,1,0,2.4
"234",51.36,-6.408,70,0,1,0,2.4
"244",51.367,-6.652,70,0,1,0,2.4
"254",51.105,-6.648,70,0,1,0,2.4
"264",50.855,-6.624,70,0,1,0,2.4
"274",50.865,-6.372,70,0,1,0,2.4
"284",51.101,-6.387,70,0,1,0,2.4
"294",51.115,-6.153,70,0,1,0,2.4
"304",50.866,-6.162,70,0,1,0,2.4
"317",50.873,-5.901,70,0,1,0,2.4
"324",51.121,-5.903,70,0,1,0,2.4
"334",51.124,-5.642,70,0,1,0,2.4
"344",51.125,-5.396,70,1.396,1,0,2.4
"354",51.182,-5.142,70,2.398,1,0,2.4
"364",51.082,-5.116,70,2.116,1,0,2.4
"374",51.063,-4.875,70,1.421,1,0,2.4
"384",51.175,-4.876,70,1.083,1,0,2.4
"394",51.126,-4.635,70,0.549,1,0,2.4
"404",51.124,-4.373,70,0,1,0,2.4
"417",50.924,-4.629,70,0,1,0,2.4
"424",50.927,-4.85,70,2.616,1,0,2.4
"434",50.931,-5.104,70,4.299,1,0,2.4
"444",50.936,-5.351,70,3.026,1,0,2.4
"454",50.936,-5.603,70,0,1,0,2.4
"464",50.827,-5.624,70,0,1,0,2.4
"474",50.819,-5.403,70,1.654,1,0,2.4
"484",50.817,-5.15,70,0.474,1,0,2.4
"494",50.815,-4.898,70,12.893,1,0,2.4
"504",50.818,-4.622,70,0,1,0,2.4
"517",50.717,-4.699,70,0,1,0,2.4
"524",50.615,-4.876,70,0.885,1,0,2.4
"534",50.684,-4.867,70,3.687,1,0,2.4
"544",50.682,-5.102,70,17.492,1,0,2.4
"554",50.682,-5.353,70,3.429,1,0,2.4
"564",50.685,-5.6,70,2.503,1,0,2.4
"574",50.689,-5.851,70,1.649,1,0,2.4
"584",50.625,-6.099,70,0,1,0,2.4
"594",50.628,-6.351,70,0,1,0,2.4
"604",50.63,-6.609,70,0,1,0,2.4
"617",50.375,-6.655,70,0,1,0,2.4
"624",50.425,-6.398,70,0,1,0,2.4
"634",50.438,-6.151,70,0,1,0,2.4
"644",50.556,-5.892,70,1.254,1,0,2.4
"654",50.45,-5.865,70,3.494,1,0,2.4
"664",50.427,-5.612,70,17.048,1,0,2.4
"674",50.574,-5.646,70,10.09,1,0,2.4
"684",50.566,-5.404,70,14.846,1,0,2.4
"694",50.568,-5.128,70,8.823,1,0,2.4
"70",50.459,-5.161,70,2.047,1,0,2.4
"717",50.356,-5.237,70,0,1,0,2.4
"724",50.251,-5.49,70,0,1,0,2.4
"734",50.31,-5.376,70,5.007,1,0,2.4
"74",50.437,-5.361,70,21.819,1,0,2.4
"75",50.323,-5.61,70,3.667,1,0,2.4
"76",50.32,-5.854,70,0.355,1,0,2.4
"77",50.316,-6.102,70,0,1,0,2.4
"78",50.33,-6.376,70,0,1,0,2.4
"79",50.12,-6.393,70,0.549,1,0,2.4
"80",50.176,-6.146,70,0,1,0,2.4
"814",50.07,-6.161,70,0,1,0,2.4
"1101",51.62,-6.385,70,0,2,2.4,3.4
"2101",51.623,-6.139,70,0,2,2.4,3.4
"3101",51.618,-5.894,70,0,2,2.4,3.4
"4101",51.617,-5.644,70,0,2,2.4,3.4
"5101",51.626,-5.384,70,0,2,2.4,3.4
"6101",51.609,-5.173,70,0,2,2.4,3.4
"710",51.589,-4.845,70,0,2,2.4,3.4
"821",51.62,-4.636,70,0,2,2.4,3.4
"911",51.603,-4.411,70,0,2,2.4,3.4
"1011",51.529,-3.886,70,0,2,2.4,3.4
"1111",51.381,-3.876,70,0,2,2.4,3.4
"1211",51.257,-3.85,70,0,2,2.4,3.4
"1311",51.233,-4.118,70,0,2,2.4,3.4
"1411",51.377,-4.122,70,0,2,2.4,3.4
"1511",51.375,-4.361,70,0,2,2.4,3.4
"1611",51.376,-4.615,70,0,2,2.4,3.4
"1711",51.375,-4.87,70,0,2,2.4,3.4
"1811",51.376,-5.113,70,0,2,2.4,3.4
"1911",51.376,-5.394,70,0,2,2.4,3.4
"2011",51.375,-5.65,70,0,2,2.4,3.4
"2111",51.376,-5.886,70,0,2,2.4,3.4
"2211",51.378,-6.145,70,0,2,2.4,3.4
"2311",51.36,-6.408,70,0,2,2.4,3.4
"2411",51.367,-6.652,70,0,2,2.4,3.4
"2511",51.105,-6.648,70,0,2,2.4,3.4
"2611",50.855,-6.624,70,0,2,2.4,3.4
"2711",50.865,-6.372,70,0,2,2.4,3.4
"2811",51.101,-6.387,70,0,2,2.4,3.4
"2911",51.115,-6.153,70,0,2,2.4,3.4
"3011",50.866,-6.162,70,0,2,2.4,3.4
"3111",50.873,-5.901,70,0,2,2.4,3.4
"3211",51.121,-5.903,70,0,2,2.4,3.4
"3311",51.124,-5.642,70,0,2,2.4,3.4
"3411",51.125,-5.396,70,0.931,2,2.4,3.4
"3511",51.182,-5.142,70,0.799,2,2.4,3.4
"3611",51.082,-5.116,70,1.693,2,2.4,3.4
"3711",51.063,-4.875,70,0.355,2,2.4,3.4
"3811",51.175,-4.876,70,0.541,2,2.4,3.4
"3911",51.126,-4.635,70,0.137,2,2.4,3.4
"4011",51.124,-4.373,70,0,2,2.4,3.4
"4111",50.924,-4.629,70,0,2,2.4,3.4
"4211",50.927,-4.85,70,0.374,2,2.4,3.4
"4311",50.931,-5.104,70,1.228,2,2.4,3.4
"4411",50.936,-5.351,70,0.336,2,2.4,3.4
"4511",50.936,-5.603,70,0,2,2.4,3.4
"4611",50.827,-5.624,70,0,2,2.4,3.4
"4711",50.819,-5.403,70,0.331,2,2.4,3.4
"4811",50.817,-5.15,70,0.632,2,2.4,3.4
"4911",50.815,-4.898,70,3.711,2,2.4,3.4
"5011",50.818,-4.622,70,0,2,2.4,3.4
"5111",50.717,-4.699,70,0,2,2.4,3.4
"5211",50.615,-4.876,70,0,2,2.4,3.4
"5311",50.684,-4.867,70,3.017,2,2.4,3.4
"5411",50.682,-5.102,70,5.284,2,2.4,3.4
"5511",50.682,-5.353,70,0.807,2,2.4,3.4
"5611",50.685,-5.6,70,3.04,2,2.4,3.4
"5711",50.689,-5.851,70,0,2,2.4,3.4
"5811",50.625,-6.099,70,0,2,2.4,3.4
"5911",50.628,-6.351,70,0,2,2.4,3.4
"6011",50.63,-6.609,70,0,2,2.4,3.4
"6111",50.375,-6.655,70,0,2,2.4,3.4
"6211",50.425,-6.398,70,0,2,2.4,3.4
"6311",50.438,-6.151,70,0,2,2.4,3.4
"6411",50.556,-5.892,70,0.358,2,2.4,3.4
"6511",50.45,-5.865,70,3.688,2,2.4,3.4
"6611",50.427,-5.612,70,0.319,2,2.4,3.4
"6711",50.574,-5.646,70,2.794,2,2.4,3.4
"681",50.566,-5.404,70,5.52,2,2.4,3.4
"691",50.568,-5.128,70,4.089,2,2.4,3.4
"701",50.459,-5.161,70,0,2,2.4,3.4
"711",50.356,-5.237,70,0,2,2.4,3.4
"721",50.251,-5.49,70,0,2,2.4,3.4
"731",50.31,-5.376,70,1.088,2,2.4,3.4
"741",50.437,-5.361,70,2.752,2,2.4,3.4
"751",50.323,-5.61,70,0.204,2,2.4,3.4
"761",50.32,-5.854,70,0.709,2,2.4,3.4
"771",50.316,-6.102,70,0,2,2.4,3.4
"781",50.33,-6.376,70,0,2,2.4,3.4
"791",50.12,-6.393,70,0,2,2.4,3.4
"801",50.176,-6.146,70,0,2,2.4,3.4
"811",50.07,-6.161,70,0,2,2.4,3.4
"1121",51.62,-6.385,70,0,3,3.4,6.2
"2121",51.623,-6.139,70,0,3,3.4,6.2
"3121",51.618,-5.894,70,0,3,3.4,6.2
"4121",51.617,-5.644,70,0,3,3.4,6.2
"5121",51.626,-5.384,70,0,3,3.4,6.2
"6121",51.609,-5.173,70,0,3,3.4,6.2
"712",51.589,-4.845,70,0,3,3.4,6.2
"831",51.62,-4.636,70,0,3,3.4,6.2
"921",51.603,-4.411,70,0,3,3.4,6.2
"1021",51.529,-3.886,70,0,3,3.4,6.2
"1131",51.381,-3.876,70,0,3,3.4,6.2
"1221",51.257,-3.85,70,0,3,3.4,6.2
"1321",51.233,-4.118,70,0,3,3.4,6.2
"1421",51.377,-4.122,70,0,3,3.4,6.2
"1521",51.375,-4.361,70,0,3,3.4,6.2
"1621",51.376,-4.615,70,0,3,3.4,6.2
"1721",51.375,-4.87,70,0,3,3.4,6.2
"1821",51.376,-5.113,70,0,3,3.4,6.2
"1921",51.376,-5.394,70,0,3,3.4,6.2
"2021",51.375,-5.65,70,0,3,3.4,6.2
"2131",51.376,-5.886,70,0,3,3.4,6.2
"2221",51.378,-6.145,70,0,3,3.4,6.2
"2321",51.36,-6.408,70,0,3,3.4,6.2
"2421",51.367,-6.652,70,0,3,3.4,6.2
"2521",51.105,-6.648,70,0,3,3.4,6.2
"2621",50.855,-6.624,70,0,3,3.4,6.2
"2721",50.865,-6.372,70,0,3,3.4,6.2
"2821",51.101,-6.387,70,0,3,3.4,6.2
"2921",51.115,-6.153,70,0,3,3.4,6.2
"3021",50.866,-6.162,70,0,3,3.4,6.2
"3131",50.873,-5.901,70,0,3,3.4,6.2
"3221",51.121,-5.903,70,0,3,3.4,6.2
"3321",51.124,-5.642,70,0,3,3.4,6.2
"3421",51.125,-5.396,70,1.164,3,3.4,6.2
"3521",51.182,-5.142,70,0.2,3,3.4,6.2
"3621",51.082,-5.116,70,0,3,3.4,6.2
"3721",51.063,-4.875,70,0.178,3,3.4,6.2
"3821",51.175,-4.876,70,0.902,3,3.4,6.2
"3921",51.126,-4.635,70,0.137,3,3.4,6.2
"4021",51.124,-4.373,70,0,3,3.4,6.2
"4131",50.924,-4.629,70,0,3,3.4,6.2
"4221",50.927,-4.85,70,0.187,3,3.4,6.2
"4321",50.931,-5.104,70,0,3,3.4,6.2
"4421",50.936,-5.351,70,0.504,3,3.4,6.2
"4521",50.936,-5.603,70,0,3,3.4,6.2
"4621",50.827,-5.624,70,0,3,3.4,6.2
"4721",50.819,-5.403,70,0.661,3,3.4,6.2
"4821",50.817,-5.15,70,2.214,3,3.4,6.2
"4921",50.815,-4.898,70,6.837,3,3.4,6.2
"5021",50.818,-4.622,70,0,3,3.4,6.2
"5131",50.717,-4.699,70,0,3,3.4,6.2
"5221",50.615,-4.876,70,0,3,3.4,6.2
"5321",50.684,-4.867,70,1.676,3,3.4,6.2
"5421",50.682,-5.102,70,6.559,3,3.4,6.2
"5521",50.682,-5.353,70,1.008,3,3.4,6.2
"5621",50.685,-5.6,70,1.609,3,3.4,6.2
"5721",50.689,-5.851,70,0,3,3.4,6.2
"5821",50.625,-6.099,70,0,3,3.4,6.2
"5921",50.628,-6.351,70,0,3,3.4,6.2
"6021",50.63,-6.609,70,0,3,3.4,6.2
"6131",50.375,-6.655,70,0,3,3.4,6.2
"6221",50.425,-6.398,70,0,3,3.4,6.2
"6321",50.438,-6.151,70,0,3,3.4,6.2
"6421",50.556,-5.892,70,1.433,3,3.4,6.2
"6521",50.45,-5.865,70,1.747,3,3.4,6.2
"6621",50.427,-5.612,70,0.319,3,3.4,6.2
"6721",50.574,-5.646,70,0.776,3,3.4,6.2
"682",50.566,-5.404,70,7.042,3,3.4,6.2
"692",50.568,-5.128,70,0.646,3,3.4,6.2
"702",50.459,-5.161,70,0,3,3.4,6.2
"713",50.356,-5.237,70,0,3,3.4,6.2
"722",50.251,-5.49,70,0,3,3.4,6.2
"732",50.31,-5.376,70,0,3,3.4,6.2
"742",50.437,-5.361,70,7.273,3,3.4,6.2
"752",50.323,-5.61,70,0,3,3.4,6.2
"762",50.32,-5.854,70,0,3,3.4,6.2
"772",50.316,-6.102,70,0,3,3.4,6.2
"782",50.33,-6.376,70,0,3,3.4,6.2
"792",50.12,-6.393,70,0,3,3.4,6.2
"802",50.176,-6.146,70,0,3,3.4,6.2
"812",50.07,-6.161,70,0,3,3.4,6.2
"1141",51.62,-6.385,70,0,4,6.2,8.4
"2141",51.623,-6.139,70,0,4,6.2,8.4
"3141",51.618,-5.894,70,0,4,6.2,8.4
"4141",51.617,-5.644,70,0,4,6.2,8.4
"5141",51.626,-5.384,70,0,4,6.2,8.4
"614",51.609,-5.173,70,0,4,6.2,8.4
"714",51.589,-4.845,70,0,4,6.2,8.4
"84",51.62,-4.636,70,0,4,6.2,8.4
"931",51.603,-4.411,70,0,4,6.2,8.4
"1031",51.529,-3.886,70,0,4,6.2,8.4
"1151",51.381,-3.876,70,0,4,6.2,8.4
"1231",51.257,-3.85,70,0,4,6.2,8.4
"1331",51.233,-4.118,70,0,4,6.2,8.4
"1431",51.377,-4.122,70,0,4,6.2,8.4
"1531",51.375,-4.361,70,0,4,6.2,8.4
"1631",51.376,-4.615,70,0,4,6.2,8.4
"1731",51.375,-4.87,70,0,4,6.2,8.4
"1831",51.376,-5.113,70,0,4,6.2,8.4
"1931",51.376,-5.394,70,0,4,6.2,8.4
"2031",51.375,-5.65,70,0,4,6.2,8.4
"2151",51.376,-5.886,70,0,4,6.2,8.4
"2231",51.378,-6.145,70,0,4,6.2,8.4
"2331",51.36,-6.408,70,0,4,6.2,8.4
"2431",51.367,-6.652,70,0,4,6.2,8.4
"2531",51.105,-6.648,70,0,4,6.2,8.4
"2631",50.855,-6.624,70,0,4,6.2,8.4
"2731",50.865,-6.372,70,0,4,6.2,8.4
"2831",51.101,-6.387,70,0,4,6.2,8.4
"2931",51.115,-6.153,70,0,4,6.2,8.4
"3031",50.866,-6.162,70,0,4,6.2,8.4
"3151",50.873,-5.901,70,0,4,6.2,8.4
