"","ID","DT","la","lo","count","vol","country","ship","T.surf","T.20","T.50","T.100","period","d","gear.sub","gear","opening","wind","T1.surf","T1.20","T1.50","T1.100","Sal20"
"16",8230195,"2010-03-28 03:26:00.000",51.25,-11.28,6,153.22,"IRELAND","45CV",11,11,10.95,"10.9","2","","G7","Gulf7","20","0",11,11,10.95,"10.9",35.031
"17",8230196,"2010-03-28 05:58:00.000",51.25,-10.78,4,103.43,"IRELAND","45CV",10.74,10.71,10.68,"10.35","2","","G7","Gulf7","20","0",10.74,10.71,10.68,"10.35",35.093
"18",8230197,"2010-03-20 23:13:00.000",51.25,-7.23,10,59.5,"IRELAND","45CV",8.58,8.55,8.54,"","2","","G7","Gulf7","20","0",8.58,8.55,8.54,"",35.196
"19",8230198,"2010-03-21 01:41:00.000",51.25,-7.74,3,64.1,"IRELAND","45CV",8.5,8.49,8.47,"","2","","G7","Gulf7","20","0",8.5,8.49,8.47,"",35.197
"20",8230199,"2010-03-21 09:00:00.000",51.25,-8.21,1,64.3,"IRELAND","45CV",8.62,8.59,8.54,"","2","","G7","Gulf7","20","0",8.62,8.59,8.54,"",35.08
"21",8230200,"2010-03-21 16:15:00.000",51.25,-10.73,11,72,"IRELAND","45CV",10.78,10.77,10.73,"10.68","2","","G7","Gulf7","20","0",10.78,10.77,10.73,"10.68",35.504
"22",8230201,"2010-03-22 17:32:00.000",51.25,-11.2,5,157,"IRELAND","45CV",10.92,10.91,10.87,"10.78","2","","G7","Gulf7","20","0",10.92,10.91,10.87,"10.78",35.531
"23",8230202,"2010-03-25 12:02:00.000",50.75,-10.78,13,119.99,"IRELAND","45CV",10.97,10.97,10.97,"10.95","2","","G7","Gulf7","20","0",10.97,10.97,10.97,"10.95",35.183
"24",8230203,"2010-03-25 15:26:00.000",50.75,-10.29,1,111.32,"IRELAND","45CV",10.08,10.03,9.97,"9.91","2","","G7","Gulf7","20","0",10.08,10.03,9.97,"9.91",35.078
"25",8230204,"2010-04-01 04:20:00.000",46.75,-4.75,11,173.2081796,"SPAIN","29IN",11.4,11.4,11.4,"11.4","2","","B","Bgn","40","0",11.4,11.4,11.4,"11.4",35.8
"26",8230205,"2010-04-01 10:42:00.000",46.25,-4.25,18,169.5333707,"SPAIN","29IN",11.6,11.6,11.6,"11.6","2","","B","Bgn","40","0",11.6,11.6,11.6,"11.6",35.8
"27",8230206,"2010-04-09 16:45:00.000",46.25,-5.25,2,193.7805472,"SPAIN","29IN",12.08,11.77,11.7,"11.64","2","","B","Bgn","40","0",12.08,11.77,11.7,"11.64",35.8
"28",8230207,"2010-04-09 23:45:00.000",46.75,-5.25,42,200.7364355,"SPAIN","29IN",11.81,11.6,11.54,"11.49","2","","B","Bgn","40","0",11.81,11.6,11.54,"11.49",35.8
"29",8230208,"2010-04-10 03:10:00.000",47.25,-5.23,4,116.5767498,"SPAIN","29IN",11.5,11.4,11.4,"11.2","2","","B","Bgn","40","0",11.5,11.4,11.4,"11.2",35.8
"30",8230209,"2010-04-10 16:30:00.000",47.75,-6.75,5,186.2340647,"SPAIN","29IN",11.4,11.1,11,"11","2","","B","Bgn","40","0",11.4,11.1,11,"11",35.7
"31",8230210,"2010-04-10 19:11:00.000",47.75,-7.25,38,162.0525098,"SPAIN","29IN",11.6,11.4,11.1,"11","2","","B","Bgn","40","0",11.6,11.4,11.1,"11",35.8
"32",8230211,"2010-04-10 21:49:00.000",47.75,-7.75,1,216.9777783,"SPAIN","29IN",11.71,11.68,11.58,"11.41","2","","B","Bgn","40","0",11.71,11.68,11.58,"11.41",35.8
"33",8230212,"2010-04-10 00:49:00.000",47.75,-8.25,1,196.9631942,"SPAIN","29IN",NA,11.64,NA,"","2","","B","Bgn","40","0",NA,11.64,NA,"",NA
"34",8230213,"2010-03-16 12:22:00.000",42.75,-9.17,517,42.3215092,"SPAIN","29CS",12.9916,13.0752,NA,"","2","","B","Bgn","40","0",12.9916,13.0752,NA,"",35.2916
"35",8230214,"2010-04-01 04:01:00.000",44.25,-2.25,39,178.9957097,"SPAIN","29CS",11.9825,11.9924,NA,"","2","","B","Bgn","40","0",11.9825,11.9924,NA,"",35.6406
"36",8230215,"2010-03-16 16:05:00.000",43.25,-9.17,33,34.01903524,"SPAIN","29CS",13.5289,13.3964,NA,"","2","","B","Bgn","40","0",13.5289,13.3964,NA,"",35.8642
"37",8230216,"2010-04-01 00:02:00.000",44.75,-3.25,8,194.4397185,"SPAIN","29CS",11.9339,11.9341,NA,"","2","","B","Bgn","40","0",11.9339,11.9341,NA,"",35.6377
"38",8230217,"2010-04-03 20:23:00.000",45.75,-2.74,3,111.274259,"SPAIN","29CS",11.292,11.2953,NA,"","2","","B","Bgn","40","0",11.292,11.2953,NA,"",35.6031
"39",8230218,"2010-04-04 06:03:00.000",45.74,-3.74,19,201.2294535,"SPAIN","29CS",11.6746,11.6827,NA,"","2","","B","Bgn","40","0",11.6746,11.6827,NA,"",35.6339
"40",8230219,"2010-04-05 08:41:00.000",44.12,-7.25,1,178.3272902,"SPAIN","29CS",12.561,12.446,NA,"","2","","B","Bgn","40","0",12.561,12.446,NA,"",35.7199
"41",8230220,"2010-04-05 13:00:00.000",43.63,-7.23,9,72.75218705,"SPAIN","29CS",13.4854,13.3723,NA,"","2","","B","Bgn","40","0",13.4854,13.3723,NA,"",35.4973
"42",8230221,"2010-03-17 08:03:00.000",43.62,-9.25,2,194.7211583,"SPAIN","29CS",13.4703,13.498,NA,"","2","","B","Bgn","40","0",13.4703,13.498,NA,"",35.858
"43",8230222,"2010-03-15 18:22:00.000",42.24,-9.33,86,237.9925268,"SPAIN","29CS",13.7148,13.6957,NA,"","2","","B","Bgn","40","0",13.7148,13.6957,NA,"",35.8615
"44",8230223,"2010-03-18 11:13:00.000",43.88,-8.74,3,155.9880065,"SPAIN","29CS",12.8288,12.8118,NA,"","2","","B","Bgn","40","0",12.8288,12.8118,NA,"",35.603
"45",8230224,"2010-03-15 21:01:00.000",42.24,-9.68,2,271.5190424,"SPAIN","29CS",13.3993,13.3411,NA,"","2","","B","Bgn","40","0",13.3993,13.3411,NA,"",35.8937
"46",8230225,"2010-03-18 15:35:00.000",43.42,-8.75,4,75.00370541,"SPAIN","29CS",12.8455,12.8349,NA,"","2","","B","Bgn","40","0",12.8455,12.8349,NA,"",35.5499
"47",8230226,"2010-03-18 16:55:00.000",43.42,-8.5,102,65.43475238,"SPAIN","29CS",12.7199,12.697,NA,"","2","","B","Bgn","40","0",12.7199,12.697,NA,"",35.4657
"48",8230227,"2010-03-19 23:08:00.000",44.13,-8.5,3,191.0624409,"SPAIN","29CS",13.0304,13.0322,NA,"","2","","B","Bgn","40","0",13.0304,13.0322,NA,"",35.726
"49",8230228,"2010-03-19 03:18:00.000",43.88,-8.26,1,148.7409317,"SPAIN","29CS",12.9167,12.9201,NA,"","2","","B","Bgn","40","0",12.9167,12.9201,NA,"",35.7179
"50",8230229,"2010-03-19 05:34:00.000",43.62,-8.26,144,51.39794259,"SPAIN","29CS",12.7934,12.7637,NA,"","2","","B","Bgn","40","0",12.7934,12.7637,NA,"",35.5309
"51",8230230,"2010-03-20 10:00:00.000",43.87,-7.75,8,102.2681856,"SPAIN","29CS",12.9005,12.8899,NA,"","2","","B","Bgn","40","0",12.9005,12.8899,NA,"",35.7211
"52",8230231,"2010-03-20 12:15:00.000",44.12,-7.75,6,141.6345769,"SPAIN","29CS",12.8593,12.7935,NA,"","2","","B","Bgn","40","0",12.8593,12.7935,NA,"",35.7365
"53",8230232,"2010-03-21 08:18:00.000",44.13,-7.5,3,193.9823788,"SPAIN","29CS",12.7127,12.7098,NA,"","2","","B","Bgn","40","0",12.7127,12.7098,NA,"",35.7433
"54",8230233,"2010-03-21 10:37:00.000",43.87,-7.51,165,112.8925378,"SPAIN","29CS",12.8444,12.814,NA,"","2","","B","Bgn","40","0",12.8444,12.814,NA,"",35.7153
"55",8230234,"2010-03-21 14:22:00.000",43.63,-6.82,204,76.72752416,"SPAIN","29CS",12.6077,12.3955,NA,"","2","","B","Bgn","40","0",12.6077,12.3955,NA,"",35.5664
"56",8230235,"2010-03-21 16:23:00.000",43.88,-6.82,59,81.08984098,"SPAIN","29CS",12.9684,12.7912,NA,"","2","","B","Bgn","40","0",12.9684,12.7912,NA,"",35.741
"57",8230236,"2010-03-22 08:28:00.000",43.88,-6.5,14,169.1804969,"SPAIN","29CS",12.9455,12.9466,NA,"","2","","B","Bgn","40","0",12.9455,12.9466,NA,"",35.7528
"58",8230237,"2010-03-22 10:30:00.000",43.62,-6.49,354,71.87268769,"SPAIN","29CS",12.5558,12.299,NA,"","2","","B","Bgn","40","0",12.5558,12.299,NA,"",35.5977
"59",8230238,"2010-03-22 19:34:00.000",43.62,-6.16,394,69.26936959,"SPAIN","29CS",12.59,12.4146,NA,"","2","","B","Bgn","40","0",12.59,12.4146,NA,"",35.6199
"60",8230239,"2010-03-23 04:40:00.000",43.87,-5.75,1,169.7785564,"SPAIN","29CS",12.878,12.8642,NA,"","2","","B","Bgn","40","0",12.878,12.8642,NA,"",35.768
"61",8230240,"2010-03-16 05:02:00.000",42.75,-10.25,1,201.7923331,"SPAIN","29CS",13.3772,13.3764,NA,"","2","","B","Bgn","40","0",13.3772,13.3764,NA,"",35.9116
"62",8230241,"2010-03-23 06:38:00.000",43.65,-5.75,168,51.36276262,"SPAIN","29CS",12.5318,12.3789,NA,"","2","","B","Bgn","40","0",12.5318,12.3789,NA,"",35.4992
"63",8230242,"2010-03-23 14:53:00.000",43.62,-5.5,152,65.96245199,"SPAIN","29CS",12.6046,12.4325,NA,"","2","","B","Bgn","40","0",12.6046,12.4325,NA,"",35.6126
"64",8230243,"2010-03-23 01:57:00.000",43.87,-5.5,1,105.786183,"SPAIN","29CS",13.0131,12.7307,NA,"","2","","B","Bgn","40","0",13.0131,12.7307,NA,"",35.7441
"65",8230244,"2010-03-24 12:15:00.000",43.63,-4.82,154,117.5714744,"SPAIN","29CS",12.6645,12.5331,NA,"","2","","B","Bgn","40","0",12.6645,12.5331,NA,"",35.7031
"66",8230245,"2010-03-24 14:53:00.000",43.47,-4.82,874,39.33121138,"SPAIN","29CS",12.602,12.1885,NA,"","2","","B","Bgn","40","0",12.602,12.1885,NA,"",35.6629
"67",8230246,"2010-03-24 16:35:00.000",43.43,-4.5,649,65.29403248,"SPAIN","29CS",12.8164,12.3242,NA,"","2","","B","Bgn","40","0",12.8164,12.3242,NA,"",35.6951
"68",8230247,"2010-03-25 08:59:00.000",43.64,-4.16,6,188.212863,"SPAIN","29CS",12.4914,12.3427,NA,"","2","","B","Bgn","40","0",12.4914,12.3427,NA,"",35.7139
"69",8230248,"2010-03-25 13:40:00.000",43.44,-4.17,264,49.85002372,"SPAIN","29CS",12.5465,12.3182,NA,"","2","","B","Bgn","40","0",12.5465,12.3182,NA,"",35.5623
"70",8230249,"2010-03-28 04:40:00.000",43.62,-1.51,13,25.89246116,"SPAIN","29CS",12.1624,12.1306,NA,"","2","","B","Bgn","40","0",12.1624,12.1306,NA,"",35.4938
"71",8230250,"2010-03-28 06:56:00.000",43.44,-1.82,64,80.21034162,"SPAIN","29CS",12.0361,12.0429,NA,"","2","","B","Bgn","40","0",12.0361,12.0429,NA,"",35.526
"72",8230251,"2010-03-28 12:37:00.000",43.63,-1.82,1,190.8865411,"SPAIN","29CS",12.2525,12.1793,NA,"","2","","B","Bgn","40","0",12.2525,12.1793,NA,"",35.5677
"73",8230252,"2010-03-28 14:50:00.000",43.87,-1.83,1,112.8573579,"SPAIN","29CS",12.1956,12.1159,NA,"","2","","B","Bgn","40","0",12.1956,12.1159,NA,"",35.6211
"74",8230253,"2010-03-28 16:58:00.000",43.88,-2.16,4,170.3062561,"SPAIN","29CS",12.2516,12.1203,NA,"","2","","B","Bgn","40","0",12.2516,12.1203,NA,"",35.6386
"75",8230254,"2010-03-28 19:19:00.000",43.63,-2.15,1,140.4032778,"SPAIN","29CS",12.4703,12.183,NA,"","2","","B","Bgn","40","0",12.4703,12.183,NA,"",35.65
"76",8230255,"2010-03-28 21:12:00.000",43.43,-2.16,1,95.47845051,"SPAIN","29CS",12.1246,12.0831,NA,"","2","","B","Bgn","40","0",12.1246,12.0831,NA,"",35.6209
"77",8230256,"2010-03-16 11:15:00.000",42.75,-9.33,252,97.6947889,"SPAIN","29CS",12.8456,13.1178,NA,"","2","","B","Bgn","40","0",12.8456,13.1178,NA,"",35.235
"78",8230257,"2010-03-28 23:10:00.000",43.44,-2.49,14,63.07769409,"SPAIN","29CS",12.4715,12.2437,NA,"","2","","B","Bgn","40","0",12.4715,12.2437,NA,"",35.6635
"79",8230258,"2010-03-29 00:46:00.000",43.63,-2.5,4,152.1885692,"SPAIN","29CS",12.2791,12.145,NA,"","2","","B","Bgn","40","0",12.2791,12.145,NA,"",35.6468
"80",8230259,"2010-03-29 08:02:00.000",43.63,-2.81,4,129.110506,"SPAIN","29CS",12.3548,12.3327,NA,"","2","","B","Bgn","40","0",12.3548,12.3327,NA,"",35.6896
"81",8230260,"2010-03-29 10:39:00.000",43.43,-3.16,213,48.93534439,"SPAIN","29CS",12.4258,12.3739,NA,"","2","","B","Bgn","40","0",12.4258,12.3739,NA,"",35.6393
"82",8230261,"2010-03-29 12:26:00.000",43.63,-3.16,38,143.6398355,"SPAIN","29CS",12.3307,12.3027,NA,"","2","","B","Bgn","40","0",12.3307,12.3027,NA,"",35.6934
"83",8230262,"2010-03-31 10:57:00.000",43.62,-3.49,5,158.3802447,"SPAIN","29CS",12.4549,12.3873,NA,"","2","","B","Bgn","40","0",12.4549,12.3873,NA,"",35.7042
"84",8230263,"2010-04-12 05:34:00.000",50.25,-10.7,1,151.4,"GERMANY","06NI",11.31,11.12,11,"10.74","3","","NH","NACKTHAI","20","0",11.31,11.12,11,"10.74",35.67
"85",8230264,"2010-04-12 09:38:00.000",50.25,-11.19,46,165.4,"GERMANY","06NI",11.44,11.41,11.18,"11.15","3","","NH","NACKTHAI","20","0",11.44,11.41,11.18,"11.15",35.68
"86",8230265,"2010-04-13 15:44:00.000",49.25,-10.77,4,38.8,"GERMANY","06NI",11.37,11.22,10.92,"10.8","3","","NH","NACKTHAI","20","0",11.37,11.22,10.92,"10.8",35.69
"87",8230266,"2010-04-13 19:31:00.000",49.25,-10.29,1,44.1,"GERMANY","06NI",11.37,11.3,10.8,"10.6","3","","NH","NACKTHAI","20","0",11.37,11.3,10.8,"10.6",35.69
"88",8230267,"2010-04-15 10:15:00.000",48.25,-8.2,18,159.2,"GERMANY","06NI",11.29,11.29,11.19,"11.64","3","","NH","NACKTHAI","20","0",11.29,11.29,11.19,"11.64",35.71
"89",8230268,"2010-04-15 12:21:00.000",48.25,-8.7,295,197.8,"GERMANY","06NI",11.28,11.29,11.29,"10.89","3","","NH","NACKTHAI","20","0",11.28,11.29,11.29,"10.89",35.71
"90",8230269,"2010-04-15 14:27:00.000",48.25,-9.19,2100,251,"GERMANY","06NI",11.47,11.46,11.4,"11.32","3","","NH","NACKTHAI","20","0",11.47,11.46,11.4,"11.32",35.72
"91",8230270,"2010-04-15 16:41:00.000",48.27,-9.69,25,226.2,"GERMANY","06NI",11.4,11.41,11.42,"11.37","3","","NH","NACKTHAI","20","0",11.4,11.41,11.42,"11.37",35.71
"92",8230271,"2010-04-17 11:26:00.000",47.25,-6.31,12,287.9,"GERMANY","06NI",11.63,11.59,11.56,"11.49","3","","NH","NACKTHAI","20","0",11.63,11.59,11.56,"11.49",35.73
"93",8230272,"2010-04-17 13:47:00.000",47.25,-5.81,173,293.8,"GERMANY","06NI",11.47,11.47,11.48,"11.46","3","","NH","NACKTHAI","20","0",11.47,11.47,11.48,"11.46",35.73
"94",8230273,"2010-04-18 01:21:00.000",47.75,-5.21,3,137.4,"GERMANY","06NI",11.1,10.85,10.42,"10.44","3","","NH","NACKTHAI","20","0",11.1,10.85,10.42,"10.44",35.39
"95",8230274,"2010-04-18 05:35:00.000",47.75,-6.23,15,270.2,"GERMANY","06NI",11.19,11.2,11.19,"11.15","3","","NH","NACKTHAI","20","0",11.19,11.2,11.19,"11.15",35.72
"96",8230275,"2010-04-18 09:24:00.000",47.75,-6.72,23,217.7,"GERMANY","06NI",11.38,11.22,11.13,"11.12","3","","NH","NACKTHAI","20","0",11.38,11.22,11.13,"11.12",35.71
"97",8230276,"2010-04-18 11:26:00.000",47.75,-7.2,6,158,"GERMANY","06NI",11.48,11.34,11.27,"11.04","3","","NH","NACKTHAI","20","0",11.48,11.34,11.27,"11.04",35.71
"98",8230277,"2010-04-18 15:05:00.000",47.76,-7.68,62,292.7,"GERMANY","06NI",11.78,11.6,11.54,"11.47","3","","NH","NACKTHAI","20","0",11.78,11.6,11.54,"11.47",35.73
"99",8230278,"2010-04-18 17:31:00.000",47.77,-8.19,9,280.4,"GERMANY","06NI",11.85,11.59,11.5,"11.45","3","","NH","NACKTHAI","20","0",11.85,11.59,11.5,"11.45",35.72
"100",8230279,"2010-04-19 20:45:00.000",48.75,-10.82,233,267.8,"GERMANY","06NI",11.75,11.69,11.51,"11.45","3","","NH","NACKTHAI","20","0",11.75,11.69,11.51,"11.45",35.72
"101",8230280,"2010-04-19 22:58:00.000",48.75,-10.3,173,222.6,"GERMANY","06NI",11.46,11.26,11.27,"11.17","3","","NH","NACKTHAI","20","0",11.46,11.26,11.27,"11.17",35.71
"102",8230281,"2010-04-20 01:06:00.000",48.75,-9.8,101,196.5,"GERMANY","06NI",11.42,11.37,11.22,"10.92","3","","NH","NACKTHAI","20","0",11.42,11.37,11.22,"10.92",35.71
"103",8230282,"2010-04-20 03:20:00.000",48.75,-9.3,2,226.8,"GERMANY","06NI",11.39,11.21,11.07,"10.85","3","","NH","NACKTHAI","20","0",11.39,11.21,11.07,"10.85",35.7
"104",8230283,"2010-04-20 05:30:00.000",48.75,-8.78,1,201.3,"GERMANY","06NI",11.3,10.82,10.68,"10.63","3","","NH","NACKTHAI","20","0",11.3,10.82,10.68,"10.63",35.65
"105",8230284,"2010-04-20 14:26:00.000",48.75,-7.39,1,142.9,"GERMANY","06NI",10.82,10.25,10.22,"10.22","3","","NH","NACKTHAI","20","0",10.82,10.25,10.22,"10.22",35.59
"106",8230285,"2010-04-21 09:03:00.000",49.75,-9.71,1,151,"GERMANY","06NI",11.08,10.8,9.93,"9.86","3","","NH","NACKTHAI","20","0",11.08,10.8,9.93,"9.86",35.54
"107",8230286,"2010-04-21 13:09:00.000",49.75,-10.71,2,186.7,"GERMANY","06NI",11.54,11.46,10.88,"10.77","3","","NH","NACKTHAI","20","0",11.54,11.46,10.88,"10.77",35.71
"108",8230287,"2010-04-21 15:39:00.000",49.78,-11.21,340,398.7,"GERMANY","06NI",11.67,11.69,11.64,"11.56","3","","NH","NACKTHAI","20","0",11.67,11.69,11.64,"11.56",35.71
"109",8230288,"2010-04-21 18:24:00.000",49.77,-11.69,288,260.7,"GERMANY","06NI",11.77,11.77,11.54,"11.3","3","","NH","NACKTHAI","20","0",11.77,11.77,11.54,"11.3",35.71
"110",8230289,"2010-04-22 11:04:00.000",50.76,-12.82,42,366.1,"GERMANY","06NI",11.57,11.56,11.26,"11.18","3","","NH","NACKTHAI","20","0",11.57,11.56,11.26,"11.18",35.71
"111",8230290,"2010-04-22 13:27:00.000",50.75,-12.31,334,297.9,"GERMANY","06NI",11.63,11.57,11.24,"11.18","3","","NH","NACKTHAI","20","0",11.63,11.57,11.24,"11.18",35.71
"112",8230291,"2010-04-22 15:24:00.000",50.75,-11.78,148,211.8,"GERMANY","06NI",11.59,11.5,11.49,"11.15","3","","NH","NACKTHAI","20","0",11.59,11.5,11.49,"11.15",35.7
"113",8230292,"2010-04-22 17:34:00.000",50.68,-11.39,79,249.1,"GERMANY","06NI",11.71,11.54,11.25,"11.21","3","","NH","NACKTHAI","20","0",11.71,11.54,11.25,"11.21",35.7
"114",8230293,"2010-04-22 19:57:00.000",50.37,-11.19,87,275,"GERMANY","06NI",11.83,11.72,11.3,"11.21","3","","NH","NACKTHAI","20","0",11.83,11.72,11.3,"11.21",35.71
"115",8230294,"2010-04-22 21:33:00.000",50.33,-10.9,13,235.7,"GERMANY","06NI",11.58,11.46,11.36,"11.11","3","","NH","NACKTHAI","20","0",11.58,11.46,11.36,"11.11",35.7
"116",8230295,"2010-04-23 04:34:00.000",58.27,-7.23,2,129.5906989,"Scotland","748S",7.7465,7.7608,7.6684,"","3","","G7","Gulf7","20","0",7.7465,7.7608,7.6684,"",34.899
"117",8230296,"2010-04-23 08:05:00.000",57.75,-7.73,2,77.60513988,"Scotland","748S",8.182,8.1985,8.1869,"","3","","G7","Gulf7","20","0",8.182,8.1985,8.1869,"",34.9423
"118",8230297,"2010-04-23 09:45:00.000",57.75,-8.22,3,71.22714186,"Scotland","748S",8.2183,8.2224,8.3835,"","3","","G7","Gulf7","20","0",8.2183,8.2224,8.3835,"",34.9575
"119",8230298,"2010-04-23 11:35:00.000",57.75,-8.73,1,115.3755299,"Scotland","748S",9.1502,9.1356,9.187,"","3","","G7","Gulf7","20","0",9.1502,9.1356,9.187,"",35.2965
"120",8230299,"2010-04-24 06:44:00.000",57.75,-13.18,1,189.0604032,"Scotland","748S",9.2938,9.2887,9.2018,"9.0482","3","","G7","Gulf7","20","0",9.2938,9.2887,9.2018,"9.0482",35.3583
"121",8230300,"2010-04-25 22:57:00.000",56.75,-17.81,1,95.07150768,"Scotland","748S",10.1467,9.94,9.7647,"9.6844","3","","G7","Gulf7","20","0",10.1467,9.94,9.7647,"9.6844",35.3051
"122",8230301,"2010-04-26 08:47:00.000",56.75,-15.31,8,174.7874116,"Scotland","748S",10.0707,9.8552,9.6919,"9.6807","3","","G7","Gulf7","20","0",10.0707,9.8552,9.6919,"9.6807",35.3767
"123",8230302,"2010-04-26 10:53:00.000",56.75,-14.79,1,174.9558213,"Scotland","748S",9.9779,9.8541,9.3978,"9.3639","3","","G7","Gulf7","20","0",9.9779,9.8541,9.3978,"9.3639",35.3816
"124",8230303,"2010-04-27 07:46:00.000",56.75,-9.31,7,176.8083282,"Scotland","748S",10.4375,10.4303,10.3559,"10.2298","3","","G7","Gulf7","20","0",10.4375,10.4303,10.3559,"10.2298",35.4583
"125",8230304,"2010-04-27 09:52:00.000",56.75,-8.79,1,176.9767379,"Scotland","748S",9.0944,8.8366,8.4488,"8.7737","3","","G7","Gulf7","20","0",9.0944,8.8366,8.4488,"8.7737",34.9792
"126",8230305,"2010-04-27 13:46:00.000",56.76,-7.75,1,177.3135574,"Scotland","748S",8.49,8.4883,NA,"","3","","G7","Gulf7","20","0",8.49,8.4883,NA,"",34.9087
"127",8230306,"2010-04-28 05:20:00.000",56.28,-7.72,1,177.4819671,"Scotland","748S",9.2206,9.1394,9.1344,"9.146","3","","G7","Gulf7","20","0",9.2206,9.1394,9.1344,"9.146",35.3032
"128",8230307,"2010-04-28 16:46:00.000",55.75,-9.24,10,178.1556059,"Scotland","748S",10.5072,10.5034,10.2927,"9.9986","3","","G7","Gulf7","20","0",10.5072,10.5034,10.2927,"9.9986",35.4579
"129",8230308,"2010-04-28 18:56:00.000",55.76,-9.71,2,178.3240157,"Scotland","748S",10.7338,10.7326,10.7299,"10.6903","3","","G7","Gulf7","20","0",10.7338,10.7326,10.7299,"10.6903",35.4725
"130",8230309,"2010-04-28 22:58:00.000",55.75,-10.7,1,178.6608351,"Scotland","748S",10.6419,10.6363,10.5813,"10.3556","3","","G7","Gulf7","20","0",10.6419,10.6363,10.5813,"10.3556",35.4603
"131",8230310,"2010-05-02 17:54:00.000",53.77,-11.1,1,185.0604043,"Scotland","748S",11.191,11.1603,10.8468,"10.3474","3","","G7","Gulf7","20","0",11.191,11.1603,10.8468,"10.3474",35.3151
"132",8230311,"2010-05-03 00:34:00.000",53.27,-11.75,2,185.3972237,"Scotland","748S",11.3078,11.306,10.7883,"10.5795","3","","G7","Gulf7","20","0",11.3078,11.306,10.7883,"10.5795",35.5219
"133",8230312,"2010-05-05 10:25:00.000",51.75,-11.19,2,151.6665739,"Scotland","748S",11.573,11.5656,11.0632,"10.7392","3","","G7","Gulf7","20","0",11.573,11.5656,11.0632,"10.7392",35.5255
"134",8230313,"2010-05-05 12:31:00.000",51.75,-11.69,45,186.8850923,"Scotland","748S",11.5198,11.5101,11.4818,"11.1012","3","","G7","Gulf7","20","0",11.5198,11.5101,11.4818,"11.1012",35.5749
