"","death","pm10median","pm25median","o3median","so2median","time","tmpd"
"66",114,7.5664556962,NA,1.1454295465,3.5197759597,-2491.5,59.5
"67",109,19.566455696,NA,7.0204295465,0.0017991319,-2490.5,54.5
"68",126,-16.4335443,NA,5.3954295465,-5.610658726,-2489.5,31
"69",113,-18.08163265,NA,3.9370962132,-5.108199941,-2488.5,25.5
"70",112,-3.433544304,NA,-4.667070453,2.5584667259,-2487.5,28.5
"71",125,30.566455696,NA,-3.979570453,1.5892638274,-2486.5,33.5
"72",128,5.5664556962,NA,-1.95873712,-0.886339049,-2485.5,34
"73",106,7.5664556962,NA,-6.479570453,-0.235658726,-2484.5,37
"74",113,NA,NA,12.457929547,-0.435581473,-2483.5,35
"75",117,-10.33962264,NA,11.934378822,-0.628127477,-2482.5,37.5
"76",127,13.566455696,NA,3.3745962132,1.0723520297,-2481.5,38.5
"77",120,21.566455696,NA,-4.128860583,3.2784648713,-2480.5,39.5
"78",121,-9.433544304,NA,7.2376914513,5.4588290447,-2479.5,41.5
"79",127,-13.4335443,NA,10.544719676,NA,-2478.5,43
"80",120,-1.433544304,NA,12.12805301,6.2293586532,-2477.5,43.5
"81",100,2.9183673469,NA,11.586386343,2.2918586532,-2476.5,48
"82",125,28.566455696,NA,7.0162628798,3.1784648713,-2475.5,53.5
"83",132,16.566455696,NA,1.1870962132,8.1393412739,-2474.5,57.5
"84",134,-27.4335443,NA,-9.562903787,-4.310581473,-2473.5,45
"85",107,1.5664556962,NA,-9.320479544,-3.012628207,-2472.5,45
"86",102,5.5664556962,NA,-7.812903787,-1.016416086,-2471.5,43
"87",128,-3.523259597,NA,-4.167070453,0.2727518601,-2470.5,46
"88",101,-4.433544304,NA,-3.465681565,-4.143914807,-2469.5,39.5
"89",125,-14.4335443,NA,5.9995962132,-7.303712761,-2468.5,29
"90",106,1.5664556962,NA,0.449328803,-3.058082753,-2467.5,30
"91",119,-5.433544304,NA,-1.775052323,-0.37515148,-2466.5,41.5
"92",91,2.5664556962,NA,-1.657578269,-3.141416086,-2465.5,29.5
"93",120,-16.83018868,NA,-7.357940167,-2.266416086,-2464.5,28
"94",123,-15.4335443,NA,2.8381232783,-3.310581473,-2463.5,35.5
"95",108,-23.4335443,NA,12.661232079,-3.185581473,-2462.5,43.5
"96",117,-22.4335443,NA,7.567289945,-4.310581473,-2461.5,50
"97",134,-13.4335443,NA,0.1132550648,-3.268914807,-2460.5,49.5
"98",120,-22.4335443,NA,-0.460698769,-4.97724814,-2459.5,40
"99",120,42.169811321,NA,-8.336195947,15.439418527,-2458.5,50
"100",110,27.566455696,NA,-1.782132779,7.5669172471,-2457.5,59.5
"101",111,-17.4335443,NA,5.7270966795,-2.804868462,-2456.5,51
"102",129,-4.433544304,NA,1.582359668,-4.22724814,-2455.5,49.5
"103",93,5.5664556962,NA,-6.566438978,0.7335839137,-2454.5,48
"104",140,-8.433544304,NA,-10.23310564,-2.623300144,-2453.5,52.5
"105",106,-4.756018217,NA,-6.168531311,-3.152325393,-2452.5,51.5
"106",110,-15.13186649,NA,-2.710197978,-3.818992059,-2451.5,54
"107",115,1.5664556962,NA,-4.316438978,4.5284648713,-2450.5,57.5
"108",106,64.566455696,NA,7.9564686886,8.4810851935,-2449.5,61.5
"109",105,NA,NA,8.9990263347,2.4334667259,-2448.5,64
"110",120,13.566455696,NA,17.820460345,1.3501333926,-2447.5,71
"111",97,0.5664556962,NA,-3.1287735,-2.727325393,-2446.5,56
"112",136,-13.4335443,NA,-15.21210683,-4.636021045,-2445.5,47
"113",112,-15.4335443,NA,-12.92044017,0.4034648713,-2444.5,52
"114",108,-25.4335443,NA,4.3726345648,-2.72724814,-2443.5,49
"115",130,-11.4335443,NA,0.6340883982,0.2293586532,-2442.5,51
"116",102,16.566455696,NA,8.008437566,4.3489039999,-2441.5,57
"117",107,-0.501301236,NA,12.041610017,4.2668000592,-2440.5,56.5
"118",118,30.566455696,NA,-1.297101254,-1.816533274,-2439.5,53.5
"119",110,19.566455696,NA,10.20725139,-1.143914807,-2438.5,64.5
"120",101,-22.4335443,NA,11.06766051,-4.85224814,-2437.5,46
"121",117,24.566455696,NA,-5.585698769,7.8501333926,-2436.5,53.5
"122",123,-11.4335443,NA,1.0814686886,-3.517665446,-2435.5,53
"123",110,-16.17241379,NA,3.6628060835,-5.803917201,-2434.5,45
"124",108,-15.4335443,NA,6.0587264999,-3.560581473,-2433.5,48
"125",134,18.566455696,NA,-1.595729101,8.3560851935,-2432.5,50.5
"126",131,NA,NA,8.1496355908,7.6060851935,-2431.5,58
"127",126,-0.433544304,NA,3.9124476768,-0.710256666,-2430.5,59.5
"128",108,12.566455696,NA,-8.909594361,2.9419172471,-2429.5,59
"129",112,20.968987595,NA,19.193018455,5.8476746072,-2428.5,69.5
"130",116,NA,NA,20.288690906,1.5378919986,-2427.5,74.5
"131",131,39.566455696,NA,21.580357573,3.8176805576,-2426.5,71
"132",123,-29.4335443,NA,2.7984007197,-4.35224814,-2425.5,51.5
"133",104,-21.4335443,NA,4.5382197846,5.9334667259,-2424.5,59
"134",123,NA,NA,16.048183553,0.9394185268,-2423.5,69
"135",105,-14.33962264,NA,-0.689865435,-2.518914807,-2422.5,56.5
"136",108,5.5664556962,NA,9.1579531328,-1.652325393,-2421.5,62.5
"137",123,21.566455696,NA,27.210508169,-0.912030749,-2420.5,70.5
"138",134,NA,NA,1.7864497076,-2.777325393,-2419.5,66.5
"139",101,0.5664556962,NA,1.4683070157,-2.893914807,-2418.5,67.5
"140",114,5.5664556962,NA,-6.730776346,-1.685581473,-2417.5,66.5
"141",125,12.303636011,NA,8.6797110674,-1.308082753,-2416.5,74
"142",111,NA,NA,-10.50543459,-2.810581473,-2415.5,61.5
"143",107,-28.4335443,NA,-12.53415181,-4.263201795,-2414.5,51
"144",105,NA,NA,-3.661876722,-4.35224814,-2413.5,50.5
"145",115,8.5664556962,NA,-10.46069877,-2.516416086,-2412.5,57.5
"146",106,-13.4335443,NA,5.4922110674,-0.433082753,-2411.5,73
"147",113,5.6603773585,NA,7.0232689332,-2.152325393,-2410.5,78.5
"148",104,7.5664556962,NA,5.978843358,-0.47724814,-2409.5,78.5
"149",106,8.5664556962,NA,3.9414449124,-0.066533274,-2408.5,78.5
"150",115,-6.433544304,NA,-1.45159928,-0.933082753,-2407.5,76
"151",102,-9.433544304,NA,8.4488641713,-2.233199941,-2406.5,76
"152",112,-11.4335443,NA,10.158877734,-2.10224814,-2405.5,74.5
"153",111,-2.065798733,NA,-6.382788933,-0.141416086,-2404.5,72
"154",120,0.5664556962,NA,-0.845078269,-2.858199941,-2403.5,69
"155",103,3.5664556962,NA,-3.08584881,-0.393914807,-2402.5,63
"156",98,19.566455696,NA,8.4651973564,-1.84974942,-2401.5,70
"157",101,15.566455696,NA,20.988255065,2.1894185268,-2400.5,71
"158",102,4.5664556962,NA,26.152697356,-0.471535129,-2399.5,77.5
"159",143,11.799191375,NA,24.978892394,1.1417994792,-2398.5,74.5
"160",88,-26.4335443,NA,8.3058361116,-6.691533274,-2397.5,57.5
"161",106,8.5664556962,NA,3.4825155826,-1.066533274,-2396.5,61
"162",96,4.5664556962,NA,3.3724736824,2.7310851935,-2395.5,72.5
"163",117,-0.433544304,NA,4.3909635113,-3.72724814,-2394.5,80
"164",97,31.566455696,NA,14.890963511,0.3585839137,-2393.5,77
"165",146,4.3608374384,NA,21.5587265,4.1060851935,-2392.5,83
"166",120,-13.4335443,NA,8.2482398373,-4.185581473,-2391.5,73.5
"167",109,4.5664556962,NA,8.6509938435,2.0168000592,-2390.5,75
"168",112,29.566455696,NA,26.549181522,4.8169172471,-2389.5,77
"169",132,48.566455696,NA,38.570937566,8.1393412739,-2388.5,80.5
"170",106,38.566455696,NA,23.411796845,2.7668000592,-2387.5,77.5
"171",122,23.128078818,NA,25.296902101,-1.016416086,-2386.5,77
"172",112,0.5664556962,NA,8.9324096545,-3.275474057,-2385.5,76
"173",117,10.566455696,NA,2.1824096545,-3.858199941,-2384.5,67
"174",100,7.5664556962,NA,6.4410352567,-1.560581473,-2383.5,72.5
"175",108,21.566455696,NA,25.828463511,2.1477518601,-2382.5,76
"176",126,11.566455696,NA,10.516614344,-0.85224814,-2381.5,70.5
"177",105,-7.172413793,NA,-1.963767921,-3.141416086,-2380.5,69
"178",111,-5.433544304,NA,-1.308555088,-3.268914807,-2379.5,64.5
"179",122,-7.433544304,NA,7.9496197995,-3.231995796,-2378.5,72
"180",108,1.5664556962,NA,4.5604300128,1.695131538,-2377.5,72.5
"181",106,1.5664556962,NA,-4.554539655,-1.610658726,-2376.5,70.5
"182",104,-19.4335443,NA,10.049757096,-4.268914807,-2375.5,68.5
"183",120,7.8729767769,NA,13.593277815,0.395587938,-2374.5,71
"184",112,6.5664556962,NA,19.967867221,-1.643914807,-2373.5,77.5
"185",101,-17.4335443,NA,10.3712265,-3.71924736,-2372.5,72.5
"186",114,NA,NA,-0.918085822,-4.049413369,-2371.5,72.5
"187",113,-8.398734177,NA,7.3598917402,-2.795510323,-2370.5,80
"188",119,NA,NA,10.78915119,-1.967632514,-2369.5,80
"189",126,2.3305084746,NA,8.6537936783,-2.602080476,-2368.5,80.5
"190",108,-10.53312303,NA,1.8464355695,-3.032699863,-2367.5,80.5
"191",95,-8.694006309,NA,0.1459300894,-2.901062426,-2366.5,80
"192",125,37.252365931,NA,5.5020570333,-3.808392024,-2365.5,80
"193",119,5.2523659306,NA,5.5237488831,-3.829117306,-2364.5,79.5
"194",77,-8.80126183,NA,-13.1703598,-3.48994781,-2363.5,64.5
"195",113,-14.85488959,NA,-3.51409928,-2.011913767,-2362.5,67
"196",110,-24.84858044,NA,-0.220078269,-3.076520516,-2361.5,63
"197",108,-15.13656925,NA,9.3086162545,-1.596730213,-2360.5,65.5
"198",102,-2.845425868,NA,19.197780199,-3.748126936,-2359.5,78
"199",110,9.0977917981,NA,23.902567386,-2.631651669,-2358.5,79.5
"200",129,30.147798742,NA,22.515134697,-1.898541786,-2357.5,84.5
"201",140,29.298245614,NA,16.701669445,-2.224483287,-2356.5,81.5
"202",105,16.116719243,NA,33.831914178,1.5341571638,-2355.5,81
"203",110,56.154574132,NA,22.631864023,1.2194924024,-2354.5,80.5
"204",121,75.1829653,NA,34.755235435,2.0775573489,-2353.5,82
"205",110,38.873522964,NA,10.893763346,2.4066432404,-2352.5,83
"206",115,11.356466877,NA,17.038500358,-0.426477598,-2351.5,84.5
"207",105,-4.878684807,NA,3.4613442262,-1.433853882,-2350.5,78.5
"208",112,-9.581761006,NA,-9.494376174,-0.555095712,-2349.5,71
"209",109,-3.004237288,NA,-6.131573335,-0.690936514,-2348.5,72.5
"210",125,-16.5408805,NA,0.8918834775,-0.803608414,-2347.5,78
"211",92,33.468553459,NA,25.54899806,-2.358108947,-2346.5,79.5
"212",110,6.4622641509,NA,15.076759998,-2.259328187,-2345.5,80.5
"213",113,18.575471698,NA,16.970930294,-3.616934723,-2344.5,87
"214",115,4.5566037736,NA,22.993426665,-1.182449387,-2343.5,86
"215",137,12.645768025,NA,7.4990263347,1.6366847337,-2342.5,83
"216",112,-20.28840125,NA,-2.050068324,-1.242784435,-2341.5,75
"217",126,-26.20689655,NA,-1.692590345,-3.170799535,-2340.5,72
"218",111,8.7586206897,NA,4.8082810102,-1.589522275,-2339.5,72
"219",95,13.189655172,NA,21.925645653,-0.061596991,-2338.5,79.5
"220",113,14.937304075,NA,0.6416143435,-2.568733707,-2337.5,73.5
"221",107,-12.02507837,NA,4.1247047929,-1.014752736,-2336.5,72.5
"222",96,-17.03125,NA,6.4914355622,-3.260654417,-2335.5,71
"223",98,-0.040625,NA,8.9919993,0.9768620661,-2334.5,74.5
"224",83,38.959375,NA,11.509088398,0.4825221744,-2333.5,76
"225",121,27.314814815,NA,11.91415119,2.6750101377,-2332.5,75.5
"226",107,9.8738877119,NA,-0.618004997,-3.621406235,-2331.5,74
"227",115,0.246875,NA,9.5472904923,-5.122590223,-2330.5,79.5
"228",125,1.8361625362,NA,8.5949095399,-2.247711928,-2329.5,80
"229",120,-1.889937107,NA,3.2695050648,-4.018423556,-2328.5,73.5
"230",102,7.0471698113,NA,-10.66952645,-0.813293404,-2327.5,69.5
"231",102,-4.35608914,NA,-5.363448168,-2.892331631,-2326.5,70
"232",118,7.820754717,NA,6.3143795905,-0.846403072,-2325.5,70
"233",118,1.7327044025,NA,13.078136839,0.4777644797,-2324.5,76
"234",107,-9.116352201,NA,0.5085341802,-2.704471,-2323.5,71.5
"235",107,-16.99371069,NA,-6.74146582,-2.964401237,-2322.5,63
"236",133,2.0786163522,NA,-12.19394685,-2.75191871,-2321.5,61.5
"237",107,0.0834615385,NA,-18.06058111,-2.856686994,-2320.5,59
"238",96,9.0408805031,NA,-15.30498514,-3.375585587,-2319.5,62
"239",103,-20.93690852,NA,-9.159932614,-5.18705285,-2318.5,63.5
"240",117,-8.952681388,NA,-1.787745502,-4.51611228,-2317.5,63.5
"241",100,NA,NA,-4.657919224,-2.94831567,-2316.5,65.5
"242",125,-5.927444795,NA,-1.427966112,-3.531824092,-2315.5,72
"243",113,-13.50847458,NA,-7.838472033,-3.58119384,-2314.5,62
"244",112,-3.791155509,NA,-5.80834697,-2.448064638,-2313.5,64
"245",107,-23.95583596,NA,-1.843747414,-4.120059386,-2312.5,61.5
"246",122,-16.88328076,NA,-3.448799445,-3.268073137,-2311.5,60.5
"247",115,NA,NA,7.9249724823,8.733811414,-2310.5,69
"248",104,NA,NA,21.782092424,-0.85035605,-2309.5,73
"249",118,25.254237288,NA,15.131864023,0.4389398067,-2308.5,75
"250",137,NA,NA,-1.282132779,-4.636597705,-2307.5,70.5
"251",117,NA,NA,0.7670598332,-2.358833683,-2306.5,72
"252",104,NA,NA,-6.047177611,-2.1727926,-2305.5,68.5
"253",105,NA,NA,1.1109007197,-0.947124223,-2304.5,67.5
"254",109,NA,NA,-1.745403018,-0.575471611,-2303.5,69
"255",121,-5.804613936,NA,-8.700818478,-4.242439666,-2302.5,68
"256",108,NA,NA,-11.92466737,-3.272336088,-2301.5,59
"257",114,NA,NA,-4.355585822,-1.2864684,-2300.5,61.5
"258",108,NA,NA,-8.395901202,-0.209018487,-2299.5,72
"259",111,-7.531847134,NA,-14.22995856,-3.880171006,-2298.5,69
"260",110,-10.4600639,NA,-10.37015094,-4.02898053,-2297.5,67.5
"261",107,-10.34053207,NA,-16.41382038,-4.123284919,-2296.5,63.5
"262",107,NA,NA,-11.63901201,-3.746367055,-2295.5,61
"263",108,NA,NA,-16.74070727,-3.640537117,-2294.5,57
"264",139,-11.36421725,NA,-18.67324,-4.31693347,-2293.5,55.5
"265",130,NA,NA,-16.46309507,-3.151821356,-2292.5,61
"266",111,-2.428115016,NA,-9.988555465,-2.350540181,-2291.5,63
"267",112,-12.98305085,NA,-6.750973665,-3.017350137,-2290.5,59.5
"268",106,14.50798722,NA,-9.229958559,3.4143950846,-2289.5,56.5
"269",127,1.4696485623,NA,-1.625973665,2.0233604404,-2288.5,65
"270",110,8.3865814696,NA,3.0814686886,-1.265266803,-2287.5,75.5
"271",120,16.42172524,NA,5.582359668,1.3744855683,-2286.5,69
"272",115,-6.584664537,NA,-10.73855547,-3.8084381,-2285.5,61.5
"273",120,-11.55271565,NA,-12.40040636,-2.706833847,-2284.5,55
"274",117,3.4249201278,NA,-7.786681966,0.5579945407,-2283.5,55.5
"275",128,11.469648562,NA,-7.983812118,-3.637175625,-2282.5,47
"276",115,11.408945687,NA,-8.035645221,-2.168164483,-2281.5,42.5
"277",123,9.428115016,NA,-5.583104944,0.5083705083,-2280.5,52
"278",118,7.3557692308,NA,-9.334241307,5.1774302061,-2279.5,60
"279",137,-19.30053358,NA,-15.87080111,-3.643958491,-2278.5,45.5
"280",134,-4.685897436,NA,-11.53766432,-4.015360534,-2277.5,39.5
"281",134,0.2724358974,NA,-13.46416555,0.2245888512,-2276.5,41.5
"282",115,-2.480769231,NA,-12.23337413,-1.092560907,-2275.5,53.5
"283",103,-12.5224359,NA,-16.33797878,-4.410614044,-2274.5,42.5
"284",106,-8.557692308,NA,-9.069707849,-3.511182261,-2273.5,39
"285",123,5.6592242503,NA,-11.19262136,-0.66576441,-2272.5,42.5
"286",116,NA,NA,-8.38792379,3.3589668724,-2271.5,49.5
"287",120,0.4662379421,NA,-14.48491462,6.4214437224,-2270.5,55.5
"288",130,11.488745981,NA,0.0527444858,6.6280728124,-2269.5,63
"289",111,17.498392283,NA,3.0976778851,1.4276524654,-2268.5,62.5
"290",122,-21.50160772,NA,-15.28629884,-4.023949206,-2267.5,48
"291",121,-9.092592593,NA,-7.985547571,-3.160586099,-2266.5,53.5
"292",117,-29.40705128,NA,-7.653766376,-4.057272593,-2265.5,49.5
"293",111,-16.3974359,NA,-8.529145082,-2.709994691,-2264.5,45.5
"294",114,-18.96898088,NA,-17.26010696,-3.691544378,-2263.5,37
"295",104,-15.45192308,NA,-17.93021713,-1.590288215,-2262.5,43
"296",98,9.4679487179,NA,-15.48332352,-1.932350953,-2261.5,39
"297",139,-7.508474576,NA,-17.53166493,-4.432789503,-2260.5,38.5
"298",126,NA,NA,-13.39005841,-4.628739986,-2259.5,42
"299",115,-7.58974359,NA,-19.41637291,0.6383121077,-2258.5,44.5
"300",119,-9.53525641,NA,-13.83399678,-2.854401892,-2257.5,44.5
"301",114,-9.400641026,NA,-19.0731291,-3.217298443,-2256.5,38.5
"302",123,7.6891025641,NA,-15.65926103,2.0977152404,-2255.5,44.5
"303",125,17.153044872,NA,-7.016590572,6.1552488864,-2254.5,54.5
"304",116,19.701923077,NA,-12.37027171,0.6330861381,-2253.5,52
"305",118,-10.30769231,NA,-13.68456193,-3.061175196,-2252.5,58
"306",138,5.5961538462,NA,-12.01771332,-1.644299129,-2251.5,64
"307",98,NA,NA,7.2720001797,0.632387088,-2250.5,66
"308",114,6.5641025641,NA,-7.116385483,-0.277447403,-2249.5,56.5
"309",117,-11.5095339,NA,-5.710478889,-3.229939671,-2248.5,40.5
"310",108,3.4757946607,NA,-16.48801612,2.0566250571,-2247.5,39.5
"311",109,5.3674121406,NA,-19.97389892,-0.297672932,-2246.5,45.5
"312",121,24.444089457,NA,-2.200570232,-1.496812002,-2245.5,49.5
"313",109,-23.49363057,NA,0.5956942738,-2.499035784,-2244.5,35
"314",127,-29.35031847,NA,1.5387695978,-1.163829792,-2243.5,34
"315",143,-7.333333333,NA,-17.12772239,-1.150800714,-2242.5,35
"316",118,5.3885350318,NA,-16.5474236,4.3115556274,-2241.5,43.5
"317",113,13.425396825,NA,-19.61838532,2.2600508173,-2240.5,48.5
"318",125,-23.6984127,NA,-14.4255982,0.3562456484,-2239.5,47
"319",108,9.2349206349,NA,-6.359815965,4.2046483305,-2238.5,50.5
"320",100,-7.697452229,NA,-8.458831533,0.706919131,-2237.5,56
"321",112,-18.58341642,NA,-12.63399243,-2.315811114,-2236.5,50
"322",106,NA,NA,-16.12895217,-2.958212057,-2235.5,38
"323",128,-13.7843254,NA,-15.36256322,2.8054927068,-2234.5,37.5
"324",128,-7.647619048,NA,-1.201928563,-3.436825066,-2233.5,27.5
"325",121,-14.67405063,NA,-15.10925855,-0.047443707,-2232.5,25.5
"326",128,NA,NA,-14.67942797,-1.623842412,-2231.5,42
"327",127,-7.097456634,NA,-14.59282564,-2.002781482,-2230.5,43.5
"328",113,10.306962025,NA,-17.60536661,-2.290926016,-2229.5,39.5
"329",117,-31.6835443,NA,-13.35055892,-3.977053559,-2228.5,40
"330",114,-26.71608833,NA,-2.882495731,-4.026728582,-2227.5,40
"331",117,NA,NA,-15.29801771,-4.022318183,-2226.5,40.5
"332",115,NA,NA,-19.79452953,-0.783570168,-2225.5,47
"333",103,-26.3220339,NA,-21.13324676,-3.726241117,-2224.5,39
"334",101,NA,NA,-20.14021907,-2.216406063,-2223.5,37
"335",134,-14.25396825,NA,-13.31928675,-3.33378623,-2222.5,32
"336",93,-19.59047619,NA,-16.15761002,-2.506477212,-2221.5,30
"337",116,-12.62222222,NA,-20.42253779,-2.593161986,-2220.5,30.5
"338",128,-7.568253968,NA,-14.5397013,-1.448296091,-2219.5,27
"339",109,-11.97093254,NA,-12.95353895,-0.551877978,-2218.5,27
"340",142,-20.58095238,NA,-11.83666624,6.481846455,-2217.5,31.5
"341",124,-17.57006369,NA,-20.99802721,-3.036743217,-2216.5,38.5
"342",112,-14.8343949,NA,-21.32223133,-3.75716523,-2215.5,46.5
"343",116,-22.10509554,NA,-17.27880905,-2.74542175,-2214.5,49.5
"344",136,-11.08306709,NA,-19.46755394,-2.161251671,-2213.5,38
"345",138,-11.26698179,NA,-22.10172571,2.5594942072,-2212.5,41
"346",136,-14.06070288,NA,-15.84088668,-2.446657139,-2211.5,35
"347",108,-8.987220447,NA,-13.72628839,-3.785463533,-2210.5,31.5
"348",125,-0.03514377,NA,-13.72102282,-0.634468237,-2209.5,30
"349",140,-24.22683706,NA,-17.48117837,-4.524857002,-2208.5,31
"350",149,-7.329073482,NA,-14.96312447,-3.323244049,-2207.5,27.5
"351",118,-10.66666667,NA,-19.45638076,-2.217669765,-2206.5,20.5
"352",131,-7.086261981,NA,-22.63108022,6.189208539,-2205.5,23
"353",111,-23.05774034,NA,-23.19567566,0.6042412187,-2204.5,34
"354",130,-17.94871795,NA,-14.98012371,-0.582611178,-2203.5,34
"355",125,NA,NA,-20.2612213,1.4190193377,-2202.5,33
"356",121,NA,NA,-24.54392954,NA,-2201.5,35
"357",144,0.2586206897,NA,-21.4156255,-0.077783968,-2200.5,35.5
"358",126,NA,NA,-22.35423074,-4.117158936,-2199.5,41
"359",124,-27.16720257,NA,-9.735146269,-5.298701249,-2198.5,33
"360",119,NA,NA,-6.270720989,-2.72805362,-2197.5,27.5
"361",116,1.864516129,NA,-15.24236865,1.545643735,-2196.5,29
"362",156,NA,NA,-6.70547299,-3.71889722,-2195.5,33.5
"363",112,-16.27118644,NA,-5.556665954,-1.65924795,-2194.5,24.5
"364",116,NA,NA,-20.75310897,4.2401948216,-2193.5,25.5
"365",148,-21.97411003,NA,-10.87220297,NA,-2192.5,23.5
"366",108,NA,NA,-4.920980937,-2.332397396,-2191.5,3.5
"367",124,NA,NA,-17.13834998,1.6342924835,-2190.5,15
"368",138,-17.85064935,NA,-16.1605841,3.74548097,-2189.5,24.5
"369",132,-16.38333333,NA,-6.539574728,-1.656946453,-2188.5,5
"370",112,-18.90909091,NA,-11.78786267,-2.208038797,-2187.5,-6.5
"371",131,31.854368932,NA,-17.88557465,-1.406166625,-2186.5,-5.5
"372",140,30.624595469,NA,-23.09752237,5.7936718724,-2185.5,3
"373",123,43.32038835,NA,-21.08659858,8.1610053341,-2184.5,8.5
"374",126,4.1521035599,NA,-17.71327331,-0.436365268,-2183.5,0.5
"375",121,2.1041666667,NA,-18.89266845,3.1664639536,-2182.5,1.5
