"","QUADRICULA","TET","crestlark","linnet","x","y"
"13380","NG35","E",NA,NA,531000,4659000
"13385","NG35","J",NA,NA,533000,4659000
"13390","NG35","P",NA,NA,535000,4659000
"13395","NG35","U",NA,NA,537000,4659000
"13400","NG35","Z",0,0,539000,4659000
"13530","NG45","E",NA,NA,541000,4659000
"13535","NG45","J",NA,NA,543000,4659000
"13540","NG45","P",0,1,545000,4659000
"13545","NG45","U",NA,NA,547000,4659000
"13550","NG45","Z",0,0,549000,4659000
"13680","NG55","E",NA,NA,551000,4659000
"13685","NG55","J",0,0,553000,4659000
"13690","NG55","P",NA,NA,555000,4659000
"13695","NG55","U",NA,NA,557000,4659000
"13700","NG55","Z",NA,NA,559000,4659000
"13855","NG65","E",0,1,561000,4659000
"13860","NG65","J",NA,NA,563000,4659000
"13865","NG65","P",NA,NA,565000,4659000
"13870","NG65","U",NA,NA,567000,4659000
"13875","NG65","Z",NA,NA,569000,4659000
"14030","NG75","E",0,0,571000,4659000
"14035","NG75","J",NA,NA,573000,4659000
"14040","NG75","P",NA,NA,575000,4659000
"14045","NG75","U",NA,NA,577000,4659000
"14050","NG75","Z",NA,NA,579000,4659000
"24055","PG55","E",NA,NA,651000,4659000
"24060","PG55","J",NA,NA,653000,4659000
"24065","PG55","P",NA,NA,655000,4659000
"24070","PG55","U",NA,NA,657000,4659000
"24075","PG55","Z",NA,NA,659000,4659000
"24455","PG85","E",NA,NA,681000,4659000
"24460","PG85","J",NA,NA,683000,4659000
"24465","PG85","P",NA,NA,685000,4659000
"24470","PG85","U",NA,NA,687000,4659000
"24475","PG85","Z",NA,NA,689000,4659000
"13229","NG25","D",NA,NA,521000,4657000
"13234","NG25","I",NA,NA,523000,4657000
"13239","NG25","N",NA,NA,525000,4657000
"13244","NG25","T",NA,NA,527000,4657000
"13249","NG25","Y",NA,NA,529000,4657000
"13379","NG35","D",NA,NA,531000,4657000
"13384","NG35","I",0,0,533000,4657000
"13389","NG35","N",NA,NA,535000,4657000
"13394","NG35","T",NA,NA,537000,4657000
"13399","NG35","Y",0,0,539000,4657000
"13529","NG45","D",NA,NA,541000,4657000
"13534","NG45","I",NA,NA,543000,4657000
"13539","NG45","N",NA,NA,545000,4657000
"13544","NG45","T",NA,NA,547000,4657000
"13549","NG45","Y",NA,NA,549000,4657000
"13679","NG55","D",NA,NA,551000,4657000
"13684","NG55","I",NA,NA,553000,4657000
"13689","NG55","N",0,1,555000,4657000
"13694","NG55","T",NA,NA,557000,4657000
"13699","NG55","Y",0,0,559000,4657000
"13854","NG65","D",NA,NA,561000,4657000
"13859","NG65","I",0,1,563000,4657000
"13864","NG65","N",NA,NA,565000,4657000
"13869","NG65","T",NA,NA,567000,4657000
"13874","NG65","Y",0,0,569000,4657000
"14029","NG75","D",NA,NA,571000,4657000
"14034","NG75","I",0,0,573000,4657000
"14039","NG75","N",NA,NA,575000,4657000
"14044","NG75","T",NA,NA,577000,4657000
"14049","NG75","Y",NA,NA,579000,4657000
"24054","PG55","D",NA,NA,651000,4657000
"24059","PG55","I",NA,NA,653000,4657000
"24064","PG55","N",NA,NA,655000,4657000
"24069","PG55","T",NA,NA,657000,4657000
"24074","PG55","Y",NA,NA,659000,4657000
"24454","PG85","D",NA,NA,681000,4657000
"24459","PG85","I",NA,NA,683000,4657000
"24464","PG85","N",NA,NA,685000,4657000
"24469","PG85","T",NA,NA,687000,4657000
"24474","PG85","Y",NA,NA,689000,4657000
"13228","NG25","C",NA,NA,521000,4655000
"13233","NG25","H",NA,NA,523000,4655000
"13238","NG25","M",NA,NA,525000,4655000
"13243","NG25","S",NA,NA,527000,4655000
"13248","NG25","X",NA,NA,529000,4655000
"13378","NG35","C",0,1,531000,4655000
"13383","NG35","H",NA,NA,533000,4655000
"13388","NG35","M",NA,NA,535000,4655000
"13393","NG35","S",0,1,537000,4655000
"13398","NG35","X",NA,NA,539000,4655000
"13528","NG45","C",0,1,541000,4655000
"13533","NG45","H",NA,NA,543000,4655000
"13538","NG45","M",0,1,545000,4655000
"13543","NG45","S",NA,NA,547000,4655000
"13548","NG45","X",NA,NA,549000,4655000
"13678","NG55","C",NA,NA,551000,4655000
"13683","NG55","H",NA,NA,553000,4655000
"13688","NG55","M",NA,NA,555000,4655000
"13693","NG55","S",NA,NA,557000,4655000
"13698","NG55","X",NA,NA,559000,4655000
"13853","NG65","C",NA,NA,561000,4655000
"13858","NG65","H",NA,NA,563000,4655000
"13863","NG65","M",NA,NA,565000,4655000
"13868","NG65","S",0,1,567000,4655000
"13873","NG65","X",NA,NA,569000,4655000
"14028","NG75","C",0,0,571000,4655000
"14033","NG75","H",NA,NA,573000,4655000
"14038","NG75","M",0,0,575000,4655000
"14043","NG75","S",NA,NA,577000,4655000
"14048","NG75","X",NA,NA,579000,4655000
"24053","PG55","C",NA,NA,651000,4655000
"24058","PG55","H",NA,NA,653000,4655000
"24063","PG55","M",NA,NA,655000,4655000
"24068","PG55","S",NA,NA,657000,4655000
"24073","PG55","X",NA,NA,659000,4655000
"24453","PG85","C",NA,NA,681000,4655000
"24458","PG85","H",NA,NA,683000,4655000
"24463","PG85","M",NA,NA,685000,4655000
"24468","PG85","S",NA,NA,687000,4655000
"24473","PG85","X",NA,NA,689000,4655000
"13227","NG25","B",NA,NA,521000,4653000
"13232","NG25","G",NA,NA,523000,4653000
"13237","NG25","L",NA,NA,525000,4653000
"13242","NG25","R",NA,NA,527000,4653000
"13247","NG25","W",NA,NA,529000,4653000
"13377","NG35","B",NA,NA,531000,4653000
"13382","NG35","G",0,0,533000,4653000
"13387","NG35","L",NA,NA,535000,4653000
"13392","NG35","R",NA,NA,537000,4653000
"13397","NG35","W",0,0,539000,4653000
"13527","NG45","B",NA,NA,541000,4653000
"13532","NG45","G",NA,NA,543000,4653000
"13537","NG45","L",NA,NA,545000,4653000
"13542","NG45","R",NA,NA,547000,4653000
"13547","NG45","W",NA,NA,549000,4653000
"13677","NG55","B",0,0,551000,4653000
"13682","NG55","G",NA,NA,553000,4653000
"13687","NG55","L",NA,NA,555000,4653000
"13692","NG55","R",0,0,557000,4653000
"13697","NG55","W",NA,NA,559000,4653000
"13852","NG65","B",NA,NA,561000,4653000
"13857","NG65","G",NA,NA,563000,4653000
"13862","NG65","L",NA,NA,565000,4653000
"13867","NG65","R",NA,NA,567000,4653000
"13872","NG65","W",NA,NA,569000,4653000
"14027","NG75","B",NA,NA,571000,4653000
"14032","NG75","G",0,1,573000,4653000
"14037","NG75","L",NA,NA,575000,4653000
"14042","NG75","R",NA,NA,577000,4653000
"14047","NG75","W",NA,NA,579000,4653000
"24052","PG55","B",NA,NA,651000,4653000
"24057","PG55","G",NA,NA,653000,4653000
"24062","PG55","L",NA,NA,655000,4653000
"24067","PG55","R",NA,NA,657000,4653000
"24072","PG55","W",NA,NA,659000,4653000
"24452","PG85","B",NA,NA,681000,4653000
"24457","PG85","G",NA,NA,683000,4653000
"24462","PG85","L",NA,NA,685000,4653000
"24467","PG85","R",NA,NA,687000,4653000
"24472","PG85","W",NA,NA,689000,4653000
"13226","NG25","A",NA,NA,521000,4651000
"13231","NG25","F",NA,NA,523000,4651000
"13236","NG25","K",NA,NA,525000,4651000
"13241","NG25","Q",NA,NA,527000,4651000
"13246","NG25","V",NA,NA,529000,4651000
"13376","NG35","A",0,1,531000,4651000
"13381","NG35","F",NA,NA,533000,4651000
"13386","NG35","K",0,1,535000,4651000
"13391","NG35","Q",NA,NA,537000,4651000
"13396","NG35","V",NA,NA,539000,4651000
"13526","NG45","A",0,0,541000,4651000
"13531","NG45","F",NA,NA,543000,4651000
"13536","NG45","K",NA,NA,545000,4651000
"13541","NG45","Q",0,1,547000,4651000
"13546","NG45","V",NA,NA,549000,4651000
"13676","NG55","A",NA,NA,551000,4651000
"13681","NG55","F",NA,NA,553000,4651000
"13686","NG55","K",NA,NA,555000,4651000
"13691","NG55","Q",NA,NA,557000,4651000
"13696","NG55","V",0,0,559000,4651000
"13851","NG65","A",NA,NA,561000,4651000
"13856","NG65","F",0,1,563000,4651000
"13861","NG65","K",NA,NA,565000,4651000
"13866","NG65","Q",NA,NA,567000,4651000
"13871","NG65","V",0,0,569000,4651000
"14026","NG75","A",0,1,571000,4651000
"14031","NG75","F",NA,NA,573000,4651000
"14036","NG75","K",NA,NA,575000,4651000
"14041","NG75","Q",NA,NA,577000,4651000
"14046","NG75","V",NA,NA,579000,4651000
"24051","PG55","A",NA,NA,651000,4651000
"24056","PG55","F",NA,NA,653000,4651000
"24061","PG55","K",NA,NA,655000,4651000
"24066","PG55","Q",NA,NA,657000,4651000
"24071","PG55","V",NA,NA,659000,4651000
"24451","PG85","A",NA,NA,681000,4651000
"24456","PG85","F",NA,NA,683000,4651000
"24461","PG85","K",NA,NA,685000,4651000
"24466","PG85","Q",NA,NA,687000,4651000
"24471","PG85","V",NA,NA,689000,4651000
"13080","NG14","E",NA,NA,511000,4649000
"13085","NG14","J",NA,NA,513000,4649000
"13090","NG14","P",NA,NA,515000,4649000
"13095","NG14","U",NA,NA,517000,4649000
"13100","NG14","Z",NA,NA,519000,4649000
"13205","NG24","E",NA,NA,521000,4649000
"13210","NG24","J",NA,NA,523000,4649000
"13215","NG24","P",NA,NA,525000,4649000
"13220","NG24","U",NA,NA,527000,4649000
"13225","NG24","Z",0,1,529000,4649000
"13355","NG34","E",0,1,531000,4649000
"13360","NG34","J",NA,NA,533000,4649000
"13365","NG34","P",NA,NA,535000,4649000
"13370","NG34","U",0,0,537000,4649000
"13375","NG34","Z",NA,NA,539000,4649000
"13505","NG44","E",NA,NA,541000,4649000
"13510","NG44","J",0,1,543000,4649000
"13515","NG44","P",NA,NA,545000,4649000
"13520","NG44","U",NA,NA,547000,4649000
"13525","NG44","Z",NA,NA,549000,4649000
"13655","NG54","E",0,0,551000,4649000
"13660","NG54","J",NA,NA,553000,4649000
"13665","NG54","P",NA,NA,555000,4649000
"13670","NG54","U",NA,NA,557000,4649000
"13675","NG54","Z",0,0,559000,4649000
"13830","NG64","E",NA,NA,561000,4649000
"13835","NG64","J",0,0,563000,4649000
"13840","NG64","P",0,0,565000,4649000
"13845","NG64","U",NA,NA,567000,4649000
"13850","NG64","Z",0,0,569000,4649000
"14005","NG74","E",NA,NA,571000,4649000
"14010","NG74","J",NA,NA,573000,4649000
"14015","NG74","P",NA,NA,575000,4649000
"14020","NG74","U",NA,NA,577000,4649000
"14025","NG74","Z",NA,NA,579000,4649000
"14255","NG94","E",NA,NA,591000,4649000
"14260","NG94","J",NA,NA,593000,4649000
"14265","NG94","P",NA,NA,595000,4649000
"14270","NG94","U",NA,NA,597000,4649000
"14275","NG94","Z",NA,NA,599000,4649000
"23505","PG04","E",NA,NA,601000,4649000
"23510","PG04","J",NA,NA,603000,4649000
"23515","PG04","P",NA,NA,605000,4649000
"23520","PG04","U",NA,NA,607000,4649000
"23525","PG04","Z",NA,NA,609000,4649000
"24030","PG54","E",0,1,651000,4649000
"24035","PG54","J",NA,NA,653000,4649000
"24040","PG54","P",0,0,655000,4649000
"24045","PG54","U",NA,NA,657000,4649000
"24050","PG54","Z",NA,NA,659000,4649000
"24180","PG64","E",NA,NA,661000,4649000
"24185","PG64","J",NA,NA,663000,4649000
"24190","PG64","P",NA,NA,665000,4649000
"24195","PG64","U",NA,NA,667000,4649000
"24200","PG64","Z",NA,NA,669000,4649000
"24305","PG74","E",NA,NA,671000,4649000
"24310","PG74","J",NA,NA,673000,4649000
"24315","PG74","P",NA,NA,675000,4649000
"24320","PG74","U",NA,NA,677000,4649000
"24325","PG74","Z",NA,NA,679000,4649000
"24430","PG84","E",NA,NA,681000,4649000
"24435","PG84","J",0,0,683000,4649000
"24440","PG84","P",0,0,685000,4649000
"24445","PG84","U",NA,NA,687000,4649000
"24450","PG84","Z",NA,NA,689000,4649000
"24580","PG94","E",NA,NA,691000,4649000
"24585","PG94","J",NA,NA,693000,4649000
"24590","PG94","P",NA,NA,695000,4649000
"24595","PG94","U",NA,NA,697000,4649000
"24600","PG94","Z",NA,NA,699000,4649000
"24930","QG04","E",NA,NA,701000,4649000
"24935","QG04","J",NA,NA,703000,4649000
"24940","QG04","P",NA,NA,705000,4649000
"24945","QG04","U",NA,NA,707000,4649000
"24950","QG04","Z",NA,NA,709000,4649000
"13079","NG14","D",NA,NA,511000,4647000
"13084","NG14","I",NA,NA,513000,4647000
"13089","NG14","N",NA,NA,515000,4647000
"13094","NG14","T",NA,NA,517000,4647000
"13099","NG14","Y",NA,NA,519000,4647000
"13204","NG24","D",NA,NA,521000,4647000
"13209","NG24","I",0,1,523000,4647000
"13214","NG24","N",NA,NA,525000,4647000
"13219","NG24","T",NA,NA,527000,4647000
"13224","NG24","Y",NA,NA,529000,4647000
"13354","NG34","D",0,1,531000,4647000
"13359","NG34","I",NA,NA,533000,4647000
"13364","NG34","N",NA,NA,535000,4647000
"13369","NG34","T",NA,NA,537000,4647000
"13374","NG34","Y",0,1,539000,4647000
"13504","NG44","D",0,1,541000,4647000
"13509","NG44","I",NA,NA,543000,4647000
"13514","NG44","N",NA,NA,545000,4647000
"13519","NG44","T",NA,NA,547000,4647000
"13524","NG44","Y",NA,NA,549000,4647000
"13654","NG54","D",NA,NA,551000,4647000
"13659","NG54","I",0,0,553000,4647000
"13664","NG54","N",NA,NA,555000,4647000
"13669","NG54","T",NA,NA,557000,4647000
"13674","NG54","Y",NA,NA,559000,4647000
"13829","NG64","D",0,0,561000,4647000
"13834","NG64","I",NA,NA,563000,4647000
"13839","NG64","N",NA,NA,565000,4647000
"13844","NG64","T",NA,NA,567000,4647000
"13849","NG64","Y",NA,NA,569000,4647000
"14004","NG74","D",NA,NA,571000,4647000
"14009","NG74","I",NA,NA,573000,4647000
"14014","NG74","N",NA,NA,575000,4647000
"14019","NG74","T",NA,NA,577000,4647000
"14024","NG74","Y",NA,NA,579000,4647000
"14254","NG94","D",NA,NA,591000,4647000
"14259","NG94","I",NA,NA,593000,4647000
"14264","NG94","N",NA,NA,595000,4647000
"14269","NG94","T",NA,NA,597000,4647000
"14274","NG94","Y",NA,NA,599000,4647000
"23504","PG04","D",NA,NA,601000,4647000
"23509","PG04","I",NA,NA,603000,4647000
"23514","PG04","N",NA,NA,605000,4647000
"23519","PG04","T",NA,NA,607000,4647000
"23524","PG04","Y",NA,NA,609000,4647000
"24029","PG54","D",NA,NA,651000,4647000
"24034","PG54","I",0,0,653000,4647000
"24039","PG54","N",NA,NA,655000,4647000
"24044","PG54","T",NA,NA,657000,4647000
"24049","PG54","Y",NA,NA,659000,4647000
"24179","PG64","D",NA,NA,661000,4647000
"24184","PG64","I",NA,NA,663000,4647000
"24189","PG64","N",NA,NA,665000,4647000
"24194","PG64","T",0,1,667000,4647000
"24199","PG64","Y",NA,NA,669000,4647000
"24304","PG74","D",NA,NA,671000,4647000
"24309","PG74","I",NA,NA,673000,4647000
"24314","PG74","N",NA,NA,675000,4647000
"24319","PG74","T",NA,NA,677000,4647000
"24324","PG74","Y",NA,NA,679000,4647000
"24429","PG84","D",NA,NA,681000,4647000
"24434","PG84","I",NA,NA,683000,4647000
"24439","PG84","N",0,0,685000,4647000
"24444","PG84","T",NA,NA,687000,4647000
"24449","PG84","Y",NA,NA,689000,4647000
"24579","PG94","D",NA,NA,691000,4647000
"24584","PG94","I",NA,NA,693000,4647000
"24589","PG94","N",NA,NA,695000,4647000
"24594","PG94","T",NA,NA,697000,4647000
"24599","PG94","Y",NA,NA,699000,4647000
"24929","QG04","D",0,0,701000,4647000
"24934","QG04","I",0,0,703000,4647000
"24939","QG04","N",NA,NA,705000,4647000
"24944","QG04","T",NA,NA,707000,4647000
"24949","QG04","Y",NA,NA,709000,4647000
"13078","NG14","C",NA,NA,511000,4645000
"13083","NG14","H",NA,NA,513000,4645000
"13088","NG14","M",NA,NA,515000,4645000
"13093","NG14","S",NA,NA,517000,4645000
"13098","NG14","X",NA,NA,519000,4645000
"13203","NG24","C",0,1,521000,4645000
"13208","NG24","H",NA,NA,523000,4645000
"13213","NG24","M",NA,NA,525000,4645000
"13218","NG24","S",0,1,527000,4645000
"13223","NG24","X",NA,NA,529000,4645000
"13353","NG34","C",NA,NA,531000,4645000
"13358","NG34","H",NA,NA,533000,4645000
"13363","NG34","M",NA,NA,535000,4645000
"13368","NG34","S",0,0,537000,4645000
"13373","NG34","X",NA,NA,539000,4645000
"13503","NG44","C",NA,NA,541000,4645000
"13508","NG44","H",NA,NA,543000,4645000
"13513","NG44","M",0,0,545000,4645000
"13518","NG44","S",NA,NA,547000,4645000
"13523","NG44","X",NA,NA,549000,4645000
"13653","NG54","C",0,1,551000,4645000
"13658","NG54","H",NA,NA,553000,4645000
"13663","NG54","M",NA,NA,555000,4645000
"13668","NG54","S",NA,NA,557000,4645000
"13673","NG54","X",0,0,559000,4645000
"13828","NG64","C",NA,NA,561000,4645000
"13833","NG64","H",NA,NA,563000,4645000
"13838","NG64","M",NA,NA,565000,4645000
"13843","NG64","S",0,1,567000,4645000
"13848","NG64","X",NA,NA,569000,4645000
"14003","NG74","C",NA,NA,571000,4645000
"14008","NG74","H",NA,NA,573000,4645000
"14013","NG74","M",NA,NA,575000,4645000
"14018","NG74","S",NA,NA,577000,4645000
"14023","NG74","X",NA,NA,579000,4645000
"14253","NG94","C",NA,NA,591000,4645000
"14258","NG94","H",NA,NA,593000,4645000
"14263","NG94","M",NA,NA,595000,4645000
"14268","NG94","S",NA,NA,597000,4645000
"14273","NG94","X",NA,NA,599000,4645000
"23503","PG04","C",NA,NA,601000,4645000
"23508","PG04","H",NA,NA,603000,4645000
"23513","PG04","M",NA,NA,605000,4645000
"23518","PG04","S",NA,NA,607000,4645000
"23523","PG04","X",NA,NA,609000,4645000
"24028","PG54","C",NA,NA,651000,4645000
"24033","PG54","H",NA,NA,653000,4645000
"24038","PG54","M",0,1,655000,4645000
"24043","PG54","S",NA,NA,657000,4645000
"24048","PG54","X",0,0,659000,4645000
"24178","PG64","C",0,1,661000,4645000
"24183","PG64","H",NA,NA,663000,4645000
"24188","PG64","M",0,1,665000,4645000
"24193","PG64","S",0,1,667000,4645000
"24198","PG64","X",NA,NA,669000,4645000
"24303","PG74","C",0,0,671000,4645000
"24308","PG74","H",NA,NA,673000,4645000
"24313","PG74","M",0,1,675000,4645000
"24318","PG74","S",NA,NA,677000,4645000
"24323","PG74","X",0,1,679000,4645000
"24428","PG84","C",NA,NA,681000,4645000
"24433","PG84","H",NA,NA,683000,4645000
"24438","PG84","M",0,1,685000,4645000
"24443","PG84","S",NA,NA,687000,4645000
"24448","PG84","X",0,1,689000,4645000
"24578","PG94","C",0,1,691000,4645000
"24583","PG94","H",NA,NA,693000,4645000
"24588","PG94","M",0,1,695000,4645000
"24593","PG94","S",NA,NA,697000,4645000
"24598","PG94","X",0,1,699000,4645000
"24928","QG04","C",0,1,701000,4645000
"24933","QG04","H",NA,NA,703000,4645000
"24938","QG04","M",NA,NA,705000,4645000
"24943","QG04","S",NA,NA,707000,4645000
"24948","QG04","X",NA,NA,709000,4645000
"13077","NG14","B",NA,NA,511000,4643000
"13082","NG14","G",NA,NA,513000,4643000
"13087","NG14","L",NA,NA,515000,4643000
"13092","NG14","R",NA,NA,517000,4643000
"13097","NG14","W",NA,NA,519000,4643000
"13202","NG24","B",NA,NA,521000,4643000
"13207","NG24","G",NA,NA,523000,4643000
"13212","NG24","L",NA,NA,525000,4643000
"13217","NG24","R",NA,NA,527000,4643000
"13222","NG24","W",0,0,529000,4643000
"13352","NG34","B",0,0,531000,4643000
"13357","NG34","G",0,0,533000,4643000
"13362","NG34","L",NA,NA,535000,4643000
"13367","NG34","R",NA,NA,537000,4643000
"13372","NG34","W",NA,NA,539000,4643000
"13502","NG44","B",0,0,541000,4643000
"13507","NG44","G",NA,NA,543000,4643000
"13512","NG44","L",NA,NA,545000,4643000
"13517","NG44","R",0,0,547000,4643000
"13522","NG44","W",NA,NA,549000,4643000
"13652","NG54","B",NA,NA,551000,4643000
"13657","NG54","G",NA,NA,553000,4643000
"13662","NG54","L",NA,NA,555000,4643000
"13667","NG54","R",NA,NA,557000,4643000
"13672","NG54","W",NA,NA,559000,4643000
"13827","NG64","B",NA,NA,561000,4643000
"13832","NG64","G",0,0,563000,4643000
"13837","NG64","L",NA,NA,565000,4643000
"13842","NG64","R",NA,NA,567000,4643000
"13847","NG64","W",NA,NA,569000,4643000
"14002","NG74","B",NA,NA,571000,4643000
"14007","NG74","G",NA,NA,573000,4643000
"14012","NG74","L",NA,NA,575000,4643000
"14017","NG74","R",NA,NA,577000,4643000
"14022","NG74","W",NA,NA,579000,4643000
"14252","NG94","B",NA,NA,591000,4643000
"14257","NG94","G",NA,NA,593000,4643000
"14262","NG94","L",NA,NA,595000,4643000
"14267","NG94","R",NA,NA,597000,4643000
"14272","NG94","W",NA,NA,599000,4643000
"23502","PG04","B",NA,NA,601000,4643000
"23507","PG04","G",NA,NA,603000,4643000
"23512","PG04","L",NA,NA,605000,4643000
"23517","PG04","R",NA,NA,607000,4643000
"23522","PG04","W",NA,NA,609000,4643000
"24027","PG54","B",NA,NA,651000,4643000
"24032","PG54","G",0,1,653000,4643000
"24037","PG54","L",NA,NA,655000,4643000
"24042","PG54","R",NA,NA,657000,4643000
"24047","PG54","W",NA,NA,659000,4643000
"24177","PG64","B",NA,NA,661000,4643000
"24182","PG64","G",0,1,663000,4643000
"24187","PG64","L",NA,NA,665000,4643000
"24192","PG64","R",NA,NA,667000,4643000
"24197","PG64","W",NA,NA,669000,4643000
"24302","PG74","B",NA,NA,671000,4643000
"24307","PG74","G",0,1,673000,4643000
"24312","PG74","L",NA,NA,675000,4643000
"24317","PG74","R",0,0,677000,4643000
"24322","PG74","W",NA,NA,679000,4643000
"24427","PG84","B",NA,NA,681000,4643000
"24432","PG84","G",NA,NA,683000,4643000
"24437","PG84","L",NA,NA,685000,4643000
"24442","PG84","R",0,0,687000,4643000
"24447","PG84","W",NA,NA,689000,4643000
"24577","PG94","B",NA,NA,691000,4643000
"24582","PG94","G",0,0,693000,4643000
"24587","PG94","L",NA,NA,695000,4643000
"24592","PG94","R",0,0,697000,4643000
"24597","PG94","W",NA,NA,699000,4643000
"24927","QG04","B",0,1,701000,4643000
"24932","QG04","G",0,0,703000,4643000
"24937","QG04","L",NA,NA,705000,4643000
"24942","QG04","R",NA,NA,707000,4643000
"24947","QG04","W",NA,NA,709000,4643000
"13076","NG14","A",NA,NA,511000,4641000
"13081","NG14","F",NA,NA,513000,4641000
"13086","NG14","K",NA,NA,515000,4641000
"13091","NG14","Q",NA,NA,517000,4641000
"13096","NG14","V",NA,NA,519000,4641000
"13201","NG24","A",NA,NA,521000,4641000
"13206","NG24","F",NA,NA,523000,4641000
"13211","NG24","K",0,0,525000,4641000
"13216","NG24","Q",NA,NA,527000,4641000
"13221","NG24","V",NA,NA,529000,4641000
"13351","NG34","A",NA,NA,531000,4641000
"13356","NG34","F",NA,NA,533000,4641000
"13361","NG34","K",0,0,535000,4641000
"13366","NG34","Q",0,0,537000,4641000
"13371","NG34","V",NA,NA,539000,4641000
"13501","NG44","A",NA,NA,541000,4641000
"13506","NG44","F",0,1,543000,4641000
"13511","NG44","K",NA,NA,545000,4641000
"13516","NG44","Q",NA,NA,547000,4641000
"13521","NG44","V",NA,NA,549000,4641000
"13651","NG54","A",NA,NA,551000,4641000
"13656","NG54","F",0,1,553000,4641000
"13661","NG54","K",NA,NA,555000,4641000
"13666","NG54","Q",NA,NA,557000,4641000
"13671","NG54","V",NA,NA,559000,4641000
"13826","NG64","A",NA,NA,561000,4641000
"13831","NG64","F",NA,NA,563000,4641000
"13836","NG64","K",NA,NA,565000,4641000
"13841","NG64","Q",NA,NA,567000,4641000
"13846","NG64","V",NA,NA,569000,4641000
"14001","NG74","A",NA,NA,571000,4641000
"14006","NG74","F",NA,NA,573000,4641000
"14011","NG74","K",NA,NA,575000,4641000
"14016","NG74","Q",NA,NA,577000,4641000
"14021","NG74","V",NA,NA,579000,4641000
"14251","NG94","A",NA,NA,591000,4641000
"14256","NG94","F",NA,NA,593000,4641000
"14261","NG94","K",NA,NA,595000,4641000
"14266","NG94","Q",NA,NA,597000,4641000
"14271","NG94","V",NA,NA,599000,4641000
"23501","PG04","A",NA,NA,601000,4641000
"23506","PG04","F",NA,NA,603000,4641000
"23511","PG04","K",NA,NA,605000,4641000
"23516","PG04","Q",NA,NA,607000,4641000
"23521","PG04","V",NA,NA,609000,4641000
"24026","PG54","A",NA,NA,651000,4641000
"24031","PG54","F",NA,NA,653000,4641000
"24036","PG54","K",0,1,655000,4641000
"24041","PG54","Q",NA,NA,657000,4641000
"24046","PG54","V",0,1,659000,4641000
"24176","PG64","A",0,1,661000,4641000
"24181","PG64","F",0,1,663000,4641000
"24186","PG64","K",NA,NA,665000,4641000
"24191","PG64","Q",0,1,667000,4641000
"24196","PG64","V",NA,NA,669000,4641000
"24301","PG74","A",0,0,671000,4641000
"24306","PG74","F",NA,NA,673000,4641000
"24311","PG74","K",0,1,675000,4641000
"24316","PG74","Q",NA,NA,677000,4641000
"24321","PG74","V",0,0,679000,4641000
"24426","PG84","A",NA,NA,681000,4641000
"24431","PG84","F",0,0,683000,4641000
"24436","PG84","K",NA,NA,685000,4641000
