"","year","exra","nao","location","code","elevation","climate.region","N","E"
"31",2014,51.6,2.97,"Adelboden","ABO",1327,"Western Alpine north slope",46.49,7.56
"32",2015,69.2,4.09,"Adelboden","ABO",1327,"Western Alpine north slope",46.49,7.56
"110",1981,50.3,-0.55,"Aigle","AIG",381,"Western Alpine north slope",46.33,6.92
"210",1982,42.4,2.63,"Aigle","AIG",381,"Western Alpine north slope",46.33,6.92
"36",1983,48.8,0.38,"Aigle","AIG",381,"Western Alpine north slope",46.33,6.92
"41",1984,30.6,2.17,"Aigle","AIG",381,"Western Alpine north slope",46.33,6.92
"51",1985,34.8,-3.09,"Aigle","AIG",381,"Western Alpine north slope",46.33,6.92
"61",1986,56,3.14,"Aigle","AIG",381,"Western Alpine north slope",46.33,6.92
"71",1987,40.7,-3.01,"Aigle","AIG",381,"Western Alpine north slope",46.33,6.92
"81",1988,58.8,-0.13,"Aigle","AIG",381,"Western Alpine north slope",46.33,6.92
"91",1989,35.4,2.38,"Aigle","AIG",381,"Western Alpine north slope",46.33,6.92
"101",1990,48.6,3.88,"Aigle","AIG",381,"Western Alpine north slope",46.33,6.92
"111",1991,40.3,1.14,"Aigle","AIG",381,"Western Alpine north slope",46.33,6.92
"121",1992,54.5,2.54,"Aigle","AIG",381,"Western Alpine north slope",46.33,6.92
"131",1993,42.7,1.71,"Aigle","AIG",381,"Western Alpine north slope",46.33,6.92
"141",1994,42.3,2.86,"Aigle","AIG",381,"Western Alpine north slope",46.33,6.92
"151",1995,37.2,-1.11,"Aigle","AIG",381,"Western Alpine north slope",46.33,6.92
"161",1996,43.7,-1.98,"Aigle","AIG",381,"Western Alpine north slope",46.33,6.92
"171",1997,44.8,-0.93,"Aigle","AIG",381,"Western Alpine north slope",46.33,6.92
"181",1998,28.8,1.03,"Aigle","AIG",381,"Western Alpine north slope",46.33,6.92
"191",1999,41.9,2.25,"Aigle","AIG",381,"Western Alpine north slope",46.33,6.92
"201",2000,28.9,1.18,"Aigle","AIG",381,"Western Alpine north slope",46.33,6.92
"211",2001,33.9,-1.91,"Aigle","AIG",381,"Western Alpine north slope",46.33,6.92
"221",2002,33,1,"Aigle","AIG",381,"Western Alpine north slope",46.33,6.92
"231",2003,29,-0.09,"Aigle","AIG",381,"Western Alpine north slope",46.33,6.92
"241",2004,52.3,0.7,"Aigle","AIG",381,"Western Alpine north slope",46.33,6.92
"251",2005,58.1,-1.35,"Aigle","AIG",381,"Western Alpine north slope",46.33,6.92
"261",2006,49.2,-0.2,"Aigle","AIG",381,"Western Alpine north slope",46.33,6.92
"271",2007,51.2,1.35,"Aigle","AIG",381,"Western Alpine north slope",46.33,6.92
"281",2008,26.8,1.72,"Aigle","AIG",381,"Western Alpine north slope",46.33,6.92
"291",2009,31.7,0.72,"Aigle","AIG",381,"Western Alpine north slope",46.33,6.92
"301",2010,26.8,-5.96,"Aigle","AIG",381,"Western Alpine north slope",46.33,6.92
"311",2011,33.5,2.95,"Aigle","AIG",381,"Western Alpine north slope",46.33,6.92
"321",2012,38.8,-0.25,"Aigle","AIG",381,"Western Alpine north slope",46.33,6.92
"33",2013,48.9,0.9,"Aigle","AIG",381,"Western Alpine north slope",46.33,6.92
"34",2014,48.8,2.97,"Aigle","AIG",381,"Western Alpine north slope",46.33,6.92
"35",2015,35.9,4.09,"Aigle","AIG",381,"Western Alpine north slope",46.33,6.92
"112",1981,49.8,-0.55,"Altdorf","ALT",438,"Central Alpine north slope",46.89,8.62
"212",1982,41.6,2.63,"Altdorf","ALT",438,"Central Alpine north slope",46.89,8.62
"37",1983,37.8,0.38,"Altdorf","ALT",438,"Central Alpine north slope",46.89,8.62
"42",1984,56.3,2.17,"Altdorf","ALT",438,"Central Alpine north slope",46.89,8.62
"52",1985,31.4,-3.09,"Altdorf","ALT",438,"Central Alpine north slope",46.89,8.62
"62",1986,54.9,3.14,"Altdorf","ALT",438,"Central Alpine north slope",46.89,8.62
"72",1987,57.6,-3.01,"Altdorf","ALT",438,"Central Alpine north slope",46.89,8.62
"82",1988,37.1,-0.13,"Altdorf","ALT",438,"Central Alpine north slope",46.89,8.62
"92",1989,46.4,2.38,"Altdorf","ALT",438,"Central Alpine north slope",46.89,8.62
"102",1990,51.6,3.88,"Altdorf","ALT",438,"Central Alpine north slope",46.89,8.62
"113",1991,65.6,1.14,"Altdorf","ALT",438,"Central Alpine north slope",46.89,8.62
"122",1992,40,2.54,"Altdorf","ALT",438,"Central Alpine north slope",46.89,8.62
"132",1993,49.3,1.71,"Altdorf","ALT",438,"Central Alpine north slope",46.89,8.62
"142",1994,38,2.86,"Altdorf","ALT",438,"Central Alpine north slope",46.89,8.62
"152",1995,50.4,-1.11,"Altdorf","ALT",438,"Central Alpine north slope",46.89,8.62
"162",1996,60,-1.98,"Altdorf","ALT",438,"Central Alpine north slope",46.89,8.62
"172",1997,37.5,-0.93,"Altdorf","ALT",438,"Central Alpine north slope",46.89,8.62
"182",1998,40.3,1.03,"Altdorf","ALT",438,"Central Alpine north slope",46.89,8.62
"192",1999,55,2.25,"Altdorf","ALT",438,"Central Alpine north slope",46.89,8.62
"202",2000,49.3,1.18,"Altdorf","ALT",438,"Central Alpine north slope",46.89,8.62
"213",2001,40.5,-1.91,"Altdorf","ALT",438,"Central Alpine north slope",46.89,8.62
"222",2002,104.7,1,"Altdorf","ALT",438,"Central Alpine north slope",46.89,8.62
"232",2003,38.2,-0.09,"Altdorf","ALT",438,"Central Alpine north slope",46.89,8.62
"242",2004,43.1,0.7,"Altdorf","ALT",438,"Central Alpine north slope",46.89,8.62
"252",2005,53.4,-1.35,"Altdorf","ALT",438,"Central Alpine north slope",46.89,8.62
"262",2006,71.9,-0.2,"Altdorf","ALT",438,"Central Alpine north slope",46.89,8.62
"272",2007,45.5,1.35,"Altdorf","ALT",438,"Central Alpine north slope",46.89,8.62
"282",2008,48.1,1.72,"Altdorf","ALT",438,"Central Alpine north slope",46.89,8.62
"292",2009,47.2,0.72,"Altdorf","ALT",438,"Central Alpine north slope",46.89,8.62
"302",2010,51.2,-5.96,"Altdorf","ALT",438,"Central Alpine north slope",46.89,8.62
"312",2011,38.1,2.95,"Altdorf","ALT",438,"Central Alpine north slope",46.89,8.62
"322",2012,27.4,-0.25,"Altdorf","ALT",438,"Central Alpine north slope",46.89,8.62
"331",2013,50.2,0.9,"Altdorf","ALT",438,"Central Alpine north slope",46.89,8.62
"341",2014,45.3,2.97,"Altdorf","ALT",438,"Central Alpine north slope",46.89,8.62
"351",2015,38.1,4.09,"Altdorf","ALT",438,"Central Alpine north slope",46.89,8.62
"114",1981,39.1,-0.55,"Basel.Binningen","BAS",316,"Eastern Jura",47.54,7.58
"214",1982,41.8,2.63,"Basel.Binningen","BAS",316,"Eastern Jura",47.54,7.58
"38",1983,27.5,0.38,"Basel.Binningen","BAS",316,"Eastern Jura",47.54,7.58
"43",1984,29.3,2.17,"Basel.Binningen","BAS",316,"Eastern Jura",47.54,7.58
"53",1985,24.9,-3.09,"Basel.Binningen","BAS",316,"Eastern Jura",47.54,7.58
"63",1986,35.2,3.14,"Basel.Binningen","BAS",316,"Eastern Jura",47.54,7.58
"73",1987,43.5,-3.01,"Basel.Binningen","BAS",316,"Eastern Jura",47.54,7.58
"83",1988,28.6,-0.13,"Basel.Binningen","BAS",316,"Eastern Jura",47.54,7.58
"93",1989,25.5,2.38,"Basel.Binningen","BAS",316,"Eastern Jura",47.54,7.58
"103",1990,32.4,3.88,"Basel.Binningen","BAS",316,"Eastern Jura",47.54,7.58
"115",1991,85,1.14,"Basel.Binningen","BAS",316,"Eastern Jura",47.54,7.58
"123",1992,32.6,2.54,"Basel.Binningen","BAS",316,"Eastern Jura",47.54,7.58
"133",1993,34,1.71,"Basel.Binningen","BAS",316,"Eastern Jura",47.54,7.58
"143",1994,59.8,2.86,"Basel.Binningen","BAS",316,"Eastern Jura",47.54,7.58
"153",1995,36.1,-1.11,"Basel.Binningen","BAS",316,"Eastern Jura",47.54,7.58
"163",1996,47.7,-1.98,"Basel.Binningen","BAS",316,"Eastern Jura",47.54,7.58
"173",1997,45.2,-0.93,"Basel.Binningen","BAS",316,"Eastern Jura",47.54,7.58
"183",1998,45.9,1.03,"Basel.Binningen","BAS",316,"Eastern Jura",47.54,7.58
"193",1999,43.3,2.25,"Basel.Binningen","BAS",316,"Eastern Jura",47.54,7.58
"203",2000,37,1.18,"Basel.Binningen","BAS",316,"Eastern Jura",47.54,7.58
"215",2001,28.4,-1.91,"Basel.Binningen","BAS",316,"Eastern Jura",47.54,7.58
"223",2002,30.2,1,"Basel.Binningen","BAS",316,"Eastern Jura",47.54,7.58
"233",2003,23.2,-0.09,"Basel.Binningen","BAS",316,"Eastern Jura",47.54,7.58
"243",2004,35.6,0.7,"Basel.Binningen","BAS",316,"Eastern Jura",47.54,7.58
"253",2005,24.9,-1.35,"Basel.Binningen","BAS",316,"Eastern Jura",47.54,7.58
"263",2006,41.6,-0.2,"Basel.Binningen","BAS",316,"Eastern Jura",47.54,7.58
"273",2007,63.4,1.35,"Basel.Binningen","BAS",316,"Eastern Jura",47.54,7.58
"283",2008,47.6,1.72,"Basel.Binningen","BAS",316,"Eastern Jura",47.54,7.58
"293",2009,39.1,0.72,"Basel.Binningen","BAS",316,"Eastern Jura",47.54,7.58
"303",2010,47.9,-5.96,"Basel.Binningen","BAS",316,"Eastern Jura",47.54,7.58
"313",2011,30.2,2.95,"Basel.Binningen","BAS",316,"Eastern Jura",47.54,7.58
"323",2012,42.8,-0.25,"Basel.Binningen","BAS",316,"Eastern Jura",47.54,7.58
"332",2013,34.3,0.9,"Basel.Binningen","BAS",316,"Eastern Jura",47.54,7.58
"342",2014,29,2.97,"Basel.Binningen","BAS",316,"Eastern Jura",47.54,7.58
"352",2015,35.7,4.09,"Basel.Binningen","BAS",316,"Eastern Jura",47.54,7.58
"116",1981,46.7,-0.55,"Bern.Zollikofen","BER",553,"Central plateau",46.99,7.46
"216",1982,57.6,2.63,"Bern.Zollikofen","BER",553,"Central plateau",46.99,7.46
"39",1983,56.5,0.38,"Bern.Zollikofen","BER",553,"Central plateau",46.99,7.46
"44",1984,40.4,2.17,"Bern.Zollikofen","BER",553,"Central plateau",46.99,7.46
"54",1985,42.9,-3.09,"Bern.Zollikofen","BER",553,"Central plateau",46.99,7.46
"64",1986,50.7,3.14,"Bern.Zollikofen","BER",553,"Central plateau",46.99,7.46
"74",1987,50.8,-3.01,"Bern.Zollikofen","BER",553,"Central plateau",46.99,7.46
"84",1988,44.8,-0.13,"Bern.Zollikofen","BER",553,"Central plateau",46.99,7.46
"94",1989,44.9,2.38,"Bern.Zollikofen","BER",553,"Central plateau",46.99,7.46
"104",1990,55,3.88,"Bern.Zollikofen","BER",553,"Central plateau",46.99,7.46
"117",1991,41.1,1.14,"Bern.Zollikofen","BER",553,"Central plateau",46.99,7.46
"124",1992,45.4,2.54,"Bern.Zollikofen","BER",553,"Central plateau",46.99,7.46
"134",1993,40.4,1.71,"Bern.Zollikofen","BER",553,"Central plateau",46.99,7.46
"144",1994,29,2.86,"Bern.Zollikofen","BER",553,"Central plateau",46.99,7.46
"154",1995,41.6,-1.11,"Bern.Zollikofen","BER",553,"Central plateau",46.99,7.46
"164",1996,40,-1.98,"Bern.Zollikofen","BER",553,"Central plateau",46.99,7.46
"174",1997,43,-0.93,"Bern.Zollikofen","BER",553,"Central plateau",46.99,7.46
"184",1998,41.8,1.03,"Bern.Zollikofen","BER",553,"Central plateau",46.99,7.46
"194",1999,54.9,2.25,"Bern.Zollikofen","BER",553,"Central plateau",46.99,7.46
"204",2000,43.9,1.18,"Bern.Zollikofen","BER",553,"Central plateau",46.99,7.46
"217",2001,42.3,-1.91,"Bern.Zollikofen","BER",553,"Central plateau",46.99,7.46
"224",2002,50.6,1,"Bern.Zollikofen","BER",553,"Central plateau",46.99,7.46
"234",2003,26.7,-0.09,"Bern.Zollikofen","BER",553,"Central plateau",46.99,7.46
"244",2004,31.1,0.7,"Bern.Zollikofen","BER",553,"Central plateau",46.99,7.46
"254",2005,51.5,-1.35,"Bern.Zollikofen","BER",553,"Central plateau",46.99,7.46
"264",2006,38.7,-0.2,"Bern.Zollikofen","BER",553,"Central plateau",46.99,7.46
"274",2007,68.7,1.35,"Bern.Zollikofen","BER",553,"Central plateau",46.99,7.46
"284",2008,41.7,1.72,"Bern.Zollikofen","BER",553,"Central plateau",46.99,7.46
"294",2009,40.9,0.72,"Bern.Zollikofen","BER",553,"Central plateau",46.99,7.46
"304",2010,89.6,-5.96,"Bern.Zollikofen","BER",553,"Central plateau",46.99,7.46
"314",2011,52.8,2.95,"Bern.Zollikofen","BER",553,"Central plateau",46.99,7.46
"324",2012,32.6,-0.25,"Bern.Zollikofen","BER",553,"Central plateau",46.99,7.46
"333",2013,53.2,0.9,"Bern.Zollikofen","BER",553,"Central plateau",46.99,7.46
"343",2014,41.8,2.97,"Bern.Zollikofen","BER",553,"Central plateau",46.99,7.46
"353",2015,37.4,4.09,"Bern.Zollikofen","BER",553,"Central plateau",46.99,7.46
"118",1981,46.8,-0.55,"Beznau","BEZ",326,"North-eastern plateau",47.56,8.23
"218",1982,57.8,2.63,"Beznau","BEZ",326,"North-eastern plateau",47.56,8.23
"310",1983,56.5,0.38,"Beznau","BEZ",326,"North-eastern plateau",47.56,8.23
"45",1984,40.4,2.17,"Beznau","BEZ",326,"North-eastern plateau",47.56,8.23
"55",1985,43.1,-3.09,"Beznau","BEZ",326,"North-eastern plateau",47.56,8.23
"65",1986,50.7,3.14,"Beznau","BEZ",326,"North-eastern plateau",47.56,8.23
"75",1987,50.8,-3.01,"Beznau","BEZ",326,"North-eastern plateau",47.56,8.23
"85",1988,44.9,-0.13,"Beznau","BEZ",326,"North-eastern plateau",47.56,8.23
"95",1989,44.9,2.38,"Beznau","BEZ",326,"North-eastern plateau",47.56,8.23
"105",1990,55.1,3.88,"Beznau","BEZ",326,"North-eastern plateau",47.56,8.23
"119",1991,41.4,1.14,"Beznau","BEZ",326,"North-eastern plateau",47.56,8.23
"125",1992,45.5,2.54,"Beznau","BEZ",326,"North-eastern plateau",47.56,8.23
"135",1993,40.6,1.71,"Beznau","BEZ",326,"North-eastern plateau",47.56,8.23
"145",1994,29.2,2.86,"Beznau","BEZ",326,"North-eastern plateau",47.56,8.23
"155",1995,41.7,-1.11,"Beznau","BEZ",326,"North-eastern plateau",47.56,8.23
"165",1996,40.2,-1.98,"Beznau","BEZ",326,"North-eastern plateau",47.56,8.23
"175",1997,43,-0.93,"Beznau","BEZ",326,"North-eastern plateau",47.56,8.23
"185",1998,41.7,1.03,"Beznau","BEZ",326,"North-eastern plateau",47.56,8.23
"195",1999,55,2.25,"Beznau","BEZ",326,"North-eastern plateau",47.56,8.23
"205",2000,44.1,1.18,"Beznau","BEZ",326,"North-eastern plateau",47.56,8.23
"219",2001,42.6,-1.91,"Beznau","BEZ",326,"North-eastern plateau",47.56,8.23
"225",2002,50.8,1,"Beznau","BEZ",326,"North-eastern plateau",47.56,8.23
"235",2003,26.9,-0.09,"Beznau","BEZ",326,"North-eastern plateau",47.56,8.23
"245",2004,31.1,0.7,"Beznau","BEZ",326,"North-eastern plateau",47.56,8.23
"255",2005,51.7,-1.35,"Beznau","BEZ",326,"North-eastern plateau",47.56,8.23
"265",2006,38.9,-0.2,"Beznau","BEZ",326,"North-eastern plateau",47.56,8.23
"275",2007,68.8,1.35,"Beznau","BEZ",326,"North-eastern plateau",47.56,8.23
"285",2008,41.9,1.72,"Beznau","BEZ",326,"North-eastern plateau",47.56,8.23
"295",2009,41,0.72,"Beznau","BEZ",326,"North-eastern plateau",47.56,8.23
"305",2010,89.8,-5.96,"Beznau","BEZ",326,"North-eastern plateau",47.56,8.23
"315",2011,53,2.95,"Beznau","BEZ",326,"North-eastern plateau",47.56,8.23
"325",2012,32.9,-0.25,"Beznau","BEZ",326,"North-eastern plateau",47.56,8.23
"334",2013,53.4,0.9,"Beznau","BEZ",326,"North-eastern plateau",47.56,8.23
"344",2014,41.9,2.97,"Beznau","BEZ",326,"North-eastern plateau",47.56,8.23
"354",2015,37.7,4.09,"Beznau","BEZ",326,"North-eastern plateau",47.56,8.23
"120",1985,32.8,-3.09,"Buchs.Aarau","BUS",387,"Central plateau",47.38,8.08
"220",1986,49.6,3.14,"Buchs.Aarau","BUS",387,"Central plateau",47.38,8.08
"316",1987,58.7,-3.01,"Buchs.Aarau","BUS",387,"Central plateau",47.38,8.08
"46",1988,32.2,-0.13,"Buchs.Aarau","BUS",387,"Central plateau",47.38,8.08
"56",1989,54.7,2.38,"Buchs.Aarau","BUS",387,"Central plateau",47.38,8.08
"66",1990,45.3,3.88,"Buchs.Aarau","BUS",387,"Central plateau",47.38,8.08
"76",1991,35.8,1.14,"Buchs.Aarau","BUS",387,"Central plateau",47.38,8.08
"86",1992,58.2,2.54,"Buchs.Aarau","BUS",387,"Central plateau",47.38,8.08
"96",1993,52.5,1.71,"Buchs.Aarau","BUS",387,"Central plateau",47.38,8.08
"106",1994,87.3,2.86,"Buchs.Aarau","BUS",387,"Central plateau",47.38,8.08
"1110",1995,35.6,-1.11,"Buchs.Aarau","BUS",387,"Central plateau",47.38,8.08
"126",1996,49.2,-1.98,"Buchs.Aarau","BUS",387,"Central plateau",47.38,8.08
"136",1997,36.1,-0.93,"Buchs.Aarau","BUS",387,"Central plateau",47.38,8.08
"146",1998,36.6,1.03,"Buchs.Aarau","BUS",387,"Central plateau",47.38,8.08
"156",1999,75.1,2.25,"Buchs.Aarau","BUS",387,"Central plateau",47.38,8.08
"166",2000,32.8,1.18,"Buchs.Aarau","BUS",387,"Central plateau",47.38,8.08
"176",2001,30.3,-1.91,"Buchs.Aarau","BUS",387,"Central plateau",47.38,8.08
"186",2002,35.1,1,"Buchs.Aarau","BUS",387,"Central plateau",47.38,8.08
"196",2003,29,-0.09,"Buchs.Aarau","BUS",387,"Central plateau",47.38,8.08
"206",2004,32.3,0.7,"Buchs.Aarau","BUS",387,"Central plateau",47.38,8.08
"2110",2005,36.4,-1.35,"Buchs.Aarau","BUS",387,"Central plateau",47.38,8.08
"226",2006,44.3,-0.2,"Buchs.Aarau","BUS",387,"Central plateau",47.38,8.08
"236",2007,66.7,1.35,"Buchs.Aarau","BUS",387,"Central plateau",47.38,8.08
"246",2008,40.5,1.72,"Buchs.Aarau","BUS",387,"Central plateau",47.38,8.08
"256",2009,50.9,0.72,"Buchs.Aarau","BUS",387,"Central plateau",47.38,8.08
"266",2010,40.4,-5.96,"Buchs.Aarau","BUS",387,"Central plateau",47.38,8.08
"276",2011,40.3,2.95,"Buchs.Aarau","BUS",387,"Central plateau",47.38,8.08
"286",2012,30.4,-0.25,"Buchs.Aarau","BUS",387,"Central plateau",47.38,8.08
"296",2013,42.9,0.9,"Buchs.Aarau","BUS",387,"Central plateau",47.38,8.08
"306",2014,38.3,2.97,"Buchs.Aarau","BUS",387,"Central plateau",47.38,8.08
"317",2015,35.2,4.09,"Buchs.Aarau","BUS",387,"Central plateau",47.38,8.08
"127",1985,32.9,-3.09,"La Chaux-de-Fonds","CDF",1018,"Western Jura",47.08,6.79
"227",1986,49.5,3.14,"La Chaux-de-Fonds","CDF",1018,"Western Jura",47.08,6.79
"318",1987,58.8,-3.01,"La Chaux-de-Fonds","CDF",1018,"Western Jura",47.08,6.79
"47",1988,32.5,-0.13,"La Chaux-de-Fonds","CDF",1018,"Western Jura",47.08,6.79
"57",1989,54.9,2.38,"La Chaux-de-Fonds","CDF",1018,"Western Jura",47.08,6.79
"67",1990,45.3,3.88,"La Chaux-de-Fonds","CDF",1018,"Western Jura",47.08,6.79
"77",1991,36,1.14,"La Chaux-de-Fonds","CDF",1018,"Western Jura",47.08,6.79
"87",1992,58.5,2.54,"La Chaux-de-Fonds","CDF",1018,"Western Jura",47.08,6.79
"97",1993,52.6,1.71,"La Chaux-de-Fonds","CDF",1018,"Western Jura",47.08,6.79
"107",1994,87.3,2.86,"La Chaux-de-Fonds","CDF",1018,"Western Jura",47.08,6.79
"1111",1995,35.6,-1.11,"La Chaux-de-Fonds","CDF",1018,"Western Jura",47.08,6.79
"128",1996,49.1,-1.98,"La Chaux-de-Fonds","CDF",1018,"Western Jura",47.08,6.79
"137",1997,36.1,-0.93,"La Chaux-de-Fonds","CDF",1018,"Western Jura",47.08,6.79
"147",1998,36.7,1.03,"La Chaux-de-Fonds","CDF",1018,"Western Jura",47.08,6.79
"157",1999,75.3,2.25,"La Chaux-de-Fonds","CDF",1018,"Western Jura",47.08,6.79
"167",2000,32.8,1.18,"La Chaux-de-Fonds","CDF",1018,"Western Jura",47.08,6.79
"177",2001,30.6,-1.91,"La Chaux-de-Fonds","CDF",1018,"Western Jura",47.08,6.79
"187",2002,35.4,1,"La Chaux-de-Fonds","CDF",1018,"Western Jura",47.08,6.79
"197",2003,29.1,-0.09,"La Chaux-de-Fonds","CDF",1018,"Western Jura",47.08,6.79
"207",2004,32.2,0.7,"La Chaux-de-Fonds","CDF",1018,"Western Jura",47.08,6.79
"2111",2005,36.6,-1.35,"La Chaux-de-Fonds","CDF",1018,"Western Jura",47.08,6.79
"228",2006,44.5,-0.2,"La Chaux-de-Fonds","CDF",1018,"Western Jura",47.08,6.79
"237",2007,66.9,1.35,"La Chaux-de-Fonds","CDF",1018,"Western Jura",47.08,6.79
"247",2008,40.6,1.72,"La Chaux-de-Fonds","CDF",1018,"Western Jura",47.08,6.79
"257",2009,51.2,0.72,"La Chaux-de-Fonds","CDF",1018,"Western Jura",47.08,6.79
"267",2010,40.6,-5.96,"La Chaux-de-Fonds","CDF",1018,"Western Jura",47.08,6.79
"277",2011,40.5,2.95,"La Chaux-de-Fonds","CDF",1018,"Western Jura",47.08,6.79
"287",2012,30.7,-0.25,"La Chaux-de-Fonds","CDF",1018,"Western Jura",47.08,6.79
"297",2013,43.1,0.9,"La Chaux-de-Fonds","CDF",1018,"Western Jura",47.08,6.79
"307",2014,38.7,2.97,"La Chaux-de-Fonds","CDF",1018,"Western Jura",47.08,6.79
"319",2015,35.5,4.09,"La Chaux-de-Fonds","CDF",1018,"Western Jura",47.08,6.79
"129",1981,37.2,-0.55,"Nyon.Changins","CGI",455,"Western plateau",46.4,6.23
"229",1982,40.5,2.63,"Nyon.Changins","CGI",455,"Western plateau",46.4,6.23
"320",1983,44.5,0.38,"Nyon.Changins","CGI",455,"Western plateau",46.4,6.23
"48",1984,28.3,2.17,"Nyon.Changins","CGI",455,"Western plateau",46.4,6.23
"58",1985,35.2,-3.09,"Nyon.Changins","CGI",455,"Western plateau",46.4,6.23
"68",1986,34.8,3.14,"Nyon.Changins","CGI",455,"Western plateau",46.4,6.23
"78",1987,30.7,-3.01,"Nyon.Changins","CGI",455,"Western plateau",46.4,6.23
"88",1988,37.2,-0.13,"Nyon.Changins","CGI",455,"Western plateau",46.4,6.23
"98",1989,35.2,2.38,"Nyon.Changins","CGI",455,"Western plateau",46.4,6.23
"108",1990,49.8,3.88,"Nyon.Changins","CGI",455,"Western plateau",46.4,6.23
"1112",1991,40.2,1.14,"Nyon.Changins","CGI",455,"Western plateau",46.4,6.23
"1210",1992,43.2,2.54,"Nyon.Changins","CGI",455,"Western plateau",46.4,6.23
"138",1993,62.4,1.71,"Nyon.Changins","CGI",455,"Western plateau",46.4,6.23
"148",1994,51,2.86,"Nyon.Changins","CGI",455,"Western plateau",46.4,6.23
"158",1995,32.2,-1.11,"Nyon.Changins","CGI",455,"Western plateau",46.4,6.23
"168",1996,48.3,-1.98,"Nyon.Changins","CGI",455,"Western plateau",46.4,6.23
"178",1997,61.1,-0.93,"Nyon.Changins","CGI",455,"Western plateau",46.4,6.23
"188",1998,48.9,1.03,"Nyon.Changins","CGI",455,"Western plateau",46.4,6.23
"198",1999,57,2.25,"Nyon.Changins","CGI",455,"Western plateau",46.4,6.23
"208",2000,44.2,1.18,"Nyon.Changins","CGI",455,"Western plateau",46.4,6.23
"2112",2001,50.4,-1.91,"Nyon.Changins","CGI",455,"Western plateau",46.4,6.23
"2210",2002,43.7,1,"Nyon.Changins","CGI",455,"Western plateau",46.4,6.23
"238",2003,36.4,-0.09,"Nyon.Changins","CGI",455,"Western plateau",46.4,6.23
"248",2004,49.4,0.7,"Nyon.Changins","CGI",455,"Western plateau",46.4,6.23
"258",2005,49.3,-1.35,"Nyon.Changins","CGI",455,"Western plateau",46.4,6.23
"268",2006,29,-0.2,"Nyon.Changins","CGI",455,"Western plateau",46.4,6.23
"278",2007,37.9,1.35,"Nyon.Changins","CGI",455,"Western plateau",46.4,6.23
"288",2008,56.3,1.72,"Nyon.Changins","CGI",455,"Western plateau",46.4,6.23
"298",2009,29.8,0.72,"Nyon.Changins","CGI",455,"Western plateau",46.4,6.23
"308",2010,30.6,-5.96,"Nyon.Changins","CGI",455,"Western plateau",46.4,6.23
"3110",2011,36.2,2.95,"Nyon.Changins","CGI",455,"Western plateau",46.4,6.23
