"","id.num","order","days","log.size","ozone"
"150",12,7,528,5.77,1
"151",12,8,556,5.98,1
"152",12,9,579,6.18,1
"153",12,10,613,6.39,1
"154",12,11,639,6.43,1
"155",12,12,674,6.44,1
"156",12,13,674,6.41,1
"157",13,1,152,4.47,1
"158",13,2,174,4.89,1
"159",13,3,201,5.23,1
"160",13,4,227,5.55,1
"161",13,5,258,5.74,1
"162",13,6,469,5.99,1
"163",13,7,528,6.01,1
"164",13,8,556,6.08,1
"165",13,9,579,6.39,1
"166",13,10,613,6.45,1
"167",13,11,639,6.57,1
"168",13,12,674,6.57,1
"169",13,13,674,6.58,1
"170",14,1,152,4.46,1
"171",14,2,174,4.84,1
"172",14,3,201,5.11,1
"173",14,4,227,5.34,1
"174",14,5,258,5.46,1
"175",14,6,469,5.47,1
"176",14,7,528,5.49,1
"177",14,8,556,5.7,1
"178",14,9,579,5.93,1
"179",14,10,613,6.06,1
"180",14,11,639,6.15,1
"181",14,12,674,6.12,1
"182",14,13,674,6.12,1
"183",15,1,152,3.6,1
"184",15,2,174,4.08,1
"185",15,3,201,4.17,1
"186",15,4,227,4.35,1
"187",15,5,258,4.59,1
"188",15,6,469,4.65,1
"189",15,7,528,4.69,1
"190",15,8,556,5.01,1
"191",15,9,579,5.21,1
"192",15,10,613,5.38,1
"193",15,11,639,5.58,1
"194",15,12,674,5.46,1
"195",15,13,674,5.5,1
"196",16,1,152,3.73,1
"197",16,2,174,4.15,1
"198",16,3,201,4.61,1
"199",16,4,227,4.87,1
"200",16,5,258,4.93,1
"201",16,6,469,5.24,1
"202",16,7,528,5.25,1
"203",16,8,556,5.25,1
"204",16,9,579,5.45,1
"205",16,10,613,5.65,1
"206",16,11,639,5.65,1
"207",16,12,674,5.76,1
"208",16,13,674,5.83,1
"209",17,1,152,4.67,1
"210",17,2,174,4.88,1
"211",17,3,201,5.18,1
"212",17,4,227,5.34,1
"213",17,5,258,5.49,1
"214",17,6,469,6.44,1
"215",17,7,528,6.44,1
"216",17,8,556,6.61,1
"217",17,9,579,6.74,1
"218",17,10,613,7.06,1
"219",17,11,639,7.11,1
"220",17,12,674,7.04,1
"221",17,13,674,7.11,1
"222",18,1,152,2.96,1
"223",18,2,174,3.47,1
"224",18,3,201,3.76,1
"225",18,4,227,3.89,1
"226",18,5,258,4.3,1
"227",18,6,469,4.15,1
"228",18,7,528,4.15,1
"229",18,8,556,4.41,1
"230",18,9,579,4.72,1
"231",18,10,613,4.76,1
"232",18,11,639,4.93,1
"233",18,12,674,4.98,1
"234",18,13,674,5.07,1
"235",19,1,152,3.24,1
"236",19,2,174,3.93,1
"237",19,3,201,4.76,1
"238",19,4,227,4.62,1
"239",19,5,258,4.64,1
"240",19,6,469,4.63,1
"241",19,7,528,4.64,1
"242",19,8,556,4.77,1
"243",19,9,579,5.08,1
"244",19,10,613,5.27,1
"245",19,11,639,5.3,1
"246",19,12,674,5.43,1
"247",19,13,674,5.2,1
"248",20,1,152,4.36,1
"249",20,2,174,4.77,1
"250",20,3,201,5.02,1
"251",20,4,227,5.26,1
"252",20,5,258,5.45,1
"253",20,6,469,5.44,1
"254",20,7,528,5.44,1
"255",20,8,556,5.49,1
"256",20,9,579,5.73,1
"257",20,10,613,5.77,1
"258",20,11,639,6.01,1
"259",20,12,674,5.96,1
"260",20,13,674,5.96,1
"261",21,1,152,4.04,1
"262",21,2,174,4.64,1
"263",21,3,201,4.86,1
"264",21,4,227,5.09,1
"265",21,5,258,5.25,1
"266",21,6,469,5.25,1
"267",21,7,528,5.27,1
"268",21,8,556,5.5,1
"269",21,9,579,5.65,1
"270",21,10,613,5.69,1
"271",21,11,639,5.97,1
"272",21,12,674,5.97,1
"273",21,13,674,5.89,1
"274",22,1,152,3.53,1
"275",22,2,174,4.25,1
"276",22,3,201,4.68,1
"277",22,4,227,4.97,1
"278",22,5,258,5.18,1
"279",22,6,469,5.64,1
"280",22,7,528,5.64,1
"281",22,8,556,5.53,1
"282",22,9,579,5.74,1
"283",22,10,613,5.78,1
"284",22,11,639,5.94,1
"285",22,12,674,6.18,1
"286",22,13,674,5.99,1
"287",23,1,152,4.22,1
"288",23,2,174,4.69,1
"289",23,3,201,5.07,1
"290",23,4,227,5.37,1
"291",23,5,258,5.58,1
"292",23,6,469,5.76,1
"293",23,7,528,5.8,1
"294",23,8,556,6.11,1
"295",23,9,579,6.37,1
"296",23,10,613,6.35,1
"297",23,11,639,6.58,1
"298",23,12,674,6.55,1
"299",23,13,674,6.55,1
"300",24,1,152,2.79,1
"301",24,2,174,3.1,1
"302",24,3,201,3.3,1
"303",24,4,227,3.38,1
"304",24,5,258,3.55,1
"305",24,6,469,3.61,1
"306",24,7,528,3.65,1
"307",24,8,556,3.93,1
"308",24,9,579,4.18,1
"309",24,10,613,4.13,1
"310",24,11,639,4.36,1
"311",24,12,674,4.43,1
"312",24,13,674,4.39,1
"313",25,1,152,3.3,1
"314",25,2,174,3.9,1
"315",25,3,201,4.34,1
"316",25,4,227,4.96,1
"317",25,5,258,5.4,1
"318",25,6,469,5.46,1
"319",25,7,528,5.49,1
"320",25,8,556,5.77,1
"321",25,9,579,6.03,1
"322",25,10,613,6.07,1
"323",25,11,639,6.2,1
"324",25,12,674,6.26,1
"325",25,13,674,6.28,1
"326",26,1,152,3.34,1
"327",26,2,174,3.81,1
"328",26,3,201,4.21,1
"329",26,4,227,4.54,1
"330",26,5,258,4.86,1
"331",26,6,469,4.93,1
"332",26,7,528,4.96,1
"333",26,8,556,5.15,1
"334",26,9,579,5.48,1
"335",26,10,613,5.49,1
"336",26,11,639,5.7,1
"337",26,12,674,5.74,1
"338",26,13,674,5.74,1
"339",27,1,152,3.76,1
"340",27,2,174,4.36,1
"341",27,3,201,4.7,1
"342",27,4,227,5.44,1
"343",27,5,258,5.32,1
"344",27,6,469,5.65,1
"345",27,7,528,5.67,1
"346",27,8,556,5.63,1
"347",27,9,579,6.04,1
"348",27,10,613,6.02,1
"349",27,11,639,6.05,1
"350",27,12,674,6.03,1
"351",27,13,674,5.91,1
"352",28,1,152,4.49,1
"353",28,2,174,4.76,1
"354",28,3,201,5.15,1
"355",28,4,227,5.37,1
"356",28,5,258,5.56,1
"357",28,6,469,5.73,1
"358",28,7,528,5.73,1
"359",28,8,556,5.8,1
"360",28,9,579,5.97,1
"361",28,10,613,6.1,1
"362",28,11,639,6.16,1
"363",28,12,674,6.22,1
"364",28,13,674,6.13,1
"365",29,1,152,4.88,1
"366",29,2,174,5.14,1
"367",29,3,201,5.52,1
"368",29,4,227,6.08,1
"369",29,5,258,6.17,1
"370",29,6,469,6.32,1
"371",29,7,528,6.33,1
"372",29,8,556,6.37,1
"373",29,9,579,6.68,1
"374",29,10,613,6.83,1
"375",29,11,639,6.94,1
"376",29,12,674,6.93,1
"377",29,13,674,6.95,1
"378",30,1,152,4.88,1
"379",30,2,174,5.32,1
"380",30,3,201,5.63,1
"381",30,4,227,5.75,1
"382",30,5,258,5.94,1
"383",30,6,469,6.09,1
"384",30,7,528,6.09,1
"385",30,8,556,6.14,1
"386",30,9,579,6.51,1
"387",30,10,613,6.61,1
"388",30,11,639,6.68,1
"389",30,12,674,6.64,1
"390",30,13,674,6.74,1
"391",31,1,152,3.8,1
"392",31,2,174,4.16,1
"393",31,3,201,4.45,1
"394",31,4,227,4.89,1
"395",31,5,258,5.05,1
"396",31,6,469,5.06,1
"397",31,7,528,5.06,1
"398",31,8,556,5.13,1
"399",31,9,579,5.32,1
"400",31,10,613,5.46,1
"401",31,11,639,5.46,1
"402",31,12,674,5.42,1
"403",31,13,674,5.49,1
"404",32,1,152,4.46,1
"405",32,2,174,4.62,1
"406",32,3,201,5,1
"407",32,4,227,5.4,1
"408",32,5,258,5.49,1
"409",32,6,469,5.68,1
"410",32,7,528,5.72,1
"411",32,8,556,5.95,1
"412",32,9,579,6.13,1
"413",32,10,613,6.32,1
"414",32,11,639,6.33,1
"415",32,12,674,6.33,1
"416",32,13,674,6.3,1
"417",33,1,152,4.29,1
"418",33,2,174,4.82,1
"419",33,3,201,5.32,1
"420",33,4,227,5.46,1
"421",33,5,258,5.5,1
"422",33,6,469,5.54,1
"423",33,7,528,5.54,1
"424",33,8,556,5.54,1
"425",33,9,579,5.6,1
"426",33,10,613,5.57,1
"427",33,11,639,5.55,1
"428",33,12,674,5.55,1
"429",33,13,674,5.55,1
"430",34,1,152,4.06,1
"431",34,2,174,4.58,1
"432",34,3,201,4.81,1
"433",34,4,227,5.12,1
"434",34,5,258,5.27,1
"435",34,6,469,5.48,1
"436",34,7,528,5.51,1
"437",34,8,556,5.58,1
"438",34,9,579,5.93,1
"439",34,10,613,6.36,1
"440",34,11,639,6.17,1
"441",34,12,674,6.07,1
"442",34,13,674,6.13,1
"443",35,1,152,5.16,1
"444",35,2,174,5.43,1
"445",35,3,201,5.71,1
"446",35,4,227,6.08,1
"447",35,5,258,6.21,1
"448",35,6,469,6.37,1
"449",35,7,528,6.38,1
"450",35,8,556,6.41,1
"451",35,9,579,6.64,1
"452",35,10,613,6.82,1
"453",35,11,639,6.89,1
"454",35,12,674,7.11,1
"455",35,13,674,7.14,1
"456",36,1,152,3.81,1
"457",36,2,174,4.12,1
"458",36,3,201,4.42,1
"459",36,4,227,4.62,1
"460",36,5,258,4.6,1
"461",36,6,469,4.74,1
"462",36,7,528,4.76,1
"463",36,8,556,4.94,1
"464",36,9,579,5.1,1
"465",36,10,613,5.21,1
"466",36,11,639,5.23,1
"467",36,12,674,5.22,1
"468",36,13,674,5.23,1
"469",37,1,152,5.09,1
"470",37,2,174,5.62,1
"471",37,3,201,5.9,1
"472",37,4,227,6.36,1
"473",37,5,258,6.49,1
"474",37,6,469,6.72,1
"475",37,7,528,6.72,1
"476",37,8,556,6.74,1
"477",37,9,579,6.87,1
"478",37,10,613,6.87,1
"479",37,11,639,6.87,1
"480",37,12,674,6.83,1
"481",37,13,674,6.97,1
"482",38,1,152,4.13,1
"483",38,2,174,4.71,1
"484",38,3,201,5.27,1
"485",38,4,227,5.56,1
"486",38,5,258,5.72,1
"487",38,6,469,6.06,1
"488",38,7,528,6.06,1
"489",38,8,556,6.21,1
"490",38,9,579,6.44,1
"491",38,10,613,6.66,1
"492",38,11,639,6.71,1
"493",38,12,674,6.65,1
"494",38,13,674,6.64,1
"495",39,1,152,4.85,1
"496",39,2,174,5.36,1
"497",39,3,201,5.52,1
"498",39,4,227,5.96,1
"499",39,5,258,6.13,1
"500",39,6,469,6.22,1
"501",39,7,528,6.24,1
"502",39,8,556,6.41,1
"503",39,9,579,6.58,1
"504",39,10,613,6.78,1
"505",39,11,639,6.83,1
"506",39,12,674,6.82,1
"507",39,13,674,6.8,1
"508",40,1,152,4.11,1
"509",40,2,174,4.62,1
"510",40,3,201,4.95,1
"511",40,4,227,5.28,1
"512",40,5,258,5.43,1
"513",40,6,469,5.8,1
"514",40,7,528,5.8,1
"515",40,8,556,5.87,1
"516",40,9,579,6.2,1
"517",40,10,613,6.44,1
"518",40,11,639,6.44,1
"519",40,12,674,6.4,1
"520",40,13,674,6.44,1
"521",41,1,152,4.95,1
"522",41,2,174,5.39,1
"523",41,3,201,5.82,1
"524",41,4,227,6.42,1
"525",41,5,258,6.48,1
"526",41,6,469,6.61,1
"527",41,7,528,6.61,1
"528",41,8,556,6.66,1
"529",41,9,579,6.73,1
"530",41,10,613,6.83,1
"531",41,11,639,6.9,1
"532",41,12,674,6.83,1
"533",41,13,674,6.63,1
"534",42,1,152,4.36,1
"535",42,2,174,4.65,1
"536",42,3,201,5.04,1
"537",42,4,227,5.38,1
"538",42,5,258,5.47,1
"539",42,6,469,5.48,1
"540",42,7,528,5.48,1
"541",42,8,556,5.47,1
"542",42,9,579,5.84,1
"543",42,10,613,5.97,1
"544",42,11,639,5.93,1
"545",42,12,674,5.95,1
"546",42,13,674,6.01,1
"547",43,1,152,4.05,1
"548",43,2,174,4.65,1
"549",43,3,201,5.09,1
"550",43,4,227,5.44,1
"551",43,5,258,5.6,1
"552",43,6,469,5.79,1
"553",43,7,528,5.8,1
"554",43,8,556,6.07,1
"555",43,9,579,6.14,1
"556",43,10,613,6.3,1
"557",43,11,639,6.32,1
"558",43,12,674,6.34,1
"559",43,13,674,6.42,1
"560",44,1,152,3.76,1
"561",44,2,174,4.27,1
"562",44,3,201,4.59,1
"563",44,4,227,5.1,1
"564",44,5,258,5.25,1
"565",44,6,469,5.41,1
"566",44,7,528,5.44,1
"567",44,8,556,5.48,1
"568",44,9,579,5.93,1
"569",44,10,613,5.97,1
"570",44,11,639,6.08,1
"571",44,12,674,6.29,1
"572",44,13,674,6.24,1
"573",45,1,152,2.84,1
"574",45,2,174,3.25,1
"575",45,3,201,3.69,1
"576",45,4,227,4.16,1
"577",45,5,258,4.21,1
"578",45,6,469,4.3,1
"579",45,7,528,4.3,1
"580",45,8,556,4.45,1
"581",45,9,579,4.59,1
"582",45,10,613,4.74,1
"583",45,11,639,4.84,1
"584",45,12,674,4.64,1
"585",45,13,674,4.64,1
"586",46,1,152,4.33,1
"587",46,2,174,4.8,1
"588",46,3,201,5.09,1
"589",46,4,227,5.42,1
"590",46,5,258,5.61,1
"591",46,6,469,5.85,1
"592",46,7,528,5.88,1
"593",46,8,556,6.01,1
"594",46,9,579,6.22,1
"595",46,10,613,6.45,1
"596",46,11,639,6.55,1
"597",46,12,674,6.55,1
"598",46,13,674,6.55,1
"599",47,1,152,3.99,1
"600",47,2,174,4.55,1
"601",47,3,201,4.91,1
"602",47,4,227,5.26,1
"603",47,5,258,5.3,1
"604",47,6,469,5.69,1
"605",47,7,528,5.69,1
"606",47,8,556,5.9,1
"607",47,9,579,5.89,1
"608",47,10,613,5.98,1
"609",47,11,639,6.05,1
"610",47,12,674,6.25,1
"611",47,13,674,6.25,1
"612",48,1,152,3.5,1
"613",48,2,174,3.75,1
"614",48,3,201,3.97,1
"615",48,4,227,4.71,1
"616",48,5,258,4.85,1
"617",48,6,469,5.01,1
"618",48,7,528,5.02,1
"619",48,8,556,5.27,1
"620",48,9,579,5.45,1
"621",48,10,613,5.59,1
"622",48,11,639,5.67,1
"623",48,12,674,5.83,1
"624",48,13,674,5.86,1
"625",49,1,152,3.31,1
"626",49,2,174,3.45,1
"627",49,3,201,4.16,1
"628",49,4,227,4.48,1
"629",49,5,258,4.54,1
"630",49,6,469,4.72,1
"631",49,7,528,4.74,1
"632",49,8,556,4.93,1
"633",49,9,579,5.07,1
"634",49,10,613,5.26,1
"635",49,11,639,5.26,1
"636",49,12,674,5.35,1
"637",49,13,674,5.35,1
"638",50,1,152,3.03,1
"639",50,2,174,3.55,1
"640",50,3,201,3.97,1
"641",50,4,227,4.4,1
"642",50,5,258,4.58,1
"643",50,6,469,4.47,1
"644",50,7,528,4.47,1
"645",50,8,556,4.66,1
"646",50,9,579,4.8,1
"647",50,10,613,5.1,1
"648",50,11,639,5.08,1
"649",50,12,674,5.12,1
"650",50,13,674,5.12,1
"651",51,1,152,3.27,1
"652",51,2,174,3.83,1
"653",51,3,201,4.44,1
"654",51,4,227,4.8,1
"655",51,5,258,4.89,1
"656",51,6,469,5.08,1
"657",51,7,528,5.09,1
"658",51,8,556,5.34,1
"659",51,9,579,5.63,1
"660",51,10,613,5.81,1
"661",51,11,639,5.93,1
"662",51,12,674,5.94,1
"663",51,13,674,5.94,1
"664",52,1,152,3.56,1
"665",52,2,174,4.18,1
"666",52,3,201,4.7,1
"667",52,4,227,5.27,1
"668",52,5,258,5.28,1
"669",52,6,469,5.5,1
"670",52,7,528,5.5,1
"671",52,8,556,5.77,1
"672",52,9,579,5.98,1
"673",52,10,613,6.05,1
"674",52,11,639,6.19,1
"675",52,12,674,6.14,1
"676",52,13,674,6.14,1
"677",53,1,152,3.39,1
"678",53,2,174,3.73,1
"679",53,3,201,3.92,1
"680",53,4,227,4.11,1
"681",53,5,258,4.15,1
"682",53,6,469,4.49,1
"683",53,7,528,4.52,1
"684",53,8,556,4.82,1
"685",53,9,579,5.18,1
"686",53,10,613,5.26,1
"687",53,11,639,5.32,1
"688",53,12,674,5.28,1
"689",53,13,674,5.28,1
"690",54,1,152,3.72,1
"691",54,2,174,4.16,1
"692",54,3,201,4.55,1
"693",54,4,227,5.03,1
"694",54,5,258,5.02,1
"695",54,6,469,5.16,1
"696",54,7,528,5.16,1
"697",54,8,556,5.28,1
"698",54,9,579,5.52,1
"699",54,10,613,5.7,1
"700",54,11,639,5.7,1
"701",54,12,674,5.67,1
"702",54,13,674,5.67,1
"703",55,1,152,4.53,0
"704",55,2,174,5.05,0
"705",55,3,201,5.18,0
"706",55,4,227,5.41,0
"707",55,5,258,5.42,0
"708",55,6,469,5.71,0
"709",55,7,528,5.71,0
"710",55,8,556,5.96,0
"711",55,9,579,6.17,0
"712",55,10,613,6.34,0
"713",55,11,639,6.44,0
"714",55,12,674,6.46,0
"715",55,13,674,6.43,0
"716",56,1,152,4.97,0
"717",56,2,174,5.32,0
"718",56,3,201,5.83,0
"719",56,4,227,6.29,0
"720",56,5,258,6.45,0
"721",56,6,469,6.61,0
"722",56,7,528,6.61,0
"723",56,8,556,6.79,0
"724",56,9,579,7.13,0
"725",56,10,613,7.24,0
"726",56,11,639,7.32,0
"727",56,12,674,7.29,0
"728",56,13,674,7.35,0
"729",57,1,152,4.37,0
"730",57,2,174,4.81,0
"731",57,3,201,5.03,0
"732",57,4,227,5.19,0
"733",57,5,258,5.4,0
"734",57,6,469,5.57,0
"735",57,7,528,5.59,0
"736",57,8,556,5.82,0
"737",57,9,579,6.03,0
"738",57,10,613,6.17,0
"739",57,11,639,6.32,0
"740",57,12,674,6.25,0
"741",57,13,674,6.29,0
"742",58,1,152,4.58,0
"743",58,2,174,4.99,0
"744",58,3,201,5.37,0
"745",58,4,227,5.68,0
"746",58,5,258,5.93,0
"747",58,6,469,6.14,0
"748",58,7,528,6.17,0
"749",58,8,556,6.43,0
"750",58,9,579,6.56,0
"751",58,10,613,6.69,0
"752",58,11,639,6.81,0
"753",58,12,674,6.82,0
"754",58,13,674,6.76,0
"755",59,1,152,4,0
"756",59,2,174,4.5,0
"757",59,3,201,4.92,0
"758",59,4,227,5.44,0
"759",59,5,258,5.87,0
"760",59,6,469,6.02,0
"761",59,7,528,6.04,0
"762",59,8,556,6.11,0
"763",59,9,579,6.47,0
"764",59,10,613,6.61,0
"765",59,11,639,6.66,0
"766",59,12,674,6.7,0
"767",59,13,674,6.65,0
"768",60,1,152,4.73,0
"769",60,2,174,5.05,0
"770",60,3,201,5.33,0
"771",60,4,227,5.92,0
"772",60,5,258,6.01,0
"773",60,6,469,6.26,0
"774",60,7,528,6.26,0
"775",60,8,556,6.36,0
"776",60,9,579,6.49,0
"777",60,10,613,6.63,0
"778",60,11,639,6.92,0
"779",60,12,674,6.92,0
"780",60,13,674,6.92,0
"781",61,1,152,5.15,0
"782",61,2,174,5.63,0
"783",61,3,201,6.11,0
"784",61,4,227,6.39,0
"785",61,5,258,6.61,0
"786",61,6,469,6.82,0
"787",61,7,528,6.82,0
"788",61,8,556,6.95,0
"789",61,9,579,7.11,0
"790",61,10,613,7.44,0
"791",61,11,639,7.53,0
"792",61,12,674,7.46,0
"793",61,13,674,7.56,0
"794",62,1,152,4.1,0
"795",62,2,174,4.46,0
"796",62,3,201,4.84,0
"797",62,4,227,5.29,0
"798",62,5,258,5.48,0
"799",62,6,469,5.68,0
"800",62,7,528,5.68,0
"801",62,8,556,5.85,0
"802",62,9,579,5.99,0
"803",62,10,613,6.08,0
"804",62,11,639,6.25,0
"805",62,12,674,6.15,0
"806",62,13,674,6.18,0
"807",63,1,152,3.22,0
"808",63,2,174,3.85,0
"809",63,3,201,4.47,0
"810",63,4,227,4.85,0
"811",63,5,258,5.11,0
"812",63,6,469,5.28,0
"813",63,7,528,5.28,0
"814",63,8,556,5.45,0
"815",63,9,579,5.74,0
"816",63,10,613,5.95,0
"817",63,11,639,6.05,0
"818",63,12,674,6.07,0
"819",63,13,674,6.02,0
"820",64,1,152,2.23,0
"821",64,2,174,2.89,0
"822",64,3,201,3.16,0
"823",64,4,227,3.4,0
"824",64,5,258,3.52,0
"825",64,6,469,3.89,0
"826",64,7,528,3.93,0
"827",64,8,556,4.22,0
"828",64,9,579,4.51,0
"829",64,10,613,4.65,0
"830",64,11,639,4.7,0
"831",64,12,674,4.73,0
"832",64,13,674,4.68,0
"833",65,1,152,3.65,0
"834",65,2,174,4.36,0
"835",65,3,201,4.76,0
"836",65,4,227,5.18,0
"837",65,5,258,5.44,0
"838",65,6,469,5.7,0
"839",65,7,528,5.7,0
"840",65,8,556,5.89,0
"841",65,9,579,6.09,0
"842",65,10,613,6.39,0
"843",65,11,639,6.57,0
"844",65,12,674,6.36,0
"845",65,13,674,6.44,0
"846",66,1,152,3.4,0
"847",66,2,174,3.92,0
"848",66,3,201,4.5,0
"849",66,4,227,4.97,0
"850",66,5,258,5.14,0
"851",66,6,469,5.34,0
"852",66,7,528,5.35,0
"853",66,8,556,5.61,0
"854",66,9,579,5.83,0
"855",66,10,613,6.03,0
"856",66,11,639,6.09,0
"857",66,12,674,5.98,0
"858",66,13,674,5.95,0
"859",67,1,152,5.16,0
"860",67,2,174,5.49,0
"861",67,3,201,5.74,0
"862",67,4,227,6.05,0
"863",67,5,258,6.21,0
"864",67,6,469,6.37,0
"865",67,7,528,6.37,0
"866",67,8,556,6.52,0
"867",67,9,579,6.65,0
"868",67,10,613,6.86,0
"869",67,11,639,6.87,0
"870",67,12,674,6.88,0
"871",67,13,674,6.84,0
"872",68,1,152,4.04,0
"873",68,2,174,4.52,0
"874",68,3,201,5.15,0
"875",68,4,227,5.59,0
"876",68,5,258,5.87,0
"877",68,6,469,5.96,0
"878",68,7,528,5.96,0
"879",68,8,556,6.17,0
"880",68,9,579,6.37,0
"881",68,10,613,6.53,0
"882",68,11,639,6.6,0
"883",68,12,674,6.52,0
"884",68,13,674,6.59,0
"885",69,1,152,4.52,0
"886",69,2,174,4.91,0
"887",69,3,201,5.04,0
"888",69,4,227,5.71,0
"889",69,5,258,5.97,0
"890",69,6,469,6.11,0
"891",69,7,528,6.12,0
"892",69,8,556,6.24,0
"893",69,9,579,6.44,0
"894",69,10,613,6.54,0
"895",69,11,639,6.65,0
"896",69,12,674,6.63,0
"897",69,13,674,6.64,0
"898",70,1,152,4.56,0
"899",70,2,174,5.12,0
"900",70,3,201,5.4,0
"901",70,4,227,5.69,0
"902",70,5,258,5.89,0
"903",70,6,469,6.16,0
"904",70,7,528,6.17,0
"905",70,8,556,6.13,0
"906",70,9,579,6.44,0
"907",70,10,613,6.72,0
"908",70,11,639,6.81,0
"909",70,12,674,6.87,0
"910",70,13,674,6.8,0
"911",71,1,152,4.9,0
"912",71,2,174,5.35,0
"913",71,3,201,5.71,0
"914",71,4,227,6.12,0
"915",71,5,258,6.25,0
"916",71,6,469,6.39,0
"917",71,7,528,6.39,0
"918",71,8,556,6.52,0
"919",71,9,579,6.86,0
"920",71,10,613,7.05,0
"921",71,11,639,7.09,0
"922",71,12,674,6.9,0
"923",71,13,674,6.88,0
"924",72,1,152,4.83,0
"925",72,2,174,5.1,0
"926",72,3,201,5.43,0
"927",72,4,227,5.59,0
"928",72,5,258,6.04,0
"929",72,6,469,6.21,0
"930",72,7,528,6.21,0
"931",72,8,556,6.46,0
