"","co2","c.month","month"
"184",325,184,4
"185",325.15,185,5
"186",325.66,186,6
"187",325.97,187,7
"188",326.69,188,8
"189",326.37,189,9
"190",326.61,190,10
"191",326.78,191,11
"192",326.65,192,12
"193",326.58,193,1
"194",326.17,194,2
"195",326.19,195,3
"196",326.66,196,4
"197",326.94,197,5
"198",327.26,198,6
"199",327.57,199,7
"200",328.24,200,8
"201",328.53,201,9
"202",328.46,202,10
"203",328.43,203,11
"204",328.42,204,12
"205",328.13,205,1
"206",327.92,206,2
"207",327.91,207,3
"208",327.73,208,4
"209",327.84,209,5
"210",327.71,210,6
"211",328.29,211,7
"212",328.52,212,8
"213",328.78,213,9
"214",328.88,214,10
"215",328.96,215,11
"216",328.82,216,12
"217",328.72,217,1
"218",328.73,218,2
"219",328.68,219,3
"220",328.77,220,4
"221",328.76,221,5
"222",328.9,222,6
"223",329.18,223,7
"224",329.66,224,8
"225",330.06,225,9
"226",330.39,226,10
"227",330.29,227,11
"228",330.1,228,12
"229",330.12,229,1
"230",329.84,230,2
"231",329.73,231,3
"232",329.47,232,4
"233",329.77,233,5
"234",329.81,234,6
"235",330.3,235,7
"236",330.85,236,8
"237",331.22,237,9
"238",331.54,238,10
"239",331.57,239,11
"240",331.25,240,12
"241",331.09,241,1
"242",330.83,242,2
"243",330.68,243,3
"244",331.15,244,4
"245",331.23,245,5
"246",331.45,246,6
"247",331.89,247,7
"248",332.29,248,8
"249",332.7,249,9
"250",332.93,250,10
"251",333.14,251,11
"252",333.01,252,12
"253",332.67,253,1
"254",332.54,254,2
"255",332.65,255,3
"256",332.81,256,4
"257",NA,257,5
"258",333.2,258,6
"259",333.65,259,7
"260",334.11,260,8
"261",334.56,261,9
"262",334.66,262,10
"263",334.41,263,11
"264",334.13,264,12
"265",333.84,265,1
"266",333.87,266,2
"267",333.65,267,3
"268",334,268,4
"269",334.17,269,5
"270",334.37,270,6
"271",334.98,271,7
"272",335.55,272,8
"273",335.7,273,9
"274",335.84,274,10
"275",336.2,275,11
"276",335.87,276,12
"277",335.89,277,1
"278",335.58,278,2
"279",NA,279,3
"280",335.92,280,4
"281",336.04,281,5
"282",336.73,282,6
"283",337.28,283,7
"284",337.37,284,8
"285",337.7,285,9
"286",337.73,286,10
"287",337.8,287,11
"288",337.87,288,12
"289",337.59,289,1
"290",337.31,290,2
"291",337.25,291,3
"292",337.36,292,4
"293",337.5,293,5
"294",337.98,294,6
"295",338.24,295,7
"296",338.59,296,8
"297",338.64,297,9
"298",338.98,298,10
"299",338.69,299,11
"300",338.74,300,12
"301",NA,301,1
"302",338.47,302,2
"303",338.21,303,3
"304",338.53,304,4
"305",338.82,305,5
"306",339.01,306,6
"307",339.17,307,7
"308",339.94,308,8
"309",340.13,309,9
"310",340.16,310,10
"311",339.87,311,11
"312",339.78,312,12
"313",339.68,313,1
"314",339.67,314,2
"315",339.68,315,3
"316",340.14,316,4
"317",340.45,317,5
"318",340.83,318,6
"319",341.23,319,7
"320",341.71,320,8
"321",342.14,321,9
"322",342.11,322,10
"323",342.37,323,11
"324",342.17,324,12
"325",341.87,325,1
"326",NA,326,2
"327",341.54,327,3
"328",341.66,328,4
"329",341.69,329,5
"330",341.85,330,6
"331",342.63,331,7
"332",343.02,332,8
"333",343.27,333,9
"334",343.32,334,10
"335",343.14,335,11
"336",342.97,336,12
"337",342.83,337,1
"338",342.64,338,2
"339",342.55,339,3
"340",342.59,340,4
"341",342.94,341,5
"342",343.28,342,6
"343",343.76,343,7
"344",344.34,344,8
"345",344.68,345,9
"346",344.77,346,10
"347",344.61,347,11
"348",344.46,348,12
"349",344.46,349,1
"350",344.38,350,2
"351",344.32,351,3
"352",344.45,352,4
"353",344.51,353,5
"354",344.84,354,6
"355",345.37,355,7
"356",345.76,356,8
"357",346,357,9
"358",345.98,358,10
"359",345.99,359,11
"360",345.86,360,12
"361",345.71,361,1
"362",345.62,362,2
"363",345.57,363,3
"364",345.94,364,4
"365",346.04,365,5
"366",346.44,366,6
"367",347.03,367,7
"368",347.45,368,8
"369",347.89,369,9
"370",347.92,370,10
"371",348.02,371,11
"372",348.13,372,12
"373",348.11,373,1
"374",347.89,374,2
"375",347.72,375,3
"376",348.04,376,4
"377",348.17,377,5
"378",348.42,378,6
"379",348.91,379,7
"380",349.43,380,8
"381",349.59,381,9
"382",349.74,382,10
"383",349.69,383,11
"384",349.68,384,12
"385",349.65,385,1
"386",349.6,386,2
"387",349.5,387,3
"388",349.58,388,4
"389",349.77,389,5
"390",350.02,390,6
"391",350.45,391,7
"392",350.97,392,8
"393",351.22,393,9
"394",351.15,394,10
"395",351.18,395,11
"396",350.83,396,12
"397",350.61,397,1
"398",350.27,398,2
"399",350.5,399,3
"400",350.76,400,4
"401",351.23,401,5
"402",351.45,402,6
"403",351.93,403,7
"404",352.42,404,8
"405",352.62,405,9
"406",352.44,406,10
"407",352.7,407,11
"408",352.5,408,12
"409",NA,409,1
"410",352.21,410,2
"411",352.18,411,3
"412",352.34,412,4
"413",352.44,413,5
"414",352.86,414,6
"415",353.31,415,7
"416",353.58,416,8
"417",353.98,417,9
"418",353.78,418,10
"419",353.85,419,11
"420",353.67,420,12
"421",353.47,421,1
"422",353.09,422,2
"423",352.97,423,3
"424",353.17,424,4
"425",353.68,425,5
"426",353.94,426,6
"427",354.55,427,7
"428",354.89,428,8
"429",355.19,429,9
"430",355.3,430,10
"431",355.03,431,11
"432",354.82,432,12
"433",354.66,433,1
"434",354.47,434,2
"435",354.2,435,3
"436",354.4,436,4
"437",354.47,437,5
"438",354.81,438,6
"439",355.18,439,7
"440",355.68,440,8
"441",356.02,441,9
"442",356.03,442,10
"443",355.99,443,11
"444",355.67,444,12
"445",355.48,445,1
"446",355.48,446,2
"447",355.53,447,3
"448",355.66,448,4
"449",355.71,449,5
"450",356.01,450,6
"451",356.49,451,7
"452",357.14,452,8
"453",357.63,453,9
"454",357.55,454,10
"455",357.73,455,11
"456",357.54,456,12
"457",357.48,457,1
"458",357.4,458,2
"459",357.4,459,3
"460",357.67,460,4
"461",357.86,461,5
"462",357.98,462,6
"463",358.38,463,7
"464",358.79,464,8
"465",359.19,465,9
"466",359.34,466,10
"467",359.47,467,11
"468",359.51,468,12
"469",359.4,469,1
"470",359.35,470,2
"471",359.3,471,3
"472",359.41,472,4
"473",359.45,473,5
"474",359.75,474,6
"475",360.21,475,7
"476",360.57,476,8
"477",360.75,477,9
"478",360.75,478,10
"479",360.78,479,11
"480",360.75,480,12
"481",360.6,481,1
"482",360.52,482,2
"483",360.38,483,3
"484",360.54,484,4
"485",360.65,485,5
"486",360.97,486,6
"487",361.31,487,7
"488",361.59,488,8
"489",362.01,489,9
"490",362.07,490,10
"491",362.18,491,11
"492",362.21,492,12
"493",362.18,493,1
"494",362.38,494,2
"495",362.51,495,3
"496",362.78,496,4
"497",363.1,497,5
"498",363.64,498,6
"499",364.14,499,7
"500",364.66,500,8
"501",365.09,501,9
"502",365.12,502,10
"503",365.2,503,11
"504",365.08,504,12
"505",365.05,505,1
"506",364.82,506,2
"507",364.85,507,3
