"","lon","lat"
"3158",-1.216247,44.964481
"3199",-1.190432,45.143427
"3240",-1.152296,45.3168
"3281",-1.142322,45.488705
"3322",-1.061943,45.529775
"3363",-0.916732,45.446756
"3404",-0.791764,45.347015
"3445",-0.732506,45.211192
"3486",-0.679995,45.071849
"3527",-0.55708,44.971522
"3568",-0.542119,44.961547
"3609",-0.503396,45.00203
"3650",-0.635992,45.070969
"3691",-0.687329,45.212365
"3732",-0.722825,45.36227
"3773",-0.804964,45.485772
"3814",-0.959269,45.566738
"3855",-1.095092,45.660024
"3894",-1.243823,45.707254
"3895",NA,NA
"3896",-1.243823,45.707254
"3937",-1.133521,45.797901
"3978",-0.987431,45.716642
"4019",-1.127361,45.808755
"4060",-1.07397,45.898815
"4101",-1.097439,46.009409
"4142",-1.107119,46.102403
"4183",-1.203046,46.182488
"4224",-1.105946,46.281056
"4265",-1.214194,46.273428
"4306",-1.335056,46.336793
"4347",-1.469705,46.392824
"4388",-1.62577,46.450614
"4429",-1.776554,46.518966
"4470",-1.825251,46.57265
"4511",-1.907684,46.679431
"4552",-2.037346,46.778291
"4593",-2.131806,46.895046
"4634",-2.025612,47.003587
"4640",-2.009771,47.020895
"4641",NA,NA
"4642",-2.010064,47.020895
"4675",-2.058761,47.100688
"4716",-2.222453,47.147918
"4757",-2.163195,47.268193
"4798",-1.963421,47.280514
"4839",-1.852826,47.237391
"4880",-1.805596,47.23035
"4921",-1.961661,47.301049
"4962",-2.171703,47.304862
"5003",-2.32718,47.253819
"5044",-2.494099,47.281981
"5085",-2.442762,47.31249
"5126",-2.538689,47.373214
"5167",-2.422521,47.40959
"5208",-2.487645,47.461514
"5249",-2.384091,47.50845
"5290",-2.590906,47.519304
"5331",-2.624935,47.534265
"5372",-2.77924,47.497596
"5413",-2.905675,47.564774
"5454",-2.769852,47.547173
"5495",-2.69798,47.637233
"5536",-2.761932,47.625499
"5577",-2.852285,47.624912
"5618",-2.945278,47.621098
"5659",-2.945865,47.579442
"5700",-3.010989,47.597923
"5741",-3.119824,47.598217
"5782",-3.094889,47.473248
"5823",-3.140065,47.593816
"5864",-3.144759,47.690623
"5905",-3.187295,47.746947
"5946",-3.216924,47.650434
"5987",-3.321065,47.699424
"6028",-3.312558,47.743721
"6069",-3.38971,47.738147
"6110",-3.493557,47.737267
"6151",-3.677491,47.785083
"6192",-3.849103,47.797111
"6233",-3.94855,47.895971
"6274",-4.022182,47.860182
"6315",-4.141871,47.91856
"6356",-4.191741,47.864289
"6397",-4.274173,47.796524
"6438",-4.351912,47.875143
"6479",-4.4628,47.986325
"6520",-4.627079,48.025341
"6540",-4.726526,48.040595
"6541",NA,NA
"6542",-4.726526,48.040008
"6561",-4.662281,48.073744
"6602",-4.442559,48.100733
"6643",-4.275347,48.143269
"6684",-4.41029,48.228049
"6725",-4.546406,48.173191
"6766",-4.608011,48.266478
"6807",-4.535846,48.343044
"6848",-4.437572,48.298454
"6889",-4.279747,48.287013
"6930",-4.264786,48.313708
"6971",-4.303802,48.348911
"7012",-4.438745,48.333069
"7053",-4.31407,48.412275
"7094",-4.46456,48.38734
"7135",-4.659935,48.356244
"7176",-4.760262,48.384993
"7217",-4.769356,48.487961
"7258",-4.669909,48.573327
"7299",-4.589236,48.600609
"7340",-4.490962,48.626424
"7381",-4.349566,48.675414
"7422",-4.204355,48.647252
"7463",-4.075573,48.690375
"7504",-3.968792,48.700056
"7545",-3.888119,48.648132
"7586",-3.845289,48.695949
"7627",-3.688051,48.697709
"7668",-3.581857,48.70915
"7709",-3.549588,48.797743
"7750",-3.429313,48.822091
"7791",-3.275302,48.843506
"7832",-3.222791,48.799796
"7873",-3.084035,48.868735
"7914",-3.110143,48.766354
"7955",-3.029471,48.794516
"7996",-2.937358,48.738192
"8037",-2.820896,48.639625
"8078",-2.719982,48.540178
"8119",-2.616721,48.546338
"8160",-2.464764,48.629944
"8201",-2.340381,48.66808
"8211",-2.314273,48.691842
"8212",NA,NA
"8213",-2.31486,48.692429
"8242",-2.319847,48.61733
"8283",-2.211305,48.585354
"8324",-2.136207,48.613223
"8365",-2.027079,48.618503
"8406",-1.961954,48.524337
"8447",-1.984542,48.596208
"8488",-1.970755,48.688615
"8529",-1.848133,48.677761
"8570",-1.736071,48.611463
"8611",-1.511655,48.633464
"8652",-1.3993,48.66016
"8693",-1.526616,48.729978
"8734",-1.592621,48.846146
"8775",-1.561525,48.962021
"8816",-1.570326,49.023332
"8857",-1.601715,49.127473
"8898",-1.571206,49.22252
"8939",-1.662146,49.270043
"8980",-1.708789,49.336341
"9021",-1.817917,49.415841
"9062",-1.871014,49.547263
"9103",-1.906804,49.667245
"9144",-1.844612,49.713889
"9185",-1.655105,49.658151
"9226",-1.470879,49.691007
"9267",-1.263771,49.680153
"9308",-1.299267,49.578946
"9349",-1.219768,49.453097
"9390",-1.153469,49.361277
"9431",-1.019113,49.393546
"9472",-0.787363,49.358636
"9513",-0.536839,49.351889
"9554",-0.314476,49.309353
"9580",-0.217962,49.274737
"9581",NA,NA
"9582",-0.217962,49.274737
"9595",-0.162225,49.293805
"9627",0,49.328861
"9628",NA,NA
"9629",-1.168431,45.583752
"9636",-1.16491,45.59666
"9647",-1.168431,45.583752
"9648",NA,NA
"9649",-1.228568,45.819316
"9677",-1.282252,45.905562
"9718",-1.378179,46.014983
"9759",-1.283719,45.997382
"9800",-1.188672,45.910842
"9837",-1.228568,45.819316
"9838",NA,NA
"9839",-1.15963,46.017623
"9841",-1.156403,46.023784
"9860",-1.15963,46.017623
"9861",NA,NA
"9862",-1.29956,46.156673
"9882",-1.389913,46.187475
"9923",-1.548324,46.24996
"9964",-1.465012,46.219451
"10005",-1.307774,46.201263
"10030",-1.29956,46.156673
"10031",NA,NA
"10032",-2.37001,46.701432
"10046",-2.360916,46.736048
"10087",-2.357689,46.698205
"10090",-2.37001,46.701432
"10091",NA,NA
"10092",-2.158208,46.912648
"10128",-2.270856,46.99508
"10169",-2.198104,46.980706
"10200",-2.158208,46.912648
"10201",NA,NA
"10202",-0.714318,45.201805
"10210",-0.703757,45.206498
"10214",-0.714318,45.201805
"10215",NA,NA
"10216",-1.876001,47.2679
"10244",-1.876001,47.2679
"10245",NA,NA
"10246",-2.87282,47.347399
"10251",-2.857858,47.342998
"10259",-2.87282,47.347399
"10260",NA,NA
"10261",-2.979307,47.400203
"10282",-2.979307,47.400203
"10283",NA,NA
"10284",-3.235699,47.386708
"10292",-3.196976,47.375561
"10333",-3.079634,47.292541
"10374",-3.239806,47.335958
"10396",-3.235699,47.386708
"10397",NA,NA
"10398",-2.832923,47.598803
"10415",-2.851991,47.571815
"10429",-2.832923,47.598803
"10430",NA,NA
"10431",-2.78716,47.602617
"10454",-2.78716,47.602617
"10455",NA,NA
"10456",-3.135665,47.710278
"10471",-3.135665,47.710278
"10472",NA,NA
"10473",-3.490917,47.653074
"10497",-3.453661,47.627259
"10514",-3.490917,47.653074
"10515",NA,NA
"10516",-4.957396,48.403475
"10523",-4.957396,48.403475
"10524",NA,NA
"10525",-5.048922,48.477693
"10538",-5.065937,48.454225
"10579",-5.05919,48.4818
"10582",-5.048922,48.477693
"10583",NA,NA
"10584",-4.010448,48.754033
"10603",-4.010448,48.754033
"10604",NA,NA
"10605",-3.575697,48.812411
"10616",-3.575697,48.812411
"10617",NA,NA
"10618",-2.986348,48.864628
"10620",-2.989868,48.859641
"10640",-2.986348,48.864628
"10641",NA,NA
"10642",-2.081643,49.253909
"10661",-2.016811,49.217533
"10702",-2.146181,49.199345
"10743",-2.231547,49.228387
"10784",-2.081643,49.253909
"10785",NA,NA
"10786",-2.341848,49.439309
"10814",-2.341848,49.439309
"10815",NA,NA
"10816",-2.443935,49.480085
"10825",-2.452149,49.483019
"10827",-2.443935,49.480085
"10828",NA,NA
"10829",-2.500259,49.500033
"10866",-2.60264,49.423468
"10907",-2.574771,49.492406
"10924",-2.500259,49.500033
"10925",NA,NA
"10926",-2.168476,49.731197
"10948",-2.226266,49.714769
"10962",-2.168476,49.731197
"10963",NA,NA
"10964",-7.379916,55.372401
"10989",-7.229426,55.345119
"11030",-7.051946,55.272368
"11071",-6.999729,55.198149
"11112",-7.194223,55.124517
"11153",-7.170168,55.055872
"11194",-6.999436,55.104569
"11235",-6.867426,55.16676
"11276",-6.639197,55.205776
"11317",-6.418301,55.232178
"11358",-6.187431,55.211643
"11399",-6.04134,55.136838
"11440",-5.965068,55.029177
"11481",-5.880289,54.921809
"11522",-5.767347,54.809748
"11563",-5.782015,54.855511
"11604",-5.703396,54.744036
"11645",-5.893196,54.668351
"11686",-5.829245,54.649576
"11727",-5.605416,54.678912
"11768",-5.47986,54.568904
"11809",-5.453458,54.438361
"11850",-5.52093,54.334514
"11891",-5.542931,54.465056
"11932",-5.66966,54.570371
"11973",-5.647952,54.493805
"12014",-5.673474,54.372063
"12055",-5.568746,54.371476
"12096",-5.599842,54.254428
"12137",-5.80959,54.242107
"12178",-5.884982,54.116845
"12219",-6.057475,54.030892
"12260",-6.201805,54.089856
"12301",-6.136094,54.025611
"12342",-6.298025,54.008597
"12383",-6.377524,53.906803
"12424",-6.255782,53.812049
"12465",-6.236421,53.671533
"12506",-6.097078,53.572672
"12547",-6.144308,53.44829
"12577",-6.049554,53.380525
"12578",NA,NA
"12579",-10.337809,51.782917
"12588",-10.339276,51.809612
"12629",-10.322261,51.889405
"12670",-10.286472,51.964797
"12711",-10.111926,52.023761
"12752",-9.964075,52.064831
"12793",-9.869028,52.110594
"12834",-9.883109,52.150784
"12875",-10.011305,52.137583
"12916",-10.224281,52.125848
"12957",-10.346903,52.121741
"12998",-10.472752,52.138463
"13039",-10.371544,52.170145
"13080",-10.265057,52.267832
"13121",-10.133927,52.23791
"13162",-10.018052,52.309488
"13203",-9.877242,52.230869
"13244",-9.759021,52.268712
"13285",-9.833533,52.326209
"13326",-9.914205,52.42331
"13367",-9.70651,52.47758
"13408",-9.675415,52.545932
"13449",-9.465079,52.559133
"13490",-9.251517,52.575854
"13531",-9.049396,52.614577
"13572",-8.854022,52.661807
"13613",-8.843755,52.688795
"13654",-8.946722,52.740132
"13695",-9.05937,52.694369
"13736",-9.236263,52.61487
"13777",-9.289947,52.631298
"13818",-9.51319,52.625431
"13859",-9.627598,52.611937
"13900",-9.819452,52.56324
"13941",-9.835293,52.590522
"13982",-9.670428,52.677061
"14023",-9.527271,52.741893
"14064",-9.439558,52.849554
"14105",-9.388514,52.927879
"14146",-9.394088,53.003271
"14187",-9.289654,53.12208
"14228",-9.096333,53.134401
"14269",-9.044996,53.157576
"14310",-8.929414,53.144375
"14351",-8.997179,53.213313
"14392",-9.030915,53.266704
"14433",-9.287307,53.236781
"14474",-9.550446,53.235608
"14515",-9.623197,53.25673
"14556",-9.609116,53.341216
"14597",-9.681868,53.361457
"14638",-9.842627,53.320094
"14679",-9.822678,53.373485
"14720",-9.880176,53.401353
"14761",-9.996931,53.378178
"14802",-10.161209,53.409861
"14843",-10.057655,53.461198
"14884",-10.197879,53.536883
"14925",-10.014826,53.565045
"14966",-9.901004,53.606115
"15007",-9.906284,53.732844
"15048",-9.693602,53.776847
"15089",-9.606476,53.812343
"15130",-9.566287,53.891255
"15171",-9.79745,53.877761
"15212",-9.911271,53.919124
"15253",-9.784836,53.919711
"15294",-9.886336,54.006837
"15335",-9.83852,54.104524
"15376",-9.978156,54.086923
"15417",-9.947941,54.159968
"15458",-10.020693,54.200157
"15499",-10.07555,54.121832
"15540",-10.102832,54.157034
"15580",-10.08171,54.257361
"15581",NA,NA
"15582",-10.08171,54.257948
"15622",-9.925939,54.264402
"15663",-9.942367,54.210425
"15704",-9.791583,54.260002
"15745",-9.841746,54.3263
"15786",-9.615277,54.317206
"15827",-9.394381,54.296964
"15868",-9.233329,54.270562
"15909",-9.164685,54.19077
"15950",-9.064064,54.267629
"15991",-8.846102,54.253548
"16032",-8.644861,54.23976
"16073",-8.565948,54.23184
"16114",-8.472955,54.27731
"16155",-8.513438,54.323953
"16196",-8.662755,54.361209
"16237",-8.484689,54.42076
"16278",-8.331851,54.470043
"16319",-8.194855,54.569197
"16360",-8.129144,54.640482
"16401",-8.277287,54.629041
"16442",-8.445966,54.55981
"16483",-8.459167,54.603813
"16524",-8.656888,54.615547
"16565",-8.806499,54.689472
"16606",-8.629313,54.768091
"16647",-8.504344,54.769265
"16688",-8.448606,54.782759
"16729",-8.456527,54.83615
"16770",-8.372628,54.869299
"16811",-8.425725,54.894527
"16852",-8.426605,54.97872
"16893",-8.321877,55.053232
"16934",-8.256753,55.145345
"16975",-8.122103,55.129504
"17016",-7.976893,55.218977
"17057",-7.870992,55.156493
"17098",-7.851924,55.185535
"17139",-7.820828,55.203723
"17180",-7.699379,55.106329
"17221",-7.695566,55.204016
"17262",-7.778585,55.198442
"17303",-7.642762,55.277648
"17344",-7.56825,55.15972
"17385",-7.61636,55.055285
"17426",-7.638948,54.988107
"17467",-7.516033,55.032697
"17508",-7.489631,55.151212
"17549",-7.530994,55.268554
"17590",-7.344714,55.299943
"17631",-7.329753,55.30581
"17671",-7.379916,55.372401
"17672",NA,NA
"17673",-6.177163,55.284688
"17713",-6.244928,55.302583
"17728",-6.177163,55.284688
"17729",NA,NA
"17730",-7.477897,55.059392
"17754",-7.496671,55.071713
"17760",-7.477897,55.059392
"17761",NA,NA
"17762",-8.162879,55.168814
"17777",-8.162879,55.168814
"17778",NA,NA
"17779",-8.195735,55.247432
"17795",-8.238858,55.266501
"17806",-8.195735,55.247432
"17807",NA,NA
"17808",-8.353266,55.079634
"17820",-8.353266,55.079634
"17821",NA,NA
"17822",-8.488796,54.991041
"17836",-8.525759,54.965226
"17869",-8.488796,54.991041
"17870",NA,NA
"17871",-8.422205,55.040618
"17877",-8.414577,55.017736
"17892",-8.422205,55.040618
"17893",NA,NA
"17894",-8.438632,54.955252
"17905",-8.438632,54.955252
"17906",NA,NA
"17907",-7.789733,54.5161
"17918",-7.888886,54.501139
"17937",-7.789733,54.5161
"17938",NA,NA
"17939",-8.566828,54.294911
"17950",-8.566828,54.294911
"17951",NA,NA
"17952",-9.139749,54.210425
"17959",-9.145616,54.199864
"17977",-9.139749,54.210425
"17978",NA,NA
"17979",-10.118086,54.208958
"17988",-10.118086,54.208958
"17989",NA,NA
"17990",-10.192598,54.13826
"18000",-10.203452,54.133859
"18004",-10.192598,54.13826
"18005",NA,NA
"18006",-10.204626,54.114791
"18023",-10.204626,54.114791
"18024",NA,NA
"18025",-10.168543,54.072841
"18036",-10.168543,54.072841
"18037",NA,NA
"18038",-9.959675,54.00977
"18041",-9.947354,54.00273
"18082",-9.937967,53.912377
"18123",-10.057362,53.938192
"18164",-10.250976,53.969874
"18205",-10.094031,54.005077
"18235",-9.959675,54.00977
"18236",NA,NA
"18237",-9.897777,53.995689
"18246",-9.904524,53.998916
"18248",-9.897777,53.995689
"18249",NA,NA
"18250",-9.862281,53.983955
"18263",-9.862281,53.983955
"18264",NA,NA
"18265",-9.654293,53.841972
"18275",-9.654293,53.841972
"18276",NA,NA
"18277",-9.631411,53.834931
"18286",-9.631411,53.834931
"18287",NA,NA
"18288",-9.954101,53.800609
"18328",-9.960555,53.808236
"18333",-9.954101,53.800609
"18334",NA,NA
"18335",-10.03272,53.714656
"18347",-10.03272,53.714656
"18348",NA,NA
"18349",-10.091684,53.704095
"18369",-10.091684,53.705562
"18370",-10.091684,53.704095
"18371",NA,NA
"18372",-10.12454,53.621076
"18380",-10.12454,53.621076
"18381",NA,NA
"18382",-10.279138,53.605821
"18397",-10.279138,53.605821
"18398",NA,NA
"18399",-10.182918,53.632223
"18410",-10.204626,53.608755
"18440",-10.182918,53.632223
"18441",NA,NA
"18442",-10.156516,53.518988
"18451",-10.156516,53.526029
"18453",-10.156516,53.518988
"18454",NA,NA
"18455",-9.901591,53.40458
"18475",-9.901591,53.40458
"18476",NA,NA
"18477",-9.846147,53.301026
"18492",-9.863748,53.303666
"18498",-9.846147,53.301026
"18499",NA,NA
"18500",-9.646666,53.290172
"18528",-9.646666,53.290172
"18529",NA,NA
"18530",-9.720298,53.242942
"18533",-9.720591,53.232088
"18548",-9.720298,53.242942
"18549",NA,NA
"18550",-9.652826,53.265237
"18574",-9.710617,53.233848
"18596",-9.652826,53.265237
"18597",NA,NA
"18598",-9.61821,53.103892
"18615",-9.691549,53.101838
"18656",-9.764888,53.144375
"18692",-9.61821,53.103892
"18693",NA,NA
"18694",-9.507322,53.053142
"18697",-9.513483,53.043168
"18720",-9.507322,53.053142
"18721",NA,NA
"18722",-9.51671,52.809071
"18733",-9.51671,52.809071
"18734",NA,NA
"18735",-10.505901,52.095926
"18738",-10.512061,52.086539
"18773",-10.505901,52.095926
"18774",NA,NA
"18775",-10.606815,52.044296
"18779",-10.598894,52.034322
"18788",-10.606815,52.044296
"18789",NA,NA
"18790",-10.294392,51.916393
"18820",-10.412027,51.893218
"18849",-10.294392,51.916393
"18850",NA,NA
"18851",-10.243642,51.7263
"18861",-10.252443,51.725713
"18864",-10.243642,51.7263
"18865",NA,NA
"18866",-10.164436,51.599571
"18902",-10.164436,51.599571
"18903",NA,NA
"18904",-9.787183,51.636533
"18943",-9.865802,51.636533
"18962",-9.787183,51.636533
"18963",NA,NA
"18964",-9.47916,51.697258
"18984",-9.502335,51.695498
"18991",-9.47916,51.697258
"18992",NA,NA
"18993",-9.552499,51.492496
"19007",-9.552499,51.492496
"19008",NA,NA
"19009",-9.490308,51.509511
"19022",-9.490308,51.509511
"19023",NA,NA
"19024",-9.454812,51.512444
"19025",-9.460679,51.511564
"19034",-9.454812,51.512444
"19035",NA,NA
"19036",-9.42929,51.491029
"19050",-9.42929,51.491029
"19051",NA,NA
"19052",-9.396141,51.477535
"19066",-9.425477,51.468735
"19078",-9.396141,51.477535
"19079",NA,NA
"19080",-9.460386,51.441453
"19107",-9.485028,51.446146
"19114",-9.460386,51.441453
"19115",NA,NA
"19116",-9.512896,51.470788
"19126",-9.512896,51.470788
"19127",NA,NA
"19128",-9.562473,53.088051
"19148",-9.599142,53.086584
"19156",-9.562473,53.088051
"19157",NA,NA
"19158",-8.186348,51.860363
"19189",-8.303396,51.866523
"19230",-8.319824,51.849509
"19232",-8.319237,51.843935
"19233",NA,NA
"19234",-8.221257,51.851562
"19266",-8.221257,51.851562
"19267",NA,NA
"19268",-8.319237,51.843935
"19271",-8.306036,51.836894
"19312",-8.341532,51.726886
"19353",-8.495543,51.691977
"19394",-8.5416,51.608958
"19435",-8.690624,51.59341
"19476",-8.845808,51.59077
"19517",-8.978698,51.560848
"19558",-9.121855,51.554394
"19599",-9.229516,51.480762
"19640",-9.380887,51.471668
"19681",-9.448945,51.549994
"19722",-9.595915,51.492496
"19763",-9.716777,51.462281
"19804",-9.820918,51.485456
"19845",-9.649306,51.551754
"19886",-9.60589,51.605438
"19927",-9.799503,51.544713
"19968",-9.70739,51.608665
"20009",-9.506736,51.667922
"20050",-9.52375,51.726006
"20091",-9.628184,51.684057
"20132",-9.860815,51.650908
"20173",-10.042988,51.592823
"20214",-10.109872,51.616879
"20255",-10.001038,51.67819
"20296",-9.918312,51.752115
"20337",-9.786302,51.772356
"20378",-9.65488,51.843641
"20419",-9.714724,51.855376
"20460",-9.871375,51.801105
"20501",-10.051495,51.771476
"20542",-10.208146,51.773823
"20583",-10.251856,51.831907
"20606",-10.338395,51.782917
"20607",NA,NA
"20608",-6.376938,52.271352
"20624",-6.321787,52.236736
"20665",-6.416834,52.19508
"20706",-6.564978,52.176599
"20747",-6.7759,52.205641
"20788",-6.835157,52.229403
"20829",-6.900282,52.14521
"20870",-6.920817,52.214441
"20911",-6.973327,52.233509
"20952",-7.035518,52.133182
"20993",-7.128218,52.151957
"21034",-7.362315,52.133769
"21075",-7.564436,52.079205
"21116",-7.579104,52.030508
"21157",-7.725488,51.945142
"21198",-7.891526,51.91346
"21239",-8.005055,51.859483
"21280",-8.163466,51.793478
"21321",-8.191041,51.855962
"21323",-8.186348,51.860949
"21324",NA,NA
"21325",-6.050141,53.380232
"21362",-6.214419,53.357057
"21403",-6.103825,53.26289
"21444",-6.042807,53.12736
"21485",-6.018752,52.974816
"21526",-6.08153,52.851607
"21567",-6.164549,52.716957
"21608",-6.200338,52.576441
"21649",-6.303599,52.450592
"21690",-6.398059,52.354371
"21731",-6.379871,52.307435
"21741",-6.377818,52.271646
"21742",NA,NA
"21743",-5.003159,58.628342
"21772",-4.834774,58.592259
"21813",-4.730926,58.572018
"21854",-4.747941,58.46201
"21895",-4.637933,58.523028
"21936",-4.466321,58.557643
"21977",-4.486269,58.445289
"22018",-4.314656,58.539455
"22059",-4.159472,58.562924
"22100",-3.994607,58.567911
"22141",-3.743495,58.586392
"22182",-3.539614,58.602527
"22223",-3.384723,58.631275
"22264",-3.236579,58.65181
"22305",-3.022724,58.624235
"22346",-3.137425,58.505426
"22387",-3.0635,58.427981
"22428",-3.197856,58.313279
"22469",-3.415525,58.245808
"22510",-3.570123,58.136973
"22551",-3.759043,58.056594
"22592",-3.944443,57.970348
"22633",-4.024236,57.859753
"22674",-4.154192,57.828951
"22715",-3.930362,57.81839
"22756",-3.774884,57.85506
"22797",-3.920095,57.740358
"22838",-4.025702,57.732438
"22879",-4.251879,57.678754
"22920",-4.420264,57.590747
"22961",-4.304682,57.634164
"23002",-4.089067,57.662913
"23043",-4.096401,57.604535
"23084",-4.259212,57.544397
"23125",-4.153898,57.511248
"23166",-4.04125,57.587227
"23207",-3.779578,57.616269
"23248",-3.536387,57.661152
"23289",-3.311091,57.716303
"23330",-3.054406,57.664379
"23371",-2.832923,57.687554
"23412",-2.581812,57.67318
"23453",-2.313393,57.673767
"23494",-2.071082,57.688434
"23535",-1.866907,57.623603
"23576",-1.770687,57.503914
"23580",-1.761006,57.495114
"23581",NA,NA
"23582",-1.76042,57.495114
"23617",-1.813517,57.416788
"23658",-1.959607,57.314408
"23699",-2.068442,57.176531
"23740",-2.107458,57.038948
"23781",-2.183437,56.904298
"23822",-2.323953,56.787543
"23863",-2.423107,56.686629
"23904",-2.522848,56.577208
"23945",-2.710008,56.495655
"23986",-2.917996,56.462506
"24027",-3.136839,56.417916
"24068",-3.316665,56.355725
"24109",-3.084035,56.392981
"24150",-2.864312,56.448132
"24191",-2.807402,56.358366
"24232",-2.599413,56.290894
"24273",-2.73553,56.203768
"24314",-2.97608,56.194967
"24355",-3.145639,56.1008
"24396",-3.319012,56.034796
"24437",-3.5358,56.036556
"24478",-3.662236,56.00722
"24519",-3.409951,55.989032
"24560",-3.16236,55.976711
"24601",-2.941758,55.968791
"24642",-2.793907,56.060904
"24683",-2.570078,56.015728
"24724",-2.406386,55.968204
"24765",-2.180503,55.917747
"24806",-2.033533,55.819474
"24847",-1.906217,55.707119
"24888",-1.770394,55.639647
"24929",-1.634571,55.574523
"24970",-1.58294,55.444567
"25011",-1.549498,55.312557
"25052",-1.508722,55.180548
"25093",-1.450637,55.050005
"25134",-1.362925,54.932077
"25175",-1.303374,54.79244
"25216",-1.177818,54.690646
"25257",-1.136748,54.602346
"25298",-0.98039,54.586798
"25339",-0.74776,54.537221
"25380",-0.549453,54.462709
"25421",-0.434458,54.347128
"25462",-0.337064,54.231253
"25503",-0.170146,54.145887
"25522",-0.075685,54.113031
"25523",NA,NA
"25524",-0.074805,54.112444
"25544",-0.173666,54.082229
"25585",-0.177186,53.943472
"25626",-0.067765,53.821437
"25649",0,53.760908
"25650",NA,NA
"25651",0,53.635777
"25667",-0.090647,53.626649
"25708",-0.248471,53.723163
"25749",-0.492835,53.708789
"25790",-0.718425,53.698228
"25831",-0.544759,53.671239
"25872",-0.309489,53.703508
"25913",-0.158705,53.608461
"25953",0,53.530765
"25954",NA,NA
"25955",0,52.880021
"25957",0,52.879428
"25958",NA,NA
"25959",0,50.78789
"25995",-0.210628,50.826582
"26036",-0.425071,50.795193
"26077",-0.656527,50.773485
"26118",-0.79587,50.726548
"26159",-0.865689,50.803407
"26200",-0.943428,50.819248
"26241",-0.986844,50.821008
"26282",-1.106239,50.796953
"26323",-1.139095,50.825702
"26364",-1.247343,50.825115
"26405",-1.423062,50.906374
"26446",-1.340336,50.84653
"26487",-1.439197,50.768498
"26528",-1.612276,50.728895
"26569",-1.785061,50.71452
"26610",-1.948753,50.710413
"26651",-2.034999,50.696332
"26692",-1.90827,50.632675
"26733",-2.071962,50.592192
"26774",-2.316033,50.622114
"26815",-2.429268,50.56755
"26837",-2.456256,50.502425
"26838",NA,NA
"26839",-2.455376,50.503012
"26856",-2.452149,50.560216
"26897",-2.612321,50.647636
"26938",-2.819429,50.71276
"26979",-3.042378,50.695159
"27020",-3.267675,50.663183
"27061",-3.418459,50.632675
"27102",-3.438994,50.591312
"27143",-3.483877,50.462236
"27184",-3.497078,50.38127
"27225",-3.600045,50.314385
"27266",-3.710346,50.210831
"27307",-3.866998,50.266862
"27348",-4.062078,50.298251
"27389",-4.221076,50.359562
"27430",-4.269773,50.347534
"27471",-4.496243,50.326706
"27512",-4.697484,50.339614
"27553",-4.786077,50.239873
"27594",-4.956809,50.192643
"27635",-5.022227,50.188243
"27676",-5.043349,50.142773
"27717",-5.054203,50.05418
"27758",-5.192959,49.955906
"27799",-5.289766,50.070021
"27840",-5.489541,50.127812
"27881",-5.634458,50.042446
"27922",-5.704569,50.135146
"27963",-5.52973,50.208191
