"","lon","lat","jul.day","bath","chl","chl.sw"
"51",-0.6378,50.3943,265,55,1.38,1.71790839
"52",-0.6605,60.416,148,98,1.1,1.62543679
"53",-0.665,59.2822,268,125,1.35,0.91515406
"54",-0.6652,59.283,347,125,0.2,0
"55",-0.6667,59.2798,149,125,1.15,1.00952481
"56",-0.6687,60.8327,266,88,0.9,0.70291624
"57",-0.6692,60.002,267,108,0.9,1.36092489
"58",-0.67,59.293,272,125,0.8,0.94702488
"59",-0.6703,60.427,267,98,0.75,0.87413593
"60",-0.672,59.9997,148,125,2.2,1.10653323
"61",-0.6767,60.8363,147,88,1.6,0.72221685
"62",-0.7034,50.3573,102,55,1.84,0.91082624
"63",-0.7108,59.2822,165,125,0.3,0.84738853
"64",-0.7313,60.8372,147,88,1.65,1.5962188
"65",-0.7333,60.8302,266,88,0.7,0.78195502
"66",-0.7483,58.22,269,105,1.4,1.16834535
"67",-0.7487,58.2158,150,105,0.95,0.93103168
"68",-0.7548,73.002,204,2763,0.4,0.41154294
"69",-0.81,63.5733,298,2238,0.2,0
"70",-0.8357,60.002,267,108,1.1,2.35049718
"71",-0.8368,59.9992,148,125,1.35,1.55749238
"72",-0.8682,55.4995,273,65,2.5,0.92257143
"73",-0.883,72.5,149,2590,1.6,0.61536322
"74",-0.883,72.5,138,2590,1.63333333,0.61844823
"75",-0.9436,50.3323,62,55,0.65,1.96507729
"76",-0.9627,64.5483,117,2823,0.3,0.83439531
"77",-0.9867,50.5,110,31,2.63,4.97157744
"78",-0.9897,59.278,165,125,0.3,0.91015843
"79",-0.9968,58.13,150,105,1.45,0.81464817
"80",-0.999,59.2822,347,125,0.2,0
"81",-0.999,59.286,272,125,0.8,1.7712486
"82",-1,60.004,267,108,0.9,1.0444558
"83",-1,75,153,3583,0.7,0.67608298
"84",-1,75,134,3583,0.45,0.71754617
"85",-1.002,60.01,148,28,1.25,2.51007978
"86",-1.0033,69.3372,177,3042,0.819,1.02329299
"87",-1.008,59.2815,149,109,2,1.29107917
"88",-1.01,58.15,269,100,1.2,1.32606483
"89",-1.01,59.283,268,109,1.1,1.23440013
"90",-1.0111,50.7002,255,12,1.44,3.47939208
"91",-1.0136,50.1096,124,74,1.02,1.25142167
"92",-1.025,74.007,135,3500,0.5,0.40547448
"93",-1.0712,50.1384,75,74,0.59,0.9981126
"94",-1.0907,50.0992,278,74,0.94,1.12824566
"95",-1.133,74.75,200,3567,0.03,0.816276
"96",-1.159,59.2795,348,109,0.2,0
"97",-1.16,59.2767,165,109,0.3,1.16322989
"98",-1.163,59.283,268,109,1,0.81089469
"99",-1.167,59.292,272,109,0.7,0.92617301
"100",-1.171,59.2858,149,109,0.85,1.36601147
"101",-1.172,50.2683,102,46,6.54,1.32833449
"102",-1.2016,55.4988,273,66,3.1,1.30316678
"103",-1.217,78,209,2946,1.025,4.21696503
"104",-1.2235,73.168,205,2983,1,0.53123821
"105",-1.2347,59.748,84,100,0.28,0.4165461
"106",-1.2367,58.6317,295,99,0.8,0.59326465
"107",-1.2375,45.6572,110,8,1.95,5.35385373
"108",-1.2477,58.049,150,100,1.65,0.89819266
"109",-1.2513,58.993,84,101,0.21,0.52772014
"110",-1.262,58.052,269,100,1.55,1.59486744
"111",-1.3225,59.2878,165,109,0.3,1.10236955
"112",-1.323,59.2812,348,109,0.2,0
"113",-1.3318,59.2832,272,109,0.6,0.81840679
"114",-1.333,59.29,268,109,0.8,0.87792944
"115",-1.336,59.282,149,109,0.9,1.19246073
"116",-1.4173,50.2515,62,46,0.67,0.99409051
"117",-1.42,72.7,137,2839,2.45,0.6095369
"118",-1.42,72.7,138,2839,3.3,0.57872954
"119",-1.4324,50.0754,75,74,0.58,1.04203613
"120",-1.4943,50.4504,110,46,2.1,4.42268374
"121",-1.4962,59.2795,348,109,0.2,0
"122",-1.4967,55.3325,273,66,0.9,2.4266101
"123",-1.4967,59.285,272,109,0.4,0.772953
"124",-1.4998,57.967,150,100,2.35,1.26995037
"125",-1.502,59.2815,149,78,1.15,0.8771676
"126",-1.502,59.292,268,78,0.85,0.75977655
"127",-1.5035,57.968,269,99,1.4,1.61185959
"128",-1.5202,59.28,165,78,0.5,1.60498362
"129",-1.5603,50.2372,265,71,0.86,1.65958691
"130",-1.5896,50.6742,255,17,1.85,2.94367641
"131",-1.615,60.9117,300,171,0.3,0.27917725
"132",-1.6245,43.5935,71,482,0.84,2.34422882
"133",-1.6281,50.1831,102,71,6.32,0.93534124
"134",-1.6491,43.6422,69,482,1.04,1.7343292
"135",-1.6492,59.2977,166,78,2.4,1.73210997
"136",-1.6642,59.2823,348,78,0.2,0
"137",-1.6655,59.2807,149,78,0.9,0.8771676
"138",-1.667,59.2825,272,78,0.6,0.772953
"139",-1.67,74.93,135,3556,0.95,0.69778059
"140",-1.675,59.3817,54,78,0.2,0.54406776
"141",-1.677,59.29,268,78,0.6,0.69726022
"142",-1.6843,45.6795,110,52,2.07,1.94294099
"143",-1.6967,58.7033,302,99,0.2,1.2470587
"144",-1.6983,59.032,302,98,0.4,0.44101973
"145",-1.7083,59.3717,302,78,0.3,0.37928394
"146",-1.7445,64.8192,117,3066,0.3,0.6226722
"147",-1.747,57.8827,150,99,1.25,1.22683667
"148",-1.75,74.75,200,3556,0.05,0.90775619
"149",-1.7535,57.8828,269,99,1.4,1.24642328
"150",-1.7965,59.283,272,78,0.3,0.65896948
"151",-1.7997,59.2798,149,78,1,1.15908957
"152",-1.8017,59.288,348,78,0.2,0
"153",-1.8018,59.288,166,78,3.9,1.01506583
"154",-1.805,57.124,297,85,0.46666667,1.44543977
"155",-1.8052,57.125,187,85,2.36666667,1.7063707
"156",-1.8067,57.237,70,85,0.53333333,1.45368316
"157",-1.807,57.127,70,85,0.75,1.09562787
"158",-1.8073,59.285,268,78,0.7,0.6823252
"159",-1.8078,57.128,39,85,0.3,1.60618232
"160",-1.8102,57.2313,39,85,0.3,1.79163059
"161",-1.8127,57.233,187,85,1.6,1.53967476
"162",-1.8344,67.7515,175,3449,1.113,1.40592945
"163",-1.8568,57.242,70,85,0.63333333,2.12532783
"164",-1.8598,57.2322,39,85,0.3,2.50451727
"165",-1.8618,57.242,187,85,1.93333333,2.4788441
"166",-1.8707,57.123,297,85,0.43333333,1.97242274
"167",-1.8735,57.127,70,85,0.76666667,1.49977478
"168",-1.8738,57.125,187,85,2.36666667,1.59108956
"169",-1.875,57.125,6,85,0.3,0
"170",-1.875,57.127,39,85,0.3,1.9574678
"171",-1.8775,50.4778,255,49,1.27,2.47105709
"172",-1.8865,50.1864,265,71,0.7,1.17489755
"173",-1.8872,57.2323,187,85,2.13333333,2.17584734
"174",-1.89,57.248,70,85,0.53333333,2.12532783
"175",-1.8925,57.231,39,85,0.4,2.50451727
"176",-1.8943,43.8823,69,117,0.93,1.25892541
"177",-1.9045,57.122,297,85,0.4,1.97242274
"178",-1.9053,57.125,6,85,0.3,0
"179",-1.9057,57.125,187,85,2.36666667,1.59108956
"180",-1.9075,57.128,70,85,0.75,1.49977478
"181",-1.9088,57.127,39,85,0.3,1.9574678
"182",-1.9097,49.9548,124,65,1.27,1.79458676
"183",-1.9262,57.245,70,85,0.7,2.12532783
"184",-1.9267,57.2318,187,85,1.86666667,2.17584734
"185",-1.9288,57.2315,39,85,0.4,2.50451727
"186",-1.9305,59.287,268,78,0.6,0.6823252
"187",-1.931,59.2797,272,78,0.3,0.65896948
"188",-1.933,59.2852,348,78,0.2,0
"189",-1.9357,59.2817,149,78,1.35,1.15908957
"190",-1.939,59.2852,166,78,1.3,1.12824566
"191",-1.9398,57.122,297,85,0.43333333,1.97242274
"192",-1.9415,57.123,6,85,0.3,0
"193",-1.9415,57.126,39,85,0.3,1.9574678
"194",-1.9417,57.125,70,85,0.6,1.49977478
"195",-1.9422,57.126,187,85,2.56666667,1.59108956
"196",-1.95,72.92,149,2828,1.7,0.58264613
"197",-1.95,72.92,137,2828,2.9,0.63095734
"198",-1.95,72.92,138,2828,1.6,0.60071832
"199",-1.957,56.892,297,83,0.66666667,1.49623566
"200",-1.9588,57.231,187,85,2.46666667,2.17584734
"201",-1.9608,57.2332,39,85,0.33333333,2.50451727
"202",-1.9688,57.235,70,85,0.9,2.10089173
"203",-1.97,57.126,39,85,0.3,1.9574678
"204",-1.9705,57.126,187,85,2.33333333,1.59108956
"205",-1.9713,57.123,6,85,0.3,0
"206",-1.9715,57.125,70,85,0.66666667,1.49977478
"207",-1.9725,56.89,39,83,0.3,1.49184612
"208",-1.9727,56.883,70,83,0.8,1.46448823
"209",-1.9755,57.124,297,85,0.43333333,1.97242274
"210",-1.9758,56.885,186,83,3,1.66053552
"211",-1.9858,59.0015,84,98,0.23,0.72011801
"212",-1.99,56.269,185,50,2.86666667,1.05925373
"213",-1.9907,56.2703,296,50,0.8,2.28129671
"214",-1.9918,56.2725,38,50,0.3,2.20796108
"215",-1.9923,56.37,185,50,2.43333333,1.216186
"216",-1.9935,57.2357,70,85,1,2.10089173
"217",-1.9937,56.3707,38,50,0.33333333,1.98969611
"218",-1.9938,57.2325,187,85,2.43333333,2.17584734
"219",-1.9952,57.8017,150,99,2.3,1.37859131
"220",-1.9958,56.3697,296,50,0.7,2.83449472
"221",-1.996,57.123,297,85,0.56666667,1.97242274
"222",-1.9963,56.514,296,53,1,2.07158784
"223",-1.9963,56.523,38,53,0.3,1.94731198
"224",-1.9967,57.2317,39,85,0.4,2.50451727
"225",-1.9978,56.4472,296,50,0.9,2.83449472
"226",-1.9982,56.449,38,50,0.3,1.98969611
"227",-1.9987,56.462,69,50,0.73333333,1.37266562
"228",-1.9987,56.517,69,53,0.7,1.37266562
"229",-1.9997,57.7528,269,99,1.2,1.57791128
"230",-1.9998,57.92,269,99,1.45,1.17559841
"231",-1.9998,57.9983,269,99,1.45,1.33081289
"232",-10,75,151,3113,1.2,2.34410782
"233",-10.0003,41.6544,253,3188,0.11,0.2440983
"234",-10.0004,41.9502,253,2877,0.09,0.23581138
"235",-10.0007,40.716,253,3282,0.037,0.20231838
"236",-10.0015,49.6595,271,166,0.37,0.40547448
"237",-10.0018,57.012,144,2221,0.7,1.22152843
"238",-10.0029,41.0185,253,3933,0.037,0.22085996
"239",-10.0033,48.4009,270,2289,0.35,0.55382111
"240",-10.0035,56.997,217,2141,0.9,1.60324539
"241",-10.0045,56.9895,129,2141,2.1,1.05925373
"242",-10.005,37.5606,6,3025,0.57,0.3253896
"243",-10.0053,57.006,144,2221,0.8,1.22152843
"244",-10.0057,57.0058,144,2221,0,1.22152843
"245",-10.0063,37.3729,4,3653,0.4,0.30951798
"246",-10.0067,57.0042,144,2221,0.6,1.22152843
"247",-10.0102,56.9995,144,2141,0.8,1.22152843
"248",-10.017,78,211,123,0.12,0.42469277
"249",-10.022,49.4729,308,177,0.51,0.55870613
"250",-10.0223,38.184,4,4774,0.54,0.33377946
"251",-10.0347,39.4756,9,1551,0.5,0.30549211
"252",-10.0415,49.5957,276,166,0.205,0.40641007
"253",-10.0608,48.1845,30,3286,0.155,0.1989267
"254",-10.0642,55.1185,58,1157,0,0.2522534
"255",-10.0658,39.2154,9,908,0.67,0.31622777
"256",-10.09,31.5,275,960,0.4,0.84153642
"257",-10.0976,37.5447,6,3025,0.54,0.3253896
"258",-10.0976,38.9313,9,1186,0.52,0.33884416
"259",-10.1057,55.0185,58,1157,0.1,0.21922328
"260",-10.138,55.0293,58,1157,0.1,0.21922328
"261",-10.1383,48.5927,115,975,2.98,0.47722593
"262",-10.1397,49.5007,266,166,0.87,0.32532994
"263",-10.1405,38.6463,9,3448,0.81,0.32734069
"264",-10.1447,50.3839,121,150,1.9,1.840772
"265",-10.1484,45.9485,202,4831,0.07,0.26279885
"266",-10.15,74.95,197,3120,0.135,0.53499997
"267",-10.1535,55.042,58,1157,0.1,0.21922328
"268",-10.1645,49.3654,308,177,0.5,0.35771276
"269",-10.1664,37.8077,4,3734,0.5,0.32989027
"270",-10.1664,38.6084,5,3448,0.54,0.31085994
"271",-10.1695,55.0387,58,1157,0.1,0.21922328
"272",-10.17,31.5,276,960,0.33,0.97787817
"273",-10.1708,56.7642,183,2141,0.6,0.74567924
"274",-10.1741,37.5492,4,3025,0.64,0.34181156
"275",-10.1827,61.6753,104,1206,0.19,0.26454063
"276",-10.1839,37.5546,6,3025,0.36,0.31912767
"277",-10.1881,49.5815,276,166,0.242,0.40641007
"278",-10.1889,37.0302,3,3800,0.47,0.35414371
"279",-10.2022,55.0457,58,1157,0.2,0.25703958
"280",-10.203,50.9967,196,138,0.273,0.6448156
"281",-10.2062,44.5713,204,4925,0.059,0.2205259
"282",-10.2278,55.4277,166,2029,0.8,1.37918971
"283",-10.2395,55.0565,58,1157,0,0.16390773
"284",-10.2478,37.568,6,3025,0.4,0.33453036
"285",-10.2506,38.4479,5,4767,0.71,0.33309243
"286",-10.2544,38.3641,5,4767,0.43,0.33309243
"287",-10.2778,50.283,121,150,3,1.77827941
"288",-10.2865,41.048,10,3933,0.33,0.28765061
"289",-10.303,58.3585,188,1902,0.4,0.58086266
"290",-10.3085,58.3367,188,1902,0.3,0.58086266
"291",-10.3367,46.9913,201,4699,0.101,0.35075187
"292",-10.3369,49.5679,276,166,0.428,0.46096346
"293",-10.346,45.8187,202,4831,0.099,0.29386854
"294",-10.3515,42.9997,252,3144,1.07,0.28488073
"295",-10.3944,49.5945,256,166,0.21,0.31855306
"296",-10.4083,49.1777,308,187,0.43,0.33165449
"297",-10.426,42.3116,11,2782,0.5,0.31095106
"298",-10.44,30.97,271,768,2.291,0.4871829
"299",-10.44,31.02,272,270,0.6215,0.52232152
"300",-10.4404,37.7726,5,3734,0.67,0.3164164
"301",-10.4483,36.6031,1,3841,0.74,0.31622777
"302",-10.45,30.98,272,768,0.835,0.49131654
"303",-10.45,31,272,270,0.825,0.52232152
"304",-10.463,56.831,183,2141,0.3,0.63650065
"305",-10.47,31,272,270,0.67375,0.40100805
"306",-10.4746,49.3265,123,177,4.12,1.3312181
"307",-10.476,48.0113,200,3286,0.101,0.4506769
"308",-10.4955,49.5434,276,166,0.539,0.43118443
"309",-10.499,49.501,179,166,0.144,0.6862832
"310",-10.5,31.1,273,270,1.07,0.40271703
"311",-10.5,31.5,276,960,0.091,0.22697085
"312",-10.5017,49.5,199,155,0.509,0.38255337
"313",-10.51,31.1,273,990,1.04,0.40271703
"314",-10.5113,38.161,8,4911,0.322,0.28635421
"315",-10.5162,36.8872,1,2250,0.74,0.25703958
"316",-10.517,49.5,186,155,0.155,0.47890367
"317",-10.528,49.467,186,131,0.149,0.47890367
"318",-10.533,49.448,186,131,0.172,0.47890367
"319",-10.533,49.47,186,131,0.142,0.47890367
"320",-10.54,31.13,273,990,0.6875,0.40271703
"321",-10.5412,56.9958,143,2366,0.9,1.17704981
"322",-10.543,49.457,186,131,0.152,0.47890367
"323",-10.5442,56.8632,191,2366,0.6,0.63095734
"324",-10.5742,54.2922,59,211,0.2,0.31928575
"325",-10.5765,55.4283,166,2507,0.6,1.05600628
"326",-10.5767,41.5908,10,3082,0.36,0.2644381
"327",-10.59,31.17,273,990,0.8775,0.43151908
"328",-10.6,31.2,274,990,1.155,0.37326845
"329",-10.6038,49.0254,308,132,0.67,0.36608926
"330",-10.6075,37.2499,1,3548,0.57,0.23988329
"331",-10.62,31.19,274,990,0.937,0.37326845
"332",-10.6208,56.7522,143,2366,1,0.84737347
"333",-10.633,78.017,211,178,0.145,2.36390516
"334",-10.6358,50.8258,196,156,0.19,0.57002625
"335",-10.6382,38.5066,5,4907,0.71,0.3006648
"336",-10.64,31.21,274,990,0.8425,0.37352875
"337",-10.646,49.5205,276,155,0.539,0.45866353
"338",-10.6474,49.1835,270,132,0.67,0.48440207
"339",-10.6637,54.3387,59,211,0.3,0.31928575
"340",-10.67,31.5,276,1851,0.07,0.22943147
"341",-10.67,75,151,2565,0.7,1.93059019
"342",-10.6779,49.5439,256,155,0.45,0.31905481
"343",-10.6821,38.0144,5,4911,0.67,0.28059671
"344",-10.72,31.05,141,990,0.112,0.33348982
"345",-10.72,31.45,140,954,0.1,0.19678474
"346",-10.72,31.48,140,954,0.088,0.19678474
"347",-10.72,31.5,141,1851,0.114,0.19510077
"348",-10.73,31.22,275,990,0.735,0.3513944
"349",-10.7465,58.6485,188,1916,0.3,0.66173771
"350",-10.7492,56.8997,183,2366,0.4,0.56549529
"351",-10.7562,49.3825,290,131,0.372,0.37748837
"352",-10.777,54.3955,59,211,0,0.18591223
"353",-10.7777,54.3953,59,211,0.2,0.18591223
"354",-10.778,58.6683,188,1916,0.5,0.66173771
"355",-10.78,31.23,275,990,0.4,0.3513944
"356",-10.78,31.23,277,990,1.16333333,0.36394465
"357",-10.7859,49.5088,276,155,0.595,0.44002965
"358",-10.79,31.21,275,990,0.2735,0.3513944
"359",-10.79,31.23,275,990,0.39,0.3513944
"360",-10.79,31.23,277,990,0.551,0.36394465
"361",-10.7934,48.8755,308,636,0.44,0.34148333
"362",-10.8,74.75,197,2923,0.135,0.56568054
"363",-10.8135,41.1712,205,3496,0.123,0.20905424
"364",-10.8262,53.9798,59,139,0,0.25118793
"365",-10.8296,49.5362,290,155,0.521,0.48385855
"366",-10.83,31.23,278,990,2.29,0.27457848
"367",-10.83,31.5,276,1851,0.07,0.16766234
"368",-10.833,78,211,178,0.095,2.28688618
"369",-10.84,31.24,278,990,1.69,0.27457848
"370",-10.85,31.23,278,990,1.6215,0.27457848
"371",-10.86,31.23,278,990,2.4,0.27457848
"372",-10.88,31.23,278,990,2.0995,0.27457848
"373",-10.8815,55.4123,166,2507,0.8,0.94088042
"374",-10.8894,49.4883,276,131,0.632,0.53501937
"375",-10.89,31.18,275,990,0.393,0.26405514
"376",-10.9083,49.3472,290,131,0.391,0.4506769
"377",-10.9135,54.478,59,211,0,0.19173284
"378",-10.9145,54.48,59,211,0.2,0.19173284
"379",-10.9219,38.2529,5,4955,0.77,0.29529697
"380",-10.9251,45.3968,202,3021,0.064,0.28637977
"381",-10.9279,38.5007,5,4907,0.9,0.30567434
"382",-10.9296,48.7198,270,2225,0.57,0.48493763
"383",-10.9502,43.7858,253,5104,0.294,0.19603211
"384",-10.9688,49.5137,117,155,0.881,0.95562897
"385",-10.97,31.23,279,990,2.69,0.26163271
"386",-10.97,31.24,279,990,2.625,0.26163271
"387",-10.9738,56.9797,343,2366,0.2,0
"388",-10.9739,49.5134,117,155,0.668,0.95562897
"389",-10.9759,48.7262,308,2225,0.39,0.37021977
"390",-10.98,31.23,279,990,1.60633333,0.26163271
"391",-10.9873,54.5067,59,626,0,0.19173284
"392",-10.9877,54.5067,59,626,0.2,0.19173284
"393",-10.991,49.4935,122,131,1.67,1.10845589
"394",-10.9942,49.5055,117,155,0.6405,0.98338729
"395",-10.9949,49.5027,240,155,0.181,0.31905481
"396",-10.996,49.497,179,131,0.144,0.83590196
"397",-11,31.5,276,1851,0.07,0.1545128
"398",-11.0015,49.3829,161,367,0.513,0.77624712
"399",-11.0018,49.4621,277,367,0.502,0.54021266
"400",-11.002,48.335,190,2979,0.202,0.68200373
"401",-11.0029,49.4984,266,367,0.69,0.48749394
"402",-11.004,48.661,188,1951,0.32466667,0.75646136
"403",-11.0207,37.2353,1,4664,0.77,0.25703958
"404",-11.0318,36.416,365,3214,1.07,0.28936372
"405",-11.037,49.5145,290,410,0.521,0.38579926
"406",-11.0392,56.973,183,2394,0.4,0.50430875
"407",-11.04,31.21,279,1916,2.313,0.20030631
"408",-11.0542,45.3014,202,4332,0.093,0.28050326
"409",-11.0597,41.8073,205,2388,0.17,0.23988329
"410",-11.08,31.17,280,1916,1.02,0.19859542
"411",-11.0812,49.0913,246,493,0.302,0.39553365
"412",-11.082,54.5443,58,1613,0.1,0.17658033
"413",-11.0832,49.4668,124,367,1.989,1.05534604
"414",-11.09,31.15,280,1916,0.8635,0.19859542
"415",-11.0979,49.3255,290,367,0.595,0.32703892
"416",-11.1,31.15,280,1916,0.78033333,0.19859542
"417",-11.1168,49.449,277,367,0.502,0.54021266
"418",-11.1175,49.5625,125,410,2.945,1.35621083
"419",-11.1177,43.6066,252,5051,0.139,0.26279918
"420",-11.1185,49.563,125,410,1.12,1.35621083
"421",-11.1328,49.483,299,367,0.05,0.40969376
"422",-11.135,54.5708,58,1613,0.1,0.17658033
"423",-11.1352,49.4847,143,367,0.582,0.93665353
"424",-11.1352,55.4032,166,2622,0.6,0.98784209
"425",-11.1482,57.0633,191,2185,0.7,0.44086738
"426",-11.162,48.5783,308,1951,0.46,0.3455092
"427",-11.17,31.5,276,2407,0.091,0.13994909
"428",-11.1703,44.2535,204,4994,0.061,0.22102202
"429",-11.1715,38.4995,5,4944,0.53,0.26186809
"430",-11.1812,58.947,188,1881,0.7,0.67358885
"431",-11.1929,49.3155,104,367,0.571,0.53668371
"432",-11.2037,47.7995,200,4212,0.117,0.51068498
"433",-11.22,75,151,2215,0.9,2.1339269
"434",-11.2202,48.974,269,831,0.6,0.52249553
"435",-11.2283,49.4975,290,367,0.502,0.49131654
"436",-11.2337,43.7266,252,5051,0.176,0.231029
"437",-11.2451,49.4371,117,367,1.315,0.64434283
"438",-11.2452,36.3266,1,3214,0.83,0.32734069
"439",-11.2457,49.4284,117,367,0.9175,0.90251483
"440",-11.2464,49.4366,277,367,0.521,0.57021067
"441",-11.2492,49.4798,257,367,0.51,0.54954087
"442",-11.2571,36.345,365,3214,1.1,0.36105323
"443",-11.2702,56.8647,143,2394,0.9,0.86931973
"444",-11.2985,46.9968,201,4805,0.11,0.29512092
"445",-11.3165,49.3047,290,367,0.558,0.45321404
"446",-11.3195,43.807,252,5110,0.081,0.231029
"447",-11.322,42.4633,205,1855,0.103,0.28529181
"448",-11.33,31.5,276,2407,0.253,0.13457502
"449",-11.3309,48.3386,165,2979,0.402,0.74293852
"450",-11.3312,57.0438,183,2185,0.4,0.54037657
"451",-11.3442,48.4366,308,2979,0.39,0.33565019
"452",-11.3471,48.3341,247,2979,0.128,0.34116426
"453",-11.3522,50.5925,196,1030,0.145,0.41065956
"454",-11.3697,36.6717,1,696,0.6,0.25703958
"455",-11.382,49.4218,277,367,0.577,0.48878402
"456",-11.3985,49.3301,122,367,1.218,0.58545346
"457",-11.3992,37.0199,1,4664,0.26,0.30549211
"458",-11.4069,49.3315,122,367,1.982,0.58545346
"459",-11.4095,49.3355,122,367,1.45,0.58545346
"460",-11.411,49.3416,122,367,1.756,0.73785194
"461",-11.4132,53.262,59,152,0,0.29771372
"462",-11.4135,53.258,59,152,0.4,0.29771372
"463",-11.4195,55.37,166,2622,0.4,0.84563595
"464",-11.455,49.455,185,367,0.299,0.83176377
"465",-11.467,74.783,197,2761,0.295,0.62024712
"466",-11.4699,49.4144,104,367,0.177,0.46677798
"467",-11.4735,49.4088,277,367,0.446,0.51286138
"468",-11.475,49.448,185,367,0.2525,0.83176377
"469",-11.475,49.458,185,367,0.259,0.83176377
"470",-11.475,49.462,185,367,0.306,0.83176377
"471",-11.4794,49.4283,266,367,0.55,0.482909
"472",-11.4815,49.5181,121,410,2.4445,0.49545019
"473",-11.489,49.5,185,410,0.455,0.83176377
"474",-11.492,49.45,185,367,0.2625,0.83176377
"475",-11.497,49.502,185,410,0.333,0.83176377
"476",-11.5,31.5,276,2407,0.098,0.11614486
"477",-11.5,48.667,188,1951,0.156,0.73317221
"478",-11.505,48.669,189,2150,0.195,0.70030835
"479",-11.506,49.501,179,853,0.176,0.85368626
"480",-11.5232,49.4052,277,783,0.391,0.50475727
"481",-11.53,49.4133,198,783,0.111,0.4891197
"482",-11.5312,49.4116,277,783,0.372,0.50475727
"483",-11.5315,48.2979,308,2120,0.42,0.36643033
"484",-11.5355,49.412,293,783,0.487,0.45615979
"485",-11.5367,49.4113,277,783,0.446,0.50475727
"486",-11.5435,49.4051,277,783,0.409,0.50475727
"487",-11.5447,49.4111,122,783,1.7,0.61191644
"488",-11.5455,49.4073,122,783,1.71,0.61191644
"489",-11.547,49.4222,121,783,2.246,0.63095734
"490",-11.552,49.4034,277,783,0.65,0.50475727
"491",-11.5611,49.4008,277,783,0.428,0.50475727
"492",-11.5664,49.4192,113,783,1.02,0.40271703
"493",-11.5838,49.4802,257,783,0.8,0.54954087
"494",-11.5872,49.3874,267,783,0.4,0.49169368
"495",-11.5895,49.4154,113,783,1.058,0.40271703
"496",-11.591,49.3842,116,783,0.24,0.48830715
"497",-11.5936,49.3801,116,783,1.506,0.48830715
"498",-11.5955,49.3783,116,783,0.945,0.48830715
"499",-11.5999,49.4128,267,783,0.39,0.49169368
"500",-11.6081,49.3668,116,783,1.041,0.48830715
"501",-11.6084,49.1089,291,937,0.465,0.40991332
"502",-11.6099,49.4039,113,783,0.757,0.40271703
"503",-11.6131,49.4123,116,783,1.285,0.48830715
"504",-11.6151,49.3548,115,783,0.626,0.45977711
"505",-11.616,49.4033,113,783,0.477,0.40271703
"506",-11.6204,36.1269,365,3472,0.63,0.25366437
"507",-11.6233,57.1087,182,2034,0.5,0.68942733
"508",-11.6323,49.3756,124,783,1.101,0.57383462
"509",-11.6346,49.4661,290,783,0.335,0.41339135
"510",-11.6388,49.3388,115,783,0.978,0.45467022
