"","X","Y","medFPQ","region","meanTheta"
"190",65,17,12.373338,NA,3.043648
"191",66,17,3.192262,NA,3.008953
"192",67,17,1.020451,0,2.477924
"193",68,17,1.510621,NA,1.588742
"194",69,17,1.510621,NA,1.588742
"195",70,17,0.700047,0,0.773816
"196",71,17,0.250317,0,-2.334702
"197",72,17,0.854501,0,2.28473
"198",73,17,1.169798,0,0.063349
"199",74,17,0.839673,0,-0.04915
"200",75,17,2.078818,NA,0.073074
"201",76,17,0.43615,0,-0.014006
"202",77,17,1.615932,NA,-1.306377
"203",78,17,1.084954,0,-2.898783
"204",79,17,2.829742,NA,2.371532
"205",80,17,0.073403,0,-2.03603
"206",81,17,3.45581,NA,2.690805
"207",47,18,0.205123,0,2.014263
"208",48,18,1.526664,NA,-3.126682
"209",49,18,0.553208,0,1.169137
"210",50,18,0.541147,0,2.387219
"211",51,18,5.539012,NA,-3.102478
"212",52,18,2.122219,NA,2.739144
"213",53,18,0.933484,0,1.053691
"214",54,18,0.860926,0,2.302502
"215",55,18,0.860926,0,2.302502
"216",56,18,0.593655,0,1.419451
"217",57,18,0.549158,0,-2.130791
"218",58,18,3.432509,NA,-2.800519
"219",59,18,0.817842,0,2.840436
"220",60,18,1.325014,NA,-2.785093
"221",61,18,0.386451,0,-2.973179
"222",62,18,0.978154,0,-3.104626
"223",63,18,0.422967,0,0.644135
"224",64,18,0.359845,0,2.540986
"225",65,18,7.526899,NA,-3.100351
"226",66,18,3.928321,NA,2.6937
"227",67,18,1.169029,0,-2.274657
"228",68,18,1.651313,NA,1.357045
"229",69,18,1.651313,NA,1.357045
"230",70,18,0.840968,0,-2.686736
"231",71,18,0.583538,0,1.876004
"232",72,18,0.349936,0,-2.499241
"233",73,18,0.2429,0,-0.301949
"234",74,18,0.649234,0,-0.305342
"235",75,18,2.649692,NA,-0.48579
"236",76,18,2.136019,NA,-2.418358
"237",77,18,0.609004,0,0.352048
"238",78,18,2.387414,NA,-2.578989
"239",79,18,1.921729,NA,3.074322
"240",80,18,4.206223,NA,-3.088404
"241",81,18,3.323416,NA,-2.775471
"242",82,18,1.744712,NA,-2.940843
"243",46,19,0.469143,0,0.880884
"244",47,19,1.921676,NA,-1.249004
"245",48,19,1.574735,NA,2.913016
"246",49,19,1.212605,0,-0.772655
"247",50,19,1.093157,0,-3.015582
"248",51,19,3.047247,NA,-2.924747
"249",52,19,1.745436,NA,0.883339
"250",53,19,1.25882,0,1.336475
"251",54,19,2.539423,NA,0.657208
"252",55,19,2.539423,NA,0.657208
"253",56,19,0.937786,0,1.801253
"254",57,19,3.042976,NA,1.027968
"255",58,19,1.578645,NA,2.450068
"256",59,19,1.578645,NA,-1.777064
"257",60,19,0.791607,0,1.175083
"258",61,19,0.740295,0,-2.683764
"259",62,19,0.762434,0,-0.080684
"260",63,19,0.753156,0,1.667822
"261",64,19,1.011566,0,2.992507
"262",65,19,4.26893,NA,-3.120644
"263",66,19,0.881061,0,2.138054
"264",67,19,1.008678,0,3.11736
"265",68,19,2.710493,NA,1.722248
"266",69,19,2.710493,NA,1.722248
"267",70,19,0.997385,0,2.689581
"268",71,19,1.507416,NA,0.283483
"269",72,19,0.141144,0,-2.54236
"270",73,19,0.668991,0,3.130625
"271",74,19,0.965015,0,-1.579048
"272",75,19,1.450105,NA,-2.4458
"273",76,19,0.646547,0,-0.856426
"274",77,19,0.147348,0,-0.355972
"275",78,19,4.113214,NA,3.123099
"276",79,19,1.63716,NA,-2.334482
"277",80,19,3.105461,NA,0.734202
"278",81,19,0.420644,0,0.53367
"279",82,19,1.564875,NA,-1.92728
"280",45,20,2.195056,NA,1.808545
"281",46,20,1.376922,NA,1.521052
"282",47,20,0.360978,0,-2.583304
"283",48,20,3.271425,NA,3.052444
"284",49,20,0.688496,0,2.596115
"285",50,20,0.323836,0,-0.674502
"286",51,20,0.24697,0,2.990601
"287",52,20,1.148976,0,2.987792
"288",53,20,1.86946,NA,-0.483397
"289",54,20,0.211452,0,-0.784911
"290",55,20,0.211452,0,-0.784911
"291",56,20,0.302353,0,2.402754
"292",57,20,2.105861,NA,2.297281
"293",58,20,1.001593,0,1.211868
"294",59,20,0.327315,0,1.779696
"295",60,20,0.186537,0,-1.811513
"296",61,20,0.147091,0,-2.579877
"297",62,20,0.509306,0,-2.948415
"298",63,20,4.122934,NA,-2.988151
"299",64,20,1.830257,NA,-2.936283
"300",65,20,5.427568,NA,-2.616695
"301",66,20,1.009365,0,1.587381
"302",67,20,1.92877,NA,2.620641
"303",68,20,3.445998,NA,-3.098221
"304",69,20,3.445998,NA,-3.098221
"305",70,20,1.222926,0,2.027977
"306",71,20,0.284031,0,-0.678645
"307",72,20,0.961406,0,-2.862077
"308",73,20,1.083891,0,0.092876
"309",74,20,1.427224,NA,-0.455486
"310",75,20,2.503041,NA,-0.321658
"311",76,20,5.651364,NA,-0.201993
"312",77,20,0.806735,0,-0.592717
"313",78,20,2.764799,NA,1.529168
"314",79,20,0.281964,0,-1.777518
"315",80,20,1.686774,NA,-2.981615
"316",81,20,0.837357,0,-2.225466
"317",82,20,0.538515,0,0.163289
"318",83,20,0.092947,0,2.852406
"319",84,20,0.092947,0,2.852406
"320",45,21,3.439749,NA,1.471785
"321",46,21,0.596897,0,1.464305
"322",47,21,0.077096,0,-2.803916
"323",48,21,0.192537,0,1.591838
"324",49,21,0.276527,0,-1.681054
"325",50,21,1.067847,0,-0.468585
"326",51,21,0.386858,0,-0.980176
"327",52,21,1.044555,0,-1.903292
"328",53,21,0.780805,0,0.184911
"329",54,21,2.049412,NA,-0.010487
"330",55,21,2.049412,NA,-0.010487
"331",56,21,1.07566,0,1.00001
"332",57,21,0.829187,0,-1.943181
"333",58,21,0.770601,0,-0.614251
"334",59,21,0.528254,0,-1.244565
"335",60,21,0.454686,0,0.86117
"336",61,21,0.662853,0,-2.91204
"337",62,21,0.571793,0,-3.107586
"338",63,21,0.485098,0,-3.042769
"339",64,21,3.151462,NA,-2.928134
"340",65,21,1.527626,NA,3.013696
"341",66,21,1.83911,NA,0.957871
"342",67,21,2.074985,NA,-2.315378
"343",68,21,0.183244,0,-2.042251
"344",69,21,0.183244,0,-2.042251
"345",70,21,1.757858,NA,-1.209956
"346",71,21,0.985164,0,2.113456
"347",72,21,0.112251,0,3.138859
"348",73,21,0.50302,0,-0.722236
"349",74,21,1.933752,NA,-1.111061
"350",75,21,1.930296,NA,0.15725
"351",76,21,1.169703,0,1.176147
"352",77,21,2.364284,NA,-2.358446
"353",78,21,0.612458,0,1.747098
"354",79,21,0.497081,0,-0.985099
"355",80,21,5.780331,NA,3.001402
"356",81,21,2.120193,NA,2.823486
"357",82,21,1.466473,NA,-1.843299
"358",83,21,1.466473,NA,-1.843299
"359",84,21,1.117291,0,3.083549
"360",45,22,3.439749,NA,1.471785
"361",46,22,0.596897,0,1.464305
"362",47,22,1.131605,0,-2.500966
"363",48,22,0.583795,0,2.799223
"364",49,22,0.164397,0,0.766637
"365",50,22,1.159624,0,-0.533442
"366",51,22,1.631356,NA,0.514867
"367",52,22,1.591186,NA,-2.748277
"368",53,22,0.196359,0,-0.329383
"369",54,22,0.396741,0,0.602658
"370",55,22,0.396741,0,0.602658
"371",56,22,1.19914,0,-0.323379
"372",57,22,1.026877,0,-0.307363
"373",58,22,0.282596,0,1.292414
"374",59,22,0.949527,0,1.845539
"375",60,22,0.854217,0,2.956541
"376",61,22,0.854217,0,-1.537601
"377",62,22,0.766903,0,-1.156455
"378",63,22,1.348068,NA,0.014138
"379",64,22,0.585297,0,2.903842
"380",65,22,0.314888,0,-2.066955
"381",66,22,1.764667,NA,2.158887
"382",67,22,5.174803,NA,-2.932145
"383",68,22,0.581194,0,2.886043
"384",69,22,0.581194,0,2.886043
"385",70,22,0.826261,0,-2.687507
"386",71,22,0.219999,0,1.68357
"387",72,22,1.357353,NA,0.679058
"388",73,22,3.119266,NA,-1.150929
"389",74,22,1.166077,0,-1.765543
"390",75,22,0.403545,0,-1.087606
"391",76,22,0.363659,0,2.304321
"392",77,22,0.449584,0,0.74814
"393",78,22,2.737263,NA,-2.754133
"394",79,22,0.306174,0,-3.091564
"395",80,22,1.24973,0,0.876972
"396",81,22,0.091491,0,-1.416558
"397",82,22,0.123438,0,-1.756739
"398",83,22,0.123438,0,-1.756739
"399",84,22,1.208805,0,2.463576
"400",85,22,1.542264,NA,2.825491
"401",45,23,1.269533,0,2.183124
"402",46,23,0.624586,0,-1.35836
"403",47,23,1.131605,0,-2.500966
"404",48,23,0.583795,0,2.799223
"405",49,23,0.164397,0,0.766637
"406",50,23,1.159624,0,-0.533442
"407",51,23,1.631356,NA,0.514867
"408",52,23,1.591186,NA,-2.748277
"409",53,23,0.196359,0,-0.329383
"410",54,23,0.396741,0,0.602658
"411",55,23,0.396741,0,0.602658
"412",56,23,1.19914,0,-0.323379
"413",57,23,1.026877,0,-0.307363
"414",58,23,0.282596,0,1.292414
"415",59,23,0.949527,0,1.845539
"416",60,23,0.854217,0,2.956541
"417",61,23,0.854217,0,-1.537601
"418",62,23,0.766903,0,-1.156455
"419",63,23,1.348068,NA,0.014138
"420",64,23,0.585297,0,2.903842
"421",65,23,0.314888,0,-2.066955
"422",66,23,1.764667,NA,2.158887
"423",67,23,5.174803,NA,-2.932145
"424",68,23,0.581194,0,2.886043
"425",69,23,0.581194,0,2.886043
"426",70,23,0.826261,0,-2.687507
"427",71,23,0.219999,0,1.68357
"428",72,23,1.357353,NA,0.679058
"429",73,23,3.119266,NA,-1.150929
"430",74,23,0.196447,0,2.899884
"431",75,23,1.390394,NA,-0.354486
"432",76,23,1.270094,0,-0.34656
"433",77,23,2.809583,NA,-0.363167
"434",78,23,2.809583,NA,-0.828473
"435",79,23,0.628317,0,0.097751
"436",80,23,2.73601,NA,-0.131116
"437",81,23,3.736231,NA,-0.176498
"438",82,23,3.699461,NA,0.149265
"439",83,23,3.699461,NA,0.149265
"440",84,23,1.630781,NA,1.111924
"441",85,23,1.131585,0,2.085128
"442",45,24,0.038836,0,-2.758122
"443",46,24,0.648686,0,0.47792
"444",47,24,1.758007,NA,1.864718
"445",48,24,0.738194,0,1.327777
"446",49,24,1.758496,NA,1.019732
"447",50,24,0.37704,0,0.294571
"448",51,24,1.548694,NA,1.150911
"449",52,24,0.382202,0,-0.727154
"450",53,24,0.131094,0,-2.603918
"451",54,24,0.485826,0,0.386671
"452",55,24,0.485826,0,0.386671
"453",56,24,2.325344,NA,0.771532
"454",57,24,0.971111,0,-1.254507
"455",58,24,0.093527,0,0.192884
"456",59,24,0.183427,0,2.657932
"457",60,24,0.194403,0,-2.906871
"458",61,24,0.194403,0,-3.001454
"459",62,24,0.067556,0,-1.450496
"460",63,24,0.106735,0,-2.827565
"461",64,24,1.359643,NA,0.087975
"462",65,24,0.279064,0,-1.186145
"463",66,24,2.273475,NA,-3.028475
"464",67,24,0.369186,0,-1.402056
"465",68,24,0.973034,0,2.534454
"466",69,24,0.973034,0,2.534454
"467",70,24,0.219393,0,-3.015561
"468",71,24,0.506232,0,2.057373
"469",72,24,1.652829,NA,1.484368
"470",73,24,1.17386,0,0.532123
"471",74,24,0.196447,0,2.899884
"472",75,24,1.390394,NA,-0.354486
"473",76,24,1.270094,0,-0.34656
"474",77,24,2.809583,NA,-0.363167
"475",78,24,2.809583,NA,-0.828473
"476",79,24,0.628317,0,0.097751
"477",80,24,2.73601,NA,-0.131116
"478",81,24,3.736231,NA,-0.176498
"479",82,24,3.699461,NA,0.149265
"480",83,24,3.699461,NA,0.149265
"481",84,24,1.630781,NA,1.111924
"482",85,24,1.131585,0,2.085128
"483",44,25,0.707884,0,2.186963
"484",45,25,1.34408,NA,-0.29
"485",46,25,0.532449,0,-2.289407
"486",47,25,1.040474,0,-0.509688
"487",48,25,3.04145,NA,0.525795
"488",49,25,0.462489,0,-0.212922
"489",50,25,2.338058,NA,-0.146771
"490",51,25,0.498196,0,-1.141503
"491",52,25,1.199129,0,-0.504574
"492",53,25,1.618149,NA,0.609364
"493",54,25,2.027803,NA,-2.291737
"494",55,25,2.027803,NA,-2.291737
"495",56,25,1.042736,0,0.194533
"496",57,25,0.85601,0,-0.321699
"497",58,25,0.258953,0,1.401416
"498",59,25,0.487345,0,-0.136803
"499",60,25,0.214865,0,-0.60083
"500",61,25,0.381552,0,-0.390429
"501",62,25,0.482244,0,1.179024
"502",63,25,0.360962,0,0.673849
"503",64,25,1.449342,NA,-2.312416
"504",65,25,0.3299,0,-2.100464
"505",66,25,0.174929,0,1.271971
"506",67,25,0.550701,0,-2.5991
"507",68,25,0.978259,0,-1.176197
"508",69,25,0.978259,0,-1.176197
"509",70,25,0.610756,0,-0.155033
"510",71,25,0.880105,0,-1.429165
"511",72,25,0.15189,0,-1.069622
"512",73,25,0.916257,0,2.217496
"513",74,25,0.373893,0,2.515609
"514",75,25,0.528856,0,2.423013
"515",76,25,4.965709,NA,0.316002
"516",77,25,0.626082,0,0.125959
"517",78,25,0.193606,0,-0.70034
"518",79,25,1.332605,NA,-0.787256
"519",80,25,1.048613,0,2.421673
"520",81,25,0.456172,0,0.24061
"521",82,25,0.192616,0,0.203206
"522",83,25,0.192616,0,0.203206
"523",84,25,0.226039,0,-2.168175
"524",85,25,2.01124,NA,-3.054381
"525",44,26,0.355731,0,2.194617
"526",45,26,1.258179,0,1.095181
"527",46,26,0.400955,0,3.050536
"528",47,26,0.261102,0,0.325075
"529",48,26,0.273602,0,0.541438
"530",49,26,0.393337,0,-1.132003
"531",50,26,2.177922,NA,0.555234
"532",51,26,0.250155,0,2.846338
"533",52,26,0.292101,0,-2.05569
"534",53,26,0.283499,0,-2.865625
"535",54,26,1.394375,NA,0.475138
"536",55,26,1.394375,NA,0.475138
"537",56,26,0.580373,0,-2.350286
"538",57,26,0.840958,0,-0.517542
"539",58,26,1.267581,0,-0.720471
"540",59,26,1.762955,NA,0.256931
"541",60,26,0.82707,0,0.033389
"542",61,26,0.82707,0,-0.732027
"543",62,26,1.53062,NA,-0.893994
"544",63,26,0.66491,0,1.373287
"545",64,26,0.807321,0,0.937484
"546",65,26,0.432298,0,2.756334
"547",66,26,0.426994,0,-2.389276
"548",67,26,0.518605,0,1.467856
"549",68,26,1.356539,NA,-1.760716
"550",69,26,1.356539,NA,-1.760716
"551",70,26,0.802401,0,-1.18288
"552",71,26,1.261653,0,1.351186
"553",72,26,1.286668,0,1.564575
"554",73,26,0.606415,0,1.891782
"555",74,26,1.386318,NA,0.100265
"556",75,26,2.257805,NA,0.427955
"557",76,26,0.782608,0,-2.325196
"558",77,26,0.339783,0,-1.604257
"559",78,26,0.546561,0,-0.767847
"560",79,26,0.321631,0,-1.909247
"561",80,26,2.057509,NA,-2.758284
"562",81,26,0.222479,0,-1.43139
"563",82,26,0.56321,0,0.345939
"564",83,26,0.56321,0,0.345939
"565",84,26,1.370638,NA,1.196535
"566",85,26,0.587179,0,0.959013
"567",86,26,0.422962,0,2.083889
"568",44,27,0.674024,0,0.477038
"569",45,27,0.946549,0,1.19888
"570",46,27,1.461309,NA,1.544502
"571",47,27,1.545425,NA,-1.6784
"572",48,27,0.710616,0,-0.033152
"573",49,27,1.105479,0,-2.593813
"574",50,27,0.599209,0,-2.101909
"575",51,27,1.237412,0,1.4636
"576",52,27,0.131841,0,-1.294012
"577",53,27,0.005836,0,-3.072964
"578",54,27,0.987221,0,-2.603698
"579",55,27,0.987221,0,-2.603698
"580",56,27,0.679697,0,1.629496
"581",57,27,0.382569,0,2.827051
"582",58,27,1.040922,0,-1.828332
"583",59,27,0.817403,0,0.230347
"584",60,27,0.493385,0,-0.680422
"585",61,27,0.3653,0,-0.920074
"586",62,27,1.119475,0,0.111958
"587",63,27,0.49773,0,-1.074825
"588",64,27,1.621951,NA,0.567786
"589",65,27,2.326662,NA,-0.641691
"590",66,27,0.706162,0,-0.637574
"591",67,27,0.706162,0,-1.496861
"592",68,27,0.497861,0,-2.589579
"593",69,27,0.497861,0,-2.589579
"594",70,27,0.060421,0,0.480057
"595",71,27,0.517828,0,2.890891
"596",72,27,1.493463,NA,-1.082274
"597",73,27,0.997715,0,0.272835
"598",74,27,0.753087,0,-0.533755
"599",75,27,1.134987,0,-0.289789
"600",76,27,0.511726,0,-2.599797
"601",77,27,2.140215,NA,0.094327
"602",78,27,1.764768,NA,-0.01468
"603",79,27,0.671797,0,0.579091
"604",80,27,1.053756,0,3.046872
"605",81,27,1.730163,NA,-2.187973
"606",82,27,0.976701,0,1.959237
"607",83,27,0.976701,0,1.959237
"608",84,27,0.319834,0,2.751179
"609",85,27,1.420676,NA,-2.150717
"610",86,27,1.398801,NA,1.102566
"611",44,28,1.098462,0,1.694676
"612",45,28,0.353465,0,2.409498
"613",46,28,1.311719,NA,2.396181
"614",47,28,1.702482,NA,2.366654
"615",48,28,0.246976,0,-1.806141
"616",49,28,0.189887,0,-0.376312
"617",50,28,0.348394,0,-0.922159
"618",51,28,1.602143,NA,0.487746
"619",52,28,0.090706,0,-0.606642
"620",53,28,0.459811,0,-0.007106
"621",54,28,0.825255,0,-2.718924
"622",55,28,0.825255,0,-2.718924
"623",56,28,0.595472,0,-1.557125
"624",57,28,0.823223,0,2.539679
"625",58,28,0.946595,0,-1.252196
"626",59,28,0.234821,0,-0.584608
"627",60,28,0.36966,0,1.258615
"628",61,28,0.192227,0,-2.314203
"629",62,28,1.053501,0,1.629351
"630",63,28,2.775677,NA,-2.523136
"631",64,28,1.021784,0,-1.916262
"632",65,28,0.011872,0,-2.267108
"633",66,28,0.679719,0,2.810313
"634",67,28,0.876914,0,-1.094746
"635",68,28,1.300874,NA,0.415549
"636",69,28,1.300874,NA,0.415549
"637",70,28,0.173723,0,2.50713
"638",71,28,1.262365,0,-0.751871
"639",72,28,0.639655,0,0.572766
"640",73,28,1.044542,0,2.710405
"641",74,28,1.016152,0,-1.316974
"642",75,28,0.801254,0,0.6339
"643",76,28,0.856214,0,-0.43627
"644",77,28,0.729102,0,-1.886845
"645",78,28,0.283508,0,1.653745
"646",79,28,1.169065,0,-3.036865
"647",80,28,1.061239,0,-3.078371
"648",81,28,0.20719,0,2.471319
"649",82,28,1.165819,0,2.762387
"650",83,28,1.165819,0,2.762387
"651",84,28,0.858824,0,1.349476
"652",85,28,0.825179,0,-1.468158
"653",86,28,1.227693,0,2.010585
"654",44,29,0.435453,0,-2.483453
"655",45,29,1.14568,0,-2.800919
"656",46,29,1.246634,0,2.214594
"657",47,29,0.9175,0,2.257728
"658",48,29,4.05373,NA,2.65432
"659",49,29,0.928164,0,2.43026
"660",50,29,0.624008,0,2.482926
"661",51,29,0.872257,0,-2.622111
"662",52,29,1.477407,NA,2.427762
"663",53,29,0.384929,0,-0.107936
"664",54,29,2.145687,NA,-2.204317
"665",55,29,2.145687,NA,-2.204317
"666",56,29,0.666245,0,2.744505
"667",57,29,2.399588,NA,0.298922
"668",58,29,0.32606,0,1.975593
"669",59,29,0.122726,0,0.391217
"670",60,29,0.738463,0,0.78058
"671",61,29,0.700475,0,0.170114
"672",62,29,0.142021,0,-2.803783
"673",63,29,0.62199,0,2.486654
"674",64,29,1.448822,NA,-1.938894
"675",65,29,0.590352,0,-2.673619
"676",66,29,0.893408,0,2.455229
"677",67,29,1.351788,NA,-1.88554
"678",68,29,0.408111,0,-0.959396
"679",69,29,0.408111,0,-0.959396
"680",70,29,0.808587,0,-2.100059
"681",71,29,0.399417,0,1.40766
"682",72,29,1.041795,0,0.339964
"683",73,29,0.65332,0,-2.241749
"684",74,29,0.308008,0,-2.84399
"685",75,29,0.532325,0,1.070905
"686",76,29,2.160324,NA,-0.963519
"687",77,29,0.222083,0,-1.596105
"688",78,29,2.2666,NA,2.046996
"689",79,29,0.165465,0,1.964323
"690",80,29,0.941293,0,2.59267
"691",81,29,0.839532,0,1.73809
"692",82,29,1.355097,NA,-2.228947
"693",83,29,1.355097,NA,-2.228947
"694",84,29,1.731007,NA,-0.218151
"695",85,29,0.809965,0,-1.620791
"696",86,29,0.463798,0,3.057679
"697",44,30,0.51537,0,-1.983754
"698",45,30,1.762759,NA,-2.559329
"699",46,30,0.532141,0,-2.051361
"700",47,30,1.528577,NA,0.832543
"701",48,30,0.14144,0,-1.773219
"702",49,30,1.22016,0,0.357778
"703",50,30,1.349383,NA,2.187129
"704",51,30,1.385542,NA,1.051104
