"","egg.count","egg.dens","b.depth","lat","lon","time","salinity","flow","s.depth","temp.surf","temp.20m","net.area","country","vessel","vessel.haul","c.dist"
"38",0,0,2943,44.87,-2.9,15.6,NA,401,100,17.4,17.4,0.242,"SP","COSA",274,0.337679344055245
"39",0,0,3097,44.87,-2.97,16.1,35.68,429,101,17.7,17.7,0.242,"SP","COSA",275,0.352667442356844
"40",0,0,2249,44.98,-3.12,17.75,35.68,375,104,17.6,17.6,0.242,"SP","COSA",276,0.306309392932878
"41",0,0,1202,45.12,-3.27,19,35.68,402,101,17.1,17.1,0.242,"SP","COSA",277,0.299633077781063
"42",0,0,964,45.12,-3.2,23.62,NA,420,104,17,17,0.242,"SP","COSA",278,0.250431219648335
"43",0,0,161,45.12,-3.13,0.25,NA,416,101,17.3,17.3,0.242,"SP","COSA",279,0.208877477935497
"44",0,0,1039,45.12,-3.05,0.78,35.69,406,102,17.2,17.2,0.242,"SP","COSA",280,0.15341219874869
"45",1,21.96,242,45.12,-2.98,1.28,NA,396,104,17.3,17.3,0.242,"SP","COSA",281,0.115707410943497
"46",2,41.69,1159,45.12,-2.92,1.83,NA,413,102,17.4,17.4,0.242,"SP","COSA",282,0.0985369240218741
"47",0,0,155,45.12,-2.85,2.33,35.68,415,97,17.1,17.1,0.242,"SP","COSA",283,0.0866991148051226
"48",4,93.63,156,45.12,-2.77,3.08,NA,361,102,17.2,17.2,0.242,"SP","COSA",284,0.0704395177761181
"49",0,0,306,45.12,-2.7,3.62,NA,403,101,17.3,17.3,0.242,"SP","COSA",285,0.061408246100222
"50",1,22.3,126,45.12,-2.63,4.12,35.66,390,104,17.3,17.3,0.242,"SP","COSA",286,0.0568025763479416
"51",0,0,127,45.12,-2.55,4.68,NA,392,103,17.1,17.1,0.242,"SP","COSA",287,0.0232507398037919
"52",0,0,125,45.12,-2.48,5.2,NA,405,98,17.1,17.1,0.242,"SP","COSA",288,0.0146964786903627
"53",0,0,126,45.12,-2.42,5.72,35.55,373,101,17.5,17.5,0.242,"SP","COSA",289,0.000336712683173795
"54",0,0,120,45.12,-2.35,9.08,NA,367,103,17.8,17.8,0.242,"SP","COSA",290,0.0294471810701906
"55",0,0,120,45.12,-2.27,9.42,35.4,377,101,17.8,17.8,0.242,"SP","COSA",291,0.0562913573018909
"56",1,22.12,116,45.12,-2.2,10.22,NA,415,103,18,18,0.242,"SP","COSA",292,0.0907005136773744
"57",0,0,111,45.12,-2.13,10.67,NA,403,100,18.3,18.3,0.242,"SP","COSA",293,0.133428066371984
"58",0,0,104,45.12,-2.07,11.25,35.01,413,103,18.5,18.5,0.242,"SP","COSA",294,0.180732536143735
"59",0,0,100,45.12,-1.98,11.75,NA,375,95,18.6,18.6,0.242,"SP","COSA",295,0.238802318921128
"60",0,0,95,45.12,-1.92,12.25,NA,329,94,18.6,18.6,0.242,"SP","COSA",296,0.26218145599422
"61",0,0,79,45.12,-1.78,16.18,34.45,298,76,19.4,19.4,0.242,"SP","COSA",297,0.34142504362833
"62",0,0,71,45.12,-1.7,16.83,34.36,277,64,19.7,19.7,0.242,"SP","COSA",298,0.39925178387655
"63",2,46.74,60,45.12,-1.57,17.77,34.46,237,56,19.2,19.2,0.242,"SP","COSA",299,0.506263017127073
"64",0,0,52,45.12,-1.48,18.42,NA,199,49,18.9,18.9,0.242,"SP","COSA",300,0.58582167494606
"65",0,0,40,45.12,-1.42,18.83,34.38,143,38,19.1,19.1,0.242,"SP","COSA",301,0.640398492909382
"66",0,0,31,45.12,-1.35,19.33,NA,111,30,19.1,19.1,0.242,"SP","COSA",302,0.705185997038091
"67",0,0,26,45.12,-1.28,19.92,34.47,90,25,19,19,0.242,"SP","COSA",303,0.770885433197831
"68",0,0,27,45.18,-1.28,20.42,NA,96,26,19,19,0.242,"SP","COSA",304,0.79271313339985
"69",0,0,27,45.25,-1.28,21.17,34.57,96,27,18.8,18.8,0.242,"SP","COSA",305,0.822989772761854
"70",0,0,29,45.3,-1.28,21.75,NA,94,27,18.8,18.8,0.242,"SP","COSA",306,0.847498456258539
"71",0,0,29,45.37,-1.28,22.33,34.62,98,25,18.6,18.6,0.242,"SP","COSA",307,0.885421756885726
"72",0,0,35,45.37,-1.37,22.9,NA,141,27,18.5,18.5,0.242,"SP","COSA",308,0.813072503065136
"73",0,0,41,45.37,-1.42,23.42,34.49,143,34,18.5,18.5,0.242,"SP","COSA",309,0.774478899758158
"74",0,0,46,45.37,-1.48,0.08,NA,169,37,18.4,18.4,0.242,"SP","COSA",310,0.729996144706673
"75",0,0,51,45.37,-1.57,0.7,NA,203,44,18.3,18.3,0.242,"SP","COSA",311,0.667839485925028
"76",0,0,51,45.37,-1.63,1.25,34.32,203,41,18.3,18.3,0.242,"SP","COSA",312,0.630147906508152
"77",0,0,56,45.37,-1.72,1.92,NA,190,50,18.4,18.4,0.242,"SP","COSA",313,0.579798405878908
"78",0,0,66,45.37,-1.78,2.5,34.27,232,63,18.5,18.5,0.242,"SP","COSA",314,0.548685053098086
"79",0,0,74,45.37,-1.85,3,NA,256,70,18.4,18.4,0.242,"SP","COSA",315,0.508769695231314
"80",0,0,78,45.37,-1.92,3.53,34.43,281,75,18.4,18.4,0.242,"SP","COSA",316,0.458624554320595
"81",1,25.27,82,45.37,-1.98,4,NA,296,81,18.4,18.4,0.242,"SP","COSA",317,0.420186123218942
"82",0,0,92,45.37,-2.07,4.57,NA,334,85,18.3,18.3,0.242,"SP","COSA",318,0.372164628706393
"83",0,0,97,45.37,-2.13,5.08,35.23,345,95,18.4,18.4,0.242,"SP","COSA",319,0.342784142028694
"84",0,0,103,45.37,-2.2,5.73,NA,366,101,18.3,18.3,0.242,"SP","COSA",320,0.313540369883512
"85",0,0,102,45.52,-2.28,10.5,35.02,378,99,18.4,18.4,0.242,"SP","COSA",321,0.423333510161866
"86",0,0,99,45.62,-2.28,11.58,35.08,356,95,18.4,18.4,0.242,"SP","COSA",322,0.518485632788235
"87",0,0,92,45.62,-2.2,12.2,NA,369,90,18.5,18.5,0.242,"SP","COSA",323,0.545012954269861
"88",1,24.56,83,45.62,-2.12,12.67,NA,297,79,18.4,18.4,0.242,"SP","COSA",324,0.575982296478535
"89",4,89.82,79,45.62,-2.07,13.17,34.86,307,74,18.5,18.5,0.242,"SP","COSA",325,0.593773987268462
"90",0,0,31,45.43,-1.35,22.03,34.74,108,28,18.8,18.8,0.242,"SP","COSA",366,0.866674326155222
"91",4,93.04,34,45.3,-1.35,0.75,NA,116,30,18.1,18.1,0.242,"SP","COSA",367,0.788210995015044
"92",0,0,33,45.23,-1.35,1.25,34.63,113,29,18.3,18.3,0.242,"SP","COSA",368,0.751903264028429
"93",0,0,41,45.23,-1.42,1.87,NA,110,28,18.2,18.2,0.242,"SP","COSA",369,0.691506657783283
"94",1,23.3,50,45.23,-1.48,2.37,NA,165,42,18.3,18.3,0.242,"SP","COSA",370,0.64129420929446
"95",0,0,57,45.25,-1.57,2.82,34.33,203,49,18.7,18.7,0.242,"SP","COSA",371,0.582537601760271
"96",2,46.38,63,45.23,-1.63,3.23,NA,235,58,18.6,18.6,0.242,"SP","COSA",372,0.524833569490945
"97",3,51.3,68,45.25,-1.7,3.68,NA,297,55,18.4,18.4,0.242,"SP","COSA",373,0.492391918985892
"98",3,61.56,74,45.25,-1.78,4.23,34.4,288,64,18.4,18.4,0.242,"SP","COSA",374,0.446447069250114
"99",0,0,77,45.25,-1.85,4.82,NA,282,67,18.4,18.4,0.242,"SP","COSA",375,0.409829123812902
"100",0,0,84,45.23,-1.92,5.4,NA,309,81,18.3,18.3,0.242,"SP","COSA",376,0.362898185910191
"101",0,0,90,45.25,-1.98,5.92,34.9,307,87,18.2,18.2,0.242,"SP","COSA",377,0.331920027298394
"102",1,24.24,105,45.25,-2.13,6.67,NA,371,100,18.1,18.1,0.242,"SP","COSA",378,0.238268663591026
"103",0,0,108,45.37,-2.28,8.25,34.86,394,100,18.4,18.4,0.242,"SP","COSA",379,0.28443048128842
"104",0,0,108,45.37,-2.35,8.67,34.65,389,104,18.4,18.4,0.242,"SP","COSA",380,0.25907446005253
"105",1,22.65,112,45.37,-2.48,9.58,35.46,397,100,18.1,18.1,0.242,"SP","COSA",381,0.230781500669874
"106",0,0,120,45.37,-2.63,10.5,NA,271,103,18,18,0.242,"SP","COSA",382,0.189252155746533
"107",0,0,124,45.37,-2.7,11,NA,384,101,17.8,17.8,0.242,"SP","COSA",383,0.183555281923159
"108",0,0,133,45.37,-2.77,14.6,35.73,382,103,18.3,18.3,0.242,"SP","COSA",384,0.174047535192766
"109",1,21.31,130,45.37,-2.85,15.28,NA,401,95,18.1,18.1,0.242,"SP","COSA",385,0.156286050148082
"110",1,23.02,139,45.37,-2.92,15.72,35.36,395,102,18,18,0.242,"SP","COSA",386,0.116820107230143
"111",0,0,136,45.37,-2.98,16.32,NA,410,97,17.7,17.7,0.242,"SP","COSA",387,0.081535107887148
"112",1,20.47,147,45.37,-3.05,16.75,NA,384,94,17.3,17.3,0.242,"SP","COSA",388,0.0288824077169003
"113",5,107.79,158,45.37,-3.13,17.22,NA,384,99,17.3,17.3,0.242,"SP","COSA",389,0.0167902369647879
"114",0,0,178,45.37,-3.2,17.67,35.61,370,102,17.2,17.2,0.242,"SP","COSA",390,0.0520579023106184
"115",0,0,592,45.37,-3.27,18.17,NA,376,100,17.3,17.3,0.242,"SP","COSA",391,0.11610805658085
"116",9,196.28,941,45.37,-3.35,18.62,35.7,387,100,17.4,17.4,0.242,"SP","COSA",392,0.19439871049722
"117",2,47.25,2570,45.37,-3.42,19.5,NA,368,103,17.4,17.4,0.242,"SP","COSA",393,0.251259574297496
"118",0,0,3200,45.37,-3.48,20.17,NA,375,101,17.5,17.5,0.242,"SP","COSA",394,0.291093128981361
"119",0,0,3527,45.37,-3.55,20.67,NA,375,102,17.6,17.6,0.242,"SP","COSA",395,0.341789034229797
"120",0,0,3611,45.37,-3.62,21.08,35.7,370,103,17.6,17.6,0.242,"SP","COSA",396,0.388613998383521
"121",0,0,3723,45.37,-3.7,21.5,NA,378,103,17.6,17.6,0.242,"SP","COSA",397,0.436780644897875
"122",0,0,3691,45.37,-3.83,22.2,NA,343,100,17.2,17.2,0.242,"SP","COSA",398,0.517994606509862
"123",0,0,3960,45.37,-3.98,22.9,35.69,346,91,17,17,0.242,"SP","COSA",399,0.613023785358406
"124",2,49.59,3789,45.52,-4.12,0.37,35.66,341,104,17,17,0.242,"SP","COSA",400,0.597680187196417
"125",5,112.71,3964,45.62,-4.27,1.48,35.63,368,104,16.8,16.8,0.242,"SP","COSA",401,0.604230196126227
"126",1,22.09,4015,45.62,-4.2,2.27,NA,379,103,17,17,0.242,"SP","COSA",402,0.566716265164422
"127",1,20.62,3498,45.62,-4.13,2.7,NA,387,101,16.7,16.7,0.242,"SP","COSA",403,0.529517130067199
"128",2,45.7,2602,45.62,-4.05,3.15,NA,363,103,16.9,16.9,0.242,"SP","COSA",404,0.48048557194576
"129",0,0,2183,45.62,-3.98,3.67,35.69,417,101,17,17,0.242,"SP","COSA",405,0.425778442285595
"130",0,0,1879,45.62,-3.92,5.02,NA,356,103,17.1,17.1,0.242,"SP","COSA",406,0.380529904221925
"131",1,21.21,2354,45.62,-3.85,5.47,NA,387,100,17.1,17.1,0.242,"SP","COSA",407,0.333673525742075
"132",1,23.48,1794,45.62,-3.78,5.92,35.61,360,103,17.1,17.1,0.242,"SP","COSA",408,0.295127730429957
"133",1,21.81,2101,45.62,-3.7,6.42,NA,373,101,16.9,16.9,0.242,"SP","COSA",409,0.253266976900883
"134",2,40.89,1294,45.62,-3.63,6.8,NA,394,101,16.8,16.8,0.242,"SP","COSA",410,0.200372005637772
"135",1,25.45,1144,45.62,-3.55,7.25,35.6,326,104,16.8,16.8,0.242,"SP","COSA",411,0.146859821909099
"136",0,0,419,45.62,-3.48,13.92,NA,251,66,17,17,0.242,"SP","COSA",412,0.104714006209039
"137",0,0,169,45.62,-3.42,14.33,NA,376,104,16.6,16.6,0.242,"SP","COSA",413,0.0685890213232735
"138",0,0,148,45.62,-3.35,14.88,35.55,347,105,16.6,16.6,0.242,"SP","COSA",414,0.0245552715482061
"139",1,21.82,136,45.62,-3.27,15.6,NA,373,103,16.7,16.7,0.242,"SP","COSA",415,0.0333855049845787
"140",1,18.89,135,45.62,-3.2,16,NA,418,99,16.8,16.8,0.242,"SP","COSA",416,0.0716968846926961
"141",0,0,139,45.62,-3.13,16.5,35.58,373,99,17,17,0.242,"SP","COSA",417,0.102588001989887
"142",1,18.53,133,45.62,-3.07,16.88,NA,435,103,16.6,16.6,0.242,"SP","COSA",418,0.147611337004571
"143",0,0,133,45.62,-2.98,17.42,35.58,402,101,17.3,17.3,0.242,"SP","COSA",419,0.224110511155499
"144",1,22.15,125,45.62,-2.92,17.95,35.62,381,100,17.4,17.4,0.242,"SP","COSA",420,0.276248308524631
"145",0,0,121,45.62,-2.77,18.92,NA,401,100,17.6,17.6,0.242,"SP","COSA",421,0.403859886987065
"146",0,0,121,45.62,-2.7,19.33,35.51,368,100,17.7,17.7,0.242,"SP","COSA",422,0.432175784404965
"147",0,0,117,45.62,-2.63,19.9,NA,388,100,17.8,17.8,0.242,"SP","COSA",423,0.439134818369834
"148",0,0,114,45.62,-2.57,20.4,NA,388,100,17.8,17.8,0.242,"SP","COSA",424,0.444408672418425
"149",0,0,112,45.62,-2.48,20.83,NA,413,99,18,18,0.242,"SP","COSA",425,0.464827279612938
"150",0,0,106,45.62,-2.42,21.27,35.06,408,99,18.2,18.2,0.242,"SP","COSA",426,0.483071750521016
"151",0,0,90,45.48,-2.2,23,NA,395,85,18.3,18.3,0.242,"SP","COSA",427,0.418130242292934
"152",0,0,82,45.52,-2.07,23.83,NA,349,74,18,18,0.242,"SP","COSA",428,0.503336839478985
"153",1,21.28,73,45.87,-2.07,17.33,NA,274,66,17.9,17.9,0.242,"SP","COSA",443,0.826155082244225
"154",0,0,77,45.87,-2.13,17.82,35.46,294,71,17.8,17.8,0.242,"SP","COSA",444,0.803284884935576
"155",5,117.62,79,45.87,-2.2,18.58,NA,294,79,17.8,17.8,0.242,"SP","COSA",445,0.780972590147018
"156",6,148.56,84,45.87,-2.28,19.03,NA,297,84,17.8,17.8,0.242,"SP","COSA",446,0.758762550176317
"157",0,0,91,45.87,-2.35,19.5,35.53,313,90,17.3,17.3,0.242,"SP","COSA",447,0.741915032939378
"158",0,0,98,45.87,-2.42,20.17,NA,352,89,17.4,17.4,0.242,"SP","COSA",448,0.721887206552695
"159",0,0,98,45.87,-2.48,20.67,NA,363,95,17.3,17.3,0.242,"SP","COSA",449,0.707114981806145
"160",0,0,101,45.87,-2.57,21,NA,365,97,17.3,17.3,0.242,"SP","COSA",450,0.69247532690393
"161",0,0,106,45.87,-2.7,21.93,35.57,384,102,16.7,16.7,0.242,"SP","COSA",451,0.594133154757647
"162",0,0,114,45.87,-2.85,22.67,NA,383,100,17.3,17.3,0.242,"SP","COSA",452,0.476793649215543
"163",1,19.92,120,45.87,-2.98,23.5,35.58,400,98,17,17,0.242,"SP","COSA",453,0.393478205879658
"164",0,0,123,45.87,-3.13,0.25,35.75,376,100,16,16,0.242,"SP","COSA",454,0.307568692832777
"165",0,0,135,45.87,-3.28,1,35.72,381,101,16.5,16.5,0.242,"SP","COSA",455,0.215310970851208
"166",0,0,138,45.87,-3.35,1.58,NA,376,101,16.5,16.5,0.242,"SP","COSA",456,0.173165155151148
"167",0,0,138,45.87,-3.42,2.08,NA,373,102,16.4,16.4,0.242,"SP","COSA",457,0.117052397988131
"168",0,0,139,45.87,-3.48,2.62,NA,374,101,16.4,16.4,0.242,"SP","COSA",458,0.0776678954805644
"169",0,0,137,45.87,-3.57,3.17,35.74,364,102,16.3,16.3,0.242,"SP","COSA",459,0.0278001088259289
"170",1,19.2,151,45.87,-3.63,3.82,NA,388,100,16.1,16.1,0.242,"SP","COSA",460,0.00359545632087678
"171",1,20.25,180,45.87,-3.7,4.28,NA,375,103,16,16,0.242,"SP","COSA",461,0.0533279818986398
"172",0,0,175,45.87,-3.78,4.93,NA,385,101,16.1,16.1,0.242,"SP","COSA",462,0.11719762078204
"173",1,19.9,934,45.87,-3.85,5.43,NA,378,100,16.2,16.2,0.242,"SP","COSA",463,0.16036548463184
"174",1,20.42,598,45.87,-3.92,5.85,35.62,372,99,16.4,16.4,0.242,"SP","COSA",464,0.2032680979881
"175",1,19.49,1003,45.87,-3.98,6.42,NA,386,99,16.3,16.3,0.242,"SP","COSA",465,0.238701268701947
"176",1,19.42,1972,45.87,-4.07,6.83,35.72,395,99,16.5,16.5,0.242,"SP","COSA",466,0.285704767234628
"177",0,0,2443,45.87,-4.13,7.25,NA,385,101,16,16,0.242,"SP","COSA",467,0.318831364424424
"178",0,0,2323,45.87,-4.2,7.83,NA,373,101,16.4,16.4,0.242,"SP","COSA",468,0.364499341705697
"179",3,61.33,3024,45.87,-4.28,8.33,35.71,379,100,16.5,16.5,0.242,"SP","COSA",469,0.419677318540417
"180",0,0,3463,45.87,-4.35,9.08,NA,390,101,16.5,16.5,0.242,"SP","COSA",470,0.461854507843051
"181",0,0,4097,45.87,-4.42,9.5,NA,389,99,16.5,16.5,0.242,"SP","COSA",471,0.50360193281877
"182",0,0,4142,45.87,-4.57,10.25,NA,393,99,16,16,0.242,"SP","COSA",472,0.579097532037306
"183",0,0,3640,45.87,-4.63,11.07,NA,387,100,16,16,0.242,"SP","COSA",473,0.601955296578273
"184",0,0,3496,46.02,-4.8,12.17,35.75,377,100,15,15,0.242,"SP","COSA",474,0.559715200700364
"185",1,19.44,3883,46.12,-4.95,13.42,35.72,387,100,16.2,16.2,0.242,"SP","COSA",475,0.5075978088
"186",0,0,2765,46.12,-4.88,14.17,NA,395,99,16.4,16.4,0.242,"SP","COSA",476,0.506071533164865
"187",0,0,2254,46.12,-4.73,15,35.75,390,100,17.5,17.5,0.242,"SP","COSA",477,0.437723204538043
"188",1,21.32,2208,46.12,-4.58,15.72,35.73,385,100,17.1,17.1,0.242,"SP","COSA",478,0.3536401867416
"189",2,42.66,3518,46.12,-4.52,16.15,NA,392,100,17.3,17.3,0.242,"SP","COSA",479,0.329278769282809
"190",0,0,1581,46.12,-4.45,16.62,NA,382,101,16.9,16.9,0.242,"SP","COSA",480,0.301794917647225
"191",18,377.91,1346,46.12,-4.37,17.02,35.73,387,99,17.1,17.1,0.242,"SP","COSA",481,0.275487926591001
"192",8,150.1,1698,46.12,-4.3,17.75,NA,400,95,16.7,16.7,0.242,"SP","COSA",482,0.244173158063698
"193",6,115.09,1200,46.12,-4.23,18.27,NA,396,99,16.4,16.4,0.242,"SP","COSA",483,0.190389990936498
"194",1,17.18,1220,46.12,-4.15,18.65,NA,408,96,15.9,15.9,0.242,"SP","COSA",484,0.142550366194654
"195",0,0,189,46.12,-4.08,3.83,35.67,407,98,14.9,14.9,0.242,"SP","COSA",485,0.100714451958428
"196",1,18.16,154,46.12,-4.02,4.27,35.6,382,99,15.5,15.5,0.242,"SP","COSA",486,0.0593309693323876
"197",0,0,151,46.12,-3.93,4.7,NA,396,98,15.6,15.6,0.242,"SP","COSA",487,0.00025304011007392
"198",0,0,148,46.12,-3.87,5.25,NA,378,96,15.6,15.6,0.242,"SP","COSA",488,0.0319942152707197
"199",7,124.29,152,46.12,-3.8,5.63,35.68,407,98,16,16,0.242,"SP","COSA",489,0.0684702686733244
"200",0,0,147,46.12,-3.72,6.17,NA,406,98,15.9,15.9,0.242,"SP","COSA",490,0.116851989325819
"201",0,0,141,46.12,-3.65,6.62,NA,386,99,16.4,16.4,0.242,"SP","COSA",491,0.159754602682079
"202",0,0,138,46.12,-3.58,7.23,35.47,385,100,16.6,16.6,0.242,"SP","COSA",492,0.202944713376933
"203",0,0,137,46.12,-3.48,7.83,NA,389,99,16.5,16.5,0.242,"SP","COSA",493,0.269138491770091
"204",0,0,133,46.12,-3.43,8.33,NA,386,99,16.7,16.7,0.242,"SP","COSA",494,0.308403784043386
"205",0,0,133,46.12,-3.37,8.77,NA,375,101,16.9,16.9,0.242,"SP","COSA",495,0.345559135806568
"206",0,0,128,46.12,-3.28,9.33,35.5,392,98,17.4,17.4,0.242,"SP","COSA",496,0.397314304309284
"207",0,0,121,46.12,-3.15,10.13,NA,383,100,17.1,17.1,0.242,"SP","COSA",497,0.48476326927354
"208",0,0,117,46.12,-2.98,10.97,NA,393,101,17.2,17.2,0.242,"SP","COSA",498,0.595556261180134
"209",0,0,111,46.12,-2.92,11.42,35.21,424,99,17.5,17.5,0.242,"SP","COSA",499,0.633780421280793
"210",0,0,102,46.12,-2.72,12.55,NA,438,93,17,17,0.242,"SP","COSA",500,0.749184922473932
"211",0,0,94,46.12,-2.57,13.35,NA,376,89,16.8,16.8,0.242,"SP","COSA",501,0.852021167408576
"212",0,0,84,46.12,-2.48,13.82,NA,297,77,16.1,16.1,0.242,"SP","COSA",502,0.919965913880657
"213",0,0,71,46.08,-2.42,14.33,34.74,266,64,17.5,17.5,0.242,"SP","COSA",503,0.92529487490243
"214",0,0,64,46.08,-2.35,16.83,34.65,251,56,17.4,17.4,0.242,"SP","COSA",504,0.94276096500727
"215",2,36.63,51,46.08,-2.28,15.38,NA,196,41,17.8,17.8,0.242,"SP","COSA",505,0.963259015577555
"216",2,41.25,56,46.12,-2.22,16.05,NA,208,49,17.8,17.8,0.242,"SP","COSA",506,1.01586120290917
"217",0,0,58,46.12,-2.13,16.5,NA,206,49,17.7,17.7,0.242,"SP","COSA",507,1.04038376288272
"218",0,0,54,46.12,-2.07,16.93,NA,217,50,17.4,17.4,0.242,"SP","COSA",508,1.05895380296685
"219",0,0,36,46.37,-2.07,7.33,NA,143,31,17.2,17.2,0.242,"SP","COSA",519,1.29679716159316
"220",0,0,41,46.37,-2.22,8.25,34.44,149,35,17.3,17.3,0.242,"SP","COSA",520,1.2575435305195
"221",0,0,54,46.37,-2.35,9.08,34.9,211,46,17.2,17.2,0.242,"SP","COSA",521,1.18384253464397
"222",0,0,67,46.37,-2.48,10.08,NA,309,55,17.2,17.2,0.242,"SP","COSA",522,1.09497765338032
"223",0,0,73,46.37,-2.57,13,NA,258,66,16.5,16.5,0.242,"SP","COSA",523,1.03854650758272
"224",0,0,83,46.37,-2.63,13.5,35.2,308,71,16.7,16.7,0.242,"SP","COSA",524,1.00365035732185
"225",0,0,83,46.37,-2.72,14,NA,310,80,16.5,16.5,0.242,"SP","COSA",525,0.953637780794604
"226",0,0,100,46.37,-2.87,14.82,NA,394,94,16.9,16.9,0.242,"SP","COSA",526,0.860129750883417
"227",0,0,108,46.37,-2.98,15.57,35.31,375,99,16.8,16.8,0.242,"SP","COSA",527,0.781507269984592
"228",0,0,113,46.37,-3.15,16.47,NA,373,98,16.9,16.9,0.242,"SP","COSA",528,0.676389742071618
"229",0,0,117,46.37,-3.22,16.9,NA,403,100,16.9,16.9,0.242,"SP","COSA",529,0.629692364575177
"230",0,0,119,46.37,-3.28,17.67,NA,378,100,16.8,16.8,0.242,"SP","COSA",530,0.587111262447143
"231",0,0,119,46.37,-3.37,18.28,35.43,408,96,16.6,16.6,0.242,"SP","COSA",531,0.529261021880604
