"","n.ipo","ir","dp","reg.t","t","month"
"66",22,21,17.864,69.1,66,6
"67",24,7,7.33,319.51,67,7
"68",15,4.4,-8.933,157.63,68,8
"69",7,25.4,-80.604,214.16,69,9
"70",4,0.4,-33.514,161.16,70,10
"71",5,3.4,0,170.78,71,11
"72",10,9.9,12.929,43.4,72,12
"73",4,45.4,-5.474,18,73,1
"74",7,29.8,5.631,64.27,74,2
"75",18,23.1,0.126,44.39,75,3
"76",28,11.4,10.15,45.6,76,4
"77",28,15.7,-10.465,70.12,77,5
"78",47,8.5,-15.742,58.42,78,6
"79",38,9.3,-7.892,86.18,79,7
"80",35,15.2,-0.669,74.14,80,8
"81",23,15,12.044,58.5,81,9
"82",46,12.9,5.891,78.88,82,10
"83",51,14.8,3.224,67.76,83,11
"84",42,14.4,4.702,54.06,84,12
"85",42,21.3,9.457,63.06,85,1
"86",46,22.4,5.093,61.65,86,2
"87",67,15.4,3.83,105.91,87,3
"88",45,4.5,-9.824,115.22,88,4
"89",48,4.6,-21.002,100.92,89,5
"90",44,3.8,-13.291,91.04,90,6
"91",34,6.1,-36.276,103.97,91,7
"92",36,6.5,-14.96,95.1,92,8
"93",22,12.5,2.906,60.02,93,9
"94",51,11.9,-14.704,58.56,94,10
"95",27,18.5,-0.796,59.91,95,11
"96",47,19.6,4.506,67.38,96,12
"97",22,11.9,-14.292,63.17,97,1
"98",36,18.7,9.247,53.15,98,2
"99",62,16.9,-4.932,73.97,99,3
"100",31,13.8,-1.376,66.1,100,4
"101",48,18.4,1.393,72.53,101,5
"102",57,20.2,-0.438,59.03,102,6
"103",58,12.3,-6.136,66.6,103,7
"104",54,12,-3.395,69.68,104,8
"105",47,18.1,3.097,57.77,105,9
"106",58,19,6.027,87.7,106,10
"107",78,11.5,-5.273,310.93,107,11
"108",76,11.2,-8.128,78.56,108,12
"109",26,12.7,1.039,75.8,109,1
"110",62,16.9,5.272,124.69,110,2
"111",61,12.8,1.13,107.13,111,3
"112",48,17.2,-10.182,119.45,112,4
"113",71,7.2,-14.068,95.48,113,5
"114",53,7.9,-25.556,139.63,114,6
"115",41,11,-18.442,76.01,115,7
"116",43,11.7,-19.817,88.3,116,8
"117",37,22.1,-12.121,143.43,117,9
"118",46,17.6,-4.327,94.59,118,10
"119",44,19.4,-10.005,136.31,119,11
"120",36,8.2,-5.508,79.02,120,12
"121",18,13.2,-3.843,69.78,121,1
"122",37,19.8,-4.322,60.24,122,2
"123",29,23.2,1.644,96.58,123,3
"124",31,18.8,5.248,64.29,124,4
"125",35,24,7.773,84.78,125,5
"126",55,18.5,5.535,64.29,126,6
"127",50,21.8,0.155,41.87,127,7
"128",53,25.4,0.426,68.05,128,8
"129",35,18.1,8.029,65.68,129,9
"130",62,12.5,-1.674,72.28,130,10
"131",84,26.5,-0.82,67.68,131,11
"132",77,18.7,-2.038,73.83,132,12
"133",29,20.5,0.993,80.29,133,1
"134",65,18.9,0.91,66.4,134,2
"135",73,17.7,-1.92,59.14,135,3
"136",67,31.3,1.318,58.42,136,4
"137",94,28,3.757,76.57,137,5
"138",87,14.5,0.855,96.8,138,6
"139",66,10.6,-2.158,83.46,139,7
"140",58,9.2,-14.431,76.36,140,8
"141",59,20.1,-2.574,80.38,141,9
"142",106,11.2,-7.171,105.49,142,10
"143",81,11.5,-8.134,83.92,143,11
"144",60,10.7,-6.321,72.43,144,12
"145",34,11.9,-9.309,87.46,145,1
"146",62,10.5,-11.088,91.88,146,2
"147",39,9.7,-1.809,103.77,147,3
"148",31,8.4,-14.38,89.35,148,4
"149",41,19.5,-12.097,56.61,149,5
"150",63,14.8,6.099,103,150,6
"151",54,16.4,-3.224,60.02,151,7
"152",46,14.7,1.192,70.32,152,8
"153",52,23.1,9.275,63.24,153,9
"154",65,19.6,11.184,100.74,154,10
"155",80,7.6,-10.004,83.73,155,11
"156",35,7.4,-13.196,82.04,156,12
