animal,sire,dam,generation,y
126,17,19,1,237
127,17,19,1,223
128,17,19,1,229
129,17,19,1,231
130,17,19,1,229
131,17,19,1,228
132,17,19,1,232
133,17,20,1,213
134,17,20,1,232
135,17,20,1,227
136,17,20,1,231
137,17,20,1,232
138,17,20,1,230
139,17,20,1,220
140,21,22,1,234
141,21,22,1,223
142,21,22,1,226
143,21,22,1,221
144,21,22,1,230
145,21,22,1,214
146,21,22,1,233
147,21,22,1,220
148,21,23,1,223
149,21,23,1,216
150,21,23,1,224
151,21,23,1,227
152,21,23,1,226
153,21,23,1,217
154,21,23,1,218
155,21,24,1,224
156,21,24,1,228
157,21,24,1,223
158,21,24,1,225
159,21,24,1,230
160,21,24,1,213
161,21,24,1,224
162,21,24,1,227
163,107,81,2,245
164,107,81,2,245
165,107,81,2,253
166,107,81,2,252
167,107,81,2,249
168,107,81,2,240
169,107,81,2,238
170,107,81,2,254
171,107,81,2,262
172,107,81,2,258
173,107,82,2,232
174,107,82,2,252
175,107,82,2,243
176,107,82,2,245
177,107,82,2,236
178,107,82,2,254
179,107,82,2,233
180,107,82,2,228
181,107,112,2,240
182,107,112,2,238
183,107,112,2,235
184,107,112,2,230
185,107,112,2,252
186,107,112,2,238
187,107,112,2,228
188,107,112,2,246
189,118,120,2,253
190,118,120,2,242
191,118,120,2,252
192,118,120,2,250
193,118,120,2,231
194,118,120,2,239
195,118,120,2,246
196,118,120,2,233
197,118,113,2,235
198,118,113,2,254
199,118,113,2,233
200,118,113,2,233
201,118,113,2,262
202,118,113,2,250
203,118,113,2,248
204,118,146,2,243
205,118,146,2,255
206,118,146,2,237
207,118,146,2,230
208,118,146,2,240
209,118,146,2,236
210,118,146,2,227
211,118,146,2,247
212,118,146,2,238
213,140,128,2,241
214,140,128,2,234
215,140,128,2,243
216,140,128,2,229
217,140,128,2,239
218,140,128,2,243
219,140,128,2,243
220,140,131,2,269
221,140,131,2,240
222,140,131,2,233
223,140,131,2,246
224,140,131,2,252
225,140,131,2,240
226,140,131,2,256
227,140,105,2,238
228,140,105,2,232
229,140,105,2,244
230,140,105,2,221
231,140,105,2,243
232,140,105,2,251
233,140,105,2,236
234,140,105,2,241
235,100,98,2,254
236,100,98,2,249
237,100,98,2,237
238,100,98,2,238
239,100,98,2,248
240,100,98,2,247
241,100,98,2,233
242,100,37,2,232
243,100,37,2,228
244,100,37,2,225
245,100,37,2,229
246,100,37,2,264
247,100,37,2,228
248,100,37,2,224
249,100,52,2,234
250,100,52,2,243
251,100,52,2,238
252,100,52,2,238
253,100,52,2,237
254,100,52,2,235
255,100,52,2,243
256,100,52,2,256
257,100,52,2,241
258,123,137,2,237
259,123,137,2,238
260,123,137,2,234
261,123,137,2,241
262,123,137,2,221
263,123,137,2,237
264,123,137,2,236
265,123,137,2,250
266,123,137,2,237
267,123,69,2,247
268,123,69,2,239
269,123,69,2,238
270,123,69,2,239
271,123,69,2,233
272,123,69,2,234
273,123,69,2,224
274,123,69,2,248
275,123,69,2,235
276,123,39,2,248
277,123,39,2,232
278,123,39,2,240
279,123,39,2,236
280,123,39,2,235
281,123,39,2,253
282,123,39,2,243
283,51,65,2,234
284,51,65,2,233
285,51,65,2,222
286,51,65,2,233
287,51,65,2,213
288,51,65,2,228
289,51,31,2,209
290,51,31,2,225
291,51,31,2,223
292,51,31,2,226
293,51,31,2,224
294,51,31,2,223
295,51,31,2,221
296,51,31,2,224
297,51,31,2,219
298,51,138,2,229
299,51,138,2,238
300,51,138,2,230
301,51,138,2,240
302,51,138,2,246
303,51,138,2,236
304,51,138,2,230
305,51,138,2,230
306,51,138,2,230
